Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,54.4541,57.8164,54.1173,57.6965,4383527.363511
2005-02-28,57.5113,57.8699,55.5801,56.3259,2182152.7225071
2005-03-01,57.2311,57.3053,56.308,56.8101,1837464.7590118
2005-03-02,56.0268,56.2229,54.9631,55.1463,2137340.6216087
2005-03-03,55.5187,55.7446,54.8235,55.082,2731363.2316297
2005-03-04,55.6574,57.5015,55.6386,57.3855,2773906.505987
2005-03-07,57.3411,57.4143,56.5111,57.0043,1419564.4791661
2005-03-08,56.1298,56.2982,54.973,55.176,1902581.1914251
2005-03-09,54.8512,55.1008,53.1556,53.3964,3440607.2938445
2005-03-10,54.1728,54.1728,51.8573,52.9606,3170966.2963768
2005-03-11,52.9694,53.7132,52.2207,52.7566,1447212.4579588
2005-03-14,52.7566,53.127,51.6839,53.016,2506429.3248422
2005-03-15,54.0341,54.3599,52.3129,52.81,2184096.4212573
2005-03-16,53.4617,53.4984,51.886,52.396,2682340.6248674
2005-03-17,52.4258,52.4258,50.4708,51.3947,3425811.9599299
2005-03-18,51.4513,52.2663,50.9808,51.1195,2209903.6920908
2005-03-21,51.1195,51.7651,50.2816,50.8124,2662792.568866
2005-03-22,52.3228,53.7667,51.4789,51.4879,6189901.0202298
2005-03-23,51.4879,51.6493,50.8966,51.1195,2640118.4394463
2005-03-24,51.8107,53.231,51.6195,52.1177,2802203.7306479
2005-03-28,52.5545,52.81,51.7463,52.5159,3098189.1666038
2005-03-29,52.601,54.0717,52.3317,52.4525,4438273.0271646
2005-03-30,52.4614,53.0062,52.0355,52.2752,2988257.6041511
2005-03-31,53.1082,53.1458,52.2485,52.4892,1801941.0138549
2005-04-01,53.3418,54.3599,52.6783,53.0516,2425334.1741323
2005-04-04,53.0606,53.9609,52.4812,53.6192,1980760.289153
2005-04-05,53.8509,54.3223,53.1744,53.231,1713288.1565763
2005-04-06,53.2686,53.2686,52.1653,52.3515,2497253.0473142
2005-04-07,52.6585,53.4795,52.506,53.2586,2060346.9276901
2005-04-08,53.2586,53.6004,52.5743,52.7476,1650978.7280722
2005-04-11,52.6684,53.2508,52.3416,52.8288,1431336.7304532
2005-04-12,52.09,54.1629,51.7177,54.0252,3070543.2072383
2005-04-13,53.8509,54.0074,52.4892,52.8002,2184963.7652709
2005-04-14,52.7644,52.9694,50.6371,50.7669,2601563.5339529
2005-04-15,50.9521,51.1838,49.0803,49.0803,2749934.8945445
2005-04-18,49.5814,49.7864,48.9881,49.5913,2205797.1867314
2005-04-19,49.1447,50.3302,48.7555,49.6279,2228154.2660693
2005-04-20,49.2199,49.722,48.4137,48.5751,2789027.9774061
2005-04-21,48.8485,49.7398,48.7841,49.2199,2489909.4000365
2005-04-22,49.3397,49.5447,48.4583,48.6673,1798702.8622228
2005-04-25,49.0803,50.4331,49.0079,50.2092,2103218.3589793
2005-04-26,49.7963,51.4413,49.62,49.8438,3141920.8739112
2005-04-27,49.7398,49.8438,49.0367,49.2199,3264703.0618148
2005-04-28,49.2199,49.6933,46.6736,47.664,4050828.7397346
2005-04-29,48.1552,48.3781,46.939,47.664,2958454.8964582
2005-05-02,47.9413,48.1354,46.9777,47.664,2181933.6146481
2005-05-03,47.6274,47.876,46.6736,46.8727,3125727.0866101
2005-05-04,46.836,48.2008,46.5815,48.0612,3495246.9375663
2005-05-05,47.8304,49.1723,47.7838,48.6673,2414863.4437225
2005-05-06,48.5267,49.6002,48.0344,49.0803,1795246.6124453
2005-05-09,49.0891,50.0874,49.0644,49.834,1643633.0613671
2005-05-10,49.8438,49.8864,48.9881,48.9881,1451959.1217637
2005-05-11,49.2199,49.7309,48.5751,49.3675,1491158.2245572
2005-05-12,49.5447,49.5447,47.8215,47.8215,1952147.0241238
2005-05-13,47.968,48.2929,47.0262,47.4986,1414271.5602839
2005-05-16,47.2658,49.2387,47.2658,49.1625,2095766.6723424
2005-05-17,49.1545,49.4507,48.388,49.3021,1684342.6957608
2005-05-18,50.0874,51.9425,50.0874,51.5997,3029289.3371947
2005-05-19,51.6097,52.2752,51.3027,51.8375,2227074.8821919
2005-05-20,51.8573,51.9048,50.8412,51.4701,1814570.5120194
2005-05-23,51.0085,52.2752,51.0085,51.8275,2505245.9404602
2005-05-24,51.9523,52.3228,51.4938,51.8275,1986054.2177488
2005-05-25,52.0177,52.0177,51.27,51.2789,1636832.6400258
2005-05-26,52.09,53.7311,52.09,53.221,2605560.9902395
2005-05-27,53.4052,53.432,52.8388,53.3052,892491.94152234
2005-05-31,53.534,54.0797,53.1082,53.7222,3109417.1822409
2005-06-01,53.2586,54.8601,53.2122,54.4907,2325343.2424302
2005-06-02,54.4997,54.9631,54.1263,54.9443,1453795.7908684
2005-06-03,55.176,55.4028,54.2857,54.4055,2118657.8901939
2005-06-06,54.6561,55.3494,54.2401,55.176,1192366.7944057
2005-06-07,55.5187,56.0268,55.2137,55.3068,1760254.9863749
2005-06-08,55.4702,55.4702,54.2579,54.3145,1814570.5120194
2005-06-09,54.3223,55.5088,53.5241,54.9443,2110884.104907
2005-06-10,54.9908,55.4989,54.2114,54.4907,888173.39629933
2005-06-13,54.4907,55.184,53.9341,55.1285,1346135.0743839
2005-06-14,54.9185,56.01,54.87,56.01,1869860.411323
2005-06-15,56.1664,57.1559,56.1466,57.0895,1563186.1468119
2005-06-16,57.4143,57.9531,56.6299,57.5935,1574311.1716581
2005-06-17,60.2864,60.4706,58.0234,58.6582,4730159.0257566
2005-06-20,58.8712,58.8712,57.1647,57.4827,3223341.152412
2005-06-21,58.8998,59.3584,57.0043,58.7236,7364120.2314479
2005-06-22,59.2198,59.3832,57.8798,58.3215,2980483.8188642
2005-06-23,58.2482,59.091,57.6223,57.6965,2316486.0344114
2005-06-24,57.8798,58.0323,56.6923,56.6923,2077407.0492912
2005-06-27,56.7666,58.5918,56.7201,58.3848,1949662.1188646
2005-06-28,58.8998,59.1098,58.5086,59.0356,2080972.3481414
2005-06-29,59.0009,59.1752,57.6312,57.6312,1606810.8244739
2005-06-30,58.5572,59.4783,58.5572,58.7622,2459349.4071163
2005-07-01,59.1653,59.2465,58.172,58.7048,2880488.8483077
2005-07-05,58.3848,59.4485,57.9877,59.3297,1840594.8712847
2005-07-06,59.4386,59.8269,58.7622,58.991,1705616.3523667
2005-07-07,58.8088,60.4983,57.8798,60.3686,2602429.8682529
2005-07-08,60.3686,60.7489,59.9269,60.6746,1383499.5275
2005-07-11,60.7489,62.0721,60.7034,61.8423,1740925.0285191
2005-07-12,61.6304,61.9156,60.9985,61.2857,1459301.7593278
2005-07-13,61.5096,61.6392,60.945,61.4996,1303482.7509539
2005-07-14,61.9998,62.3503,60.5736,61.0748,2084965.7655735
2005-07-15,61.0748,61.8968,60.945,61.7601,1894373.2292746
2005-07-18,61.5848,62.1196,60.7133,61.3798,1793189.8257679
2005-07-19,61.4907,62.3137,60.9718,62.0443,1438460.2601583
