Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,47.0425,47.9248,46.9433,47.7067,833257.02406644
2005-02-28,47.5877,47.6274,47.3398,47.4786,689522.45690815
2005-03-01,47.4886,47.6075,47.4389,47.4589,393681.41446935
2005-03-02,47.3895,47.6671,47.2407,47.4886,584318.84038457
2005-03-03,47.5877,47.5877,47.221,47.2605,842234.13036616
2005-03-04,47.3695,47.3695,47.1218,47.1515,687000.7978352
2005-03-07,47.2407,47.2407,46.9235,46.983,809553.42878069
2005-03-08,46.9928,47.0722,46.3981,46.3981,705661.07497505
2005-03-09,46.17,46.2096,45.4066,45.4661,1258106.1446774
2005-03-10,45.6049,46.0807,45.6049,45.8925,1474061.0276851
2005-03-11,45.8031,46.1007,45.6545,45.6842,966904.95493294
2005-03-14,45.9619,46.2692,45.8925,46.1998,1022078.8554491
2005-03-15,46.1998,46.3881,45.2481,45.3075,727750.80845411
2005-03-16,45.139,45.1489,44.2467,44.544,920809.02707936
2005-03-17,44.5738,45.4958,44.4846,45.2678,1121230.4901976
2005-03-18,45.2678,45.2778,44.9308,45.0101,765575.6945484
2005-03-21,45.0993,45.0993,44.7523,44.8217,531061.40076381
2005-03-22,45.0496,45.5157,44.9802,45.3669,1194459.4696762
2005-03-23,45.0101,45.3075,44.9308,45.0101,956616.58591529
2005-03-24,45.1093,45.6248,45.0199,45.5554,626985.31189893
2005-03-28,45.5851,46.0015,45.5057,45.8528,499288.49644461
2005-03-29,45.9519,46.3386,45.6743,46.0213,1083203.8713775
2005-03-30,46.0213,47.3994,45.9222,47.3994,846974.84942331
2005-03-31,47.548,47.905,47.2904,47.786,879756.41737169
2005-04-01,48.0339,48.1826,47.5183,47.6472,1128291.1356019
2005-04-04,47.6472,48.133,47.3598,48.0933,551940.73788786
2005-04-05,48.0834,48.6783,47.9148,48.6287,645040.39086126
2005-04-06,48.6287,49.2533,48.4205,49.0054,454503.83130897
2005-04-07,48.9955,49.3821,48.7576,49.2136,358579.92017385
2005-04-08,48.9658,49.2632,48.8765,49.055,494144.31193578
2005-04-11,48.9559,49.0748,48.718,48.9162,362513.70832766
2005-04-12,48.827,49.4715,48.6386,49.293,497069.43646041
2005-04-13,49.0847,49.5309,49.0649,49.283,578872.056787
2005-04-14,49.174,49.174,48.0834,48.1527,887825.72640514
2005-04-15,47.9842,48.2321,47.4589,47.4589,645544.72267586
2005-04-18,47.2904,47.5778,46.4278,47.221,676308.96336588
2005-04-19,47.4589,48.8171,47.2308,48.5989,1281910.6063261
2005-04-20,49.4218,49.4218,47.8454,47.9148,1099544.2221702
2005-04-21,47.9148,48.9459,47.9148,48.7972,847378.31487498
2005-04-22,48.5593,48.7774,48.0239,48.3908,396001.34081647
2005-04-25,48.5098,49.1839,48.4403,48.8765,765575.6945484
2005-04-26,48.5792,48.8171,48.123,48.2024,447140.58681595
2005-04-27,48.2123,49.0649,47.9348,48.8171,489100.99378988
2005-04-28,48.589,48.7972,48.1924,48.361,587344.83127211
2005-04-29,48.3709,49.3327,48.2618,49.0748,540542.83887812
2005-05-02,48.9955,49.3921,48.6089,48.718,491118.32104825
2005-05-03,48.5295,48.8667,48.2916,48.5989,447039.72045304
2005-05-04,48.6783,50.4232,48.6783,50.3637,1130711.9283119
2005-05-05,50.3637,50.8098,50.0762,50.6611,991919.81293663
2005-05-06,50.6611,50.8098,50.2546,50.2546,729969.86843831
2005-05-09,50.215,50.3538,49.9175,50.3141,683773.07422182
2005-05-10,50.1653,50.4727,49.9473,50.1951,365842.29830396
2005-05-11,50.096,50.2447,49.5012,50.0166,528842.34077961
2005-05-12,50.1159,50.4132,49.0947,49.1046,545283.55793526
2005-05-13,49.174,49.2533,47.8554,48.3015,593094.21395845
2005-05-16,48.2222,49.4318,48.133,49.4318,463380.07124577
2005-05-17,49.2731,49.5309,48.8765,49.5012,398018.66807484
2005-05-18,49.5012,49.6796,49.0153,49.293,410223.49798793
2005-05-19,49.1343,49.4912,49.0748,49.3227,328622.61038718
2005-05-20,49.5209,49.62,49.2434,49.5805,565860.29597055
2005-05-23,49.4912,49.8878,49.2236,49.6003,557084.92239668
2005-05-24,49.6994,49.7787,49.283,49.4021,543165.36431398
2005-05-25,49.2037,49.2731,48.6584,48.8765,319040.30590996
2005-05-26,49.0253,49.0748,48.3511,48.5792,575846.06589945
2005-05-27,48.4205,48.48,48.133,48.2618,536911.64981306
2005-05-31,48.1826,48.361,47.9446,48.0339,633339.89276277
2005-06-01,47.9842,48.3511,47.8356,48.0339,511695.05908353
2005-06-02,47.9348,48.014,47.4886,47.905,543871.42885441
2005-06-03,47.9645,48.4998,47.9645,48.2817,780100.45080861
2005-06-06,48.1033,48.5792,47.9348,48.3809,485368.93836191
2005-06-07,48.6287,49.6597,48.4403,49.2136,1047698.9116304
2005-06-08,49.2731,49.3921,47.7662,48.4304,714638.18127476
2005-06-09,48.4503,48.9459,48.2718,48.827,469734.6521096
2005-06-10,48.8667,48.9361,48.361,48.3809,281719.75163026
2005-06-13,48.2817,48.7874,48.1924,48.6584,258722.22088493
2005-06-14,48.5989,49.1938,48.4701,49.055,550831.20789576
2005-06-15,49.1542,49.2037,48.589,48.8171,323781.02496711
2005-06-16,48.9459,48.9856,48.6883,48.9262,280711.08800108
2005-06-17,48.9757,49.7094,48.9757,49.6499,715142.51308935
2005-06-20,49.5706,49.8481,49.4119,49.7688,425050.85333689
2005-06-21,49.6697,50.1257,49.62,50.0365,577560.79406906
2005-06-22,50.0662,50.0662,49.5706,49.868,370078.68554652
2005-06-23,49.8382,49.858,49.3127,49.3227,316216.04774825
2005-06-24,49.2731,49.4715,48.6188,48.7278,537214.24890182
2005-06-27,48.8171,48.8964,48.4304,48.6188,424143.05607062
2005-06-28,48.7576,49.9671,48.7278,49.8283,551335.53971035
2005-06-29,49.8085,50.205,49.63,49.8779,539332.44252309
2005-06-30,50.0166,50.0166,49.3722,49.4715,607316.3711299
2005-07-01,49.4715,49.5209,49.0649,49.1839,473365.84117466
2005-07-05,49.1938,49.6003,49.0947,49.5111,417082.41066635
2005-07-06,49.62,50.1356,49.293,49.6499,632331.22913359
2005-07-07,49.174,49.62,49.055,49.5805,439474.74323417
2005-07-08,49.4912,49.5507,49.2334,49.4615,355755.66201215
2005-07-11,49.5209,50.0662,49.3821,49.6994,391764.95357391
2005-07-12,49.7193,49.7193,49.174,49.5903,341836.10392945
2005-07-13,49.5507,49.5903,48.9658,49.1343,610544.09474328
2005-07-14,49.174,49.6895,48.9559,49.4715,412644.29069796
2005-07-15,49.3524,49.6697,49.1046,49.6697,583209.31039247
2005-07-18,49.6697,50.5322,49.6697,50.3835,911428.45532798
2005-07-19,50.5619,51.0576,50.5421,50.9784,1241261.4620702
2005-07-20,50.9685,51.1568,50.4232,50.9089,856456.28753761
2005-07-21,50.9089,51.0478,48.3313,50.4132,1521266.4855309
2005-07-22,51.3055,51.3055,50.6413,51.3055,986977.36115364
2005-07-25,51.2857,51.5236,50.3438,50.4628,644636.92540959
2005-07-26,50.4727,51.0081,50.4628,50.6313,743082.49561766
2005-07-27,50.7107,50.8792,50.3934,50.4926,931702.59427451
2005-07-28,50.443,51.4641,50.4132,51.2659,718773.7021544
2005-07-29,51.256,51.2757,50.205,50.2347,949959.40596269
2005-08-01,50.334,50.6313,50.2943,50.4826,447241.45317887
2005-08-02,50.5619,50.7603,50.0465,50.3438,529346.6725942
2005-08-03,50.2645,50.6909,50.1653,50.4826,485974.13653942
2005-08-04,50.4628,50.4628,49.6796,49.6796,770921.61178306
2005-08-05,49.62,49.63,48.6683,48.827,811772.48876489
2005-08-08,49.0748,49.63,49.0153,49.4318,780100.45080861
2005-08-09,49.5408,49.7688,49.4218,49.5805,324991.42132213
2005-08-10,49.7193,49.9572,49.4912,49.5408,525009.41898873
2005-08-11,49.4813,49.8283,49.1839,49.3327,546897.41974195
2005-08-12,49.3327,49.3722,49.0649,49.1938,473466.70753758
2005-08-15,49.0947,49.2236,48.8368,49.2136,553756.33242038
2005-08-16,49.0748,49.174,48.698,48.698,456016.82675275
2005-08-17,48.718,49.2632,48.6683,49.1343,515225.38178567
2005-08-18,49.0748,49.0847,48.6584,48.7576,341936.97029237
2005-08-19,48.9757,49.1442,48.8765,49.0748,519764.36811698
2005-08-22,49.0748,49.1839,48.698,48.8568,378047.12821705
2005-08-23,48.8071,48.9262,48.6188,48.8765,581494.58222286
2005-08-24,48.827,49.5706,48.827,49.055,502213.62096923
2005-08-25,49.0253,49.2037,48.6584,48.8568,363724.10468268
