Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-01-04,2.44706,2.4542,2.42597,2.44706,1285734.7375168
1982-01-05,2.39733,2.4327,2.3479,2.37584,733099.37972995
1982-01-06,2.3479,2.3904,2.29818,2.3266,1847401.6748639
1982-01-07,2.31938,2.33364,2.29818,2.3266,793996.67492813
1982-01-08,2.3479,2.35504,2.3266,2.3479,845881.57018055
1982-01-11,2.3694,2.38357,2.3479,2.36177,1998532.9999405
1982-01-12,2.3479,2.35504,2.34048,2.35504,613545.7758792
1982-01-13,2.3479,2.36177,2.3266,2.33364,383465.10047111
1982-01-14,2.31264,2.3266,2.29818,2.31264,1416568.9831007
1982-01-15,2.3266,2.3479,2.31264,2.31264,2048157.7290327
1982-01-18,2.31938,2.3479,2.29134,2.3479,2054925.1046192
1982-01-19,2.3266,2.3479,2.29134,2.29818,1202280.1966657
1982-01-20,2.29818,2.31264,2.27668,2.27668,1157165.7053601
1982-01-21,2.3052,2.3479,2.26984,2.3479,6015904.1549413
1982-01-22,2.37584,2.3904,2.35504,2.35504,2354930.6169722
1982-01-25,2.3479,2.3694,2.3266,2.35504,1477472.3350194
1982-01-26,2.3904,2.40497,2.3694,2.37584,2348163.2413857
1982-01-27,2.37584,2.37584,2.36177,2.3694,1646644.6112419
1982-01-28,2.42597,2.46846,2.37584,2.46846,3018100.1124903
1982-01-29,2.49661,2.51097,2.48957,2.50393,1854172.0788107
1982-02-01,2.51097,2.52503,2.49661,2.49661,1039871.2582161
1982-02-02,2.5183,2.5395,2.49661,2.5395,1655671.1435352
1982-02-03,2.53246,2.5395,2.5183,2.5183,1026334.4881363
1982-02-04,2.48957,2.5183,2.4542,2.4754,1811311.6969448
1982-02-05,2.51097,2.53246,2.48253,2.53246,1946653.1519551
1982-02-08,2.49661,2.51097,2.4754,2.49661,1885750.80949
1982-02-09,2.4754,2.49661,2.4542,2.46846,1784243.2040522
1982-02-10,2.49661,2.52503,2.46846,2.51097,4112106.3375852
1982-02-11,2.54633,2.56763,2.52503,2.53246,4134662.5737845
1982-02-12,2.5607,2.5819,2.53246,2.57496,1403036.2508345
1982-02-16,2.56763,2.5819,2.55386,2.5819,1398523.9941411
1982-02-17,2.58892,2.59626,2.56763,2.5819,1635372.0451358
1982-02-18,2.5819,2.59626,2.56763,2.58892,2936896.6527188
1982-02-19,2.5819,2.59626,2.56763,2.58892,2537641.6821814
1982-02-22,2.56763,2.61726,2.5183,2.5183,3090282.0872352
1982-02-23,2.5395,2.5607,2.5183,2.55386,7030960.0202511
1982-02-24,2.52503,2.56763,2.48957,2.5395,4168498.4422637
1982-02-25,2.53246,2.55386,2.51097,2.5183,814299.81114114
1982-02-26,2.51097,2.5183,2.49661,2.5183,1824846.4481179
1982-03-01,2.51097,2.5183,2.49661,2.51097,945132.03781829
1982-03-02,2.48253,2.51097,2.44706,2.44706,972200.53071102
1982-03-03,2.41893,2.4542,2.3904,2.4116,3383520.2240019
1982-03-04,2.38357,2.40497,2.35504,2.3904,2244402.5359616
1982-03-05,2.3694,2.39733,2.3266,2.34048,1906050.9173427
1982-03-08,2.33364,2.36177,2.29818,2.3052,2041393.3818063
1982-03-09,2.29818,2.31938,2.27668,2.29134,3947444.299149
1982-03-10,2.31938,2.3266,2.29818,2.3266,2839901.3039744
1982-03-11,2.34048,2.3479,2.3266,2.3479,2043647.4912461
1982-03-12,2.35504,2.3694,2.3479,2.36177,1172956.5848797
1982-03-15,2.37584,2.3904,2.3479,2.3904,954151.50393787
1982-03-16,2.37584,2.39733,2.36177,2.36177,2548921.3144613
1982-03-17,2.33364,2.36177,2.3052,2.34048,4161731.0666773
1982-03-18,2.3479,2.36177,2.33364,2.36177,658659.25773148
1982-03-19,2.37584,2.38357,2.35504,2.38357,3669996.0324488
1982-03-22,2.42597,2.4542,2.39733,2.4542,2072968.0746719
1982-03-23,2.49661,2.51097,2.4754,2.4754,2537641.6821814
1982-03-24,2.48957,2.51097,2.46846,2.48957,1921837.7590489
1982-03-25,2.49661,2.5183,2.4754,2.5183,1646644.6112419
1982-03-26,2.51097,2.53246,2.48253,2.48957,563919.02788024
1982-03-29,2.49661,2.51097,2.48253,2.51097,771440.43872869
1982-03-30,2.5183,2.53246,2.49661,2.51097,1366941.2256484
1982-03-31,2.5183,2.5395,2.49661,2.49661,857159.18355357
1982-04-01,2.49661,2.5183,2.46846,2.5183,1188740.3982257
1982-04-02,2.52503,2.5395,2.51097,2.5395,1213558.8194921
1982-04-05,2.5395,2.5607,2.5183,2.55386,1195510.8021724
1982-04-06,2.5395,2.5607,2.52503,2.53246,1603790.2860964
1982-04-07,2.55386,2.57496,2.53246,2.56763,1477472.3350194
1982-04-08,2.59626,2.63153,2.5607,2.60349,1709805.1009604
1982-04-12,2.61726,2.63875,2.59626,2.61726,1209046.5627988
1982-04-13,2.61062,2.63875,2.57496,2.63875,3433151.0098144
1982-04-14,2.63875,2.65965,2.61726,2.63875,2030112.7400731
1982-04-15,2.70958,2.75922,2.65965,2.75922,7035467.2296774
1982-04-16,2.73832,2.75922,2.70958,2.73832,5465515.8404205
1982-04-19,2.73832,2.75218,2.71682,2.73832,3735401.5465267
1982-04-20,2.73058,2.75218,2.70265,2.71682,1791008.5607319
1982-04-21,2.70958,2.71682,2.70265,2.70958,1615064.8711092
1982-04-22,2.73832,2.75922,2.70958,2.75922,3715107.4953943
1982-04-23,2.80904,2.83006,2.77348,2.83006,3178251.9131398
1982-04-26,2.83006,2.85838,2.80191,2.85145,3877513.4054837
1982-04-27,2.82321,2.85145,2.78764,2.78764,4579032.0356276
1982-04-28,2.80191,2.80904,2.78091,2.78091,2086504.8447518
1982-04-29,2.73832,2.75922,2.71682,2.73832,2977496.8684245
1982-04-30,2.75218,2.77348,2.73058,2.75218,2573733.6790073
1982-05-03,2.75922,2.77348,2.73832,2.76634,2526360.0309948
1982-05-04,2.77348,2.78091,2.75922,2.75922,2174474.6706563
1982-05-05,2.76634,2.78091,2.75922,2.76634,945132.03781829
1982-05-06,2.78091,2.79468,2.77348,2.77348,1603790.2860964
1982-05-07,2.78091,2.80191,2.75922,2.75922,4466248.8357236
1982-05-10,2.64579,2.66729,2.61726,2.61726,9304684.1490919
1982-05-11,2.61726,2.63875,2.58892,2.63875,5664010.7189756
1982-05-12,2.58892,2.63153,2.54633,2.56763,7450510.0513743
1982-05-13,2.57496,2.60349,2.54633,2.56763,3891051.1850169
1982-05-14,2.5819,2.60349,2.55386,2.5819,3164718.17142
1982-05-17,2.57496,2.58892,2.56763,2.5819,1382736.1429817
1982-05-18,2.5819,2.58892,2.56763,2.5819,1053407.0188426
1982-05-19,2.57496,2.58892,2.56763,2.56763,1723341.8710403
1982-05-20,2.58892,2.60349,2.57496,2.58892,2499297.5948225
1982-05-21,2.58892,2.59626,2.57496,2.58892,1892513.1378094
1982-05-24,2.58892,2.60349,2.57496,2.58892,2499297.5948225
1982-05-25,2.5819,2.58892,2.56763,2.57496,2562450.0089139
1982-05-26,2.57496,2.5819,2.56763,2.57496,1533864.439698
1982-05-27,2.5819,2.58892,2.56763,2.58892,4324137.98622
1982-05-28,2.62469,2.63875,2.61062,2.63875,7123440.0839422
1982-06-01,2.63875,2.64579,2.63153,2.63875,3457958.3270934
1982-06-02,2.67383,2.70265,2.63875,2.70265,3845936.6937112
1982-06-03,2.70958,2.75922,2.66729,2.75922,2851184.9740678
1982-06-04,2.73058,2.75922,2.69532,2.69532,2323350.8768396
1982-06-07,2.70265,2.73832,2.65965,2.72385,2418090.0972375
1982-06-08,2.75218,2.75922,2.73832,2.75218,3322617.8815367
1982-06-09,2.72385,2.75218,2.69532,2.70958,4888063.0708207
1982-06-10,2.72385,2.75922,2.68839,2.75922,3633899.9978093
1982-06-11,2.67383,2.78091,2.56763,2.61726,20619179.920951
1982-06-14,2.60349,2.61726,2.5819,2.58892,2880507.5764004
1982-06-15,2.56763,2.58892,2.5395,2.58892,3157953.8241939
1982-06-16,2.58892,2.60349,2.56763,2.58892,2551175.4239011
1982-06-17,2.51097,2.57496,2.44706,2.4542,9679129.7834434
1982-06-18,2.4542,2.46846,2.44043,2.46846,3088027.9777954
