Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.639594,0.646167,0.639594,0.646167,30569.085609042
1977-01-04,0.646167,0.653133,0.612613,0.646167,33949.909060802
1977-01-05,0.646167,0.666574,0.646167,0.666574,36300.279540079
1977-01-06,0.666574,0.70111,0.666574,0.70111,65401.657651221
1977-01-07,0.70111,0.707585,0.694144,0.707585,56288.621027106
1977-01-10,0.707585,0.714453,0.70111,0.707585,48205.018134157
1977-01-11,0.707585,0.707585,0.694144,0.694144,28218.715129766
1977-01-12,0.680408,0.680408,0.666574,0.673834,30125.715635718
1977-01-13,0.673834,0.673834,0.653133,0.666574,28218.715129766
1977-01-14,0.666574,0.673834,0.666574,0.666574,19108.736229605
1977-01-17,0.673834,0.70111,0.673834,0.680408,35567.445032447
1977-01-18,0.694144,0.70111,0.694144,0.70111,18071.148567895
1977-01-19,0.70111,0.707585,0.694144,0.694144,26896.759140338
1977-01-20,0.694144,0.70111,0.680408,0.680408,33949.909060802
1977-01-21,0.680408,0.694144,0.673834,0.673834,35419.655041339
1977-01-24,0.70111,0.735056,0.70111,0.735056,133588.9018245
1977-01-25,0.735056,0.762234,0.727796,0.735056,76714.21703955
1977-01-26,0.735056,0.735056,0.714453,0.727796,45265.526173085
1977-01-27,0.727796,0.735056,0.707585,0.727796,44089.321692129
1977-01-28,0.727796,0.735056,0.707585,0.727796,20424.576771126
1977-01-31,0.714453,0.714453,0.70111,0.707585,18661.289291009
1977-02-01,0.707585,0.707585,0.70111,0.707585,19108.736229605
1977-02-02,0.70111,0.70111,0.680408,0.680408,18071.148567895
1977-02-03,0.680408,0.694144,0.666574,0.694144,27775.345156442
1977-02-04,0.694144,0.70111,0.694144,0.694144,20133.073754181
1977-02-07,0.70111,0.714453,0.70111,0.70111,19254.487738077
1977-02-08,0.70111,0.70111,0.694144,0.694144,18812.137006071
1977-02-09,0.694144,0.707585,0.694144,0.694144,50112.01864011
1977-02-10,0.694144,0.694144,0.673834,0.680408,17491.200257961
1977-02-11,0.680408,0.680408,0.653133,0.653133,27482.82289818
1977-02-14,0.646167,0.646167,0.639594,0.639594,25422.93619453
1977-02-15,0.646167,0.666574,0.646167,0.666574,32771.66609721
1977-02-16,0.666574,0.673834,0.653133,0.666574,36448.069531187
1977-02-17,0.666574,0.70111,0.666574,0.694144,152554.94426958
1977-02-18,0.694144,0.714453,0.694144,0.70111,77894.498485778
1977-02-22,0.707585,0.714453,0.707585,0.707585,48205.018134157
1977-02-23,0.707585,0.714453,0.70111,0.70111,19108.736229605
