Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-05,3.05663,3.22054,3.03367,3.03367,10535999.18106
1984-10-08,3.23614,3.23614,3.15035,3.22054,337518.66355475
1984-10-09,3.17381,3.21288,3.16606,3.18962,314947.99828759
1984-10-10,3.19718,3.19718,3.14241,3.16606,72838.079990636
1984-10-11,3.15035,3.24399,3.15035,3.24399,449857.44556221
1984-10-12,3.25959,3.26735,3.23614,3.23614,361629.90510773
1984-10-15,3.24399,3.28285,3.21288,3.28285,412924.37068845
1984-10-16,3.3067,3.4234,3.3067,3.36893,1309563.2037395
1984-10-17,3.34567,3.34567,3.25959,3.28285,171834.37095109
1984-10-18,3.32986,3.36893,3.28285,3.36893,78481.765207083
1984-10-19,3.4234,3.54,3.4234,3.47021,2632974.2727573
1984-10-22,3.37649,3.47021,3.37649,3.40004,1056680.4593379
1984-10-23,3.40004,3.49397,3.40004,3.44656,364708.00098043
1984-10-24,3.4389,3.50928,3.4234,3.44656,567833.79938816
1984-10-25,3.4389,3.46227,3.4234,3.4389,547318.25473512
1984-10-26,3.4234,3.44656,3.40004,3.40004,438059.60639968
1984-10-29,3.4234,3.44656,3.40004,3.44656,312385.46564283
1984-10-30,3.44656,3.68869,3.44656,3.60311,913564.79420207
1984-10-31,3.57915,3.66523,3.54,3.66523,322648.84191748
1984-11-01,3.66523,3.94563,3.66523,3.78192,2876624.7673401
1984-11-02,3.75836,3.78192,3.7353,3.78192,479613.3912313
1984-11-05,3.76642,3.78192,3.75836,3.75836,346752.95117284
1984-11-06,3.76642,3.82883,3.74276,3.80587,526801.69118243
1984-11-07,3.80587,3.82118,3.78192,3.80587,749930.52771424
1984-11-08,3.78192,3.79743,3.75836,3.75836,261093.03786143
1984-11-09,3.7353,3.89116,3.7353,3.85229,457551.15689447
1984-11-12,3.85229,3.85229,3.76642,3.85229,296999.06187797
1984-11-13,3.85229,3.85229,3.79743,3.85229,364190.39995318
1984-11-14,3.80587,3.84464,3.76642,3.84464,580663.78390621
1984-11-15,3.82118,3.82883,3.79743,3.82118,557574.49871216
1984-11-16,3.80587,3.82118,3.71185,3.74276,1178755.8464959
1984-11-19,3.7196,3.74276,3.54,3.5715,127212.67924337
1984-11-20,3.5559,3.61812,3.5559,3.59457,117463.84729699
1984-11-21,3.57915,3.67308,3.57915,3.64178,152855.32698526
1984-11-23,3.64178,3.78192,3.64178,3.78192,168250.90084705
1984-11-26,3.79743,3.79743,3.71185,3.74276,111306.63665193
1984-11-27,3.75836,3.75836,3.7353,3.7353,89764.041141676
1984-11-28,3.71185,3.74276,3.66523,3.67308,675043.44050745
1984-11-29,3.64952,3.64952,3.53264,3.53264,100030.4741153
1984-11-30,3.53264,3.57915,3.49397,3.5559,218518.31557055
1984-12-03,3.54,3.54,3.46227,3.51683,2395476.9132209
1984-12-04,3.50928,3.51683,3.47021,3.51683,39497.645317848
1984-12-05,3.49397,3.5559,3.49397,3.51683,317516.64433033
1984-12-06,3.54,3.60311,3.53264,3.59457,107720.10984893
1984-12-07,3.59457,3.64178,3.5715,3.59457,346242.48244321
1984-12-10,3.57915,3.57915,3.51683,3.51683,95920.232887077
1984-12-11,3.54,3.5715,3.51683,3.5715,69758.965218276
1984-12-12,3.53264,3.59457,3.53264,3.5715,154912.4853987
1984-12-13,3.5559,3.61812,3.54,3.59457,182094.69052676
1984-12-14,3.5715,3.60311,3.5715,3.60311,48211.275209716
1984-12-17,3.57915,3.60311,3.54,3.59457,42571.665591909
1984-12-18,3.61812,3.7353,3.60311,3.7353,889969.11587702
1984-12-19,3.75836,3.78192,3.7353,3.75836,322648.84191748
1984-12-20,3.7353,3.78192,3.7196,3.74276,223131.89323079
1984-12-21,3.7353,3.75836,3.7353,3.7353,156961.49261484
1984-12-24,3.7353,3.74276,3.68869,3.7353,418569.07480455
1984-12-26,3.75836,3.75836,3.68869,3.68869,17439.486579654
1984-12-27,3.68869,3.68869,3.61812,3.64178,129262.70535919
1984-12-28,3.66523,3.66523,3.62646,3.62646,45651.799263928
1984-12-31,3.62646,3.74276,3.62646,3.71185,132342.8390312
1985-01-02,3.68869,3.74276,3.68869,3.74276,170305.00256151
1985-01-03,3.7196,3.7353,3.64178,3.68869,76426.644592969
1985-01-04,3.65748,3.65748,3.61037,3.62646,201589.29772053
1985-01-07,3.63382,3.72735,3.63382,3.65748,171324.92112112
1985-01-08,3.65748,3.65748,3.63382,3.63382,433959.55416806
1985-01-09,3.63382,3.63382,3.61037,3.63382,545267.20971965
1985-01-10,3.64952,3.72735,3.63382,3.72735,497047.78331265
1985-01-11,3.74276,3.74276,3.64952,3.64952,171324.92112112
1985-01-14,3.62646,3.7196,3.61037,3.69615,855086.06711907
1985-01-15,3.79007,3.87556,3.79007,3.85229,433959.55416806
1985-01-16,3.83659,3.83659,3.78192,3.81303,116952.3596677
1985-01-17,3.83659,3.83659,3.75836,3.78192,591947.07874047
1985-01-18,3.78192,3.78192,3.7196,3.78192,374966.28275677
1985-01-21,3.82883,3.96928,3.80587,3.92237,703767.24082102
1985-01-22,3.89881,3.9846,3.87556,3.89116,422157.63940689
1985-01-23,3.87556,3.87556,3.80587,3.87556,348295.565258
1985-01-24,3.94563,3.96928,3.82883,3.85229,261093.03786143
1985-01-25,3.87556,3.92237,3.80587,3.80587,213386.11798339
1985-01-28,3.83659,3.85229,3.80587,3.82883,438059.60639968
1985-01-29,3.83659,3.89881,3.82883,3.89881,119515.91121213
1985-01-30,3.99264,4.00805,3.92237,3.92237,366249.59616593
1985-01-31,3.94563,3.99264,3.94563,3.9846,377018.34667192
1985-02-01,3.9846,3.9846,3.93807,3.94563,136445.94796181
1985-02-04,3.93807,4.05487,3.89881,4.05487,293921.98490493
1985-02-05,4.04691,4.10168,4.02355,4.07066,956138.49759331
1985-02-06,4.07832,4.21102,4.04691,4.21102,904846.06981191
1985-02-07,4.28099,4.35911,4.23427,4.25773,626824.01410045
1985-02-08,4.25773,4.3123,4.25017,4.3123,986915.38072166
1985-02-11,4.29679,4.33585,4.29679,4.33585,914590.82615964
1985-02-12,4.33585,4.38227,4.28099,4.33585,687356.84289791
1985-02-13,4.29679,4.36677,4.27363,4.36677,310333.4017277
1985-02-14,4.36677,4.36677,4.29679,4.29679,315465.59931485
1985-02-15,4.29679,4.32015,4.23427,4.3123,284687.69728683
1985-02-19,4.28099,4.3123,4.25773,4.3123,121052.41189933
1985-02-20,4.3123,4.3123,4.21102,4.28099,245191.07086864
1985-02-21,4.28099,4.3123,3.99264,4.14075,714028.57929634
1985-02-22,4.11758,4.11758,3.99264,4.07832,260576.45573384
1985-02-25,4.05487,4.07066,3.92237,4.07066,254936.84611604
1985-02-26,4.05487,4.18746,4.04691,4.16429,318541.65738823
1985-02-27,4.16429,4.18746,4.11758,4.18746,266734.68527856
1985-02-28,4.16429,4.17951,4.07066,4.11758,136958.45449076
1985-03-01,4.12494,4.22662,4.11758,4.14879,378557.90405809
