Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,0.672401,0.68051,0.672401,0.68051,556885.91350024
1985-07-02,0.68051,0.689015,0.672401,0.68051,7413289.7342603
1985-07-03,0.68051,0.689015,0.68051,0.689015,900499.25363056
1985-07-05,0.689015,0.69663,0.689015,0.69663,1516623.6163574
1985-07-08,0.69663,0.69663,0.689015,0.69663,2776533.4669633
1985-07-09,0.69663,0.721057,0.69663,0.712948,2456616.5176775
1985-07-10,0.712948,0.721057,0.712948,0.712948,2942413.2586442
1985-07-11,0.712948,0.721057,0.712948,0.721057,1248057.1049913
1985-07-12,0.721057,0.729068,0.721057,0.721057,2053758.6613974
1985-07-15,0.721057,0.729068,0.704838,0.712948,2413168.247219
1985-07-16,0.712948,0.712948,0.69663,0.712948,8767989.1928597
1985-07-17,0.712948,0.712948,0.712948,0.712948,3937696.0533451
1985-07-18,0.712948,0.729068,0.712948,0.721057,1216459.5578396
1985-07-19,0.729068,0.745485,0.729068,0.737573,1030828.8976985
1985-07-22,0.737573,0.737573,0.729068,0.729068,900499.25363056
1985-07-23,0.729068,0.729068,0.69663,0.704838,2898965.9993395
1985-07-24,0.69663,0.69663,0.656082,0.664687,6386410.4035617
1985-07-25,0.656082,0.656082,0.656082,0.656082,1303350.0318336
1985-07-26,0.656082,0.656082,0.656082,0.656082,1066376.0118498
1985-07-29,0.656082,0.656082,0.64016,0.64016,1658810.0506554
1985-07-30,0.632248,0.632248,0.623644,0.623644,4648611.0352193
1985-07-31,0.632248,0.656082,0.632248,0.648072,5071217.737652
1985-08-01,0.648072,0.656082,0.648072,0.648072,2148552.3140064
1985-08-02,0.648072,0.656082,0.623644,0.623644,4028535.0831851
1985-08-05,0.623644,0.632248,0.607821,0.607821,3605929.3919062
1985-08-06,0.615732,0.632248,0.615732,0.615732,2500061.7546745
1985-08-07,0.615732,0.623644,0.599513,0.607821,3562490.2218325
1985-08-08,0.607821,0.615732,0.607821,0.607821,2950312.3926437
1985-08-09,0.607821,0.615732,0.591701,0.591701,2788380.1456548
1985-08-12,0.591701,0.599513,0.575184,0.583195,635878.26464869
1985-08-13,0.583195,0.591701,0.567174,0.583195,1579815.6771992
1985-08-14,0.583195,0.599513,0.583195,0.583195,4826341.5502071
1985-08-15,0.583195,0.591701,0.575184,0.583195,1173016.3431503
1985-08-16,0.583195,0.591701,0.583195,0.583195,864947.0837098
1985-08-19,0.583195,0.591701,0.583195,0.583195,821501.84671278
1985-08-20,0.583195,0.591701,0.583195,0.583195,2816026.1034991
1985-08-21,0.591701,0.615732,0.591701,0.607821,3151736.2650144
1985-08-22,0.615732,0.623644,0.615732,0.623644,3728366.9800517
1985-08-23,0.623644,0.632248,0.623644,0.632248,924192.61101347
1985-08-26,0.632248,0.632248,0.623644,0.623644,572687.21496075
1985-08-27,0.623644,0.623644,0.623644,0.623644,912343.91001429
1985-08-28,0.623644,0.632248,0.623644,0.623644,1413939.9301338
1985-08-29,0.623644,0.623644,0.607821,0.607821,7128923.9437414
1985-08-30,0.607821,0.623644,0.607821,0.607821,4739451.0762132
1985-09-03,0.607821,0.607821,0.599513,0.607821,1560071.886816
1985-09-04,0.607821,0.615732,0.591701,0.607821,2555354.6815169
1985-09-05,0.607821,0.607821,0.591701,0.591701,2756778.5538876
1985-09-06,0.591701,0.591701,0.591701,0.591701,782006.17671549
1985-09-09,0.591701,0.591701,0.567174,0.583195,932093.76732066
1985-09-10,0.567174,0.567174,0.535033,0.542845,2586949.195207
1985-09-11,0.542845,0.559164,0.542845,0.559164,4617017.5326831
1985-09-12,0.559164,0.567174,0.559164,0.559164,1690404.5643455
1985-09-13,0.559164,0.559164,0.559164,0.559164,2010321.5136313
1985-09-16,0.559164,0.559164,0.550955,0.550955,876796.79586286
1985-09-17,0.550955,0.550955,0.542845,0.550955,3380811.1509988
1985-09-18,0.550955,0.559164,0.542845,0.542845,4944829.5713529
1985-09-19,0.542845,0.559164,0.542845,0.559164,1646957.3050408
1985-09-20,0.559164,0.559164,0.550955,0.550955,1797040.8510304
1985-09-23,0.559164,0.567174,0.559164,0.567174,414704.53497158
1985-09-24,0.567174,0.583195,0.567174,0.567174,912343.91001429
1985-09-25,0.567174,0.567174,0.559164,0.559164,2926613.9794914
1985-09-26,0.550955,0.550955,0.542845,0.542845,2361829.9431456
1985-09-30,0.542845,0.542845,0.535033,0.542845,5114654.8854181
1985-10-01,0.542845,0.550955,0.542845,0.550955,4573571.2845322
1985-10-02,0.550955,0.559164,0.542845,0.542845,3301818.7998503
1985-10-03,0.542845,0.559164,0.542845,0.550955,1998469.7791705
1985-10-04,0.550955,0.559164,0.535033,0.542845,2800228.846654
1985-10-07,0.535033,0.535033,0.526627,0.535033,2796278.2685004
1985-10-08,0.535033,0.535033,0.526627,0.535033,2160395.9592363
1985-10-09,0.535033,0.535033,0.535033,0.535033,880748.38517032
1985-10-10,0.535033,0.542845,0.526627,0.535033,1785194.172339
