Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,1.34222,1.43847,1.28911,1.43847,748045.08878942
1990-03-27,1.38584,1.48218,1.38584,1.43847,688530.13984115
1990-03-28,1.41205,1.43847,1.38584,1.43847,1151314.5491243
1990-03-29,1.41205,1.46488,1.41205,1.41205,357095.75973155
1990-03-30,1.41205,1.43847,1.41205,1.43847,517169.50872381
1990-04-02,1.41205,1.41205,1.36834,1.36834,215487.04254983
1990-04-03,1.41205,1.41205,1.36834,1.41205,300656.29407105
1990-04-04,1.38584,1.41205,1.38584,1.38584,202145.7942049
1990-04-05,1.38584,1.41205,1.36834,1.41205,504342.86294081
1990-04-06,1.38584,1.43847,1.38584,1.38584,250374.87203506
1990-04-09,1.41205,1.41205,1.38584,1.41205,69264.089429481
1990-04-10,1.38584,1.43847,1.38584,1.41205,428920.72988683
1990-04-11,1.43847,1.48218,1.41205,1.41205,1046651.0606686
1990-04-12,1.41205,1.46488,1.41205,1.43847,614649.79245904
1990-04-16,1.46488,1.46488,1.41205,1.43847,162130.13722608
1990-04-17,1.46488,1.46488,1.36834,1.41205,379668.51297475
1990-04-18,1.38584,1.41205,1.38584,1.41205,167773.57828863
1990-04-19,1.38584,1.41205,1.36834,1.41205,309379.26244936
1990-04-20,1.36834,1.38584,1.31552,1.34222,108255.59631938
1990-04-23,1.28911,1.34222,1.2628,1.28911,260121.99050228
1990-04-24,1.28911,1.36834,1.28911,1.28911,905046.3875149
1990-04-25,1.28911,1.31552,1.2453,1.28911,381208.27663263
1990-04-26,1.31552,1.31552,1.28911,1.28911,12824.623768982
1990-04-27,1.31552,1.31552,1.2628,1.31552,104665.51046966
1990-04-30,1.31552,1.31552,1.2628,1.2628,9746.1074602278
1990-05-01,1.2628,1.31552,1.2628,1.28911,22063.20571624
1990-05-02,1.31552,1.34222,1.2628,1.34222,244217.83941755
1990-05-03,1.36834,1.36834,1.34222,1.34222,38481.959362931
1990-05-04,1.36834,1.38584,1.34222,1.36834,61057.74562713
1990-05-07,1.36834,1.41205,1.36834,1.38584,183678.74038036
1990-05-08,1.38584,1.41205,1.36834,1.38584,101073.40260595
1990-05-09,1.38584,1.38584,1.38584,1.38584,31808.302169469
1990-05-10,1.41205,1.43847,1.38584,1.43847,410965.24560326
1990-05-11,1.43847,1.5351,1.43847,1.48218,752152.81022208
1990-05-14,1.48218,1.5351,1.46488,1.5351,320150.5310055
1990-05-15,1.48218,1.5351,1.46488,1.48218,533587.25136349
1990-05-16,1.5351,1.5351,1.48218,1.48218,197018.9777183
1990-05-17,1.48218,1.57901,1.48218,1.57901,491515.20615085
1990-05-18,1.56111,1.63145,1.5351,1.57901,798842.12439436
1990-05-21,1.56111,1.57901,1.5351,1.56111,1248799.8878946
1990-05-22,1.57901,1.57901,1.5083,1.5351,604389.08243685
1990-05-23,1.56111,1.65776,1.56111,1.65776,1785465.6555668
1990-05-24,1.65776,1.75409,1.65776,1.72799,1164656.8084762
1990-05-25,1.72799,1.72799,1.68417,1.68417,763952.27289513
1990-05-29,1.68417,1.72799,1.65776,1.68417,462271.82873518
1990-05-30,1.68417,1.72799,1.65776,1.68417,1561255.6446386
1990-05-31,1.68417,1.68417,1.63145,1.63145,134934.04898126
1990-06-01,1.63145,1.65776,1.63145,1.63145,783450.55385758
1990-06-04,1.63145,1.68417,1.63145,1.65776,815259.86703406
1990-06-05,1.63145,1.65776,1.46488,1.5083,947627.98025451
