Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,31.948,32.587,31.379,32.52,1290196
2005-02-28,32.989,33.023,31.85,32.118,960447
2005-03-01,32.171,33.581,32.164,33.54,1125098
2005-03-02,33.519,34.176,33.312,33.512,1158057
2005-03-03,33.512,33.855,32.69,33.326,967310
2005-03-04,33.224,33.258,32.386,32.406,1298696
2005-03-07,32.621,33.528,32.595,33.393,1484669
2005-03-08,33.023,33.393,31.582,31.75,5540035
2005-03-09,31.582,31.715,29.673,30.241,3896679
2005-03-10,30.241,30.798,30.072,30.66,1403838
2005-03-11,30.66,31.515,30.66,30.837,893489
2005-03-14,31.279,31.869,31.111,31.829,1194896
2005-03-15,32.017,33.393,32.017,33.123,2938169
2005-03-16,33.058,33.169,32.05,32.394,2228867
2005-03-17,32.224,32.821,32.077,32.527,1373260
2005-03-18,32.527,33.092,32.05,32.682,958062
2005-03-21,32.682,32.958,32.118,32.394,1743721
2005-03-22,32.394,32.533,31.08,31.169,1535227
2005-03-23,30.946,31.104,30.522,30.683,1388176
2005-03-24,30.743,31.08,30.513,30.843,828312
2005-03-28,30.711,31.111,30.513,30.829,557327
2005-03-29,30.504,30.612,29.435,29.502,2426180
2005-03-30,29.502,30.58,29.502,30.58,1427848
2005-03-31,30.305,30.643,29.869,30.174,1448580
2005-04-01,30.18,30.241,29.215,29.68,1668258
2005-04-04,29.435,29.435,28.73,28.737,2025592
2005-04-05,28.752,28.952,28.228,28.237,1826046
2005-04-06,28.262,29.57,28.262,29.369,1630824
2005-04-07,29.803,30.4,29.57,29.603,1752525
2005-04-08,29.703,29.852,29.0,29.121,1046053
2005-04-11,29.237,29.57,28.798,29.173,619821
2005-04-12,29.173,29.502,28.926,29.47,1170734
2005-04-13,29.47,30.072,29.335,29.502,1045460
2005-04-14,29.509,29.65,28.64,29.034,1760574
2005-04-15,28.865,28.974,27.089,27.389,2334308
2005-04-18,27.389,27.726,26.485,26.722,2048415
2005-04-19,27.425,27.425,26.65,26.687,2564879
2005-04-20,26.485,26.485,25.257,25.39,3554409
2005-04-21,25.62,25.942,24.407,25.065,3628233
2005-04-22,25.171,25.675,24.709,24.808,2656447
2005-04-25,24.908,25.285,24.808,24.984,1531203
2005-04-26,25.184,26.433,25.177,25.981,2623190
2005-04-27,26.043,26.186,25.326,25.78,1662590
2005-04-28,26.117,26.786,25.35,25.479,1517781
2005-04-29,25.78,25.793,24.842,25.11,1081547
2005-05-02,25.079,25.77,25.079,25.683,1510171
2005-05-03,24.474,25.079,24.027,24.206,4288914
2005-05-04,24.136,24.561,23.266,24.228,5087695
2005-05-05,24.392,24.392,23.502,23.831,1305707
2005-05-06,23.962,24.25,23.53,24.136,921971
2005-05-09,23.85,24.447,23.613,24.375,1008021
2005-05-10,24.206,24.573,23.87,23.984,1325543
2005-05-11,23.984,24.172,23.302,24.078,1329863
2005-05-12,23.931,23.957,23.481,23.534,1209362
2005-05-13,23.534,23.534,22.374,22.596,1785035
2005-05-16,22.469,22.939,22.195,22.765,1070518
2005-05-17,22.729,23.568,22.475,23.481,798637
2005-05-18,23.737,24.979,23.684,24.474,3628383
2005-05-19,24.507,24.979,24.339,24.942,1372068
2005-05-20,24.795,24.931,24.621,24.89,499162
2005-05-23,24.883,25.39,24.836,24.942,1461403
2005-05-24,24.808,25.138,24.481,24.646,1453801
2005-05-25,24.514,24.964,23.844,23.885,1263501
2005-05-26,23.938,24.676,23.938,24.621,1019365
2005-05-27,24.661,25.138,24.381,24.938,827270
2005-05-31,24.938,24.938,24.314,24.314,972974
2005-06-01,24.507,25.77,24.407,25.074,2017540
2005-06-02,25.146,26.015,24.641,26.015,1544324
2005-06-03,26.284,26.781,26.117,26.148,1502119
2005-06-06,26.09,26.231,25.343,25.613,834576
2005-06-07,25.647,26.114,24.979,25.146,1183560
2005-06-08,25.312,25.412,24.314,24.729,1386088
2005-06-09,24.641,24.942,24.274,24.776,1030249
2005-06-10,24.942,25.146,24.808,24.931,543906
2005-06-13,24.942,25.366,24.942,25.146,717055
2005-06-14,25.245,26.499,25.245,26.222,1375800
2005-06-15,26.306,26.421,25.654,25.816,2046325
2005-06-16,25.78,26.023,25.58,26.015,1341649
2005-06-17,26.015,26.786,26.015,26.786,2207840
2005-06-20,26.687,26.715,26.339,26.485,1277666
2005-06-21,26.499,26.687,26.015,26.015,764335
2005-06-22,25.948,26.368,25.763,26.278,746136
2005-06-23,26.306,26.306,24.814,25.146,1252907
2005-06-24,25.146,25.28,24.688,25.28,1195045
2005-06-27,25.28,25.28,24.421,24.769,1115848
2005-06-28,25.104,25.547,25.004,25.079,753893
2005-06-29,25.212,25.272,24.239,24.514,988039
2005-06-30,24.61,24.729,23.627,23.971,1596371
2005-07-01,24.136,24.507,23.77,24.308,682012
2005-07-05,24.151,24.676,24.073,24.573,340033
2005-07-06,24.641,24.676,24.324,24.495,463224
2005-07-07,23.938,24.568,23.87,24.568,864702
2005-07-08,24.637,25.312,24.541,25.285,830852
2005-07-11,25.343,25.527,25.043,25.381,798637
2005-07-12,25.381,25.647,25.285,25.519,604754
