Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-05-24,3.66207,3.66207,3.66207,3.66207,
2006-05-25,3.78369,4.32358,3.77422,4.3191,421067184.37896
2006-05-26,4.34692,4.38848,4.14126,4.21861,109748865.70941
2006-05-30,4.22231,4.22321,4.02323,4.13119,53144773.378821
2006-05-31,4.16449,4.25889,4.16449,4.21951,31954183.326022
2006-06-01,4.21861,4.51598,4.21573,4.46095,66400610.191836
2006-06-02,4.55356,4.5723,4.39327,4.41201,39676973.265113
2006-06-05,4.41749,4.62404,4.41291,4.61467,39607757.012311
2006-06-06,4.69273,4.75383,4.48817,4.53512,52236285.859836
2006-06-07,4.53791,4.54449,4.38948,4.46913,26640532.081042
2006-06-08,4.46913,4.48049,4.27195,4.48049,36679872.101351
2006-06-09,4.58168,4.58168,4.47661,4.48627,14242075.373405
2006-06-12,4.50661,4.53033,4.34692,4.40832,15492482.092704
2006-06-13,4.33774,4.4457,4.25331,4.27195,17803661.316118
2006-06-14,4.21573,4.26746,4.17276,4.23656,17010213.879672
2006-06-15,4.26258,4.33036,4.23745,4.31452,17573610.242352
2006-06-16,4.27195,4.3191,4.22499,4.22699,13079047.916128
2006-06-19,4.26746,4.26746,4.14026,4.16349,12257866.429316
2006-06-20,4.20067,4.22499,4.08154,4.13318,25340103.354962
2006-06-21,4.13318,4.30774,4.13119,4.25331,19238314.339271
2006-06-22,4.35658,4.40832,4.30774,4.37522,13886358.866738
2006-06-23,4.41201,4.50003,4.40084,4.40832,12367578.789443
2006-06-26,4.40832,4.46005,4.35938,4.46005,9122301.6623423
2006-06-27,4.46005,4.5093,4.43633,4.44211,10466437.574536
2006-06-28,4.39885,4.45039,4.36586,4.40912,9325728.1681347
2006-06-29,4.40832,4.51509,4.40832,4.50661,15412603.37304
2006-06-30,4.47371,4.50661,4.37522,4.50661,27653425.303864
2006-07-03,4.49734,4.50661,4.39496,4.44111,7486375.8935208
2006-07-05,4.45039,4.49175,4.38579,4.46913,14129180.022652
2006-07-06,4.43633,4.4457,4.39327,4.39416,8623871.211689
2006-07-07,4.38948,4.39885,4.29538,4.33036,8925261.2007728
2006-07-10,4.33774,4.37244,4.33036,4.36506,5301914.4059271
2006-07-11,4.36506,4.36506,4.25331,4.3519,8604667.9373316
2006-07-12,4.35658,4.35658,4.27564,4.27663,8171226.471124
2006-07-13,4.24185,4.24185,4.1595,4.19868,17706763.176679
2006-07-14,4.18901,4.19489,4.12192,4.1266,10291762.311828
2006-07-17,4.12292,4.14704,4.10776,4.1303,6878197.9725379
2006-07-18,4.1303,4.14026,4.10009,4.12192,13295258.548151
2006-07-19,4.12292,4.26746,4.11246,4.25141,16870671.891676
2006-07-20,4.26258,4.29827,4.23457,4.27663,9403487.2347289
2006-07-21,4.27663,4.27663,4.20347,4.25141,9064792.1541339
2006-07-24,4.26746,4.27474,4.22419,4.22499,5343448.772092
2006-07-25,4.24383,4.35658,4.24015,4.32648,7348971.6152701
2006-07-26,4.33226,4.49275,4.30016,4.3829,11010669.785656
2006-07-27,4.40344,4.42875,4.36764,4.36764,6400002.0330409
2006-07-28,4.36675,4.39416,4.34332,4.34692,4621345.2667065
2006-07-31,4.34692,4.35748,4.30584,4.30684,4917423.5837574
2006-08-01,4.31162,4.31162,4.19679,4.22499,7885770.4949899
2006-08-02,4.50581,4.69901,4.44211,4.69631,56846955.618748
