Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-10-13,5.07784,5.10417,5.00707,5.0511,584314.38169764
1993-10-14,5.01591,5.01591,4.85699,4.92755,857217.72656399
1993-10-15,4.92755,4.95418,4.87448,4.90102,649535.57757324
1993-10-18,4.90102,5.01591,4.90102,4.99811,1086412.5470091
1993-10-19,4.92755,5.18368,4.92755,5.13974,896173.15898995
1993-10-20,5.13974,5.13974,5.06918,5.08657,716350.52825842
1993-10-21,5.08657,5.11321,5.06918,5.08657,599484.23098054
1993-10-22,5.08657,5.08657,4.92755,4.92755,851329.68796192
1993-10-25,4.87448,4.90102,4.85699,4.85699,1249476.6044399
1993-10-26,4.87448,4.92755,4.85699,4.87448,973174.45670307
1993-10-27,4.87448,4.99811,4.87448,4.99811,522029.15585636
1993-10-28,4.99811,5.08657,4.95418,5.04274,1489770.3575268
1993-10-29,5.04274,5.04274,4.95418,4.97148,1111327.0398089
1993-11-01,4.92755,5.04274,4.92755,5.04274,478321.63759348
1993-11-02,5.01591,5.01591,4.95418,4.97148,416721.60558134
1993-11-03,4.97148,5.01591,4.87448,4.90102,885077.24482321
1993-11-04,4.87448,4.87448,4.68922,4.70701,514554.40555308
1993-11-05,4.66268,4.70701,4.60972,4.70701,731750.78780104
1993-11-08,4.70701,4.70701,4.63615,4.63615,330204.06229431
1993-11-09,4.68922,4.73345,4.63615,4.66268,467902.86798916
1993-11-10,4.68922,4.87448,4.68922,4.83055,933536.848923
1993-11-11,4.78671,4.80401,4.73345,4.78671,678978.78905865
1993-11-12,4.78671,4.83055,4.75988,4.80401,652029.84409657
1993-11-15,4.75988,4.78671,4.66268,4.70701,560983.58212398
1993-11-16,4.68922,4.70701,4.63615,4.68922,320464.44956907
1993-11-17,4.66268,4.66268,4.52156,4.56569,829362.23293812
1993-11-18,4.56569,4.56569,4.45088,4.47714,1095700.3946401
1993-11-19,4.47714,4.47714,4.40666,4.45088,688946.79972694
1993-11-22,4.40666,4.42425,4.30927,4.35349,576613.24576799
1993-11-23,4.35349,4.59182,4.3357,4.49511,1118120.6209165
1993-11-24,4.52156,4.56569,4.49511,4.49511,911798.79800059
1993-11-26,4.52156,4.53934,4.49511,4.53934,221499.72146552
1993-11-29,4.53934,4.56569,4.35349,4.35349,567783.20018155
1993-11-30,4.38013,4.59182,4.35349,4.59182,509125.17515375
1993-12-01,4.70701,4.80401,4.60972,4.73345,726540.89991971
1993-12-02,4.78671,4.90102,4.75988,4.90102,1522614.3841993
