Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-06-10,3.60122,3.67421,3.58667,3.63044,637386.952161
1983-06-13,3.60122,3.63044,3.53552,3.63044,676817.70717327
1983-06-14,3.65966,3.68878,3.63044,3.67421,634652.3762359
1983-06-15,3.645,3.71819,3.63044,3.70383,546489.24178212
1983-06-16,3.70383,3.91532,3.70383,3.90086,1236450.1951025
1983-06-17,3.93017,4.17079,3.93017,4.17079,1644400.1277214
1983-06-20,4.14177,4.30998,4.14177,4.25165,760053.52210697
1983-06-21,4.2366,4.29493,4.2366,4.26581,703100.13318354
1983-06-22,4.35366,4.41907,4.29493,4.41907,832880.66681869
1983-06-23,4.4775,4.4775,4.38248,4.39753,567300.48280024
1983-06-24,4.38248,4.39753,4.26581,4.29493,394259.77128672
1983-06-27,4.26581,4.28086,4.17079,4.20778,283103.83450058
1983-06-28,4.17079,4.20778,4.08324,4.11235,424925.65134498
1983-06-29,4.08324,4.11235,3.99559,4.0248,333477.97606814
1983-06-30,4.05392,4.05392,3.91532,3.94434,462710.57794728
1983-07-01,3.98093,4.0248,3.93017,3.99559,129779.51706417
1983-07-05,3.95958,3.98093,3.90086,3.98093,102399.19439994
1983-07-06,3.98093,4.01034,3.85719,3.87144,161535.16120857
1983-07-07,3.8863,3.98093,3.87144,3.90086,971967.90773798
1983-07-08,3.91532,3.91532,3.84223,3.8863,135249.68548536
1983-07-11,3.91532,3.91532,3.85719,3.90086,191651.07636888
1983-07-12,3.91532,3.98852,3.73255,3.73255,555800.01535016
1983-07-13,3.70383,3.70383,3.645,3.70383,732668.11658786
1983-07-14,3.84223,3.8863,3.67421,3.8863,207533.98129596
1983-07-15,3.8863,3.91532,3.84223,3.91532,131969.2109462
1983-07-18,3.91532,3.95958,3.8863,3.93017,239293.69172425
1983-07-19,3.90086,3.95958,3.90086,3.93017,293504.37215477
1983-07-20,3.98852,4.05392,3.94434,4.0248,474755.92744044
1983-07-21,4.0248,4.11235,3.95958,3.95958,357027.85929528
1983-07-22,3.93017,3.97385,3.90086,3.95958,347719.11886918
1983-07-25,3.95958,3.97385,3.93017,3.95958,93090.453973846
1983-07-26,3.95958,3.97385,3.91532,3.97385,455590.51483226
1983-07-27,3.94434,3.97385,3.93017,3.94434,236561.14894111
1983-07-28,3.8863,3.91532,3.70383,3.73255,731573.26964684
1983-07-29,3.645,3.74741,3.645,3.74741,560725.30172828
1983-08-01,3.71819,3.74741,3.53552,3.53552,445181.84461027
1983-08-02,3.56473,3.645,3.55017,3.5793,1143358.7245576
1983-08-03,3.5793,3.59355,3.53552,3.55017,639030.74742899
1983-08-04,3.46252,3.53552,3.39682,3.5065,1976236.3416634
1983-08-05,3.5065,3.59355,3.49174,3.49174,587009.76088052
1983-08-08,3.43341,3.47718,3.39682,3.41097,814260.13625358
1983-08-09,3.41097,3.43341,3.33819,3.39682,470924.47143237
1983-08-10,3.39682,3.43341,3.39682,3.41097,209722.65860701
1983-08-11,3.43341,3.52095,3.43341,3.52095,545397.44455403
1983-08-12,3.55017,3.60861,3.55017,3.5793,441355.47145708
1983-08-15,3.5793,3.67421,3.56473,3.65966,664219.34306923
1983-08-16,3.67421,3.68878,3.59355,3.65966,119371.86341315
1983-08-17,3.63044,3.85719,3.59355,3.82797,156061.94307445
1983-08-18,3.94434,3.95958,3.73255,3.77691,211916.41877295
1983-08-19,3.82797,3.82797,3.77691,3.77691,86518.322614811
1983-08-22,3.82797,3.91532,3.82797,3.91532,237649.89645627
1983-08-23,3.93017,3.97385,3.87144,3.94434,252981.81991442
1983-08-24,3.91532,3.91532,3.77691,3.77691,288023.02145285
1983-08-25,3.76206,3.77691,3.67421,3.71819,163730.95451645
1983-08-26,3.71819,3.71819,3.645,3.67421,158253.67009845
1983-08-29,3.65966,3.71819,3.645,3.67421,94737.298954764
1983-08-30,3.645,3.70383,3.645,3.65966,173585.59355659
1983-08-31,3.68878,3.8863,3.68878,3.8863,623154.95849874
1983-09-01,3.8863,3.8863,3.79128,3.8863,126491.92652819
1983-09-02,3.91532,3.95958,3.91532,3.95958,175229.38882459
1983-09-06,3.94434,3.98852,3.85719,3.8863,273792.04436156
1983-09-07,4.00316,4.03966,3.97385,3.98852,609463.78059565
1983-09-08,4.00316,4.06898,3.97385,4.05392,421096.22847886
1983-09-09,4.0248,4.06898,4.0248,4.06898,298979.62343083
1983-09-12,4.098,4.17079,4.08324,4.08324,329098.58830407
1983-09-13,4.098,4.15653,4.03966,4.12711,584274.16838444
1983-09-14,4.098,4.098,4.05392,4.06898,1503120.1432071
1983-09-15,4.06898,4.06898,4.00316,4.00316,181245.45585982
1983-09-16,4.00316,4.08324,4.00316,4.08324,152227.43735346
1983-09-19,4.098,4.12711,4.08324,4.11235,311575.95439291
1983-09-20,4.12711,4.2366,4.12711,4.18613,720622.7670947
1983-09-21,4.20029,4.29493,4.20029,4.2366,1053552.8114068
1983-09-22,4.2366,4.25165,4.20029,4.20029,379476.79615554
