Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.250251,0.257519,0.250251,0.257519,3959213.7186934
1970-01-05,0.257519,0.264542,0.257519,0.264542,3092607.2033379
1970-01-06,0.264542,0.264542,0.264542,0.264542,2735762.8269428
1970-01-07,0.264542,0.264542,0.264542,0.264542,3823273.4880384
1970-01-08,0.264542,0.264542,0.264542,0.264542,3143586.5691294
1970-01-09,0.264542,0.264542,0.257519,0.257519,4604928.2891942
1970-01-12,0.257519,0.257519,0.243051,0.243051,3449446.4960308
1970-01-13,0.243051,0.243051,0.2359,0.243051,3330497.0149118
1970-01-14,0.243051,0.243051,0.2359,0.243051,1410365.4044948
1970-01-15,0.243051,0.243051,0.2359,0.243051,2616818.4295262
1970-01-16,0.243051,0.243051,0.2359,0.2359,2293963.6861268
1970-01-19,0.2359,0.2359,0.228878,0.228878,1801187.2130003
1970-01-20,0.228878,0.2359,0.221689,0.2359,3993198.2679869
1970-01-21,0.2359,0.243051,0.2359,0.2359,1665252.0660474
1970-01-22,0.2359,0.2359,0.228878,0.228878,2752759.6769216
1970-01-23,0.228878,0.2359,0.228878,0.228878,2565843.1306965
1970-01-26,0.228878,0.228878,0.228878,0.228878,2378930.6514331
1970-01-27,0.228878,0.228878,0.228878,0.228878,2599831.7469518
1970-01-28,0.228878,0.228878,0.221689,0.221689,2616818.4295262
1970-01-29,0.221689,0.221689,0.214587,0.214587,4570941.7064198
1970-01-30,0.214587,0.221689,0.214587,0.221689,4163123.0479355
1970-02-02,0.221689,0.228878,0.221689,0.228878,5114695.5118569
1970-02-03,0.228878,0.243051,0.228878,0.2359,5658451.3507748
1970-02-04,0.2359,0.243051,0.2359,0.243051,2022087.2917784
1970-02-05,0.243051,0.243051,0.243051,0.243051,458792.94057346
1970-02-06,0.250251,0.257519,0.250251,0.257519,2073064.624089
1970-02-09,0.257519,0.264542,0.257519,0.257519,1308409.7231334
1970-02-10,0.257519,0.257519,0.250251,0.250251,1070518.8948189
1970-02-11,0.250251,0.250251,0.243051,0.250251,3296513.4823587
1970-02-12,0.250251,0.250251,0.243051,0.250251,917588.93136824
1970-02-13,0.250251,0.250251,0.243051,0.250251,985555.99647443
1970-02-16,0.250251,0.257519,0.250251,0.250251,594731.13774762
1970-02-17,0.250251,0.250251,0.243051,0.250251,1087507.6108742
1970-02-18,0.250251,0.257519,0.250251,0.257519,1495324.2358775
1970-02-19,0.257519,0.264542,0.257519,0.257519,4808830.5012532
1970-02-20,0.257519,0.257519,0.257519,0.257519,2361935.8349352
1970-02-24,0.257519,0.257519,0.250251,0.250251,2446898.7332798
1970-02-25,0.250251,0.264542,0.250251,0.264542,6117244.2913483
1970-02-26,0.264542,0.264542,0.257519,0.264542,2209001.8045227
1970-02-27,0.264542,0.264542,0.257519,0.264542,1733221.1646345
1970-03-02,0.264542,0.264542,0.257519,0.257519,1920133.6438979
1970-03-03,0.257519,0.264542,0.257519,0.264542,1614269.6500348
1970-03-04,0.264542,0.264542,0.257519,0.257519,1733221.1646345
1970-03-05,0.257519,0.257519,0.250251,0.257519,3075612.38684
1970-03-06,0.257519,0.257519,0.250251,0.257519,1818179.9960173
1970-03-09,0.257519,0.257519,0.250251,0.250251,1376378.8217204
1970-03-10,0.250251,0.264542,0.250251,0.257519,1461339.686584
1970-03-11,0.257519,0.264542,0.257519,0.257519,1733221.1646345
1970-03-12,0.257519,0.257519,0.250251,0.250251,1750214.9643919
1970-03-13,0.250251,0.250251,0.2359,0.2359,13084101.298294
1970-03-16,0.2359,0.2359,0.2359,0.2359,3670348.6082899
1970-03-17,0.2359,0.243051,0.2359,0.243051,1784195.4467238
1970-03-18,0.243051,0.250251,0.243051,0.250251,1104505.4775934
1970-03-19,0.250251,0.250251,0.221689,0.221689,6745962.0118703
1970-03-20,0.221689,0.228878,0.221689,0.221689,9804582.6324337
