Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-03-19,0.250694,0.265612,0.239568,0.243321,120312299.45712
1993-03-22,0.239568,0.239568,0.232035,0.232035,18171952.920435
1993-03-23,0.232035,0.239568,0.232035,0.232035,11091878.970487
1993-03-24,0.239568,0.239568,0.232035,0.239568,4894555.7420447
1993-03-25,0.243321,0.250694,0.239568,0.247023,5679871.195935
1993-03-26,0.250694,0.265612,0.247023,0.254476,11110155.806556
1993-03-29,0.262028,0.262028,0.254476,0.258257,9837802.7823992
1993-03-30,0.258257,0.265612,0.254476,0.262028,5089352.335302
1993-03-31,0.265612,0.265612,0.258257,0.265612,4437975.1759783
1993-04-01,0.262028,0.265612,0.258257,0.262028,1899377.9504505
1993-04-02,0.265612,0.265612,0.258257,0.265612,2544681.7386218
1993-04-05,0.265612,0.265612,0.258257,0.265612,590509.74449897
1993-04-06,0.262028,0.265612,0.258257,0.258257,1168848.4370021
1993-04-07,0.265612,0.265612,0.258257,0.265612,1826325.3029768
1993-04-08,0.265612,0.265612,0.258257,0.265612,1266250.278794
1993-04-12,0.265612,0.265612,0.262028,0.262028,249597.72725627
1993-04-13,0.265612,0.280827,0.262028,0.269443,2702959.098469
1993-04-14,0.269443,0.292012,0.269443,0.280827,8267172.887522
1993-04-15,0.284401,0.284401,0.265612,0.269443,4736276.35639
1993-04-16,0.273165,0.276749,0.269443,0.273165,2757750.1034299
1993-04-19,0.273165,0.273165,0.265612,0.265612,2234206.4675029
1993-04-20,0.265612,0.265612,0.258257,0.265612,3153459.2030564
1993-04-21,0.262028,0.284401,0.258257,0.276749,4230981.1952265
1993-04-22,0.280827,0.299269,0.273165,0.292012,3987476.0842947
1993-04-23,0.299269,0.306811,0.292012,0.306811,2495980.311274
1993-04-26,0.303237,0.314422,0.295586,0.310444,4705825.4296131
1993-04-27,0.310444,0.325609,0.306811,0.325609,3896164.8330195
1993-04-28,0.325609,0.347979,0.325609,0.344198,10556156.179333
1993-04-29,0.344198,0.347979,0.310444,0.329232,10976227.641027
1993-04-30,0.336843,0.347979,0.329232,0.347979,6970476.7464701
1993-05-03,0.344198,0.351751,0.344198,0.351751,2398577.4565783
1993-05-04,0.347979,0.351751,0.336843,0.336843,2155064.2424161
1993-05-05,0.336843,0.347979,0.336843,0.340417,1369738.6594876
1993-05-06,0.347979,0.347979,0.340417,0.347979,206982.8388101
1993-05-07,0.347979,0.37044,0.347979,0.366708,2532511.6995298
1993-05-10,0.366708,0.385594,0.366708,0.385594,7883642.9431219
1993-05-11,0.385594,0.385594,0.374408,0.385594,3804849.5301294
1993-05-12,0.385594,0.385594,0.377845,0.385594,2477712.5913385
1993-05-13,0.385594,0.385594,0.366708,0.366708,3439576.1637229
1993-05-14,0.366708,0.377845,0.366708,0.37044,3110841.2758987
1993-05-17,0.37044,0.385594,0.37044,0.381676,797496.63492424
1993-05-18,0.385594,0.396681,0.385594,0.396681,2581207.049455
1993-05-19,0.396681,0.396681,0.389178,0.389178,2684700.4946676
1993-05-20,0.400265,0.400265,0.389178,0.392762,1314949.6803343
1993-05-21,0.400265,0.400265,0.389178,0.400265,493105.87689942
1993-05-24,0.396681,0.396681,0.37044,0.374408,2124628.5091961
1993-05-25,0.374408,0.377845,0.374408,0.377845,1564549.4333981
1993-05-26,0.374408,0.385594,0.374408,0.385594,541803.25263211
1993-05-27,0.377845,0.385594,0.374408,0.381676,2142885.0871899
1993-05-28,0.374408,0.381676,0.374408,0.381676,298300.16750792
1993-06-01,0.374408,0.381676,0.374408,0.374408,584424.21850104
1993-06-02,0.381676,0.381676,0.374408,0.374408,176547.10559013
1993-06-03,0.374408,0.381676,0.374408,0.374408,560076.0370866
1993-06-04,0.374408,0.381676,0.344198,0.351751,3628303.437443
1993-06-07,0.351751,0.359254,0.347979,0.359254,3147368.6125395
1993-06-08,0.351751,0.351751,0.318095,0.333013,6733059.1873439
1993-06-09,0.344198,0.351751,0.333013,0.344198,3031705.1282348
1993-06-10,0.344198,0.355582,0.344198,0.351751,541803.25263211
1993-06-11,0.366708,0.385594,0.359254,0.385594,1795887.5439493
1993-06-14,0.385594,0.400265,0.377845,0.396681,9588219.2357961
1993-06-15,0.400265,0.404096,0.392762,0.400265,2824718.2378095
1993-06-16,0.404096,0.437939,0.400265,0.434207,6611305.1125223
1993-06-17,0.430328,0.434207,0.426506,0.434207,7798405.0629992
1993-06-18,0.426506,0.434207,0.426506,0.434207,1181020.5019017
1993-06-21,0.441563,0.467665,0.430328,0.460162,2562952.4972687
1993-06-22,0.467665,0.50143,0.452797,0.456628,5941644.0268024
