Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1994-11-15,13.4918,13.4918,13.3892,13.3892,63394.271674799
1994-11-16,13.4361,13.4918,13.3892,13.3892,414820.61053654
1994-11-17,13.4361,13.4361,13.2837,13.3395,333315.55496529
1994-11-18,13.3395,13.3892,13.2408,13.3395,300183.25525122
1994-11-21,13.3892,13.4361,13.3892,13.4361,147329.76572159
1994-11-22,13.4918,13.4918,13.1284,13.1284,358832.1460182
1994-11-23,13.0277,13.0277,12.7669,12.974,439782.8205818
1994-11-25,12.974,13.0816,12.974,13.0816,34679.946693744
1994-11-28,13.0816,13.0816,12.974,12.974,72565.661822993
1994-11-29,12.974,13.0277,12.6115,12.7232,235907.19639397
1994-11-30,12.7669,12.9303,12.7232,12.9303,1057598.2724372
1994-12-01,12.8795,13.2837,12.8795,13.1841,415707.41928609
1994-12-02,13.1841,13.3395,13.1284,13.3395,241316.42847218
1994-12-05,13.3892,13.3892,13.0816,13.0816,351208.40284968
1994-12-06,13.0816,13.0816,12.974,13.0277,215363.96539514
1994-12-07,13.0277,13.0277,12.8795,12.9303,143686.11663512
1994-12-08,12.8795,12.974,12.5658,12.6115,301728.89360406
1994-12-09,12.5658,12.7232,12.5121,12.7232,154069.71308082
1994-12-12,12.7232,12.7232,12.5121,12.6674,183117.4701172
1994-12-13,12.7232,12.982,12.7232,12.9303,531338.04054344
1994-12-14,13.0277,13.2927,13.0277,13.1841,359601.45009765
1994-12-15,13.1841,13.1841,12.982,13.0816,179025.89724557
1994-12-16,13.1374,13.2927,13.0277,13.2408,297423.40197403
1994-12-19,13.2927,13.2927,13.1374,13.1841,190401.75534988
1994-12-20,13.1841,13.2408,13.1374,13.1841,283506.63091802
1994-12-21,13.2408,13.4461,13.2408,13.3444,254460.88250849
1994-12-22,13.5008,13.5555,13.3444,13.3892,306590.77486855
1994-12-23,13.5555,13.5555,13.4461,13.5008,47820.383476373
1994-12-27,13.5008,13.5555,13.4461,13.5555,65713.231360759
1994-12-28,13.5008,13.5555,13.4461,13.5008,154950.49594985
1994-12-29,13.5008,13.6532,13.5008,13.6013,118725.9152167
1994-12-30,13.6013,13.7079,13.5555,13.5555,165884.45614952
1995-01-03,13.6013,13.8064,13.6013,13.7079,240767.06903163
1995-01-04,13.7626,13.8064,13.5555,13.6532,209063.90731372
1995-01-05,13.6532,13.7626,13.6013,13.7079,99398.907769054
1995-01-06,13.7079,13.8064,13.6013,13.7079,236236.61119561
1995-01-09,13.7079,13.7079,13.5555,13.6532,145453.70825369
1995-01-10,13.6013,13.6013,13.5008,13.5008,207633.76500415
1995-01-11,13.5555,13.5555,13.2408,13.2927,160031.31753983
1995-01-12,13.3892,13.4461,13.2927,13.4461,142803.32513925
1995-01-13,13.4461,13.6532,13.4461,13.6532,110776.7745002
1995-01-16,13.5008,13.7626,13.5008,13.6532,220664.73162403
1995-01-17,13.6532,13.7079,13.6013,13.6013,59417.190533007
1995-01-18,13.7626,14.1261,13.7079,14.1261,603571.27462453
1995-01-19,14.1261,14.3779,14.1261,14.2247,493459.35560813
1995-01-20,14.2785,14.3312,14.1261,14.1261,120713.45147417
1995-01-23,14.1261,14.2785,14.0145,14.2785,492573.551172
1995-01-24,14.2785,14.4895,14.0145,14.2785,1580761.2017447
1995-01-25,14.1738,14.6389,14.1261,14.5403,659566.7693368
1995-01-26,14.5403,14.7971,14.5403,14.6966,276221.34137193
1995-01-27,14.7971,14.85,14.6966,14.85,142252.96138529
1995-01-30,14.7504,14.85,14.6966,14.85,154174.16167646
1995-01-31,14.85,15.3179,14.85,15.3179,782484.68876709
1995-02-01,15.3656,15.4206,15.1575,15.2642,518528.02287587
1995-02-02,15.1575,15.3656,15.1575,15.3179,1490868.1204926
1995-02-03,15.3179,15.4206,15.3179,15.3656,196697.79617763
1995-02-06,15.2642,15.3656,15.2642,15.3179,161135.05798802
1995-02-07,15.3179,15.3656,15.2642,15.3179,52566.768697612
1995-02-08,15.3179,15.4206,15.3179,15.4206,177700.20353164
1995-02-09,15.4206,15.529,15.2642,15.3179,162239.80274963
1995-02-10,15.3179,15.529,15.3179,15.529,234689.96852936
1995-02-13,15.529,15.6267,15.4753,15.6267,176157.57811906
1995-02-14,15.6267,15.6824,15.6267,15.6824,321827.21375798
1995-02-15,15.7281,15.8885,15.7281,15.8337,352866.52430551
1995-02-16,15.8885,15.8885,15.8337,15.8885,229389.20230048
1995-02-17,15.8337,15.8337,15.5748,15.5748,274009.84322187
1995-02-21,15.529,15.529,15.4206,15.4206,185763.83597797
1995-02-22,15.4753,15.529,15.4753,15.529,187308.47001738
1995-02-23,15.4206,15.5748,15.4206,15.529,306367.81728939
1995-02-24,15.529,15.529,15.4753,15.4753,87139.253855454
1995-02-27,15.4206,15.4206,15.2642,15.2642,122813.47083465
1995-02-28,15.2642,15.3179,15.1575,15.3179,720416.11080622
1995-03-01,15.3179,15.7281,15.3179,15.6824,2133974.1928814
1995-03-02,15.6824,15.6824,15.4753,15.6267,135843.43314111
1995-03-03,15.6267,15.6824,15.5748,15.6267,251810.49939404
1995-03-06,15.529,15.529,15.2642,15.4753,187419.94880695
1995-03-07,15.3656,15.3656,15.1575,15.2642,228614.87665394
1995-03-08,15.2105,15.3179,15.1575,15.2105,59198.250207525
1995-03-09,15.2105,15.3179,15.1148,15.1575,104698.66968452
1995-03-10,15.1575,15.2642,15.1148,15.1148,70791.040010481
1995-03-13,15.1148,15.2105,15.1148,15.2105,87139.253855454
1995-03-14,15.3179,15.3179,15.1575,15.2105,144683.39986082
1995-03-15,15.2105,15.6267,15.1575,15.5748,236124.12809261
1995-03-16,15.5748,15.5748,15.4753,15.4753,145894.60184492
1995-03-17,15.4753,15.8885,15.4753,15.7849,241098.49246011
1995-03-20,15.8337,15.9352,15.8337,15.9352,154286.64477946
1995-03-21,15.9352,16.3066,15.9352,16.1005,467723.82422973
1995-03-22,16.0448,16.1982,16.0448,16.1005,163123.59855892
1995-03-23,16.1443,16.3066,16.1443,16.3066,260200.53370176
1995-03-24,16.3066,16.8205,16.3066,16.7158,393396.59666869
1995-03-27,16.8205,16.924,16.7687,16.8772,106137.85081486
1995-03-28,16.8772,16.8772,16.7687,16.7687,85039.234494978
1995-03-29,16.7687,16.7687,16.4093,16.461,54890.74995067
1995-03-30,16.461,16.8205,16.4093,16.8205,118614.43642711
1995-03-31,16.6164,16.8772,16.6164,16.7687,164671.24553859
1995-04-03,16.7158,16.7687,16.6691,16.7158,183777.30403391
1995-04-04,16.6164,16.7158,16.4093,16.6164,121595.23865662
1995-04-05,16.6691,16.8205,16.6691,16.7687,112542.35749194
1995-04-06,16.7158,16.8205,16.6691,16.6691,208735.49682549
1995-04-07,16.5596,16.6691,16.5596,16.6691,104588.19520835
1995-04-10,16.6164,16.6164,16.5067,16.6164,126784.52609592
1995-04-11,16.6164,16.8205,16.461,16.461,149316.29766564
1995-04-12,16.461,16.5596,16.461,16.5596,70240.676256516
1995-04-13,16.5596,16.5596,16.3525,16.4093,88684.892208287
1995-04-17,16.3525,16.4093,16.0448,16.1443,110993.70619885
1995-04-18,16.1005,16.1005,15.7849,15.7849,161135.05798802
1995-04-19,15.7849,15.8337,15.4753,15.6824,136066.39072027
1995-04-20,15.7281,16.0448,15.6267,15.9901,145121.28051179
1995-04-21,15.9901,16.3066,15.9901,16.2529,85486.15396672
