Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-10-03,12.2302,12.392,11.7506,11.826,1781525.5227516
2000-10-04,12.0713,12.0713,11.5858,11.7506,1503320.4323162
2000-10-05,11.7506,11.8012,11.406,11.5331,1465582.2773267
2000-10-06,11.5062,11.6374,11.0317,11.0317,1028600.3855145
2000-10-09,11.127,11.127,10.4637,10.4637,1154237.4631487
2000-10-10,10.4796,10.7744,9.87288,10.2213,1347765.3526999
2000-10-11,10.1369,10.3227,9.81231,10.3227,1328894.2609996
2000-10-12,10.3515,10.7327,10.2473,10.699,1316698.2464574
2000-10-13,10.699,10.997,10.699,10.9155,719559.82247382
2000-10-16,10.8886,11.261,10.7744,11.1608,879717.36174808
2000-10-17,11.1608,11.1608,10.4031,10.5441,974524.00229062
2000-10-18,10.5163,10.5441,9.70805,9.97712,1114659.3313987
2000-10-19,10.0902,10.7744,10.0902,10.3227,1622285.4541006
2000-10-20,10.2978,10.4637,10.274,10.3227,472650.45060981
2000-10-23,10.3515,10.5441,10.3227,10.5163,903878.76429813
2000-10-24,10.6236,10.997,10.5957,10.9413,574820.01950229
2000-10-25,10.9155,11.0317,10.7744,10.9155,794575.88648722
2000-10-26,10.8638,11.1608,10.8638,11.1081,872127.83527494
2000-10-27,11.0714,11.3424,11.0714,11.3236,591155.2264283
2000-10-30,11.3236,11.5331,11.3236,11.4238,1064728.1831752
2000-10-31,11.406,11.4238,11.0714,11.2868,1288855.8832838
2000-11-01,11.3236,11.3424,11.0714,11.1608,693787.05549211
2000-11-02,11.0714,11.1608,10.9413,11.0484,516141.17662044
2000-11-03,10.8886,11.2094,10.8886,11.0484,481623.73628864
2000-11-06,11.0714,11.2094,10.997,11.0484,603583.88171028
2000-11-07,11.1608,11.2094,10.997,11.0714,766500.88257377
2000-11-08,10.8886,11.1081,10.8886,11.0317,362888.33393587
2000-11-09,10.8638,11.127,10.8638,11.1081,302598.12662235
2000-11-10,11.1081,11.2372,10.969,11.0484,577125.27774235
2000-11-13,11.0484,11.127,10.969,11.0484,815514.56017393
2000-11-14,11.0484,11.2372,11.0484,11.127,617617.85880731
2000-11-15,11.0484,11.0484,10.9155,10.969,578957.1976806
2000-11-16,10.988,11.0484,10.8807,10.9065,669627.66714761
2000-11-17,11.0227,11.1508,10.9413,11.0981,1033198.8167614
2000-11-20,11.0484,11.1508,10.8807,11.0634,531326.27218334
2000-11-21,10.969,11.127,10.8807,11.0227,666406.95248982
2000-11-22,10.988,11.0227,10.8807,10.9065,346551.11280433
2000-11-24,10.9065,11.0227,10.9065,10.9413,175117.04381673
2000-11-27,10.969,11.127,10.8807,10.8807,591387.86716811
2000-11-28,10.8807,11.1786,10.8807,10.9413,654667.15550237
2000-11-29,10.8559,11.0634,10.8559,11.0227,514992.07236011
2000-11-30,11.0634,11.3147,10.8559,11.1508,582643.19381802
2000-12-01,11.0981,11.261,11.0227,11.261,477943.78276783
2000-12-04,11.261,11.3971,11.1508,11.3147,451481.15038881
2000-12-05,11.261,11.6115,11.261,11.4487,328598.49883005
2000-12-06,11.3971,11.7674,11.3971,11.4238,306736.31190343
2000-12-07,11.4487,11.5331,11.3147,11.3147,251741.45095347
2000-12-08,11.3147,11.7674,11.2789,11.6285,480011.3647542
2000-12-11,11.6115,11.6542,11.5331,11.5331,546513.38195179
2000-12-12,11.5509,11.6115,11.3971,11.4964,553184.43069889
2000-12-13,11.5331,11.5768,11.4735,11.4964,588623.37006505
2000-12-14,11.4964,11.7933,11.4735,11.6115,545136.67246548
