Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-10-02,19.1711,19.1929,18.9716,18.9815,2679737.6314297
2006-10-03,19.0516,19.1543,18.9469,18.9944,2574002.8338577
2006-10-04,18.9469,19.2215,18.857,19.1494,4294102.9475198
2006-10-05,19.1267,19.2274,18.9815,19.0576,2684723.7369846
2006-10-06,19.0852,19.3371,18.9667,19.182,2918950.221603
2006-10-09,19.0852,19.269,18.9578,19.2028,2400986.4897156
2006-10-10,19.2334,19.3756,19.0694,19.3756,3222888.0301178
2006-10-11,19.3697,19.3697,19.2334,19.3005,2689957.8823081
2006-10-12,19.3045,19.7184,19.2502,19.3934,3102431.8191707
2006-10-13,19.4102,19.4664,19.1494,19.2334,2328587.2246521
2006-10-16,19.1711,19.3045,19.1435,19.2748,2710764.8754783
2006-10-17,19.1267,19.2748,19.028,19.1711,1632982.472445
2006-10-18,19.1929,19.263,19.1385,19.1662,2653094.1106405
2006-10-19,19.0328,19.2392,18.9341,19.186,3327528.4154858
2006-10-20,19.1069,19.1435,18.9944,19.0852,2488343.0590364
2006-10-23,19.1307,19.5821,19.1267,19.5208,6071023.4039555
2006-10-24,18.8472,19.1435,18.1498,19.0131,12310810.029325
2006-10-25,18.9469,19.1494,18.5261,19.0012,11271719.805397
2006-10-26,18.9775,18.9815,18.4985,18.5459,4515305.8256697
2006-10-27,18.4719,18.7227,18.4353,18.6052,3392750.725772
2006-10-30,18.5093,18.6793,18.4817,18.6664,1657557.6452852
2006-10-31,18.6052,18.6793,18.456,18.4985,2508913.1489173
2006-11-01,18.5261,18.6773,18.4441,18.4777,3070676.6543315
2006-11-02,18.4777,18.5035,18.3474,18.5035,2687405.6037084
2006-11-03,18.5617,18.5884,18.2367,18.2605,4457390.0582849
2006-11-06,18.3365,18.384,18.2367,18.3582,2894853.9173774
2006-11-07,18.3582,18.5834,18.3266,18.4887,2621823.8888593
2006-11-08,18.0026,18.5666,18.0026,18.4777,3792080.5797069
2006-11-09,18.4777,18.6052,18.3306,18.3632,1624098.599096
2006-11-10,18.4106,18.5261,18.3533,18.4175,1554745.6673552
2006-11-13,18.5035,18.7405,18.3898,18.7139,3163023.3788359
2006-11-14,18.7139,18.9529,18.6496,18.9529,3271798.4352873
2006-11-15,18.9529,19.0635,18.864,18.9844,3422434.5054407
2006-11-16,19.0852,19.2028,18.9341,19.1435,2934523.0694496
2006-11-17,19.0328,19.1197,18.94,19.0635,2742645.5788127
2006-11-20,18.9578,19.1929,18.9578,19.1197,1781667.6338867
