Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,35.4749,35.6639,34.975,35.002,2105041.9712225
2005-02-28,34.896,35.275,34.1332,35.04,2423425.4161597
2005-03-01,35.04,35.6169,34.859,35.5589,2182734.2569371
2005-03-02,35.5399,36.0419,35.201,35.7859,1617519.6028026
2005-03-03,35.7859,35.9579,35.5499,35.7499,2388074.3709791
2005-03-04,35.382,35.5029,34.633,35.5029,3597244.1442062
2005-03-07,35.192,36.2318,35.192,36.0599,1722097.48607
2005-03-08,35.9479,36.1458,34.67,34.843,2744559.3314391
2005-03-09,34.955,35.069,34.0852,34.2282,2034550.9169494
2005-03-10,34.3222,34.595,33.6133,33.8582,2092767.8722988
2005-03-11,34.0852,34.824,34.0652,34.3312,1386782.145706
2005-03-14,34.3312,34.879,34.1432,34.869,1367514.8509157
2005-03-15,35.192,36.4397,35.097,36.3897,3698008.3753226
2005-03-16,36.0869,36.1268,35.372,35.5879,2154792.4787731
2005-03-17,35.8809,36.1068,35.6069,35.8429,1029024.9676912
2005-03-18,36.0769,36.3717,35.382,35.8329,1292788.0723155
2005-03-21,35.7589,36.0419,35.41,35.8429,1296176.6517772
2005-03-22,35.8429,36.0149,35.5299,35.5499,1560364.8290907
2005-03-23,35.069,35.078,34.1612,34.1712,3258329.1882923
2005-03-24,34.1992,34.936,33.8202,34.623,1756815.4229864
2005-03-28,34.5021,35.031,34.1712,34.3692,1428907.3492968
2005-03-29,34.1522,34.1522,32.5955,33.1793,3967067.3855696
2005-03-30,33.2813,34.0092,33.0763,33.4423,2156697.8045919
2005-03-31,33.4423,33.6992,33.0863,33.4523,1948181.1473475
2005-04-01,33.5173,33.5273,32.8023,33.2433,2274604.9672234
2005-04-04,33.2533,33.4623,32.5665,33.3203,2585367.108885
2005-04-05,33.4343,33.9162,32.9533,33.0483,1958339.8845353
2005-04-06,33.3483,33.5843,33.1133,33.2083,929951.0256214
2005-04-07,33.6802,35.173,33.6802,34.2552,4904850.7505546
2005-04-08,34.3312,34.738,33.4143,34.4252,3147403.219475
2005-04-11,34.4821,34.843,34.3222,34.3872,1720615.2325983
2005-04-12,34.4351,35.002,34.3782,34.945,1183344.35697
2005-04-13,35.429,36.2518,35.333,35.449,3920918.4939108
2005-04-14,35.5879,35.6459,34.4621,34.719,2157541.9489443
2005-04-15,34.4821,34.595,33.2713,33.3863,3314638.8174809
2005-04-18,33.5643,33.7172,32.7843,32.9433,3265948.4912259
2005-04-19,34.0092,34.4062,32.3795,32.5375,6502896.0231631
2005-04-20,32.5475,32.5475,31.5096,31.6996,5958010.8454563
2005-04-21,31.8585,32.9823,31.8585,32.4415,3067174.5000192
2005-04-22,32.7355,33.0673,30.9258,31.5096,4334346.1918235
2005-04-25,31.7466,32.9533,31.6606,32.7843,3162645.8260262
2005-04-26,32.6695,34.0852,32.6695,33.3483,3182755.2648267
2005-04-27,33.3483,33.3483,32.2815,32.9243,2137008.4376257
2005-04-28,32.8773,33.3203,32.2725,32.5175,2823305.7974231
2005-04-29,33.0193,33.2273,32.1245,32.9823,2491166.0000906
2005-05-02,33.0673,33.4243,32.8313,33.0673,1665785.8565394
2005-05-03,32.1995,32.8023,31.8775,32.1695,2162410.7815356
2005-05-04,32.0095,33.8672,31.2246,33.5173,3790518.1948992
2005-05-05,33.7552,33.9642,33.0763,33.4243,1610962.4815067
2005-05-06,34.0092,34.0092,33.4823,33.6702,1439065.0863134
2005-05-09,33.0673,33.3203,32.8313,33.0863,1915156.4999909
2005-05-10,33.0673,33.0673,32.2625,32.4605,1563543.3726353
2005-05-11,32.5475,32.6875,31.4906,32.3605,4951847.7872498
2005-05-12,32.3105,32.4415,31.3966,31.5686,2646754.6064108
2005-05-13,31.6606,32.1695,30.7718,31.5586,3512145.5919879
2005-05-16,31.4326,32.7843,31.2926,32.7843,2787953.7520715
2005-05-17,32.6695,33.4243,32.4795,33.3583,1975698.8529934
2005-05-18,33.2533,34.709,33.2533,33.7262,3328187.1343013
2005-05-19,33.9642,35.135,33.7462,34.579,2712589.8645229
2005-05-20,34.738,34.777,34.1032,34.4162,1235844.3346917
2005-05-23,34.2942,34.5021,33.7732,34.2372,957154.67756278
2005-05-24,33.8392,34.3412,33.7362,34.0752,1287814.2217657
2005-05-25,34.2462,34.541,33.5743,33.7262,1315120.8913235
2005-05-26,33.7462,34.4821,33.7462,34.3782,2125682.5008417
2005-05-27,34.579,35.429,34.3222,34.4821,2306254.3794088
2005-05-31,34.767,36.2708,34.4521,35.9879,3302996.8266504
2005-06-01,35.9009,36.9387,35.6269,36.0419,3118190.2239272
2005-06-02,36.1368,36.6837,35.9009,36.5727,1360847.7108061
2005-06-03,36.8467,38.3654,36.8267,37.5516,4065078.1458307
2005-06-06,37.4136,37.6296,36.5157,36.9107,2605052.4751672
2005-06-07,37.4136,38.1584,36.5257,36.5257,3199057.0525024
2005-06-08,37.0347,37.8945,36.8467,37.3846,2397490.9812598
2005-06-09,37.5516,39.5392,37.1307,39.5392,3626350.1214532
2005-06-10,38.6874,39.8421,38.5474,38.9044,2739583.4805472
2005-06-13,38.7364,39.3113,38.5924,39.1703,1672031.9246438
