Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,10.745,10.8693,10.3949,10.7689,68374.275395085
2005-02-28,10.8435,10.8435,10.1841,10.2259,98936.121553725
2005-03-01,10.4814,10.4814,10.3104,10.3532,90552.352076155
2005-03-02,10.3532,10.3621,10.2507,10.3532,51074.832619649
2005-03-03,10.1761,10.3442,9.82507,9.85888,112022.56431585
2005-03-04,9.79225,10.0091,9.79225,9.85888,38915.450958309
2005-03-07,9.92254,9.97421,9.77434,9.83302,25903.414401673
2005-03-08,9.7833,10.0876,9.43173,9.58837,75593.68830573
2005-03-09,9.47499,9.56052,9.19661,9.54362,92418.540148879
2005-03-10,9.54362,9.84994,9.54362,9.68285,81166.109803054
2005-03-11,9.60527,9.87778,9.24903,9.52472,48150.869841912
2005-03-14,9.4909,9.70672,9.44068,9.66594,131760.31855484
2005-03-15,9.75644,9.75644,9.40696,9.48294,74755.11026012
2005-03-16,9.39772,9.64804,9.37166,9.4909,207563.14862734
2005-03-17,9.4909,9.63909,9.37166,9.44913,50802.345029289
2005-03-18,9.33635,9.62318,9.33635,9.44068,57146.982280844
2005-03-21,9.42487,9.56947,9.1444,9.23123,65294.461781534
2005-03-22,9.13605,9.57843,9.12759,9.42487,34067.987219839
2005-03-23,9.29269,9.37166,8.96459,9.05887,44545.185343643
2005-03-24,9.04237,9.12759,8.87031,8.98199,81530.096916376
2005-03-28,8.8524,9.00924,8.64544,8.8524,94022.295523875
2005-03-29,8.80079,8.95594,8.41282,8.52481,54401.996591978
2005-03-30,8.36975,8.55056,7.92112,8.31804,204425.01663651
2005-03-31,8.20576,9.87778,8.20576,9.63909,508279.85005504
2005-04-01,10.4288,11.2105,10.2507,11.1568,398757.93753707
2005-04-04,11.2462,11.2462,10.4377,11.0095,108784.88888795
2005-04-05,11.0345,11.0424,10.4725,10.4725,127704.1748666
2005-04-06,10.4288,10.57,10.3343,10.3532,104343.64281186
2005-04-07,10.4377,10.5083,10.1393,10.387,94915.169989704
