Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-12-30,3.95728,4.06735,3.93396,3.99659,1587123.4526579
1987-12-31,3.95728,4.0749,3.93396,4.0749,1435057.3074394
1988-01-04,4.09862,4.19291,4.09862,4.16154,2449839.8148914
1988-01-05,4.16908,4.23965,4.16908,4.20095,959763.07408869
1988-01-06,4.17742,4.20095,4.12988,4.16154,2141887.9619016
1988-01-07,4.13802,4.14606,4.05157,4.14606,994146.18980354
1988-01-08,4.12988,4.12988,3.79272,3.79272,925377.94330522
1988-01-11,3.83193,3.87897,3.79272,3.87897,1135515.3432989
1988-01-12,3.89446,3.91818,3.7689,3.91818,829092.9273851
1988-01-13,3.9809,4.06735,3.89446,3.98904,728988.34891223
1988-01-14,4.03579,4.03579,3.94954,3.95728,773310.79055239
1988-01-15,4.06735,4.14606,4.02021,4.02021,728988.34891223
1988-01-18,4.02021,4.10646,4.01247,4.10646,599087.95841816
1988-01-19,4.08294,4.1145,4.02021,4.02021,1002556.0786529
1988-01-20,4.00433,4.06735,4.00433,4.05157,945246.51981278
1988-01-21,4.08294,4.29484,4.00433,4.14606,1380806.6227512
1988-01-22,4.14606,4.20849,4.1145,4.20849,553239.10230493
1988-01-25,4.16908,4.19291,4.1145,4.14606,984981.65775929
1988-01-26,4.16908,4.16908,4.14606,4.16908,466123.6561006
1988-01-27,4.14606,4.14606,4.08294,4.12988,1131694.7732118
1988-01-28,4.14606,4.14606,4.10646,4.13802,3275882.9359332
1988-01-29,4.14606,4.16154,4.10646,4.13802,1386149.5771742
1988-02-01,4.16908,4.23221,4.16908,4.19291,1231037.6557497
1988-02-02,4.19291,4.19291,4.13802,4.17742,483707.14480292
1988-02-03,4.20849,4.23221,4.16154,4.20095,852016.34790741
1988-02-04,4.27141,4.27141,4.13802,4.14606,1169902.489151
1988-02-05,4.13802,4.14606,4.08294,4.08294,788594.07843491
1988-02-08,4.06735,4.16154,4.06735,4.1145,511975.53481675
1988-02-09,4.12988,4.16154,4.06735,4.12988,612080.11328961
1988-02-10,4.16154,4.20095,4.08294,4.20095,1564199.0246013
1988-02-11,4.20849,4.23221,4.12988,4.14606,1544329.4405594
1988-02-12,4.12988,4.20095,4.12988,4.16908,807699.95147309
1988-02-16,4.12988,4.16154,4.12988,4.14606,631945.66719425
1988-02-17,4.13802,4.16154,4.10646,4.10646,641882.97805095
1988-02-18,4.09862,4.14606,4.09862,4.09862,422568.95560135
1988-02-19,4.12988,4.20849,4.1145,4.20849,1242493.3208049
1988-02-22,4.20095,4.35766,4.20095,4.33434,943718.0902711
1988-02-23,4.43647,4.49901,4.33434,4.39688,1075909.6137762
1988-02-24,4.35766,4.40491,4.33434,4.35766,274325.39553849
1988-02-25,4.3655,4.40491,4.20849,4.23221,656397.51725825
1988-02-26,4.23221,4.26337,4.19291,4.24799,927670.08385059
1988-02-29,4.24799,4.39688,4.24799,4.37394,1033889.3880245
1988-03-01,4.39688,4.39688,4.27935,4.33434,1461039.6021137
1988-03-02,4.35766,4.3655,4.29484,4.34218,1007136.3296063
1988-03-03,4.35766,4.3655,4.33434,4.34218,1239441.4993931
1988-03-04,4.34218,4.45205,4.29484,4.42824,2313822.6836276
1988-03-07,4.49901,4.58556,4.46754,4.53066,1283759.9108961
1988-03-08,4.54615,4.58556,4.49901,4.56193,533369.51826306
1988-03-09,4.62505,4.64044,4.56193,4.58556,962819.93317205
1988-03-10,4.61692,4.61692,4.52282,4.52282,1438117.1891256
1988-03-11,4.54615,4.58556,4.48333,4.55389,2034146.2733918
1988-03-14,4.57742,4.62505,4.55389,4.60888,604436.9580469
1988-03-15,4.60888,4.61692,4.56193,4.58556,479881.53704434
1988-03-16,4.5934,4.5934,4.52282,4.56193,782482.37533679
1988-03-17,4.58556,4.58556,4.53066,4.56193,1451871.0399322
1988-03-18,4.56193,4.56193,4.39688,4.49146,1690283.8826799
1988-03-21,4.42079,4.42824,4.35766,4.39688,1020129.4920122
1988-03-22,4.42079,4.42079,4.35766,4.37394,468420.8343175
1988-03-23,4.35766,4.35766,4.26337,4.3265,1676531.0394076
1988-03-24,4.30318,4.30318,4.16154,4.20849,1183656.3399575
1988-03-25,4.23965,4.27141,4.19291,4.20095,966638.4881905
1988-03-28,4.20849,4.23221,4.16908,4.16908,3842873.8739762
1988-03-29,4.19291,4.19291,4.13802,4.16154,2294719.8331924
1988-03-30,4.16154,4.16908,4.08294,4.09862,2356614.6806575
1988-03-31,4.08294,4.16154,4.0749,4.14606,2614895.0923784
1988-04-04,4.14606,4.20849,4.12988,4.16154,1010957.9072277
1988-04-05,4.1534,4.26337,4.1534,4.26337,641882.97805095
1988-04-06,4.23965,4.30318,4.1534,4.30318,3100889.3400552
1988-04-07,4.30318,4.35766,4.27141,4.3265,1608524.4888444
1988-04-08,4.35766,4.41295,4.34218,4.41295,964345.34011081
1988-04-11,4.38923,4.38923,4.31062,4.33434,535661.65880844
1988-04-12,4.33434,4.34218,4.3265,4.33434,441674.82863953
1988-04-13,4.33434,4.33434,4.26337,4.30318,761850.08782554
1988-04-14,4.21633,4.26337,4.13802,4.16908,516560.82344179
1988-04-15,4.1534,4.1534,4.09098,4.13802,802347.92924143
1988-04-18,4.1534,4.1534,4.13802,4.13802,371371.09985938
1988-04-19,4.13802,4.20095,4.1145,4.14606,938365.06050515
1988-04-20,4.13802,4.1534,4.09098,4.09098,678562.2644484
1988-04-21,4.1145,4.16908,4.0749,4.12194,1739956.331483
1988-04-22,4.13802,4.23965,4.13802,4.21633,813045.9284989
1988-04-25,4.23221,4.30318,4.20849,4.27141,426393.55582562
1988-04-26,4.27935,4.37394,4.26337,4.27141,1097313.6725656
1988-04-27,4.27141,4.27141,4.23221,4.23221,281968.5507812
1988-04-28,4.21633,4.23965,4.20095,4.20095,901689.80424492
1988-04-29,4.20849,4.26337,4.20095,4.23965,785541.24948876
1988-05-02,4.23965,4.33434,4.23221,4.33434,586094.79601241
1988-05-03,4.3265,4.38923,4.3265,4.35766,593738.95878943
1988-05-04,4.35766,4.3655,4.33434,4.33434,414165.11195786
1988-05-05,4.34218,4.34218,4.23965,4.27935,1061398.0971719
1988-05-06,4.24799,4.30318,4.20849,4.20849,547124.3766039
1988-05-09,4.23221,4.23965,4.20849,4.23965,507393.26879461
1988-05-10,4.23965,4.31062,4.23965,4.30318,624304.52702015
1988-05-11,4.26337,4.26337,4.17742,4.21633,1376989.0752672
1988-05-12,4.20095,4.21633,4.20095,4.21633,389711.24682525
1988-05-13,4.21633,4.26337,4.18487,4.21633,409580.83086712
1988-05-16,4.20849,4.26337,4.18487,4.24799,625836.98669906
1988-05-17,4.27141,4.27935,4.17742,4.21633,854308.48845278
1988-05-18,4.20095,4.20849,4.1534,4.17742,608254.50553103
1988-05-19,4.18487,4.20095,4.13802,4.20095,1033121.6468836
1988-05-20,4.23221,4.23965,4.18487,4.20849,317120.41517127
1988-05-23,4.18487,4.26337,4.18487,4.26337,407283.65265022
1988-05-24,4.24799,4.42824,4.24799,4.39688,636533.97842222
1988-05-25,4.5385,4.55389,4.49146,4.49146,893280.92292991
1988-05-26,4.51488,4.51488,4.48333,4.51488,856603.65160107
1988-05-27,4.47587,4.50704,4.47587,4.48333,557060.67992629
1988-05-31,4.47587,4.54615,4.47587,4.5385,540252.99263932
1988-06-01,4.5385,4.55389,4.49146,4.55389,1673473.17279
1988-06-02,4.54615,4.55389,4.48333,4.49146,681614.08586023
1988-06-03,4.48333,4.49146,4.42824,4.45205,624304.52702015
1988-06-06,4.47587,4.49146,4.45205,4.48333,914675.91391053
1988-06-07,4.44402,4.51488,4.42824,4.45205,654868.08018226
1988-06-08,4.44402,4.61692,4.42824,4.57742,958997.34801639
1988-06-09,4.57742,4.57742,4.5385,4.57016,606728.09105796
1988-06-10,4.55389,4.61692,4.54615,4.58556,591446.81824406
1988-06-13,4.60888,4.60888,4.55389,4.57016,467654.10071089
1988-06-14,4.60143,4.70317,4.60143,4.672,949063.05976261
1988-06-15,4.64848,4.64848,4.60888,4.64848,962819.93317205
1988-06-16,4.64044,4.64848,4.57742,4.57742,472241.40440455
1988-06-17,4.6325,4.64044,4.60888,4.61692,1319676.4938241
1988-06-20,4.60888,4.64044,4.60888,4.64044,626592.6374283
1988-06-21,4.64044,4.64044,4.60143,4.64044,837501.80870012
1988-06-22,4.67985,4.72699,4.64044,4.64848,1389973.1698642
1988-06-23,4.66406,4.66406,4.57742,4.57742,572342.9602745
1988-06-24,4.60143,4.61692,4.57742,4.60143,351502.52335182
1988-06-27,4.57742,4.61692,4.57016,4.57742,506624.5201194
1988-06-28,4.57016,4.64848,4.57016,4.6325,408052.40132544
1988-06-29,4.6325,4.6325,4.57742,4.61692,690784.66311033
1988-06-30,4.60143,4.64848,4.60143,4.64848,549420.54728649
1988-07-01,4.61692,4.66406,4.61692,4.64848,1062154.7554354
1988-07-05,4.66406,4.79746,4.66406,4.78972,571576.22666789
1988-07-06,4.79746,4.845,4.77394,4.82138,813045.9284989
1988-07-07,4.79746,4.89165,4.78972,4.87597,894808.34493728
1988-07-08,4.87597,4.89165,4.86028,4.89165,754972.65865513
1988-07-11,4.90753,4.97006,4.88411,4.94683,877998.6425817
1988-07-12,4.94683,4.94683,4.82892,4.88411,1820951.0067805
1988-07-13,4.90753,4.94683,4.88411,4.92311,1062154.7554354
1988-07-14,4.90753,4.97006,4.90753,4.96241,563172.3830244
1988-07-15,4.94683,5.00172,4.94683,4.97006,579986.11551721
1988-07-18,4.96241,4.96241,4.82138,4.88411,622012.38647478
1988-07-19,4.86028,4.86028,4.71131,4.77394,1010957.9072277
1988-07-20,4.73463,4.73463,4.66406,4.672,861186.9251575
1988-07-21,4.69553,4.69553,4.57742,4.57742,981155.0424664
1988-07-22,4.55389,4.58556,4.45999,4.50704,731285.52712913
1988-07-25,4.49901,4.49901,4.44402,4.44402,603671.2319746
1988-07-26,4.44402,4.47587,4.42824,4.44402,588390.966695
1988-07-27,4.45999,4.45999,4.35766,4.35766,628124.0895729
1988-07-28,4.38139,4.44402,4.37394,4.42824,633477.11933885
1988-07-29,4.44402,4.60888,4.42824,4.58556,926140.64677461
1988-08-01,4.58556,4.64044,4.54615,4.56193,320938.97018971
1988-08-02,4.55389,4.61692,4.52282,4.5934,498223.69907883
1988-08-03,4.61692,4.69553,4.61692,4.64044,1335724.5002447
1988-08-04,4.64848,4.64848,4.60888,4.62505,603671.2319746
1988-08-05,4.61692,4.64044,4.57742,4.60888,350744.85755397
1988-08-08,4.58556,4.62505,4.58556,4.5934,590679.07710315
1988-08-09,4.60888,4.60888,4.53066,4.53066,579986.11551721
1988-08-10,4.53066,4.53066,4.41295,4.43647,489052.11429444
1988-08-11,4.41295,4.57742,4.40491,4.57742,821449.77214239
1988-08-12,4.54615,4.56193,4.46754,4.56193,542539.08797885
1988-08-15,4.53066,4.55389,4.49901,4.53066,984981.65775929
1988-08-16,4.50704,4.60888,4.49901,4.58556,520381.39352884
1988-08-17,4.5934,4.5934,4.56193,4.58556,420277.82259028
1988-08-18,4.58556,4.69553,4.58556,4.61692,498223.69907883
1988-08-19,4.61692,4.64044,4.61692,4.64044,239179.57635425
1988-08-22,4.62505,4.64848,4.61692,4.62505,1078969.4954625
