Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-01-10,16.057,16.113,15.798,15.875,2543010
2012-01-11,15.79,15.85,15.393,15.4,2516442
2012-01-12,15.523,15.857,15.36,15.84,3017652
2012-01-13,15.842,16.19,15.702,16.165,4797564
2012-01-17,16.717,16.927,16.543,16.76,10487142
2012-01-18,16.945,16.945,16.533,16.652,4212192
2012-01-19,16.667,17.11,16.667,16.827,6083196
2012-01-20,16.88,17.458,16.843,17.42,6859242
2012-01-23,17.465,17.528,17.18,17.5,4673574
2012-01-24,17.378,17.805,17.333,17.723,4730406
2012-01-25,17.658,18.105,17.548,18.082,4440168
2012-01-26,18.087,18.117,17.667,17.745,3793542
2012-01-27,17.777,18.067,17.75,17.923,3999048
2012-01-30,17.562,17.905,17.205,17.585,5313108
2012-01-31,17.52,17.653,17.407,17.42,4787490
2012-02-01,17.59,17.613,17.275,17.465,5201286
2012-02-02,17.663,17.825,17.528,17.64,5973168
2012-02-03,17.793,17.8,17.523,17.617,5024526
2012-02-06,17.583,17.768,17.512,17.565,2769984
2012-02-07,17.517,17.773,17.423,17.683,2705988
2012-02-08,17.71,18.377,17.663,17.833,7510746
2012-02-09,17.877,18.09,17.833,18.053,2910420
2012-02-10,17.793,18.103,17.793,18.05,2663406
2012-02-13,18.277,18.313,18.06,18.213,2435256
2012-02-14,18.237,18.383,18.147,18.38,2388984
2012-02-15,18.383,18.53,17.72,17.753,4407588
2012-02-16,17.817,18.013,17.48,17.663,4394490
2012-02-17,17.587,18.01,17.587,17.733,3045510
2012-02-21,17.78,17.89,17.64,17.883,2996805
2012-02-22,17.897,18.443,17.733,18.353,5598663
2012-02-23,18.55,18.867,18.127,18.29,7032579
2012-02-24,18.113,18.987,17.75,18.793,8164353
2012-02-27,18.73,19.31,18.53,19.09,5322639
2012-02-28,19.28,19.28,18.907,18.997,4244721
2012-02-29,19.06,19.193,18.95,19.063,5337879
2012-03-01,19.083,19.23,18.953,19.15,4874952
2012-03-02,19.197,19.53,19.1,19.53,4377765
2012-03-05,19.533,19.61,19.167,19.223,4935849
2012-03-06,19.19,19.473,18.777,18.823,4557624
2012-03-07,18.827,19.013,18.75,18.907,1809960
2012-03-08,18.973,19.27,18.91,19.23,3427827
2012-03-09,19.35,19.967,19.337,19.857,4331538
2012-03-12,19.873,19.977,19.723,19.863,2872119
2012-03-13,19.997,20.197,19.85,20.19,3139977
2012-03-14,20.167,20.23,19.713,19.747,3004281
2012-03-15,19.75,19.907,19.717,19.903,2313645
2012-03-16,19.87,20.053,19.703,19.847,3466539
2012-03-19,19.867,20.023,19.65,19.9,1787637
2012-03-20,19.793,20.223,19.72,20.147,1860930
2012-03-21,20.167,20.39,19.943,20.133,4307472
2012-03-22,19.977,20.36,19.947,20.277,2019792
2012-03-23,20.29,20.397,20.093,20.177,1781199
2012-03-26,20.44,20.537,20.287,20.477,2124549
2012-03-27,20.477,20.693,20.387,20.627,2192337
2012-03-28,20.553,20.763,20.393,20.603,1654368
2012-03-29,20.773,20.94,20.45,20.857,2377869
2012-03-30,21.053,21.06,20.687,20.697,3221439
2012-04-02,20.78,21.21,20.59,21.103,3041853
2012-04-03,21.04,21.407,21.017,21.263,3558984
2012-04-04,21.167,21.2,20.71,20.82,3392286
2012-04-05,20.783,21.23,20.667,21.127,3388092
2012-04-09,20.933,21.097,20.77,20.967,1686927
2012-04-10,20.973,21.0,20.22,20.29,4142655
2012-04-11,20.497,21.08,20.383,21.04,2858907
2012-04-12,21.213,21.213,20.753,20.86,2457822
2012-04-13,20.813,21.843,20.79,21.42,4329018
2012-04-16,21.75,21.763,21.057,21.127,3942012
2012-04-17,21.213,21.393,21.02,21.26,2765484
2012-04-18,21.23,21.497,21.163,21.39,1860891
2012-04-19,21.277,21.4,20.967,21.053,2260557
2012-04-20,21.21,21.32,21.093,21.17,2600835
2012-04-23,21.037,21.08,20.55,21.037,2530902
2012-04-24,21.08,21.167,20.82,20.957,2857935
2012-04-25,21.24,21.247,20.99,21.177,2803821
2012-04-26,21.167,21.877,21.097,21.793,3551028
2012-04-27,21.947,21.98,21.673,21.843,3861090
2012-04-30,21.847,27.987,21.353,21.667,57165051
2012-05-01,21.667,22.657,21.333,22.26,24246846
2012-05-02,22.287,23.08,22.1,22.89,6440391
2012-05-03,22.973,22.983,22.277,22.357,5637222
2012-05-04,22.267,22.55,22.103,22.247,6320187
2012-05-07,22.143,22.883,21.843,22.52,7172199
2012-05-08,22.417,22.537,21.723,21.83,8556306
2012-05-09,21.667,21.997,21.067,21.77,7354440
2012-05-10,24.66,24.973,23.67,23.723,23265705
2012-05-11,23.767,24.033,23.597,23.85,5646606
2012-05-14,23.667,23.75,23.417,23.613,3584199
2012-05-15,23.657,24.087,23.567,23.863,4200498
2012-05-16,23.977,24.05,23.727,23.823,3960390
2012-05-17,23.837,24.0,23.243,23.243,3538122
2012-05-18,23.31,23.36,22.757,22.867,4524693
2012-05-21,22.94,23.217,22.537,23.177,3523134
2012-05-22,23.32,23.62,23.14,23.307,3816510
2012-05-23,23.21,23.337,22.94,23.337,2543703
2012-05-24,23.38,24.337,23.17,24.317,7216776
2012-05-25,24.29,24.32,23.7,23.86,5129463
2012-05-29,24.45,24.467,23.957,24.347,4591674
2012-05-30,24.14,24.593,23.823,24.547,5098074
2012-05-31,24.58,24.657,24.057,24.2,3671184
2012-06-01,23.81,24.147,23.443,23.513,3746589
2012-06-04,23.637,24.39,23.61,24.37,4803786
2012-06-05,24.303,24.483,23.967,24.277,4433124
2012-06-06,24.483,25.13,24.41,24.65,4294287
2012-06-07,25.023,25.023,24.487,24.833,4119159
2012-06-08,24.723,25.67,24.677,25.367,7127259
2012-06-11,25.763,25.833,24.87,24.93,4390647
2012-06-12,25.133,25.197,24.707,25.13,3539811
2012-06-13,25.18,25.24,24.807,24.923,2634126
2012-06-14,24.973,25.567,24.97,25.437,3169650
2012-06-15,25.483,26.267,25.377,26.213,6554772
2012-06-18,26.253,26.333,25.923,26.24,4045830
2012-06-19,25.913,25.98,25.217,25.383,7115154
2012-06-20,25.417,25.53,24.96,25.1,5456688
2012-06-21,25.257,25.383,24.89,24.913,4468968
2012-06-22,25.467,25.467,24.397,24.537,11287755
2012-06-25,24.257,24.793,23.783,24.62,6957222
2012-06-26,24.723,24.977,24.467,24.873,4792800
2012-06-27,24.97,25.05,23.477,23.697,8791428
2012-06-28,23.43,23.46,22.123,22.88,114093918
2012-06-29,23.683,24.093,23.31,23.733,9760743
2012-07-02,23.98,25.0,23.583,24.927,10483161
2012-07-03,24.89,24.997,24.42,24.96,3623562
2012-07-05,24.913,24.98,24.57,24.7,3098268
2012-07-06,24.483,24.537,24.153,24.477,3023274
2012-07-09,24.477,24.58,24.06,24.17,4441860
2012-07-10,24.333,24.533,24.123,24.22,3805485
2012-07-11,24.143,24.257,23.547,23.927,5629314
2012-07-12,23.677,24.073,23.61,23.943,3260436
2012-07-13,23.92,24.657,23.92,24.577,3158520
2012-07-16,24.503,24.63,24.117,24.17,4069800
2012-07-17,24.293,24.393,23.41,23.938,4180563
2012-07-18,23.767,24.207,23.704,23.967,3136482
2012-07-19,24.017,24.057,22.417,22.61,11596503
2012-07-20,22.603,22.663,21.007,21.657,16976172
2012-07-23,20.833,22.333,20.573,22.053,10706751
2012-07-24,22.027,22.027,21.25,21.813,7472604
2012-07-25,21.903,22.2,21.847,22.19,4720098
2012-07-26,22.417,22.8,22.353,22.573,3982122
2012-07-27,23.0,23.217,22.577,22.72,6524244
2012-07-30,22.903,22.927,22.37,22.733,3071262
2012-07-31,22.667,22.693,22.097,22.14,3570264
2012-08-01,22.153,22.5,21.52,21.623,4348494
2012-08-02,21.523,21.667,21.22,21.38,4844349
2012-08-03,21.687,22.32,21.608,22.26,3977889
2012-08-06,22.347,22.45,21.953,22.007,3392079
2012-08-07,22.067,23.033,22.017,22.953,6243267
2012-08-08,22.843,22.89,22.357,22.59,12621933
2012-08-09,20.937,21.407,20.327,20.4,34232514
2012-08-10,19.483,19.483,17.843,18.09,34997772
2012-08-13,17.763,18.267,17.333,17.757,20976741
2012-08-14,18.06,19.57,18.04,19.53,23306391
2012-08-15,19.55,19.703,19.183,19.593,14478798
2012-08-16,19.513,20.14,19.467,20.087,11754114
2012-08-17,20.197,20.377,20.043,20.28,9179709
2012-08-20,20.327,20.327,19.797,20.14,7017516
2012-08-21,20.107,20.467,20.05,20.227,8026188
2012-08-22,20.12,20.527,20.097,20.437,3393081
2012-08-23,20.337,20.388,19.793,19.883,8701005
2012-08-24,19.827,20.143,19.65,19.917,6749037
2012-08-27,19.947,20.073,19.71,20.01,6169587
2012-08-28,19.633,20.113,19.51,19.827,9389490
2012-08-29,19.787,19.933,19.7,19.76,6628395
2012-08-30,19.7,19.73,19.42,19.523,3466215
2012-08-31,19.673,19.727,19.453,19.647,3797760
2012-09-04,19.507,19.567,19.037,19.083,6108828
2012-09-05,19.003,19.01,18.287,18.52,8656113
2012-09-06,18.617,19.457,18.593,19.357,5953752
2012-09-07,19.357,19.497,19.233,19.407,5076186
2012-09-10,19.6,19.6,18.88,19.073,7175733
2012-09-11,18.937,19.007,18.683,18.787,6219258
2012-09-12,18.557,18.563,16.877,16.927,21867081
2012-09-13,16.75,17.907,16.73,17.803,12577146
2012-09-14,17.897,18.05,17.467,17.923,7659198
2012-09-17,17.95,18.1,17.71,17.74,6959700
2012-09-18,17.683,17.717,17.377,17.46,6643275
2012-09-19,17.455,18.197,17.455,17.917,7499295
2012-09-20,17.92,18.803,17.917,18.507,8786664
2012-09-21,18.69,18.773,18.12,18.233,10727481
2012-09-24,18.043,18.21,17.87,18.133,6710571
2012-09-25,18.183,18.28,17.98,17.997,5338017
2012-09-26,17.957,18.131,17.733,17.77,5361903
2012-09-27,17.79,17.987,17.613,17.813,3745425
2012-09-28,17.833,18.1,17.77,18.02,5036421
2012-10-01,18.057,18.653,18.007,18.343,7014801
2012-10-02,18.433,18.447,18.113,18.23,4293138
2012-10-03,18.273,18.44,18.033,18.127,4113099
2012-10-04,18.183,18.577,18.063,18.46,3926526
2012-10-05,18.563,19.083,18.46,19.01,5748000
2012-10-08,18.93,19.053,18.887,18.997,4145865
2012-10-09,18.893,19.08,18.833,18.913,5052813
2012-10-10,17.873,18.35,17.833,17.877,10724763
2012-10-11,18.163,18.253,18.033,18.147,6437487
2012-10-12,18.15,19.083,18.137,19.027,11188092
2012-10-15,19.167,19.463,19.08,19.437,7812366
2012-10-16,19.55,19.69,19.417,19.473,5477658
2012-10-17,19.53,19.587,19.03,19.06,4113222
2012-10-18,19.13,19.133,18.603,18.677,6093249
2012-10-19,18.663,18.667,17.507,17.773,10068504
2012-10-22,17.82,17.847,14.533,15.243,65458308
2012-10-23,14.867,14.867,13.353,13.693,57766134
2012-10-24,14.327,16.05,14.2,15.99,38290494
2012-10-25,15.937,16.023,15.407,15.697,15387246
2012-10-26,15.59,15.697,14.8,15.287,11294304
2012-10-31,15.27,15.323,14.687,14.883,7772547
2012-11-01,14.903,15.193,14.37,14.997,8361363
2012-11-02,14.6,14.983,14.29,14.677,7647969
2012-11-05,14.667,15.1,14.593,15.013,5970651
2012-11-06,15.063,15.237,14.803,15.03,6039300
2012-11-07,14.833,15.247,14.697,14.99,10878102
2012-11-08,13.467,15.0,13.33,14.8,24501810
2012-11-09,14.77,15.197,14.683,15.087,7005105
2012-11-12,15.21,15.213,14.99,15.053,6059907
2012-11-13,15.093,15.583,15.057,15.463,6332589
2012-11-14,15.473,15.473,14.893,14.913,5344761
2012-11-15,14.203,14.98,14.147,14.937,13224879
2012-11-16,14.937,15.57,14.85,15.157,9792600
2012-11-19,15.35,15.477,14.87,15.077,6545289
2012-11-20,15.047,15.257,14.7,14.965,6642069
2012-11-21,15.04,15.293,14.89,15.247,3899397
2012-11-23,15.26,15.333,15.08,15.313,1746360
2012-11-26,15.307,15.413,15.223,15.292,4215030
2012-11-27,15.26,17.73,15.187,17.323,39543126
2012-11-28,17.113,17.28,16.673,17.143,10863468
2012-11-29,17.353,17.463,17.037,17.23,5390970
2012-11-30,17.3,17.437,17.103,17.35,6421098
2012-12-03,17.5,17.52,17.182,17.293,4863144
2012-12-04,17.293,17.393,16.943,17.22,5238165
2012-12-05,17.283,17.517,17.17,17.21,5038305
2012-12-06,17.3,17.343,17.0,17.283,6507276
2012-12-07,17.31,17.633,17.07,17.593,4115103
2012-12-10,17.677,17.993,17.477,17.613,6114420
2012-12-11,18.2,18.82,17.94,18.303,11805459
2012-12-12,18.46,19.12,18.333,18.933,11940228
2012-12-13,18.883,18.987,18.19,18.23,7214994
2012-12-14,18.21,18.227,17.757,17.793,7108917
2012-12-17,17.827,17.947,17.56,17.587,7458738
2012-12-18,17.633,17.96,17.37,17.837,6044625
2012-12-19,17.837,17.893,17.405,17.687,3818934
2012-12-20,17.73,17.803,17.303,17.373,4040874
2012-12-21,17.197,17.47,16.937,17.363,7740057
2012-12-24,17.357,17.483,17.167,17.473,1374612
2012-12-26,17.45,17.577,17.29,17.34,1872690
2012-12-27,17.387,17.557,17.213,17.407,2788248
2012-12-28,17.283,17.44,17.257,17.293,1805856
2012-12-31,17.287,17.667,17.247,17.613,3507537
2013-01-02,17.9,18.113,17.793,18.077,6088896
2013-01-03,18.0,18.067,17.32,17.403,6442725
2013-01-04,17.42,17.6,17.28,17.297,4842588
2013-01-07,17.323,17.443,16.353,16.687,10506276
2013-01-08,16.687,16.94,16.44,16.91,6468150
2013-01-09,16.95,16.95,16.623,16.777,2895933
2013-01-10,16.933,16.933,15.993,16.253,7333059
2013-01-11,16.323,17.02,16.267,16.973,6769125
2013-01-14,16.77,16.973,16.6,16.923,4190766
2013-01-15,16.92,17.13,16.837,17.017,3368688
2013-01-16,16.927,17.03,16.677,16.85,3390132
2013-01-17,16.947,16.99,16.28,16.613,8333721
2013-01-18,16.637,16.65,15.267,15.94,17824293
2013-01-22,15.973,16.21,15.657,16.18,6808560
2013-01-23,16.247,16.327,15.913,16.02,5264400
2013-01-24,16.183,16.273,15.637,15.757,5049975
