Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,13.6041,13.6536,13.3441,13.4345,1600680.0030792
2005-02-28,13.3441,13.3511,13.0872,13.2995,1004828.3660552
2005-03-01,13.2995,13.4909,13.2995,13.3204,719991.04877221
2005-03-02,13.2905,13.6358,13.2042,13.5524,938355.17004914
2005-03-03,13.5694,13.7033,13.4433,13.5694,634938.2189988
2005-03-04,13.6447,14.0167,13.6447,13.9175,2059838.4762423
2005-03-07,13.8928,14.0673,13.7678,13.7678,1033057.6761493
2005-03-08,13.9175,13.9175,13.5694,13.6874,739657.31693627
2005-03-09,13.5524,13.7111,13.5009,13.6119,675477.34287138
2005-03-10,13.6041,13.8342,13.3511,13.6715,588976.00323884
2005-03-11,13.6715,13.7757,13.5524,13.6041,407527.21116254
2005-03-14,13.6041,13.8431,13.6041,13.7628,453617.44414735
2005-03-15,13.8928,13.8997,13.4522,13.484,1127884.1674357
2005-03-16,13.484,13.5694,13.1209,13.2995,841600.35631281
2005-03-17,13.2995,13.5445,13.2042,13.484,1753409.5923742
2005-03-18,13.9255,13.9255,13.3601,13.5694,1753897.4690422
2005-03-21,13.5951,13.6279,13.3601,13.5694,1125588.9294752
2005-03-22,13.6447,13.9354,13.5852,13.6447,1051152.4572776
2005-03-23,13.5694,13.6358,13.4433,13.6119,584988.31708522
2005-03-24,13.6119,13.6963,13.5782,13.6189,306912.72849744
2005-03-28,13.6041,13.6874,13.5009,13.5694,641339.08024133
2005-03-29,13.5694,14.0079,13.1457,13.3748,1428766.9822398
2005-03-30,13.3748,13.7438,13.3748,13.7281,808178.78853999
2005-03-31,13.6447,13.8431,13.5356,13.7757,1270239.3214696
2005-04-01,13.7678,13.857,12.3997,12.8004,1349623.1050024
2005-04-04,12.8273,13.1616,12.7827,13.0683,631320.47238471
2005-04-05,12.9245,13.1616,12.8004,12.9384,478589.87508003
2005-04-06,12.8838,13.0604,12.8094,12.9384,615755.79546409
2005-04-07,12.8838,13.0355,12.4741,12.5575,1200269.3400068
2005-04-08,12.5575,12.6784,12.1348,12.4424,1390276.1339648
2005-04-11,12.3927,12.3927,11.9364,12.108,1069612.1378972
2005-04-12,12.108,12.1923,11.8719,12.1576,712509.60119078
2005-04-13,12.1348,12.1348,11.0664,11.4731,1649057.4099473
2005-04-14,11.3133,11.3887,10.7419,10.8243,1077937.2895511
2005-04-15,10.619,10.7816,10.13,10.3779,1946318.4460988
2005-04-18,10.3372,11.0247,10.2946,10.8501,1814216.7661686
2005-04-19,10.8323,11.1071,10.7816,11.1071,1085173.7907889
2005-04-20,11.0327,11.1071,10.7598,10.9503,768243.46244445
2005-04-21,10.9751,11.1428,10.7102,10.8997,1079987.581168
2005-04-22,10.7598,10.8501,10.0951,10.4265,1303657.8652135
