Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-07-06,14.6537,14.8785,14.4455,14.7548,15567509.347335
2011-07-07,14.8608,15.2369,14.6909,14.7156,21938402.973601
2011-07-08,14.3709,15.0061,14.2727,14.586,23304884.414151
2011-07-11,14.3679,14.3679,13.9184,14.1255,13448869.88044
2011-07-12,14.038,14.4377,13.8927,14.261,11372353.137088
2011-07-13,14.1726,14.5252,13.8222,14.0744,16089327.158062
2011-07-14,14.0774,14.097,13.4588,13.6081,16365211.289003
2011-07-15,13.7357,13.9046,13.4195,13.7935,13559746.438402
2011-07-18,13.6425,13.9408,13.2978,13.7778,10084784.199249
2011-07-19,13.8289,14.0676,13.7808,13.9969,9084081.0207409
2011-07-20,14.0165,14.0656,13.877,13.9241,7722617.8034398
2011-07-21,13.9241,14.1726,13.7741,14.1255,10291326.812636
2011-07-22,14.1863,14.3789,14.0557,14.2914,9160842.4198399
2011-07-25,14.527,14.8344,14.3159,14.5732,12631991.33895
2011-07-26,14.58,15.3999,14.5349,15.1633,16031014.120583
2011-07-27,15.1514,15.2506,14.7833,14.8147,9934589.9079681
2011-07-28,14.9423,15.124,14.8589,15.066,9446415.6836744
2011-07-29,14.9169,15.7141,14.7833,15.4243,15202951.266226
2011-08-01,15.8652,15.984,15.4951,15.8417,16355332.712326
2011-08-02,15.6837,15.8133,14.8785,14.908,15562175.384447
2011-08-03,15.2439,15.992,13.7444,14.5937,19041705.663231
2011-08-04,14.3375,14.3375,13.1142,13.5305,21829778.352234
2011-08-05,13.7053,13.8172,11.778,13.1406,17529541.95271
2011-08-08,12.4142,12.6783,10.3828,11.3852,23483757.031394
2011-08-09,11.6474,12.8236,11.4186,12.7146,17111524.057945
2011-08-10,12.4711,12.9739,12.0184,12.37,13744951.163203
2011-08-11,12.6469,13.5953,12.479,13.1525,12247610.919528
2011-08-12,13.2398,13.7768,12.9993,13.177,8385080.3091044
