Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,37.0922,37.8741,37.0736,37.8093,4452823.631772
2005-02-28,37.5788,37.7093,36.8224,37.0352,6929049.2384532
2005-03-01,37.0352,37.5543,37.0352,37.3434,6398913.8380274
2005-03-02,37.1844,37.6779,37.1158,37.206,6115876.3791674
2005-03-03,37.5033,37.6857,36.8459,37.3345,5933724.3866364
2005-03-04,37.8437,38.66,37.7367,38.2881,6015242.6729283
2005-03-07,38.5599,39.0396,38.505,38.8218,5878534.905541
2005-03-08,38.8218,39.3507,38.66,38.9552,6688412.4596819
2005-03-09,38.9622,39.5243,38.6384,39.3173,9605020.4850851
2005-03-10,39.3507,39.6077,38.8778,39.333,8022602.3154878
2005-03-11,39.2486,39.2702,37.9987,38.3558,6998544.1967246
2005-03-14,38.3558,38.7434,38.2361,38.6943,4475989.6371341
2005-03-15,39.123,39.3016,38.401,38.5922,5573722.7470792
2005-03-16,38.2283,38.4196,37.6121,38.0055,6312461.2578268
2005-03-17,37.7279,38.0055,37.1158,37.4208,9665523.4291315
2005-03-18,37.4306,37.9015,36.946,37.8899,10646166.692545
2005-03-21,37.8271,38.1655,37.2736,37.3796,7354495.2508669
2005-03-22,37.4787,37.6681,36.4986,36.53,7373357.8914526
2005-03-23,36.53,36.6693,35.8746,36.4898,7360824.9276224
2005-03-24,36.3799,36.8224,36.2691,36.4555,7181707.3067019
2005-03-28,36.4809,36.5928,36.2141,36.3799,5632327.8073706
2005-03-29,36.3965,36.8224,35.1398,35.1535,17465469.936483
2005-03-30,35.2644,36.4555,35.1535,36.2533,22291585.490455
2005-03-31,37.1844,37.7662,37.0352,37.5376,22436907.122297
2005-04-01,37.7015,38.7434,37.1158,37.2992,17452934.93411
2005-04-04,38.6943,39.4115,37.3434,38.2361,33029529.43814
2005-04-05,37.3796,38.0379,36.7115,37.0186,16914327.347985
2005-04-06,37.0186,37.3139,36.7262,37.1158,13711128.682857
2005-04-07,36.8224,37.0352,36.2995,36.7115,11210984.848358
2005-04-08,36.79,36.9156,36.2691,36.5035,8507288.3944116
2005-04-11,36.4153,36.5535,35.4164,35.6362,10831358.153044
2005-04-12,35.542,36.1493,35.1467,35.9051,12687327.420542
2005-04-13,36.1239,36.1239,34.6247,34.8396,17420530.250791
2005-04-14,34.4825,34.8867,34.041,34.3167,16827109.294798
2005-04-15,34.2941,34.6953,33.7104,33.7643,12081752.669761
2005-04-18,33.8378,34.1273,33.4474,33.829,7995892.3027056
2005-04-19,34.1999,34.4138,33.7938,33.9232,8668938.7575933
2005-04-20,33.6466,33.7554,32.793,32.9107,13355435.504434
2005-04-21,33.3777,33.622,32.6341,33.5681,8864383.0713108
2005-04-22,33.5681,33.9232,32.7165,32.9519,6491829.6195657
2005-04-25,33.1472,33.7388,33.0295,33.5916,6295373.1691303
2005-04-26,33.5122,33.8978,33.1403,33.1403,6584996.1419222
2005-04-27,33.3454,33.6848,32.8863,33.5681,7632220.2660475
2005-04-28,33.4474,33.9694,33.0619,33.0775,6805881.475256
2005-04-29,33.4111,34.7581,32.8411,34.5041,20391693.770342
2005-05-02,32.9903,33.2257,32.016,32.3898,30626214.368926
2005-05-03,32.3662,32.6998,32.065,32.4055,15400897.558664
2005-05-04,32.6655,33.0775,32.5232,33.0373,11794910.269946
2005-05-05,33.0461,33.2689,32.693,32.9519,6308410.672412
2005-05-06,33.1001,33.1795,32.793,32.8254,6713597.6421217
2005-05-09,32.8951,33.3523,32.7508,33.2826,7165249.127866
2005-05-10,32.7214,32.9196,32.326,32.4055,10111477.186524
2005-05-11,32.4055,32.8705,31.8433,32.693,9163624.9103735
2005-05-12,32.845,32.9519,32.3418,32.3966,9227680.016013
2005-05-13,32.4752,32.6831,31.2527,31.6265,14001771.94654
2005-05-16,31.5755,32.0504,31.3165,32.0022,9709579.4063299
2005-05-17,32.0022,32.0504,31.3607,31.9081,8891344.8441829
2005-05-18,32.121,32.2456,31.7393,32.0818,9370973.2973321
2005-05-19,32.1141,32.9196,31.9081,32.8863,9289827.0451813
2005-05-20,32.6576,32.845,32.5232,32.793,6030811.0276405
2005-05-23,32.6576,33.0295,32.5634,32.7165,6455630.1880084
2005-05-24,32.7214,32.7214,32.065,32.4055,7913486.2308333
2005-05-25,32.4918,32.793,32.2378,32.4614,8376906.2266934
2005-05-26,32.5948,32.7087,32.1278,32.3024,6160430.7801876
2005-05-27,32.2946,32.5399,32.171,32.3024,3307878.8796954
2005-05-31,32.2378,32.2946,31.9395,32.1052,5248398.7665517
2005-06-01,32.2632,32.8784,32.1376,32.8323,8476280.1132112
2005-06-02,32.7773,32.7773,32.2702,32.3182,6261700.5119171
2005-06-03,32.1848,32.5232,31.9395,32.0739,5130169.3743497
2005-06-06,32.0346,32.2868,31.8767,32.2083,4775991.8528248
2005-06-07,32.4144,32.7214,32.225,32.225,4698141.9250905
2005-06-08,32.2632,32.5016,32.2318,32.4222,4267504.76232
2005-06-09,32.4614,32.693,32.3418,32.5478,4302062.1472987
2005-06-10,32.6576,32.7214,32.3741,32.7165,5467895.85194
2005-06-13,33.9468,34.142,33.1875,33.3689,28056705.023652
2005-06-14,33.313,33.622,32.9519,33.1795,13817332.708495
2005-06-15,33.3032,33.3689,32.9196,33.1875,8585773.3283647
2005-06-16,33.2826,34.1685,33.2747,34.0322,13614677.048071
2005-06-17,34.2637,34.2637,33.6466,33.6936,9981481.3227498
2005-06-20,33.6936,33.991,33.5426,33.8104,6564616.8251672
2005-06-21,33.8732,33.9782,33.3954,33.4249,6006128.346109
2005-06-22,33.6387,33.939,33.1335,33.1335,12100356.415355
2005-06-23,33.313,34.1685,33.2257,33.9164,13564044.730386
2005-06-24,34.0979,34.9181,33.4474,34.8396,16252042.362853
2005-06-27,34.7581,34.8161,34.1352,34.7895,12237829.655729
2005-06-28,34.7895,34.8945,34.4677,34.7679,7771716.760585
2005-06-29,35.0829,35.0829,34.6414,34.9651,6535375.9609544
2005-06-30,35.0996,35.2556,34.3304,34.4138,14687090.431723
2005-07-01,34.5923,34.8779,34.5629,34.7739,5656887.1570361
2005-07-05,34.9397,35.4164,34.8327,35.2644,7376392.263063
2005-07-06,35.2644,35.336,34.9867,34.9867,5943215.8439547
2005-07-07,34.5777,35.0211,34.3716,34.9789,6222585.9635288
2005-07-08,34.9181,34.9553,34.7121,34.8396,7322211.8608707
2005-07-11,34.7679,35.131,34.7199,35.131,11149590.041645
2005-07-12,35.2173,35.282,34.8161,35.0917,7743484.9752753
2005-07-13,34.9249,35.1879,34.8396,35.0682,6535754.1107252
2005-07-14,35.3988,35.5508,35.1153,35.2252,7295003.4242668
2005-07-15,35.3134,35.3752,34.9553,35.179,4519154.7709373
2005-07-18,35.0829,35.234,34.9651,35.0211,5931693.9975708
2005-07-19,35.3282,35.5724,35.0682,35.0917,6897148.0753143
2005-07-20,35.0368,35.439,34.9867,35.2487,5564477.9534927
2005-07-21,35.282,35.3527,34.8945,35.0054,4854218.9110582
2005-07-22,35.0682,35.4558,34.9867,35.4164,3608764.80388
2005-07-25,35.5096,35.8118,35.2016,35.3822,5241439.1799355
2005-07-26,35.4478,35.5028,35.1879,35.2252,3570664.4307528
2005-07-27,35.2487,35.3056,34.7267,35.0917,3934717.6749965
2005-07-28,35.076,35.2644,34.8161,35.131,4739282.7854579
2005-07-29,35.1467,35.2644,34.6591,34.7895,4432314.8675213
2005-08-01,34.8611,35.131,34.6021,34.6493,4810041.6405371
2005-08-02,34.7679,35.4164,34.6827,35.1604,5306000.8635698
2005-08-03,35.0211,35.7373,34.8611,35.6872,5973090.6951146
2005-08-04,35.542,35.542,34.8867,35.0829,5023588.2182123
2005-08-05,34.87,34.9651,34.3991,34.5305,4068771.2590873
2005-08-08,34.5305,34.8249,34.0734,34.1685,5829042.1335256
