Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-03-13,0.0629513,0.0705757,0.0629513,0.0705757,1463518723.3411
1986-03-14,0.0705757,0.0705757,0.0705757,0.0705757,437102926.21641
1986-03-17,0.0705757,0.0705757,0.0705757,0.0705757,188893819.6556
1986-03-18,0.0705757,0.0705757,0.0705757,0.0705757,96121797.095153
1986-03-19,0.0705757,0.0705757,0.0705757,0.0705757,67934781.156689
1986-03-20,0.0705757,0.0705757,0.0629513,0.0705757,82886151.48245
1986-03-21,0.0705757,0.0705757,0.0629513,0.0629513,85092092.753663
1986-03-24,0.0629513,0.0629513,0.0629513,0.0629513,92608636.515283
1986-03-25,0.0629513,0.0629513,0.0629513,0.0629513,45507722.646186
1986-03-26,0.0629513,0.0705757,0.0629513,0.0629513,32272085.091781
1986-03-27,0.0629513,0.0705757,0.0629513,0.0705757,23897681.995496
1986-03-31,0.0705757,0.0705757,0.0629513,0.0705757,18260282.23258
1986-04-01,0.0705757,0.0705757,0.0629513,0.0629513,15727533.615985
1986-04-02,0.0629513,0.0705757,0.0629513,0.0705757,38317995.295536
1986-04-03,0.0705757,0.0705757,0.0705757,0.0705757,32680589.488895
1986-04-04,0.0705757,0.0705757,0.0705757,0.0705757,37705236.181647
1986-04-07,0.0705757,0.0705757,0.0629513,0.0629513,23489177.598382
1986-04-08,0.0629513,0.0705757,0.0629513,0.0705757,14542864.921361
1986-04-09,0.0705757,0.0705757,0.0705757,0.0705757,17239012.677854
1986-04-10,0.0705757,0.0705757,0.0705757,0.0705757,19690053.162557
1986-04-11,0.0705757,0.0705757,0.0705757,0.0705757,24428743.050366
1986-04-14,0.0705757,0.0705757,0.0705757,0.0705757,17239012.677854
1986-04-15,0.0705757,0.0705757,0.0705757,0.0705757,13194791.043113
1986-04-16,0.0705757,0.0705757,0.0705757,0.0705757,45262623.432695
1986-04-17,0.0705757,0.0705757,0.0705757,0.0705757,31209968.018478
1986-04-18,0.0705757,0.0705757,0.0705757,0.0705757,30678908.978182
1986-04-21,0.0705757,0.0705757,0.0705757,0.0705757,32517192.363572
1986-04-22,0.0705757,0.0705757,0.0705757,0.0705757,22059395.588243
1986-04-23,0.0705757,0.0705757,0.0705757,0.0705757,22141105.73471
1986-04-24,0.0705757,0.0786171,0.0705757,0.0786171,88441850.164486
1986-04-25,0.0786171,0.0864202,0.0786171,0.0864202,121694354.27055
1986-04-28,0.0864202,0.0864202,0.0786171,0.0864202,40973289.489728
1986-04-29,0.0864202,0.0864202,0.0786171,0.0786171,43015828.59918
1986-04-30,0.0786171,0.0786171,0.0786171,0.0786171,43832845.451705
1986-05-01,0.0786171,0.0786171,0.0786171,0.0786171,77085348.550486
1986-05-02,0.0786171,0.0786171,0.0786171,0.0786171,28718068.935035
1986-05-05,0.0786171,0.0786171,0.0786171,0.0786171,4616138.2664884
1986-05-06,0.0786171,0.0786171,0.0786171,0.0786171,13807549.149714
1986-05-07,0.0786171,0.0786171,0.0786171,0.0786171,7312278.9719705
1986-05-08,0.0786171,0.0786171,0.0786171,0.0786171,5024642.6636018
1986-05-09,0.0786171,0.0786171,0.0786171,0.0786171,8619507.3462143
1986-05-12,0.0786171,0.0786171,0.0786171,0.0786171,14869670.252169
1986-05-13,0.0786171,0.0786171,0.0786171,0.0786171,5433149.07529
1986-05-14,0.0786171,0.0786171,0.0786171,0.0786171,13194791.043113
1986-05-15,0.0786171,0.0786171,0.0786171,0.0786171,5392297.5275625
