Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1989-05-16,2.4308,2.44076,2.32154,2.34147,13259227.295409
1989-05-17,2.37125,2.47044,2.34147,2.40092,8579439.593169
1989-05-18,2.4308,2.4308,2.38101,2.39097,4883386.3890235
1989-05-19,2.40092,2.47044,2.39097,2.39097,7107871.7051899
1989-05-22,2.42084,2.52004,2.40092,2.49026,9129765.4187653
1989-05-23,2.51017,2.52004,2.47044,2.49026,9919977.0923561
1989-05-24,2.4803,2.49026,2.44076,2.47044,3378557.6127685
1989-05-25,2.45062,2.49026,2.37125,2.39097,4502391.2777424
1989-05-26,2.39097,2.4803,2.37125,2.47044,4487272.9660002
1989-05-30,2.4803,2.49026,2.39097,2.40092,2816136.7361496
1989-05-31,2.40092,2.45062,2.39097,2.4308,2841334.9264586
1989-06-01,2.4308,2.49026,2.4308,2.4803,2861492.6754481
1989-06-02,2.4803,2.49026,2.40092,2.42084,4042780.3429588
1989-06-05,2.42084,2.4308,2.33151,2.33151,3954082.6327457
1989-06-06,2.32154,2.36139,2.26209,2.28201,6592823.9484693
1989-06-07,2.31158,2.33151,2.29186,2.32154,4507431.7190617
1989-06-08,2.32154,2.4308,2.32154,2.39097,5650416.0488331
1989-06-09,2.37125,2.51017,2.37125,2.49026,9135813.9483485
1989-06-12,2.51017,2.55978,2.49026,2.5299,7110896.9740535
1989-06-13,2.47044,2.4803,2.42084,2.45062,3294899.3398028
1989-06-14,2.4803,2.51017,2.4308,2.44076,2023909.8901031
1989-06-15,2.47044,2.47044,2.31158,2.32154,5896349.4223389
1989-06-16,2.27205,2.37125,2.23231,2.29186,5381300.6615462
1989-06-19,2.29186,2.29186,2.17276,2.22245,9441214.4887029
1989-06-20,2.22245,2.24217,2.08351,2.08351,4890442.0027985
1989-06-21,2.07365,2.18271,2.0637,2.12315,4771507.6691012
1989-06-22,2.12315,2.15294,2.09347,2.12315,1539097.7527948
1989-06-23,2.15294,2.20253,2.15294,2.19257,4239324.4200387
1989-06-26,2.20253,2.23231,2.19257,2.20253,3225354.3025313
1989-06-27,2.22245,2.26209,2.10323,2.12315,3567039.9959533
1989-06-28,2.07365,2.08351,1.97436,1.98432,11778587.617127
1989-06-29,1.97436,1.98432,1.83543,1.8652,12097092.30084
1989-06-30,1.83543,1.8652,1.73623,1.83543,9679084.1601697
1989-07-03,1.83543,1.84539,1.78583,1.83543,2139820.9630809
1989-07-05,1.84539,1.84539,1.81561,1.82547,5461934.6697203
