Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-19,0.798814,0.804515,0.785547,0.791051,7694057.9044552
1984-10-22,0.791051,0.798814,0.763926,0.785547,1650687.3583272
1984-10-23,0.791051,0.791051,0.77228,0.777488,1911980.2640474
1984-10-24,0.777488,0.777488,0.763926,0.77228,2731568.411327
1984-10-25,0.758716,0.766776,0.750658,0.750658,3211797.4153308
1984-10-26,0.750658,0.758716,0.750658,0.750658,412577.97450333
1984-10-29,0.758716,0.758716,0.750658,0.758716,6062317.5556235
1984-10-30,0.750658,0.77228,0.750658,0.766776,288074.72393252
1984-10-31,0.766776,0.77228,0.758716,0.766776,382483.15146222
1984-11-01,0.766776,0.78024,0.766776,0.77228,751939.15279444
1984-11-02,0.766776,0.78024,0.766776,0.78024,136412.15982033
1984-11-05,0.77228,0.785547,0.766776,0.78024,271334.68847685
1984-11-06,0.78024,0.793802,0.78024,0.793802,535234.44873376
1984-11-07,0.785547,0.785547,0.78024,0.785547,175436.62978333
1984-11-08,0.78024,0.785547,0.77228,0.78024,351256.8599415
1984-11-09,0.78024,0.785547,0.77228,0.77228,241605.15067331
1984-11-12,0.77228,0.77228,0.766776,0.77228,660867.13276893
1984-11-13,0.77228,0.77228,0.758716,0.758716,201827.72506741
1984-11-14,0.766776,0.766776,0.758716,0.766776,87358.117192217
1984-11-15,0.766776,0.77228,0.758716,0.77228,1559995.8861536
1984-11-16,0.77228,0.78024,0.766776,0.766776,432274.88711887
1984-11-19,0.77228,0.78024,0.77228,0.77228,540807.33799893
1984-11-20,0.77228,0.78024,0.766776,0.77228,990936.43142345
1984-11-21,0.77228,0.78024,0.758716,0.78024,1536206.5578681
1984-11-23,0.78024,0.793802,0.77228,0.78024,764576.59750386
1984-11-26,0.78024,0.785547,0.77228,0.78024,429674.13762794
1984-11-27,0.77228,0.78024,0.77228,0.78024,126373.42958658
1984-11-28,0.77228,0.785547,0.77228,0.78024,584671.07422908
1984-11-29,0.77228,0.78024,0.77228,0.78024,234540.59522908
1984-11-30,0.77228,0.78024,0.77228,0.77228,278773.6867273
1984-12-03,0.78024,0.78024,0.766776,0.77228,383594.26978933
1984-12-04,0.766776,0.77228,0.766776,0.766776,128607.8763323
1984-12-05,0.766776,0.78024,0.758716,0.766776,647120.60474766
1984-12-06,0.758716,0.766776,0.750658,0.758716,128607.8763323
1984-12-07,0.750658,0.750658,0.73739,0.745154,1055982.6414025
1984-12-10,0.745154,0.745154,0.731592,0.745154,426331.62507799
1984-12-11,0.745154,0.745154,0.73739,0.745154,1371547.3688547
1984-12-12,0.73739,0.745154,0.73739,0.745154,361284.39759137
1984-12-13,0.73739,0.745154,0.73739,0.745154,221155.28241486
1984-12-14,0.745154,0.745154,0.73739,0.745154,1278623.4849506
1984-12-17,0.73739,0.73739,0.718422,0.723729,934073.01776919
1984-12-18,0.723729,0.73739,0.723729,0.731592,1413180.7283696
1984-12-19,0.731592,0.793802,0.731592,0.745154,1035161.3828607
1984-12-20,0.73739,0.745154,0.731592,0.745154,848576.93953174
1984-12-21,0.73739,0.745154,0.731592,0.745154,608092.06475416
1984-12-24,0.750658,0.758716,0.745154,0.750658,330433.56638446
1984-12-26,0.758716,0.758716,0.745154,0.758716,812139.99146053
1984-12-27,0.758716,0.758716,0.608251,0.656604,6474900.6176649
1984-12-28,0.63459,0.648152,0.629676,0.648152,2901434.1868603
1984-12-31,0.63459,0.656604,0.594492,0.643238,1855122.9554389
1985-01-02,0.63459,0.643238,0.621715,0.63459,3082084.5257171
1985-01-03,0.63459,0.643238,0.616212,0.621715,1486024.0992832
1985-01-04,0.616212,0.629676,0.60255,0.621715,1285314.6150963
1985-01-07,0.629676,0.63459,0.616212,0.63459,1177892.2650357
1985-01-08,0.63459,0.661715,0.629676,0.648152,1681543.2770722
1985-01-09,0.656604,0.66997,0.656604,0.661715,1460756.3324178
1985-01-10,0.66997,0.683238,0.661715,0.675179,1920165.0953874
1985-01-11,0.66997,0.683238,0.656604,0.66997,787618.0576846
1985-01-14,0.675179,0.675179,0.66997,0.66997,560502.21559922
