Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,3.12621,3.13293,3.11908,3.12621,14390.742762163
1982-01-04,3.11908,3.12621,3.11196,3.11196,27648.618766154
1982-01-05,3.11908,3.12621,3.11196,3.11196,135144.63755908
1982-01-06,3.04091,3.09771,2.97016,3.00548,156872.23372387
1982-01-07,2.92741,2.95591,2.89912,2.95591,64325.811678176
1982-01-08,3.01311,3.06921,2.95591,3.06228,129785.5007004
1982-01-11,2.89208,3.04091,2.73604,2.73604,292012.82893948
1982-01-12,2.71457,2.75048,2.67954,2.67954,101286.97921915
1982-01-13,2.60156,2.65847,2.55169,2.55169,203139.88652443
1982-01-14,2.58009,2.59434,2.56603,2.56603,55300.269289912
1982-01-15,2.61562,2.64401,2.58009,2.64401,239814.04767886
1982-01-18,2.60156,2.61562,2.58009,2.58751,345621.37748615
1982-01-19,2.59434,2.61562,2.57307,2.59434,146712.81399156
1982-01-20,2.62986,2.67954,2.58751,2.65847,324180.7877079
1982-01-21,2.72208,2.75048,2.68666,2.75048,23981.202650712
1982-01-22,2.79293,2.82104,2.76483,2.82104,34984.461582905
1982-01-25,2.87804,2.89208,2.86378,2.87804,29909.299353159
1982-01-26,2.89912,2.92068,2.87804,2.89912,124424.34266998
1982-01-27,2.89912,2.89912,2.89208,2.89912,40631.615414013
1982-01-28,2.89912,2.91356,2.89208,2.91356,28498.521481251
1982-01-29,2.92741,2.95591,2.89912,2.92741,49094.261473729
1982-02-01,2.95591,2.98421,2.92068,2.95591,136272.45138792
1982-02-02,2.97016,2.99837,2.93453,2.99837,33854.626582337
1982-02-03,3.04803,3.16162,2.93453,2.97016,394996.58183121
1982-02-04,2.97016,3.01311,2.92068,2.94848,82949.898641934
1982-02-05,2.97016,2.99837,2.92741,2.98421,56433.136048086
1982-02-08,2.94848,2.98421,2.89912,2.89912,30189.231638631
1982-02-09,2.86378,2.89208,2.82846,2.84251,66586.492265182
1982-02-10,2.77879,2.82104,2.75048,2.75048,16647.381005697
1982-02-11,2.72921,2.75048,2.71457,2.73604,25953.866265301
1982-02-12,2.72208,2.73604,2.70091,2.70091,21723.553821311
1982-02-16,2.72208,2.76483,2.68666,2.76483,30189.231638631
1982-02-17,2.79293,2.79293,2.77879,2.77879,14956.670848316
1982-02-18,2.79293,2.82846,2.76483,2.82104,68560.166465639
1982-02-19,2.80708,2.82104,2.80708,2.80708,40065.68732786
1982-02-22,2.79293,2.83548,2.75048,2.75048,62350.116305983
1982-02-23,2.74356,2.75722,2.72921,2.73604,30470.174509971
1982-02-24,2.75048,2.76483,2.73604,2.74356,28776.432594987
1982-02-25,2.76483,2.77166,2.75048,2.75722,30189.231638631
1982-02-26,2.75722,2.75722,2.75722,2.75722,1975.6953721931
1982-03-01,2.75722,2.75722,2.75722,2.75722,7623.8597891686
1982-03-02,2.76483,2.77166,2.75722,2.75722,8181.7031883761
1982-03-03,2.77879,2.80708,2.75722,2.77879,46272.705729911
1982-03-04,2.77879,2.78571,2.77166,2.77879,77587.730025639
1982-03-05,2.77879,2.78571,2.77166,2.77166,43449.128814358
1982-03-08,2.72921,2.78571,2.66528,2.66528,94520.096246149
1982-03-09,2.56603,2.62986,2.50231,2.57307,97900.505975041
1982-03-10,2.58751,2.60156,2.57307,2.58751,77866.651725243
1982-03-11,2.54476,2.60156,2.48094,2.48094,165618.85441253
1982-03-12,2.40287,2.43849,2.36071,2.39624,132605.03527248
1982-03-15,2.39624,2.40287,2.38179,2.39624,128938.62974291
1982-03-16,2.39624,2.40287,2.3889,2.39624,131473.17910017
1982-03-17,2.41019,2.41741,2.39624,2.41741,106363.15203476
1982-03-18,2.48094,2.50231,2.45234,2.50231,111166.46666598
1982-03-19,2.54476,2.55169,2.53032,2.55169,37241.099826439
1982-03-22,2.61562,2.62986,2.58751,2.62986,12412.015632366
1982-03-23,2.66528,2.71457,2.62283,2.71457,43733.103443301
1982-03-24,2.71457,2.72921,2.71457,2.72921,14674.717391108
1982-03-25,2.76483,2.80708,2.72921,2.77166,46839.644401932
1982-03-26,2.77879,2.80708,2.75722,2.78571,49094.261473729
1982-03-29,2.79293,2.80708,2.78571,2.80708,49937.09008775
1982-03-30,2.82104,2.83548,2.80708,2.83548,14103.736375614
1982-03-31,2.82104,2.84251,2.80708,2.80708,60092.467476582
1982-04-01,2.78571,2.80708,2.77166,2.77879,59532.602905638
1982-04-02,2.83548,2.89208,2.77879,2.86378,265494.0451739
1982-04-05,2.77879,2.84251,2.71457,2.71457,192982.48796387
1982-04-06,2.73604,2.74356,2.71457,2.74356,65453.625507009
1982-04-07,2.75722,2.77166,2.74356,2.75048,101286.97921915
1982-04-08,2.75048,2.75722,2.74356,2.75048,31883.984139484
1982-04-12,2.82104,2.86378,2.78571,2.84251,107490.96586358
1982-04-13,2.97738,3.01311,2.93453,2.93453,115675.70080958
1982-04-14,2.92741,2.94848,2.90643,2.92068,50221.064716694
