Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,15.4729,15.7,15.4424,15.6626,1311902.3092813
2005-02-28,15.7167,15.8317,15.5152,15.5859,3505988.7674117
2005-03-01,15.6548,15.7746,15.5328,15.6626,1588015.9113166
2005-03-02,15.6459,15.6852,15.5152,15.5712,912803.52498419
2005-03-03,15.4661,15.5634,15.3531,15.4424,1040733.2237274
2005-03-04,15.4661,15.7746,15.4661,15.6292,916015.42591651
2005-03-07,15.6027,15.7334,15.5496,15.6027,1730766.9508206
2005-03-08,15.6203,15.6203,15.4661,15.5328,596678.00027998
2005-03-09,15.4798,15.6764,15.3471,15.4591,960218.99630209
2005-03-10,15.4424,15.4424,14.7043,15.1692,2587257.9269914
2005-03-11,15.1289,15.1692,15.0228,15.1289,1011836.2892387
2005-03-14,15.1692,15.5083,15.1692,15.3314,1090375.7622423
2005-03-15,15.3314,15.3471,15.0384,15.2557,1002701.1424313
2005-03-16,15.2331,15.2331,14.8517,14.9264,1116059.7784083
2005-03-17,14.9854,15.3658,14.9854,15.2263,1336603.5264926
2005-03-18,15.2882,15.3471,15.1525,15.1849,1303509.8573363
2005-03-21,15.2263,15.2263,15.0699,15.1426,781168.4910508
2005-03-22,14.836,14.951,14.4144,14.5843,8353018.9174664
2005-03-23,14.5843,14.5843,13.8463,14.1381,5605232.0742236
2005-03-24,14.1892,14.374,14.0123,14.1538,2188152.0209627
2005-03-28,14.2129,14.2285,13.8993,13.9867,1611231.738803
2005-03-29,14.027,14.0585,13.6045,13.8216,4466699.1631912
2005-03-30,13.3636,13.8216,13.2742,13.4048,9391034.6919095
2005-03-31,13.4354,13.9681,13.4354,13.8216,5183653.0355709
2005-04-01,13.8993,14.1293,13.8079,14.0585,3777902.5826085
2005-04-04,14.0752,14.2285,13.8904,14.2059,2567007.7920036
2005-04-05,14.1706,14.318,14.1538,14.1706,1448231.5817012
2005-04-06,14.1892,14.2285,14.0496,14.0851,1243988.4597613
2005-04-07,14.1155,14.2129,14.0752,14.1892,1269428.302274
2005-04-08,14.2059,14.2443,14.0496,14.0585,684850.12390976
2005-04-11,14.0192,14.2443,14.0192,14.1706,1256090.3164575
2005-04-12,14.1293,14.2374,13.8904,14.0123,1569741.5481407
2005-04-13,14.0192,14.0496,13.687,13.7686,823647.5850093
2005-04-14,13.7686,13.8079,13.5406,13.5651,1045176.1668289
2005-04-15,13.5651,13.628,13.0382,13.0687,3481290.6023712
2005-04-18,13.0766,13.1169,12.6746,12.9725,4406932.5745726
2005-04-19,13.2663,13.6536,13.2663,13.3882,3670716.4531112
2005-04-20,13.4216,13.5651,13.052,13.1414,2181488.1150056
2005-04-21,13.2073,13.3636,13.1169,13.3636,1588015.9113166
2005-04-22,13.4048,13.6536,13.4048,13.6045,2477106.1049956
2005-04-25,13.5818,13.8639,13.5651,13.6702,1851037.7359691
2005-04-26,13.6702,13.7175,13.4757,13.5238,790551.88107257
2005-04-27,13.4579,13.5494,13.1985,13.3469,2544037.1555607
2005-04-28,13.3213,13.3213,12.882,12.8987,1887594.6014426
2005-04-29,12.9577,13.166,12.2657,12.5901,4686254.0079792
2005-05-02,12.6245,12.7061,12.4977,12.4977,2604051.9873936
2005-05-03,12.4977,12.531,12.3964,12.4328,3261490.5665396
2005-05-04,12.4564,12.5556,12.3345,12.5134,3415346.4203218
2005-05-05,12.5763,12.8043,12.5468,12.6077,3280255.3118026
2005-05-06,12.6982,12.8741,12.651,12.7955,2299534.8851277
2005-05-09,12.7955,13.1985,12.7061,13.1985,6751916.3157183
2005-05-10,13.6045,13.7086,13.5238,13.6045,6452339.6603727
2005-05-11,13.6536,13.7253,13.3715,13.7253,2835958.9668725
2005-05-12,13.7509,13.7509,13.1906,13.2898,1719161.5805529
2005-05-13,13.397,13.4048,12.4407,12.8741,4098715.2240676
2005-05-16,12.8584,12.996,12.7798,12.8987,3418805.5470782
2005-05-17,12.8525,13.1414,12.7955,12.9891,2461306.0348407
2005-05-18,13.1572,13.4048,13.1169,13.3213,3110340.9707491
2005-05-19,13.3469,13.4048,13.2339,13.4048,1241765.4621252
2005-05-20,13.4048,13.4521,13.2397,13.4048,1242010.6531689
2005-05-23,13.4048,13.6536,13.3046,13.6359,2056766.2476338
2005-05-24,13.687,13.8463,13.6211,13.8079,3748018.7796041
2005-05-25,13.8079,14.0989,13.7862,14.0752,4680576.9705379
2005-05-26,14.1293,14.318,14.1224,14.2521,4363715.8727029
2005-05-27,14.2374,14.318,14.1706,14.26,1135813.4269677
2005-05-31,14.26,14.5185,14.26,14.4773,3109846.519101
2005-06-01,14.4949,14.8605,14.3927,14.5352,1379573.0025383
2005-06-02,14.5618,14.781,14.4537,14.6886,2529713.3186187
2005-06-03,14.6886,14.7966,14.5422,14.5618,3244937.6276201
2005-06-06,14.5618,14.5765,14.2521,14.2688,3236541.1061141
2005-06-07,14.2443,14.2924,14.027,14.0989,5123151.8912116
2005-06-08,14.0929,14.374,14.0929,14.1067,1670260.7195103
2005-06-09,14.0752,14.3435,13.9523,14.3435,1519111.1237198
2005-06-10,14.431,14.5765,14.4144,14.5422,2604051.9873936
2005-06-13,14.5765,14.7219,14.5028,14.6974,1704090.9791876
2005-06-14,14.7456,14.8605,14.6974,14.8036,1390442.7996751
2005-06-15,14.8124,14.8439,14.6188,14.6728,1390689.008109
2005-06-16,14.6974,14.8203,14.6188,14.8203,1361795.1257909
2005-06-17,14.781,14.9431,14.781,14.9088,1474659.3101199
2005-06-20,14.8999,15.0699,14.836,14.9687,2850036.5953808
2005-06-21,14.9687,15.1131,14.9589,14.9854,1267945.9647198
2005-06-22,15.0168,15.0384,14.9264,14.9687,1596910.9540315
2005-06-23,14.9687,15.0699,14.9264,14.9264,2218285.0845716
2005-06-24,14.8999,15.0228,14.8675,14.9854,1277329.3547417
2005-06-27,14.9687,15.1211,14.8203,15.0699,870076.18781141
2005-06-28,15.0699,15.1692,15.0168,15.1368,1019985.5849207
2005-06-29,15.1849,15.2017,14.8675,15.0699,1113588.537558
2005-06-30,15.0384,15.2263,15.0228,15.2263,972318.81821784
2005-07-01,15.2263,15.3825,15.2263,15.3825,1918712.4987869
2005-07-05,15.3658,15.4424,15.2557,15.4258,1550229.0210641
2005-07-06,15.3923,15.4424,15.1289,15.1692,1118032.4980497
2005-07-07,15.1289,15.2557,14.9775,15.2409,1002201.603832
2005-07-08,15.2409,15.3658,15.1604,15.2488,1408469.937027
2005-07-11,15.2263,15.4258,15.1604,15.4002,1335857.7794595
2005-07-12,15.4002,15.4002,15.1761,15.3825,1328697.3870738
2005-07-13,15.3314,15.5555,15.3314,15.3393,1215583.9421403
2005-07-14,15.2724,15.3471,15.0552,15.0886,1715701.4364064
2005-07-15,15.0699,15.0886,14.8124,14.9353,2001447.6890678
2005-07-18,14.892,15.1211,14.8763,14.9589,1164463.1356323
2005-07-19,14.9589,15.0228,14.9264,14.9687,633728.30001143
2005-07-20,14.9264,15.1692,14.8124,15.1131,1037276.1317515
2005-07-21,15.1131,15.1131,14.7387,14.8036,1021959.3219522
2005-07-22,14.8842,15.5152,14.8842,15.4424,1614442.622345
2005-07-25,15.5083,15.5328,15.2724,15.297,856986.44520919
2005-07-26,15.3058,15.3058,15.0975,15.1368,1412424.5328216
2005-07-27,15.1849,15.3658,14.9687,15.3314,3308412.6035996
2005-07-28,15.3127,15.3471,15.1692,15.3127,1711749.8927823
2005-07-29,15.3127,15.5328,15.3127,15.5328,1756699.2102009
2005-08-01,15.5152,15.7079,15.4729,15.7079,2011818.9649956
2005-08-02,15.7746,16.2141,15.7511,16.1963,3686025.1237886
2005-08-03,16.1648,16.2396,16.0184,16.1648,1399086.5470051
2005-08-04,16.1885,16.9659,16.1885,16.8087,3078976.864971
2005-08-05,16.8343,16.8598,15.9516,16.1963,2444507.9048777
2005-08-08,16.3409,16.3409,15.5859,15.8081,3886570.0322699
2005-08-09,15.6548,15.9132,15.5328,15.6704,2840403.9447545
2005-08-10,15.9467,16.3153,15.8317,15.9516,2870779.1472363
2005-08-11,15.9132,15.9132,15.3393,15.5328,3522041.1503417
2005-08-12,15.5859,15.7914,15.5083,15.758,3193566.5431173
2005-08-15,15.8081,15.9132,15.5328,15.5712,1326476.4242181
2005-08-16,15.6027,15.7992,15.2557,15.3609,2351894.8729268
2005-08-17,15.4188,15.4188,15.1131,15.2017,1351175.6066489
2005-08-18,15.2183,15.2822,15.1043,15.1692,1652727.0164163
2005-08-19,15.2017,15.6548,15.1426,15.6125,949352.25133596
2005-08-22,15.6125,15.6852,15.5496,15.6292,1518864.9152859
2005-08-23,15.6931,15.7826,15.5712,15.6459,1086914.6007054
2005-08-24,15.6203,15.8493,15.5859,15.7914,1671987.2307178
2005-08-25,15.8317,15.8641,15.6704,15.8493,1702857.902238
2005-08-26,15.8081,15.8493,15.6704,15.7511,912308.05594586
2005-08-29,15.7079,15.8818,15.5328,15.8317,943421.88372922
2005-08-30,15.8493,16.1963,15.7511,16.1963,1530720.5635484
2005-08-31,16.1806,16.3595,16.0096,16.2052,2475129.3157933
2005-09-01,16.1963,16.673,16.1963,16.6141,2020461.6949354
2005-09-02,16.6141,16.673,16.4391,16.5452,1058510.0830845
2005-09-06,16.5452,16.6141,16.3831,16.4863,1020725.2276124
2005-09-07,16.4076,16.5452,16.1963,16.504,4270358.1111092
2005-09-08,16.5138,16.7635,16.5138,16.7635,1914760.9551629
2005-09-09,16.8018,16.9492,16.4312,16.4961,2434630.0632077
2005-09-12,16.5364,16.7467,16.4174,16.5983,1738666.9858981
2005-09-13,16.5846,16.5983,16.3743,16.5364,1429458.6973163
2005-09-14,16.4863,16.7389,16.447,16.5983,2819413.1496847
2005-09-15,16.5846,16.7467,16.5846,16.7467,1611976.4684458
2005-09-16,16.786,16.8087,16.4804,16.559,1009860.5174268
2005-09-19,16.4961,16.6141,16.4735,16.5138,1012080.4628922
2005-09-20,16.5512,16.6141,16.3329,16.4174,583094.82341988
2005-09-21,16.4549,16.68,16.0911,16.101,1600116.7506225
2005-09-22,16.1099,16.2219,15.8081,16.2141,1583818.1592586
2005-09-23,16.157,16.4961,16.0735,16.4008,1854499.9148961
2005-09-26,16.4735,16.5983,16.3595,16.4804,1330424.9156716
2005-09-27,16.5236,16.9847,16.5236,16.8175,2320283.5413247
2005-09-28,17.3139,17.999,17.1065,17.4289,8460702.5507825
2005-09-29,17.3798,17.3955,16.8775,17.1065,4022642.9223536
2005-09-30,17.1527,17.2814,17.0298,17.2481,1746329.9690536
2005-10-03,17.5302,19.7604,17.5302,19.6552,29867076.091764
2005-10-04,19.6061,20.0198,19.2896,19.4655,6458019.7499847
2005-10-05,19.2335,19.4655,18.3863,18.6684,3980912.6275988
2005-10-06,18.6605,18.6684,17.7838,18.1975,7306611.7084684
