Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1982-06-02,1.79046,1.81331,1.75958,1.77492,1407906.4190494
1982-06-03,1.75958,1.77492,1.74414,1.74414,874967.45329214
1982-06-04,1.72861,1.74414,1.70574,1.71336,1078770.2144736
1982-06-07,1.72861,1.74414,1.70574,1.73633,373646.81654417
1982-06-08,1.72861,1.74414,1.71336,1.71336,429864.3651858
1982-06-09,1.71336,1.72861,1.70574,1.71336,1095165.9889686
1982-06-10,1.71336,1.71336,1.70574,1.71336,769547.42328438
1982-06-11,1.72861,1.74414,1.70574,1.72128,1510978.9985702
1982-06-14,1.71336,1.72128,1.70574,1.70574,648902.81771156
1982-06-15,1.71336,1.72861,1.70574,1.71336,867937.22813576
1982-06-16,1.71336,1.72861,1.70574,1.71336,311568.2206254
1982-06-17,1.69823,1.71336,1.66696,1.68289,1220498.4218378
1982-06-18,1.68289,1.69823,1.66696,1.68289,2053298.6715471
1982-06-21,1.69021,1.69823,1.68289,1.69823,1710097.9745569
1982-06-22,1.72861,1.75958,1.69823,1.75958,913621.06008483
1982-06-23,1.81331,1.85962,1.75958,1.85962,995611.04833956
1982-06-24,1.82826,1.85171,1.80569,1.82826,938217.24814093
1982-06-25,1.83637,1.83637,1.82084,1.83637,245976.02791654
1982-06-28,1.84429,1.85962,1.82826,1.83637,290482.59778323
1982-06-29,1.86735,1.88269,1.84429,1.87457,872622.02385589
1982-06-30,1.88269,1.8902,1.87457,1.88269,1686678.0380578
1982-07-01,1.88269,1.8902,1.86735,1.88269,1175989.8309203
1982-07-02,1.90564,1.9286,1.87457,1.92088,493116.18108538
1982-07-06,1.92088,1.93652,1.90564,1.92088,686386.23609962
1982-07-07,1.90564,1.92088,1.88269,1.90564,736748.80061646
1982-07-08,1.87457,1.91346,1.83637,1.87457,835140.62651863
1982-07-09,1.86735,1.88269,1.84429,1.85962,470863.40141473
1982-07-12,1.85171,1.85962,1.83637,1.85171,1199407.7463686
1982-07-13,1.85171,1.87457,1.83637,1.85962,1302489.4206178
1982-07-14,1.84429,1.85962,1.83637,1.85171,1199407.7463686
1982-07-15,1.83637,1.87457,1.79046,1.79046,890192.02885719
1982-07-16,1.79046,1.82084,1.76729,1.79046,2934116.0563371
1982-07-19,1.77492,1.79787,1.75958,1.76729,1949048.829944
1982-07-20,1.79046,1.82084,1.76729,1.81331,556365.97593417
1982-07-21,1.83637,1.85962,1.81331,1.83637,714498.04199661
1982-07-22,1.84429,1.85962,1.82084,1.85171,1267349.4106152
1982-07-23,1.89812,1.92088,1.87457,1.90564,443926.83654934
