Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,3.15774,3.15774,3.1205,3.1205,185586.80218781
1990-03-27,3.1205,3.14298,3.0901,3.1205,628763.39194485
1990-03-28,3.1205,3.1205,3.0901,3.1205,20799.111848767
1990-03-29,3.1205,3.12773,3.0679,3.0901,1049535.665402
1990-03-30,3.0901,3.0901,3.0679,3.0901,1207925.0455836
1990-04-02,3.08257,3.08257,3.05257,3.05257,483169.60900349
1990-04-03,3.08257,3.08257,3.05257,3.08257,164790.75956361
1990-04-04,3.08257,3.08257,3.04533,3.04533,662352.98565949
1990-04-05,3.05257,3.08257,3.04533,3.0679,950343.44261319
1990-04-06,3.05257,3.08257,3.05257,3.05257,839949.57321184
1990-04-09,3.0679,3.0679,3.03018,3.0679,439977.43467828
1990-04-10,3.0679,3.0679,3.04533,3.05257,279983.87312052
1990-04-11,3.0679,3.0679,3.04533,3.04533,57597.068315882
1990-04-12,3.04533,3.0679,3.04533,3.0679,124789.55571832
1990-04-16,3.04533,3.08257,3.04533,3.08257,638361.88025597
1990-04-17,3.0901,3.10535,3.05257,3.10535,187185.86818976
1990-04-18,3.0901,3.1205,3.08257,3.10535,740751.21197385
1990-04-19,3.1205,3.1205,3.0901,3.0901,1398313.1380767
1990-04-20,3.0901,3.1205,3.0901,3.10535,108791.73417482
1990-04-23,3.1205,3.1205,3.0901,3.1205,75192.932786464
1990-04-24,3.0901,3.1205,3.0901,3.1205,94396.047857853
1990-04-25,3.1205,3.1205,3.0901,3.0901,102394.44709217
1990-04-26,3.08257,3.1205,3.08257,3.08257,364774.27114325
1990-04-27,3.08257,3.10535,3.0679,3.0679,590362.27717635
1990-04-30,3.0679,3.0901,3.05257,3.0679,1444709.5828549
1990-05-01,3.0901,3.0901,3.0679,3.0901,221584.71411652
1990-05-02,3.0901,3.0901,3.04533,3.04533,142395.65093747
1990-05-03,3.0901,3.0901,3.04533,3.04533,323181.16282
1990-05-04,3.0679,3.0679,3.01503,3.05257,464769.60769507
1990-05-07,3.0679,3.0679,3.01503,3.0679,1576699.5394189
1990-05-08,3.01503,3.0679,3.01503,3.0679,1193526.2900421
1990-05-09,3.0901,3.14298,3.04533,3.1205,554362.31909793
1990-05-10,3.14298,3.19537,3.1205,3.19537,168793.02840535
1990-05-11,3.19537,3.27024,3.19537,3.27024,330378.49444105
1990-05-14,3.27024,3.29282,3.21755,3.21755,232785.33765416
1990-05-15,3.27024,3.3678,3.21755,3.3454,503170.72246355
1990-05-16,3.3454,3.3454,3.29282,3.33015,223986.89388144
1990-05-17,3.3454,3.3454,3.29282,3.29282,91994.891167787
1990-05-18,3.29282,3.33015,3.27024,3.315,71191.687019591
1990-05-21,3.3454,3.3978,3.29282,3.3678,175190.315488
1990-05-22,3.3678,3.3978,3.3454,3.3454,258388.80903277
1990-05-23,3.3454,3.3978,3.315,3.3454,1455913.2756171
1990-05-24,3.315,3.3454,3.29282,3.29282,42396.222086222
1990-05-25,3.29282,3.3454,3.27024,3.27024,45594.35409012
1990-05-29,3.315,3.315,3.27024,3.27024,156787.244955
1990-05-30,3.27024,3.29282,3.27024,3.29282,451976.05660462
1990-05-31,3.27024,3.27024,3.16535,3.19537,889543.12691912
1990-06-01,3.19537,3.21755,3.16535,3.18021,583162.89940559
