Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-09-01,0.840225,0.84716,0.82586,0.832794,79327.608699477
1983-09-02,0.82586,0.832794,0.82586,0.82586,65160.05369056
1983-09-06,0.840225,0.840225,0.832794,0.840225,44197.401765138
1983-09-07,0.840225,0.84716,0.82586,0.82586,100861.5655647
1983-09-08,0.840225,0.84716,0.832794,0.84716,148457.52516077
1983-09-09,0.84716,0.854194,0.82586,0.832794,106524.14632845
1983-09-12,0.840225,0.84716,0.840225,0.84716,60629.989079557
1983-09-13,0.861129,0.868361,0.84716,0.861129,624422.16798496
1983-09-14,0.874999,0.882529,0.868361,0.882529,15299.061788983
1983-09-15,0.896596,0.917798,0.882529,0.917798,15299.061788983
1983-09-16,0.924733,0.938504,0.917798,0.932163,305409.93083987
1983-09-19,0.973971,1.00934,0.953067,0.995473,305409.93083987
1983-09-20,0.995473,0.995473,0.946132,0.973971,132021.90972831
1983-09-21,0.960201,0.995473,0.946132,0.960201,237416.56802205
1983-09-22,0.960201,0.995473,0.960201,0.995473,54398.122121375
1983-09-23,1.0025,1.00934,0.995473,0.995473,92923.858768594
1983-09-26,0.988238,0.995473,0.967135,0.995473,124657.52661737
1983-09-27,0.960201,0.988238,0.946132,0.960201,184717.22012981
1983-09-28,0.960201,0.973971,0.960201,0.973971,52696.319774193
1983-09-29,0.973971,0.981501,0.960201,0.960201,47593.940850705
1983-09-30,0.960201,0.973971,0.938504,0.938504,269149.22649814
1983-10-03,0.924733,0.938504,0.910664,0.924733,37392.211121784
1983-10-04,0.946132,0.960201,0.938504,0.953067,167157.16352607
1983-10-05,0.953067,0.960201,0.953067,0.960201,483898.31212955
1983-10-06,0.960201,0.967135,0.938504,0.953067,91227.103284839
1983-10-07,0.953067,0.960201,0.953067,0.960201,38528.764765275
1983-10-10,0.953067,0.953067,0.946132,0.953067,22667.482390657
1983-10-11,0.953067,0.953067,0.946132,0.953067,20393.36573099
1983-10-12,0.953067,0.953067,0.946132,0.946132,56662.14505419
1983-10-13,0.946132,0.960201,0.938504,0.953067,14730.784967238
1983-10-14,0.953067,0.953067,0.938504,0.946132,33433.451450584
1983-10-17,0.946132,0.953067,0.946132,0.946132,27764.81445072
1983-10-18,0.946132,0.946132,0.938504,0.938504,28334.10064515
1983-10-19,0.938504,0.938504,0.938504,0.938504,36263.732459774
1983-10-20,0.938504,0.946132,0.932163,0.938504,36832.00928152
1983-10-21,0.938504,0.938504,0.924733,0.938504,65730.349257676
1983-10-24,0.924733,0.938504,0.917798,0.917798,9065.1760854297
1983-10-25,0.917798,0.917798,0.903432,0.910664,92361.63818296
1983-10-26,0.910664,0.946132,0.910664,0.946132,181317.65292619
1983-10-27,0.938504,0.938504,0.932163,0.932163,36832.00928152
1983-10-28,0.924733,0.938504,0.924733,0.932163,232328.32031617
1983-10-31,0.924733,0.924733,0.924733,0.924733,51566.831739499
1983-11-01,0.924733,0.924733,0.910664,0.917798,138824.0722536
1983-11-02,0.910664,0.910664,0.896596,0.896596,18699.63836529
1983-11-03,0.896596,0.896596,0.861129,0.889563,147893.28582977
1983-11-04,0.889563,0.896596,0.889563,0.889563,99159.763217519
1983-11-07,0.896596,0.896596,0.882529,0.882529,47593.940850705
1983-11-08,0.882529,0.896596,0.882529,0.896596,86698.048046523
1983-11-09,0.889563,0.889563,0.889563,0.889563,22096.177450856
1983-11-10,0.896596,0.910664,0.896596,0.896596,54398.122121375
1983-11-11,0.896596,0.910664,0.896596,0.903432,44197.401765138
1983-11-14,0.910664,0.910664,0.903432,0.903432,28899.349348841
1983-11-15,0.903432,0.910664,0.889563,0.910664,362078.13213017
1983-11-16,0.917798,0.932163,0.917798,0.917798,23231.721721662
1983-11-17,0.946132,0.973971,0.924733,0.953067,56662.14505419
1983-11-18,0.960201,0.967135,0.953067,0.953067,47029.701519701
1983-11-21,0.960201,0.973971,0.946132,0.946132,104829.40959007
1983-11-22,0.953067,0.960201,0.938504,0.960201,133725.73082085
1983-11-23,0.960201,0.960201,0.946132,0.960201,36832.00928152
1983-11-25,0.960201,0.960201,0.938504,0.946132,18699.63836529
1983-11-28,0.953067,0.953067,0.932163,0.938504,78196.101919412
1983-11-29,0.932163,0.960201,0.932163,0.960201,970071.75029145
1983-11-30,0.960201,0.981501,0.960201,0.973971,208517.21867322
1983-12-01,0.981501,0.981501,0.953067,0.967135,112758.032032
1983-12-02,0.973971,0.981501,0.967135,0.973971,91227.103284839
1983-12-05,0.973971,0.981501,0.967135,0.967135,15299.061788983
