Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-01-22,0.401563,0.447428,0.355588,0.376292,73987870.281948
1999-01-25,0.406159,0.419939,0.376292,0.415293,13931249.389624
1999-01-26,0.419939,0.429071,0.37866,0.383147,9385109.1662017
1999-01-27,0.385404,0.394619,0.362562,0.383147,6723086.3970309
1999-01-28,0.383147,0.385404,0.37866,0.380859,6227553.813157
1999-01-29,0.380859,0.383147,0.362562,0.362562,6708688.3970466
1999-02-01,0.362562,0.374044,0.362562,0.369457,4231018.4723253
1999-02-02,0.362562,0.374044,0.330407,0.341819,7195088.0033813
1999-02-03,0.337423,0.35344,0.335023,0.348813,2094589.2534234
1999-02-04,0.35344,0.37866,0.348813,0.367099,5022038.8070398
1999-02-05,0.374044,0.383147,0.364832,0.37866,3765555.8617277
1999-02-08,0.380859,0.383147,0.364832,0.364832,4204869.4946657
1999-02-09,0.374044,0.376292,0.346445,0.351092,2378308.0128263
1999-02-10,0.351092,0.360205,0.341819,0.348813,4101570.5749206
1999-02-11,0.348813,0.3923,0.348813,0.37866,3642643.9577822
1999-02-12,0.383147,0.401563,0.383147,0.399235,3051663.4522779
1999-02-16,0.406159,0.422108,0.360205,0.401563,5818305.1496723
1999-02-17,0.3923,0.396966,0.374044,0.380859,1852711.4602636
1999-02-18,0.3923,0.396966,0.376292,0.385404,1979521.3422405
1999-02-19,0.383147,0.406159,0.37866,0.399235,2103742.2462541
1999-02-22,0.406159,0.410686,0.380859,0.401563,5647017.2867891
1999-02-23,0.410686,0.429071,0.387724,0.419939,3817851.8155177
1999-02-24,0.481772,0.502416,0.442831,0.454353,16739717.041793
1999-02-25,0.472659,0.488707,0.433768,0.440503,4067576.6037338
1999-02-26,0.44517,0.45892,0.415293,0.419939,4772322.0249402
1999-03-01,0.429071,0.440503,0.401563,0.422108,2524742.8881785
1999-03-02,0.419939,0.422108,0.410686,0.417611,1542835.7170844
1999-03-03,0.419939,0.419939,0.387724,0.390002,1729804.560141
1999-03-04,0.408409,0.410686,0.37866,0.380859,1631744.6429619
1999-03-05,0.385404,0.403812,0.385404,0.401563,2175651.1842444
1999-03-08,0.3923,0.419939,0.385404,0.408409,2127281.2298941
1999-03-09,0.408409,0.426774,0.408409,0.422108,3961682.7014378
1999-03-10,0.426774,0.426774,0.408409,0.415293,6413208.6523225
1999-03-11,0.408409,0.415293,0.396966,0.396966,1500994.7508413
1999-03-12,0.399235,0.399235,0.383147,0.390002,2539126.8774587
1999-03-15,0.399235,0.410686,0.396966,0.406159,3013769.5015305
1999-03-16,0.408409,0.413004,0.390002,0.3923,2192656.1759544
1999-03-17,0.396966,0.403812,0.385404,0.394619,1449990.7841215
1999-03-18,0.396966,0.406159,0.387724,0.401563,1310102.9106388
1999-03-19,0.399235,0.413004,0.399235,0.401563,2937912.5472799
1999-03-22,0.410686,0.410686,0.390002,0.390002,1045988.128555
1999-03-23,0.3923,0.3923,0.357936,0.364832,4478125.2604052
1999-03-24,0.362562,0.364832,0.348813,0.362562,1707560.565865
1999-03-25,0.362562,0.383147,0.360205,0.367099,1128361.0609734
1999-03-26,0.374044,0.401563,0.374044,0.401563,2433232.9751628
1999-03-29,0.413004,0.422108,0.406159,0.413004,1851393.4533142
1999-03-30,0.413004,0.417611,0.376292,0.37866,1928526.382402
1999-03-31,0.390002,0.408409,0.371746,0.403812,4183955.5165138
1999-04-01,0.403812,0.406159,0.385404,0.3923,853798.29669487
1999-04-05,0.387724,0.396966,0.37866,0.380859,2727405.7213479
1999-04-06,0.383147,0.385404,0.362562,0.369457,1936378.3812812
1999-04-07,0.374044,0.403812,0.369457,0.401563,2476383.9422386
1999-04-08,0.403812,0.419939,0.399235,0.408409,3552428.0333659
1999-04-09,0.410686,0.410686,0.399235,0.401563,1333628.8843393
1999-04-12,0.396966,0.396966,0.37866,0.385404,976687.18305504
1999-04-13,0.3923,0.3923,0.362562,0.369457,1023751.139631
1999-04-14,0.367099,0.376292,0.357936,0.357936,1319251.9004113
1999-04-15,0.367099,0.367099,0.357936,0.367099,1010689.1603585
1999-04-16,0.364832,0.385404,0.364832,0.380859,1068217.1113624
1999-04-19,0.385404,0.385404,0.357936,0.362562,890398.25884287
1999-04-20,0.362562,0.37866,0.35344,0.355588,1851393.4533142
1999-04-21,0.355588,0.362562,0.35344,0.362562,1081295.1028682
1999-04-22,0.362562,0.362562,0.344117,0.346445,6213160.8169956
1999-04-23,0.344117,0.346445,0.328089,0.330407,3453054.1122958
1999-04-26,0.330407,0.335023,0.305106,0.312061,3417751.141041
1999-04-27,0.321215,0.348813,0.314371,0.346445,6202701.8263905
1999-04-28,0.348813,0.348813,0.332756,0.344117,3272630.2695796
1999-04-29,0.344117,0.346445,0.337423,0.344117,1314016.9009034
1999-04-30,0.348813,0.362562,0.344117,0.348813,2756183.7075539
1999-05-03,0.35344,0.35344,0.341819,0.351092,925693.22398112
1999-05-04,0.351092,0.351092,0.325791,0.332756,2617573.8104374
1999-05-05,0.335023,0.33958,0.314371,0.33958,3947288.7045119
1999-05-06,0.337423,0.344117,0.323503,0.332756,1001527.1606465
1999-05-07,0.323503,0.337423,0.323503,0.335023,696898.42615005
1999-05-10,0.332756,0.341819,0.332756,0.335023,543911.54510537
1999-05-11,0.348813,0.362562,0.341819,0.35344,4735705.0497944
1999-05-12,0.355588,0.364832,0.351092,0.362562,4597107.1618528
1999-05-13,0.362562,0.374044,0.362562,0.362562,1946841.3749447
1999-05-14,0.362562,0.362562,0.33958,0.344117,843329.29844401
1999-05-17,0.33958,0.360205,0.337423,0.360205,1006762.1601542
1999-05-18,0.364832,0.383147,0.35344,0.37866,4169549.5104131
1999-05-19,0.394619,0.408409,0.355588,0.360205,12312574.732052
1999-05-20,0.362562,0.362562,0.318936,0.332756,4862530.9440046
1999-05-21,0.328089,0.328089,0.314371,0.325791,8284223.0959538
1999-05-24,0.328089,0.335023,0.318936,0.323503,4495130.2521153
1999-05-25,0.325791,0.330407,0.323503,0.325791,3551130.041708
1999-05-26,0.325791,0.341819,0.325791,0.325791,2913077.5735113
1999-05-27,0.328089,0.328089,0.323503,0.323503,2252802.1270945
1999-05-28,0.328089,0.328089,0.323503,0.325791,2448914.9561006
1999-06-01,0.325791,0.328089,0.321215,0.328089,2723492.7318478
1999-06-02,0.328089,0.328089,0.314371,0.314371,3552428.0333659
1999-06-03,0.323503,0.325791,0.321215,0.323503,1180665.0208799
1999-06-04,0.325791,0.328089,0.323503,0.325791,2182189.1792327
1999-06-07,0.328089,0.335023,0.328089,0.330407,3413841.1538345
1999-06-08,0.330407,0.344117,0.330407,0.337423,4245405.4638991
1999-06-09,0.33958,0.351092,0.33958,0.344117,2654198.7916998
1999-06-10,0.344117,0.346445,0.341819,0.344117,1021133.1394949
1999-06-11,0.344117,0.346445,0.325791,0.337423,1714105.5662053
1999-06-14,0.33958,0.33958,0.323503,0.325791,1463070.7771565
1999-06-15,0.325791,0.328089,0.321215,0.325791,1362391.8590766
1999-06-16,0.330407,0.344117,0.325791,0.335023,1786030.5164289
1999-06-17,0.332756,0.337423,0.325791,0.325791,2085439.2628863
1999-06-18,0.328089,0.328089,0.312061,0.312061,4329078.3895044
1999-06-21,0.323503,0.330407,0.314371,0.330407,2302486.0853358
1999-06-22,0.330407,0.330407,0.316638,0.323503,5274384.5976858
1999-06-23,0.321215,0.330407,0.316638,0.330407,5814378.1494682
1999-06-24,0.332756,0.332756,0.321215,0.323503,3137958.3810776
1999-06-25,0.321215,0.330407,0.321215,0.328089,2026606.3148726
1999-06-28,0.337423,0.337423,0.325791,0.332756,3028121.4663441
1999-06-29,0.337423,0.33958,0.332756,0.335023,2546982.8793963
1999-06-30,0.346445,0.364832,0.33958,0.364832,7340212.8779008
1999-07-01,0.364832,0.364832,0.328089,0.346445,2463283.9339121
1999-07-02,0.351092,0.371746,0.344117,0.371746,6188324.8424624
1999-07-06,0.376292,0.376292,0.367099,0.374044,5415598.4842345
1999-07-07,0.376292,0.376292,0.364832,0.364832,1729804.560141
1999-07-08,0.367099,0.380859,0.355588,0.374044,5124024.7236585
1999-07-09,0.374044,0.408409,0.374044,0.406159,5775156.1841257
1999-07-12,0.429071,0.442831,0.413004,0.424435,10964556.85461
1999-07-13,0.429071,0.431371,0.406159,0.424435,3850539.7889301
1999-07-14,0.424435,0.435916,0.406159,0.408409,3812607.8091287
1999-07-15,0.413004,0.424435,0.410686,0.410686,3773394.8506675
1999-07-16,0.417611,0.422108,0.410686,0.419939,2876472.6075404
1999-07-19,0.419939,0.422108,0.406159,0.408409,1195037.0009852
1999-07-20,0.408409,0.408409,0.387724,0.401563,4887370.921596
1999-07-21,0.396966,0.396966,0.37866,0.390002,3079128.4353576
1999-07-22,0.387724,0.387724,0.367099,0.371746,5840528.1278923
1999-07-23,0.369457,0.383147,0.369457,0.371746,2238411.1324623
1999-07-26,0.380859,0.380859,0.374044,0.374044,1693189.5865243
1999-07-27,0.374044,0.376292,0.367099,0.374044,2724798.7296221
1999-07-28,0.374044,0.385404,0.371746,0.380859,6717850.3967586
1999-07-29,0.374044,0.385404,0.369457,0.383147,10590610.161615
1999-07-30,0.383147,0.394619,0.383147,0.385404,12337406.703526
1999-08-02,0.385404,0.390002,0.383147,0.387724,8556160.8547441
1999-08-03,0.387724,0.387724,0.376292,0.37866,6964968.1932489
1999-08-04,0.380859,0.383147,0.37866,0.37866,2505135.9085656
1999-08-05,0.37866,0.385404,0.374044,0.385404,6562267.5323984
1999-08-06,0.383147,0.385404,0.383147,0.385404,5036420.7947907
1999-08-09,0.385404,0.390002,0.383147,0.385404,879946.27358983
1999-08-10,0.387724,0.408409,0.385404,0.3923,5789550.1810516
1999-08-11,0.399235,0.422108,0.394619,0.417611,5399911.4994737
1999-08-12,0.419939,0.449736,0.417611,0.438285,6594950.5019879
1999-08-13,0.435916,0.442831,0.429071,0.433768,2353468.0352347
1999-08-16,0.438285,0.438285,0.401563,0.417611,6126861.8851376
1999-08-17,0.417611,0.424435,0.408409,0.417611,5295312.5865417
1999-08-18,0.413004,0.433768,0.406159,0.426774,7646179.6346382
1999-08-19,0.45892,0.541485,0.442831,0.518503,53636891.25801
1999-08-20,0.520802,0.5231,0.495601,0.514006,9658374.939587
1999-08-23,0.507012,0.507012,0.465764,0.481772,13898565.41927
1999-08-24,0.474927,0.48414,0.452084,0.479503,10910946.896929
1999-08-25,0.481772,0.486408,0.45892,0.477285,9616538.9771668
1999-08-26,0.477285,0.48414,0.463465,0.470311,7528491.7217901
1999-08-27,0.479503,0.516306,0.477285,0.49793,15051751.446366
1999-08-30,0.504714,0.516306,0.474927,0.495601,4325165.4000042
1999-08-31,0.49793,0.539188,0.488707,0.536889,21501566.065424
1999-09-01,0.536889,0.536889,0.504714,0.511709,15457050.092061
1999-09-02,0.495601,0.509411,0.48414,0.507012,9294900.2471374
1999-09-03,0.516306,0.5231,0.507012,0.509411,7119245.0598346
1999-09-07,0.518503,0.518503,0.504714,0.507012,3456985.1155584
1999-09-08,0.509411,0.511709,0.507012,0.507012,4663795.1110394
1999-09-09,0.511709,0.516306,0.490984,0.500117,5752928.2020829
1999-09-10,0.507012,0.514006,0.504714,0.507012,4625870.1365901
1999-09-13,0.509411,0.509411,0.48414,0.490984,4776232.0121466
1999-09-14,0.490984,0.490984,0.472659,0.474927,6831596.2979337
1999-09-15,0.470311,0.48414,0.465764,0.479503,5818305.1496723
1999-09-16,0.472659,0.477285,0.461137,0.468012,4376155.3560198
1999-09-17,0.463465,0.468012,0.449736,0.465764,4731788.057236
1999-09-20,0.45892,0.463465,0.449736,0.449736,6294219.7455229
1999-09-21,0.440503,0.442831,0.401563,0.406159,20128710.21192
1999-09-22,0.406159,0.417611,0.383147,0.415293,10266356.433743
1999-09-23,0.417611,0.417611,0.37866,0.380859,10344798.362899
1999-09-24,0.383147,0.3923,0.321215,0.346445,18707477.398712
1999-09-27,0.369457,0.376292,0.346445,0.367099,11767353.186114
1999-09-28,0.369457,0.406159,0.367099,0.401563,11260048.608508
1999-09-29,0.410686,0.424435,0.362562,0.369457,16237647.463696
1999-09-30,0.383147,0.394619,0.362562,0.367099,9356354.1975809
1999-10-01,0.362562,0.376292,0.346445,0.364832,9505408.0738339
1999-10-04,0.37866,0.37866,0.367099,0.374044,4837694.9694715
1999-10-05,0.374044,0.410686,0.374044,0.408409,13066985.096972
1999-10-06,0.410686,0.477285,0.406159,0.45892,41120345.693486
1999-10-07,0.477285,0.477285,0.424435,0.426774,13311477.887974
1999-10-08,0.426774,0.463465,0.410686,0.449736,10874324.917959
1999-10-11,0.452084,0.454353,0.424435,0.438285,14862173.610055
1999-10-12,0.440503,0.44517,0.429071,0.431371,8818984.6505221
1999-10-13,0.426774,0.426774,0.410686,0.419939,7667081.6036151
1999-10-14,0.419939,0.419939,0.406159,0.410686,5244312.6228803
1999-10-15,0.390002,0.410686,0.390002,0.408409,5806527.1513535
1999-10-18,0.410686,0.410686,0.385404,0.387724,5922911.0679564
1999-10-19,0.399235,0.399235,0.364832,0.371746,8441108.9557945
1999-10-20,0.37866,0.390002,0.371746,0.385404,9547233.0278439
1999-10-21,0.383147,0.401563,0.374044,0.401563,10453317.270683
1999-10-22,0.401563,0.424435,0.401563,0.413004,7865823.4411677
1999-10-25,0.410686,0.415293,0.3923,0.3923,5865376.1116003
1999-10-26,0.408409,0.44517,0.406159,0.429071,13128447.053532
1999-10-27,0.433768,0.435916,0.403812,0.410686,5877142.1007445
1999-10-28,0.413004,0.419939,0.390002,0.3923,6098104.9149878
1999-10-29,0.396966,0.429071,0.394619,0.422108,9066090.4378376
1999-11-01,0.415293,0.465764,0.415293,0.449736,21318513.214161
1999-11-02,0.45892,0.479503,0.454353,0.477285,22848280.947386
1999-11-03,0.49793,0.536889,0.493303,0.525399,54804477.286619
1999-11-04,0.529994,0.573661,0.529994,0.557473,34372428.325745
1999-11-05,0.573661,0.578158,0.514006,0.539188,16819469.972546
1999-11-08,0.5231,0.571263,0.507012,0.555176,12870871.267201
1999-11-09,0.555176,0.557473,0.525399,0.548381,7473573.7648056
1999-11-10,0.548381,0.550579,0.532293,0.541485,3925059.7217045
1999-11-11,0.541485,0.610334,0.529994,0.580555,15344634.20701
1999-11-12,0.605837,0.612731,0.571263,0.612731,13695884.572338
1999-11-15,0.617328,0.635614,0.589749,0.598942,9900266.7434509
1999-11-17,0.669888,0.718051,0.658497,0.681579,21481951.079694
1999-11-18,0.697467,0.702063,0.67918,0.683777,6439355.6284529
1999-11-19,0.766414,0.849051,0.764116,0.819174,58984498.797576
1999-11-22,0.839757,0.842157,0.768712,0.819174,14753641.692331
1999-11-23,0.734239,0.768712,0.727444,0.759519,15089669.415463
1999-11-24,0.757221,0.764116,0.67918,0.736537,11138450.708454
1999-11-26,0.729642,0.736537,0.70666,0.73194,2023978.3070907
1999-11-29,0.729642,0.738835,0.688373,0.704362,8149538.1975124
1999-11-30,0.70666,0.72045,0.662993,0.662993,8612394.8171486
1999-12-01,0.662993,0.704362,0.662993,0.695168,6130780.8792252
1999-12-02,0.697467,0.757221,0.697467,0.748029,8481647.9273217
1999-12-03,0.754923,0.766414,0.72045,0.729642,9366823.1958318
1999-12-06,0.73194,0.752524,0.73194,0.750326,4880841.933489
1999-12-07,0.754923,0.757221,0.695168,0.725046,5138413.7167614
1999-12-08,0.722847,0.764116,0.72045,0.757221,5495356.4188103
1999-12-09,0.754923,0.773308,0.70666,0.734239,5912437.0658827
1999-12-10,0.748029,0.750326,0.711257,0.725046,2713021.7320677
1999-12-13,0.718051,0.741133,0.70666,0.722847,5029878.7967441
1999-12-14,0.725046,0.741133,0.704362,0.711257,7464429.7788561
1999-12-15,0.70666,0.708958,0.672186,0.688373,5677089.2615946
1999-12-16,0.69287,0.702063,0.681579,0.683777,3657036.9539436
1999-12-17,0.702063,0.729642,0.699765,0.72045,7183315.0088852
1999-12-20,0.72045,0.793893,0.695168,0.780303,11023378.794213
1999-12-21,0.780303,0.814578,0.750326,0.812279,10645534.123187
1999-12-22,0.814578,0.842157,0.7848,0.832863,6866900.2699532
1999-12-23,0.832863,0.887921,0.830764,0.887921,7660535.6025102
1999-12-27,0.906207,0.906207,0.844454,0.853647,5526733.3906255
1999-12-28,0.853647,0.883324,0.849051,0.851249,4905685.9141388
1999-12-29,0.849051,0.887921,0.849051,0.878828,3638717.9583426
1999-12-30,0.878828,0.892518,0.865039,0.887921,3816537.8116267
1999-12-31,0.885623,0.899413,0.881027,0.897014,3507975.071574
2000-01-03,0.903909,0.910803,0.844454,0.894816,8247598.1146913
2000-01-04,0.878828,0.881027,0.826068,0.871934,8229294.1305591
2000-01-05,0.846752,0.860442,0.830764,0.842157,5148869.7050729
2000-01-06,0.842157,0.842157,0.754923,0.787099,3289615.245998
2000-01-07,0.7848,0.809981,0.773308,0.800788,2000436.3211569
2000-01-10,0.803086,0.860442,0.789396,0.826068,6605398.4841827
2000-01-11,0.821472,0.832863,0.793893,0.793893,4097653.5823621
2000-01-12,0.793893,0.793893,0.761818,0.773308,3420374.145
2000-01-13,0.773308,0.812279,0.761818,0.805385,3640023.956117
2000-01-14,0.816975,0.874231,0.814578,0.839757,16537040.197919
2000-01-18,0.851249,0.878828,0.812279,0.87653,7165008.0224592
2000-01-19,0.878828,0.878828,0.860442,0.867337,4508197.2352107
2000-01-20,0.874231,0.922395,0.858044,0.865039,4921380.905016
2000-01-21,0.862641,0.867337,0.835261,0.855846,14854317.608117
2000-01-24,0.883324,0.883324,0.812279,0.816975,7038187.1320719
2000-01-25,0.821472,0.830764,0.7848,0.809981,6489036.5844004
2000-01-26,0.809981,0.832863,0.761818,0.777905,6363515.6872001
2000-01-27,0.782402,0.782402,0.70666,0.736537,12515239.56675
2000-01-28,0.727444,0.73194,0.686075,0.715953,5334532.5503551
2000-01-31,0.718051,0.734239,0.669888,0.708958,4968441.8592984
