Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,6.42652,6.54932,6.40479,6.54932,545811.55440142
2005-02-28,6.59785,6.8307,6.50984,6.78665,2190860.1115601
2005-03-01,6.80429,6.99994,6.76012,6.9515,610600.38427306
2005-03-02,6.93375,7.06123,6.81763,6.99525,592110.93221266
2005-03-03,7.09144,7.25271,6.96465,7.01778,392833.38568549
2005-03-04,7.04799,7.16559,7.04799,7.14387,247397.87802498
2005-03-07,7.18215,7.4112,7.18215,7.2876,1036770.7667062
2005-03-08,7.36505,7.4377,6.99525,7.03094,808238.57084219
2005-03-09,6.98658,7.08357,6.88103,7.01778,341938.98424645
2005-03-10,7.04799,7.04799,6.8307,6.90744,507505.31048595
2005-03-11,6.96465,7.08685,6.92917,6.98658,248824.54256617
2005-03-14,7.10409,7.10878,6.87306,6.91611,489421.18365385
2005-03-15,7.00452,7.0703,6.84844,6.91213,411757.25810197
2005-03-16,6.81296,6.86906,6.54463,6.57991,765259.04743801
2005-03-17,6.64261,6.77807,6.53606,6.74358,739522.90200128
2005-03-18,6.76471,6.79572,6.58451,6.58918,684444.82184437
2005-03-21,6.55799,6.56656,6.42183,6.52679,216735.62647199
2005-03-22,6.56656,6.78265,6.56656,6.76012,579319.10879467
2005-03-23,6.73042,6.78265,6.2479,6.31687,492391.89652763
2005-03-24,6.3084,6.37848,6.21262,6.32157,829553.26013749
2005-03-28,6.30383,6.51384,6.30383,6.47037,377185.22334429
2005-03-29,6.40479,6.50517,6.0656,6.07876,950755.53620287
2005-03-30,6.04836,6.11783,5.61358,5.70519,2405099.5767251
2005-03-31,5.94401,6.10049,5.89167,6.01348,1583135.1285353
2005-04-01,5.98746,6.09182,5.97869,6.01348,994411.27050773
2005-04-04,5.98746,6.01775,5.74406,5.92237,1062677.4697885
2005-04-05,5.87453,6.41785,5.87453,6.40479,2377996.9635633
2005-04-06,6.39562,6.59785,6.33481,6.40011,737999.92255435
2005-04-07,6.43978,6.43978,6.15252,6.17874,803982.655945
2005-04-08,6.0961,6.0961,5.62665,5.67897,4652417.2788108
2005-04-11,5.7616,5.93114,5.71804,5.84842,2387494.0145808
2005-04-12,5.83975,5.98307,5.80067,5.98307,1162284.1380836
2005-04-13,5.99174,5.99174,5.66591,5.67468,274596.80609255
2005-04-14,5.66591,5.70519,5.41404,5.45739,844720.8512303
2005-04-15,5.43995,5.59215,5.32693,5.3356,805805.61619211
2005-04-18,5.3356,5.47056,5.27031,5.32693,973487.86051697
2005-04-19,5.3965,5.68315,5.3356,5.65714,926325.66167518
2005-04-20,5.58338,5.60931,5.44862,5.52259,526936.84271807
2005-04-21,5.52259,5.71804,5.52259,5.64847,852923.6707021
2005-04-22,5.63552,5.65714,5.23154,5.34417,2129000.8600712
2005-04-25,5.43995,5.75283,5.41833,5.59644,1330171.051583
2005-04-26,5.56166,5.78323,5.24021,5.35753,1279926.7757578
2005-04-27,5.34417,5.60063,5.34417,5.47056,428896.29492153
2005-04-28,5.47056,5.47056,5.19665,5.22705,795723.65277819
2005-04-29,5.34417,5.43558,5.23572,5.42681,680835.01943983
2005-05-02,5.44435,5.44435,5.25755,5.3356,912297.79696692
2005-05-03,5.29234,5.41833,5.26184,5.37915,659525.34654585
2005-05-04,5.37477,5.44435,5.31396,5.43995,789442.11501976
2005-05-05,5.43118,5.51382,5.28347,5.3662,771732.21172766
2005-05-06,5.38783,5.55727,5.38783,5.52259,594839.85454184
2005-05-09,5.62665,5.62665,5.46179,5.5487,839538.90864567
2005-05-10,5.60063,5.60931,5.38344,5.49617,676587.13078479
2005-05-11,5.52259,5.5791,5.37048,5.39212,644845.34966335
