Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,6.65373,6.78882,6.62117,6.76615,1661962.5307942
2005-02-28,6.76363,6.80888,6.70247,6.76363,2400226.1600867
2005-03-01,6.80442,6.90027,6.78882,6.85695,3062670.8524503
2005-03-02,6.86645,6.89581,6.83176,6.88796,4969840.7160123
2005-03-03,6.90182,6.95609,6.8742,6.8742,3492020.5028846
2005-03-04,6.91413,7.05077,6.91093,7.05077,1956998.6599768
2005-03-07,7.09602,7.15495,7.07974,7.12568,2775859.8953818
2005-03-08,7.14284,7.16154,7.04273,7.14138,2667976.0985511
2005-03-09,7.14138,7.14138,6.9934,6.9934,2717367.3748333
2005-03-10,7.01036,7.08402,6.9934,7.08402,3449123.9240416
2005-03-11,7.08402,7.14284,7.04476,7.06124,2122076.863378
2005-03-14,7.06318,7.11832,7.06318,7.11832,3257197.0500546
2005-03-15,7.11832,7.12054,7.03962,7.04273,2468680.5187472
2005-03-16,7.09826,7.1095,6.97431,6.9809,1859958.9647329
2005-03-17,6.9809,7.09224,6.9809,7.03526,2663639.0770487
2005-03-18,7.03526,7.07974,7.0184,7.04844,2709127.7562996
2005-03-21,7.04844,7.04844,7.00522,7.03962,1640297.0291371
2005-03-22,7.03962,7.08402,6.96685,6.97867,2796208.709093
2005-03-23,6.93497,6.96685,6.89281,6.91413,2036727.4171468
2005-03-24,6.96995,7.03827,6.95967,6.98313,2165398.5797084
2005-03-28,7.02858,7.0653,7.02121,7.031,3111620.4810515
2005-03-29,7.072,7.14138,6.97217,6.97217,3147591.0336457
2005-03-30,6.95967,7.05077,6.94891,7.01036,3165782.1714202
2005-03-31,7.01036,7.12054,7.01036,7.11386,3431797.507661
2005-04-01,7.15495,7.20603,7.14807,7.166,3011544.9739445
2005-04-04,7.15853,7.19469,7.14138,7.18567,2053622.5047175
2005-04-05,7.18567,7.2693,7.18567,7.23325,1837001.5404202
2005-04-06,7.24682,7.31669,7.22501,7.23625,1750779.1176982
2005-04-07,7.20157,7.24992,7.15853,7.20603,2275012.8512142
2005-04-08,7.166,7.16823,7.06706,7.06976,3106419.7700421
2005-04-11,7.0528,7.1316,7.00522,7.11095,3304420.3315292
2005-04-12,7.11095,7.15495,6.9809,7.1316,5329882.6371505
2005-04-13,7.0909,7.0909,6.91761,6.93497,3446959.0248952
2005-04-14,6.92333,6.92333,6.79745,6.8147,3313954.9683796
2005-04-15,6.77487,6.80685,6.60624,6.62049,3513682.9088805
2005-04-18,6.57785,6.67175,6.48472,6.64811,2508529.9349693
2005-04-19,6.64239,6.78882,6.64239,6.77487,2979046.7214587
2005-04-20,6.80888,6.81616,6.65983,6.66158,4689096.2232344
2005-04-21,6.69347,6.80888,6.67399,6.75239,2056219.7645609
2005-04-22,6.75239,6.87556,6.74143,6.86645,2356031.4672655
2005-04-25,6.86926,6.95027,6.86926,6.92789,1717418.2075927
2005-04-26,6.92993,6.93293,6.80685,6.82032,1343084.65005
2005-04-27,6.83176,6.86402,6.74657,6.74929,2127717.158294
2005-04-28,6.69627,6.70597,6.59306,6.6234,17357417.364828
2005-04-29,6.6234,6.66158,6.45865,6.66158,3306150.8062043
2005-05-02,6.68165,6.81198,6.65373,6.81198,3198712.784603
2005-05-03,6.81198,6.82778,6.72254,6.74657,2249880.2088841
2005-05-04,6.78553,6.79745,6.71779,6.77264,2564423.1319002
2005-05-05,6.80888,6.93497,6.78553,6.86209,3584737.6230457
2005-05-06,6.86209,6.95027,6.84852,6.90609,2685731.7799673
2005-05-09,6.95861,6.95861,6.77487,6.81616,3080433.7570763
2005-05-10,6.8178,7.056,6.73252,6.92566,4448207.3380011
2005-05-11,6.96995,6.97867,6.90027,6.95027,5540451.5835768
2005-05-12,6.97673,6.98603,6.89009,6.9182,2837813.3652807
2005-05-13,6.93497,6.94891,6.65102,6.71779,4568658.4878839
2005-05-16,6.71779,6.8306,6.68377,6.82274,3588634.0287543
2005-05-17,6.79968,6.96995,6.79968,6.95027,2210899.6416045
2005-05-18,6.9809,7.02286,6.92333,6.98603,1843058.7177267
2005-05-19,6.9809,6.98603,6.94311,6.94891,11830411.270229
