Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,1.53343,1.56127,1.53343,1.56127,1460160.1998666
1990-03-27,1.54726,1.56852,1.54726,1.56852,3675529.1246481
1990-03-28,1.57537,1.58969,1.56127,1.58969,624971.29574209
1990-03-29,1.56852,1.56852,1.56852,1.56852,139389.30367627
1990-03-30,1.56852,1.57537,1.56852,1.57537,1096833.1289748
1990-04-02,1.57537,1.57537,1.5547,1.5547,997434.93529302
1990-04-03,1.56127,1.56127,1.5547,1.5547,220509.25809166
1990-04-04,1.5547,1.56127,1.48423,1.5547,1360759.9654055
1990-04-05,1.53343,1.5547,1.52637,1.53343,741503.87192613
1990-04-06,1.52637,1.54726,1.51961,1.51961,1737794.950455
1990-04-09,1.51961,1.53343,1.51961,1.52637,699229.12996171
1990-04-10,1.51961,1.53343,1.51961,1.51961,778067.49318635
1990-04-11,1.51961,1.53343,1.51961,1.52637,377036.005439
1990-04-12,1.53343,1.5547,1.52637,1.5547,518712.00225411
1990-04-16,1.53343,1.57537,1.53343,1.56852,390745.96037586
1990-04-17,1.56852,1.57537,1.56852,1.57537,302770.00810242
1990-04-18,1.56852,1.56852,1.5547,1.56127,1021425.3156532
1990-04-19,1.56127,1.56127,1.54726,1.54726,1419026.2534975
1990-04-20,1.54726,1.56127,1.52637,1.53343,1215655.4594666
1990-04-23,1.54726,1.54726,1.52637,1.53343,754069.97009875
1990-04-24,1.52637,1.54726,1.52637,1.54726,1252213.9787787
1990-04-25,1.53343,1.54726,1.52637,1.54726,650097.36974962
1990-04-26,1.53343,1.54726,1.52637,1.54726,1808632.4386676
1990-04-27,1.54726,1.54726,1.52637,1.53343,930025.9562041
1990-04-30,1.54726,1.5547,1.53343,1.5547,405596.71090808
1990-05-01,1.53343,1.56127,1.53343,1.54726,4549566.3023925
1990-05-02,1.54726,1.5547,1.53343,1.53343,670664.34293414
1990-05-03,1.53343,1.54726,1.53343,1.54726,4012577.0812615
1990-05-04,1.53343,1.5547,1.53343,1.5547,588400.53175452
1990-05-07,1.54726,1.57537,1.54726,1.57537,509568.2908676
1990-05-08,1.57537,1.6383,1.57537,1.61752,1083115.010921
1990-05-09,1.61027,1.6383,1.61027,1.6383,473009.77155548
1990-05-10,1.63143,1.6383,1.63143,1.6383,387315.41047277
1990-05-11,1.6383,1.64564,1.63143,1.6383,910597.73783571
1990-05-14,1.64564,1.66643,1.63143,1.66643,1299068.2293585
1990-05-15,1.66643,1.66643,1.65241,1.66643,419310.74740342
1990-05-16,1.68044,1.70866,1.66643,1.70866,807772.05541967
1990-05-17,1.70866,1.7506,1.70866,1.73659,1137960.9530062
1990-05-18,1.73659,1.7506,1.72239,1.72239,783777.59350093
1990-05-21,1.72953,1.7506,1.72953,1.72953,862613.91594633
1990-05-22,1.7506,1.7506,1.72239,1.72239,606682.85257944
1990-05-23,1.72239,1.72953,1.70866,1.70866,435301.2731414
1990-05-24,1.70866,1.72239,1.70866,1.70866,115397.90292639
1990-05-25,1.70866,1.70866,1.68749,1.69446,510710.10685259
1990-05-29,1.69446,1.70866,1.68044,1.70866,1654386.2621215
1990-05-30,1.70866,1.70866,1.66643,1.66643,834049.12891877
1990-05-31,1.66643,1.66643,1.66643,1.66643,379317.59662974
1990-06-01,1.66643,1.68749,1.66643,1.68044,514140.65675566
1990-06-04,1.68749,1.70866,1.68749,1.69446,308487.25114434
1990-06-05,1.70866,1.72239,1.69446,1.72239,470727.15997511
1990-06-06,1.72239,1.72239,1.70866,1.72239,1339048.1150671
1990-06-07,1.70866,1.72239,1.68044,1.68749,1374466.8591735
1990-06-08,1.68749,1.70866,1.68044,1.69446,2402747.1522952
1990-06-11,1.70866,1.73659,1.70866,1.73659,598685.03873641
