Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,4.7,4.8,4.58,4.65,2351715
2005-02-28,4.62,4.73,4.49,4.54,1295367
2005-03-01,4.75,4.8,4.63,4.73,2104081
2005-03-02,4.71,4.84,4.6,4.7,1441031
2005-03-03,4.69,4.75,4.43,4.52,2862403
2005-03-04,4.54,4.58,4.48,4.51,1279417
2005-03-07,4.49,4.72,4.49,4.62,1010020
2005-03-08,4.67,4.82,4.51,4.52,1075984
2005-03-09,4.52,4.67,4.47,4.51,1571674
2005-03-10,4.49,4.7,4.49,4.63,1231710
2005-03-11,4.66,4.73,4.49,4.5,1863009
2005-03-14,4.49,4.61,4.47,4.6,855753
2005-03-15,4.61,4.63,4.36,4.39,971249
2005-03-16,4.33,4.36,4.09,4.14,2107471
2005-03-17,4.12,4.3,4.08,4.21,1790089
2005-03-18,4.24,4.27,3.92,3.99,3520587
2005-03-21,3.99,4.0,3.77,3.9,1634166
2005-03-22,3.88,4.05,3.87,3.97,1239059
2005-03-23,3.95,4.03,3.95,3.98,703465
2005-03-24,3.97,4.03,3.96,3.99,771503
2005-03-28,4.01,4.06,3.93,3.96,742926
2005-03-29,3.95,4.0,3.86,3.86,1102825
2005-03-30,3.86,4.0,3.85,3.97,1237749
2005-03-31,3.98,3.98,3.8,3.95,1267578
2005-04-01,3.98,4.01,3.86,3.92,838704
2005-04-04,4.04,4.04,3.82,3.87,629663
2005-04-05,3.93,3.96,3.6,3.65,2296713
2005-04-06,3.66,3.76,3.58,3.71,1130838
2005-04-07,3.72,3.72,3.52,3.69,1172987
2005-04-08,3.7,3.85,3.63,3.72,1379350
2005-04-11,3.75,3.75,3.52,3.6,1297613
2005-04-12,3.56,3.67,3.51,3.6,1253552
2005-04-13,3.62,3.63,3.5,3.55,1463615
2005-04-14,3.54,3.55,3.22,3.3,2315508
2005-04-15,3.27,3.3,2.95,3.08,1920303
2005-04-18,3.09,3.1,2.88,2.88,1835374
2005-04-19,2.93,3.19,2.9,3.0,4207699
2005-04-20,3.1,3.17,3.0,3.04,1901519
2005-04-21,3.05,3.2,3.05,3.19,1327824
2005-04-22,3.2,3.22,2.97,3.0,1669806
2005-04-25,3.05,3.16,3.0,3.13,1348755
2005-04-26,3.1,3.22,3.05,3.06,619950
2005-04-27,3.04,3.13,3.0,3.0,1048304
2005-04-28,3.18,3.51,3.15,3.35,3715016
2005-04-29,3.36,3.49,3.3,3.44,1420701
2005-05-02,3.45,3.55,3.4,3.47,1431321
2005-05-03,3.45,3.58,3.45,3.48,1074913
2005-05-04,3.47,3.81,3.47,3.67,1883236
2005-05-05,3.72,3.75,3.45,3.5,1562227
2005-05-06,3.47,3.67,3.4,3.56,1387356
2005-05-09,3.55,3.63,3.5,3.57,2116205
2005-05-10,3.57,3.57,3.3,3.37,1436249
2005-05-11,3.38,3.43,3.28,3.37,710749
2005-05-12,3.35,3.44,3.28,3.34,570779
2005-05-13,3.31,3.59,3.2,3.5,1878745
2005-05-16,3.49,3.6,3.49,3.55,652803
2005-05-17,3.65,3.81,3.49,3.8,3213382
2005-05-18,3.84,3.9,3.8,3.88,1891595
2005-05-19,3.87,3.92,3.74,3.84,573333
2005-05-20,3.83,3.83,3.75,3.77,329022
2005-05-23,3.75,3.85,3.66,3.69,767023
2005-05-24,3.68,3.89,3.66,3.8,1258809
2005-05-25,3.76,4.22,3.76,4.13,7008412
2005-05-26,4.15,4.22,3.86,4.0,4251716
2005-05-27,4.18,4.38,4.11,4.38,3526216
2005-05-31,4.39,4.51,4.28,4.47,1932017
2005-06-01,4.46,4.57,4.34,4.45,1984037
2005-06-02,4.5,4.56,4.41,4.51,914309
2005-06-03,4.53,4.57,4.42,4.48,1170947
2005-06-06,4.77,4.77,4.61,4.64,3769410
2005-06-07,4.64,4.76,4.37,4.4,2412077
2005-06-08,4.47,4.79,4.46,4.75,2760314
2005-06-09,4.77,4.88,4.62,4.82,2011457
2005-06-10,4.82,5.0,4.79,5.0,2798290
2005-06-13,4.97,5.04,4.89,4.93,1646688
2005-06-14,4.97,4.98,4.75,4.84,1814066
2005-06-15,4.88,4.9,4.72,4.74,1799980
2005-06-16,4.78,4.97,4.71,4.92,1506365
2005-06-17,4.93,5.01,4.86,4.97,2130672
2005-06-20,4.86,4.97,4.81,4.9,1005647
2005-06-21,4.88,5.0,4.86,4.87,739172
2005-06-22,4.93,4.97,4.83,4.93,857126
2005-06-23,4.92,5.32,4.87,4.9,2186129
2005-06-24,4.89,4.98,4.72,4.86,2273490
2005-06-27,4.79,4.83,4.5,4.66,1976901
2005-06-28,4.71,4.86,4.65,4.85,1080450
2005-06-29,4.79,4.82,4.62,4.72,1346593
2005-06-30,4.74,4.77,4.55,4.6,1112318
2005-07-01,4.58,4.62,4.43,4.56,1674605
2005-07-05,4.51,4.64,4.45,4.5,2480363
2005-07-06,4.5,4.63,4.47,4.56,1076615
2005-07-07,4.48,4.55,4.4,4.44,1309336
2005-07-08,4.41,4.6,4.34,4.57,2951598
2005-07-11,4.62,4.79,4.58,4.66,3044065
2005-07-12,4.67,4.7,4.53,4.57,1680802
2005-07-13,4.55,4.78,4.54,4.72,3194573
2005-07-14,4.76,5.04,4.73,4.96,3823102
2005-07-15,4.92,5.14,4.91,5.1,2633085
2005-07-18,5.1,5.16,4.99,4.99,949238
2005-07-19,5.09,5.3,5.02,5.27,1779825
2005-07-20,5.19,5.5,5.06,5.46,3581368
2005-07-21,5.49,5.5,5.27,5.44,2530155
2005-07-22,5.44,5.6,5.35,5.6,1970576
2005-07-25,5.63,5.64,4.97,5.01,3815251
2005-07-26,5.18,5.7,5.17,5.58,7514274
2005-07-27,5.58,5.92,5.5,5.83,5070150
2005-07-28,5.8,5.94,5.68,5.77,2385017
2005-07-29,5.69,5.82,5.69,5.73,1158458
2005-08-01,5.75,5.85,5.71,5.77,924899
2005-08-02,5.75,5.93,5.75,5.87,1379297
2005-08-03,5.87,5.92,5.75,5.82,3022694
2005-08-04,5.79,5.83,5.51,5.57,3519516
2005-08-05,5.54,5.76,5.49,5.61,1641960
2005-08-08,5.69,5.69,5.44,5.5,1592437
2005-08-09,5.53,5.59,5.44,5.5,1131377
2005-08-10,5.5,5.54,5.3,5.39,1798980
2005-08-11,5.37,5.44,5.21,5.44,2182268
2005-08-12,5.35,5.44,5.24,5.32,1787800
2005-08-15,5.31,5.52,5.28,5.49,1746227
2005-08-16,5.48,5.48,5.23,5.25,2634770
2005-08-17,5.24,5.37,5.22,5.31,1174547
2005-08-18,5.3,5.33,5.2,5.2,720560
2005-08-19,5.23,5.36,5.2,5.31,835524
2005-08-22,5.3,5.51,5.3,5.5,2001858
2005-08-23,5.5,5.56,5.44,5.49,1917774
2005-08-24,5.48,5.55,5.4,5.52,1432519
2005-08-25,5.56,5.59,5.46,5.51,1228901
2005-08-26,5.5,5.56,5.35,5.37,1595200
2005-08-29,5.32,5.56,5.25,5.52,2628280
2005-08-30,5.5,5.62,5.5,5.61,1098055
2005-08-31,5.63,5.75,5.55,5.75,1903889
2005-09-01,5.73,5.79,5.63,5.74,1296169
2005-09-02,5.73,5.78,5.64,5.73,1355543
2005-09-06,5.74,5.78,5.69,5.75,878265
2005-09-07,5.74,5.85,5.7,5.84,798745
2005-09-08,5.84,5.9,5.77,5.8,1221079
2005-09-09,5.86,5.86,5.68,5.7,1783471
2005-09-12,5.71,5.72,5.52,5.55,2710143
2005-09-13,5.52,5.63,5.46,5.56,2042929
2005-09-14,5.55,5.6,5.51,5.52,1557214
2005-09-15,5.51,5.53,5.23,5.26,1914803
2005-09-16,5.29,5.29,5.22,5.26,2529674
2005-09-19,5.25,5.26,5.1,5.18,1582862
2005-09-20,5.2,5.24,5.11,5.19,1772914
2005-09-21,5.14,5.2,4.94,4.94,1257793
2005-09-22,4.93,5.05,4.85,4.89,2697549
2005-09-23,4.93,5.15,4.82,5.15,1362489
2005-09-26,5.21,5.23,5.01,5.04,1746210
2005-09-27,4.86,4.87,4.57,4.74,4016212
2005-09-28,4.75,4.79,4.62,4.7,1637807
2005-09-29,4.72,4.91,4.72,4.91,2830672
2005-09-30,4.89,5.26,4.89,5.15,2834224
2005-10-03,5.18,5.24,5.0,5.14,2988772
2005-10-04,5.11,5.32,5.09,5.16,3150796
2005-10-05,5.13,5.15,4.98,4.98,2096023
2005-10-06,4.98,5.08,4.76,4.77,2115167
2005-10-07,4.79,4.9,4.75,4.84,1397699
2005-10-10,4.88,4.9,4.75,4.87,1143584
2005-10-11,4.86,4.93,4.58,4.62,3395583
2005-10-12,4.62,4.64,4.43,4.47,2925527
2005-10-13,4.47,4.8,4.45,4.73,1637658
2005-10-14,4.74,4.82,4.6,4.81,972873
2005-10-17,4.8,4.97,4.8,4.92,1187705
2005-10-18,4.9,4.95,4.63,4.63,2376351
2005-10-19,4.61,4.66,4.51,4.66,2278885
2005-10-20,4.68,5.02,4.63,4.84,7702224
2005-10-21,4.84,4.85,4.32,4.55,2807341
2005-10-24,4.53,4.76,4.53,4.71,1511872
2005-10-25,4.7,4.78,4.5,4.56,1667634
2005-10-26,4.57,4.67,4.56,4.63,2224522
2005-10-27,4.69,4.71,4.51,4.54,2400762
2005-10-28,4.59,4.6,3.91,4.33,7602837
2005-10-31,4.22,4.68,4.22,4.64,4123791
2005-11-01,4.63,4.7,4.57,4.69,2742480
2005-11-02,4.7,5.03,4.65,5.03,3257750
2005-11-03,5.07,5.28,5.05,5.13,3319329
2005-11-04,5.14,5.19,4.98,5.0,1740395
2005-11-07,4.99,5.13,4.99,5.13,1169410
2005-11-08,5.12,5.17,4.93,5.11,1768971
2005-11-09,5.09,5.2,5.03,5.16,832669
2005-11-10,5.2,5.2,5.11,5.17,747032
2005-11-11,5.12,5.29,5.12,5.22,1342309
2005-11-14,5.2,5.22,4.97,5.11,4187818
2005-11-15,5.14,5.28,5.13,5.16,2578051
2005-11-16,5.17,5.28,5.17,5.23,1072073
2005-11-17,5.21,5.39,5.18,5.3,1107493
2005-11-18,5.34,5.47,5.28,5.43,1953323
2005-11-21,5.49,5.63,5.47,5.61,1966767
2005-11-22,5.6,5.69,5.52,5.53,1543756
2005-11-23,5.52,5.61,5.48,5.5,533307
2005-11-25,5.57,5.6,5.5,5.6,367528
2005-11-28,5.6,5.61,5.38,5.4,1330313
2005-11-29,5.42,5.54,5.42,5.51,1263605
2005-11-30,5.5,5.86,5.48,5.8,3920286
2005-12-01,5.95,6.35,5.92,6.18,6408160
2005-12-02,6.18,6.23,5.97,5.99,2667873
2005-12-05,6.03,6.03,5.79,5.85,1688679
2005-12-06,5.86,6.04,5.74,5.88,2477814
2005-12-07,5.92,5.96,5.73,5.74,1652204
2005-12-08,5.79,6.04,5.72,5.96,1683538
2005-12-09,5.93,6.01,5.76,6.0,1041453
2005-12-12,6.0,6.1,5.96,6.06,1075596
2005-12-13,6.07,6.1,5.87,6.0,2006368
2005-12-14,6.01,6.09,5.95,6.0,1465059
2005-12-15,6.15,6.2,5.65,5.67,7057585
2005-12-16,5.65,5.7,5.52,5.63,5752852
2005-12-19,5.63,5.71,5.52,5.59,2208641
2005-12-20,5.63,5.63,5.35,5.37,3650755
2005-12-21,5.4,5.62,5.27,5.57,4235661
2005-12-22,5.61,5.73,5.57,5.69,1679529
2005-12-23,5.66,5.74,5.66,5.69,906710
2005-12-27,5.72,5.79,5.5,5.53,1142278
2005-12-28,5.56,5.59,5.45,5.53,1642230
2005-12-29,5.5,5.72,5.5,5.66,2179159
2005-12-30,5.66,5.66,5.51,5.53,1151682
2006-01-03,5.54,5.77,5.54,5.77,2469142
2006-01-04,5.78,5.87,5.76,5.77,2435847
2006-01-05,5.76,6.02,5.75,5.9,3102094
2006-01-06,6.0,6.2,5.95,6.14,5058752
2006-01-09,6.19,6.48,6.14,6.37,3548113
2006-01-10,6.43,6.6,6.42,6.55,3508701
2006-01-11,6.55,6.9,6.51,6.85,4491057
2006-01-12,6.81,7.0,6.72,6.8,5013913
2006-01-13,6.77,6.98,6.76,6.94,2684700
2006-01-17,6.91,6.97,6.78,6.95,2576228
2006-01-18,6.65,6.94,6.65,6.86,2580250
2006-01-19,6.95,7.28,6.89,7.19,5483280
2006-01-20,7.21,7.24,6.88,6.88,4000167
2006-01-23,6.9,6.95,6.74,6.78,4929117
2006-01-24,6.78,7.28,6.77,7.27,6750924
2006-01-25,7.29,7.3,7.02,7.1,3706169
2006-01-26,7.2,7.6,7.15,7.55,5289442
2006-01-27,7.56,7.68,7.46,7.51,3763040
2006-01-30,7.53,7.65,7.51,7.53,2344275
2006-01-31,7.55,7.65,7.34,7.51,3987957
2006-02-01,7.44,7.57,7.0,7.56,3229395
2006-02-02,7.51,7.55,7.14,7.25,6659149
2006-02-03,7.34,7.43,6.78,6.86,6558764
2006-02-06,6.85,7.0,6.85,6.96,5678661
2006-02-07,6.96,6.99,6.69,6.71,2199913
2006-02-08,6.83,7.01,6.75,6.99,2935708
2006-02-09,7.01,7.13,6.86,6.88,3509744
2006-02-10,6.86,6.88,6.6,6.72,2720331
2006-02-13,6.75,6.82,6.68,6.75,2395087
2006-02-14,6.81,6.85,6.65,6.69,2630061
2006-02-15,6.7,6.79,6.64,6.72,2946843
2006-02-16,6.75,6.79,6.67,6.7,2785456
2006-02-17,6.66,6.75,6.48,6.65,1841286
2006-02-21,6.65,6.73,6.54,6.62,5273261
2006-02-22,6.65,6.75,6.5,6.63,3697782
2006-02-23,6.58,6.77,6.55,6.62,2335494
2006-02-24,6.6,6.73,6.56,6.57,2482143
2006-02-27,6.63,6.67,6.56,6.59,1875466
2006-02-28,6.61,6.68,6.46,6.59,5649345
2006-03-01,6.59,6.94,6.56,6.9,4848378
2006-03-02,6.91,7.2,6.85,6.94,4892817
2006-03-03,6.93,7.25,6.81,7.07,4131206
2006-03-06,7.08,7.35,6.96,7.02,4143611
2006-03-07,7.0,7.15,6.69,6.79,3517752
2006-03-08,6.78,6.93,6.61,6.91,1951767
2006-03-09,6.93,7.3,6.92,7.06,3074656
2006-03-10,7.06,7.15,6.94,7.03,1621747
2006-03-13,7.11,7.21,6.95,6.97,2500455
2006-03-14,6.99,7.16,6.96,7.12,3473994
2006-03-15,7.18,7.25,7.12,7.21,2164650
2006-03-16,7.2,7.21,6.96,7.02,3041455
2006-03-17,7.06,7.07,6.61,6.76,4131607
2006-03-20,6.75,6.85,6.55,6.66,4818624
2006-03-21,6.64,6.74,6.28,6.4,7972108
2006-03-22,6.36,6.62,6.34,6.5,3119607
2006-03-23,6.46,6.84,6.41,6.83,2303080
2006-03-24,6.84,7.0,6.76,6.96,1996027
2006-03-27,6.95,7.06,6.9,7.04,2273347
2006-03-28,7.0,7.12,7.0,7.05,3037245
2006-03-29,7.04,7.22,7.0,7.15,2926415
2006-03-30,7.2,7.29,7.1,7.17,1767900
2006-03-31,7.17,7.28,7.11,7.26,3112675
2006-04-03,7.27,7.54,7.26,7.45,5892098
2006-04-04,7.48,7.5,7.16,7.17,3269421
2006-04-05,6.92,7.38,6.81,7.31,6013397
2006-04-06,7.19,7.24,6.97,7.11,6254342
2006-04-07,7.15,7.17,6.88,6.99,7765991
2006-04-10,6.99,7.09,6.88,6.94,7215752
2006-04-11,7.0,7.01,6.55,6.64,4584154
2006-04-12,6.6,6.79,6.52,6.67,2119111
2006-04-13,6.64,6.76,6.56,6.69,3741699
2006-04-17,6.74,6.88,6.55,6.66,2949545
2006-04-18,6.67,7.14,6.66,7.1,3894261
2006-04-19,7.13,7.2,6.98,7.16,2345359
2006-04-20,7.13,7.14,6.94,7.07,4568623
2006-04-21,7.14,7.14,6.78,6.84,1701041
2006-04-24,6.85,6.89,6.59,6.73,3111008
2006-04-25,6.73,6.82,6.59,6.71,2827638
2006-04-26,6.75,6.88,6.67,6.82,2594742
2006-04-27,6.8,7.07,6.7,7.01,3780140
2006-04-28,6.96,7.2,6.93,7.17,3074609
2006-05-01,7.27,7.37,6.9,6.92,3705876
2006-05-02,7.11,7.14,6.89,7.11,2547433
2006-05-03,7.1,7.25,6.94,7.21,3158817
2006-05-04,7.25,7.25,7.09,7.13,1937544
2006-05-05,7.2,7.25,7.09,7.19,1854342
2006-05-08,7.19,7.22,6.98,7.0,3101452
2006-05-09,6.98,7.09,6.82,6.88,2562081
2006-05-10,6.88,6.91,6.61,6.62,3330685
2006-05-11,6.62,6.67,6.17,6.24,5184156
2006-05-12,6.25,6.37,6.1,6.11,6291324
2006-05-15,6.15,6.32,5.94,6.0,4171618
2006-05-16,6.0,6.08,5.78,5.82,3288622
2006-05-17,5.78,5.91,5.6,5.76,2628449
2006-05-18,5.83,5.89,5.6,5.69,3084655
2006-05-19,5.67,6.06,5.5,6.04,3777800
2006-05-22,5.97,6.03,5.53,5.78,4122082
2006-05-23,5.88,5.95,5.64,5.65,3398118
2006-05-24,5.77,6.02,5.59,5.93,9528727
2006-05-25,6.22,6.5,6.11,6.35,6210251
2006-05-26,6.35,6.45,6.24,6.34,3548589
2006-05-30,6.28,6.33,5.88,5.9,3886635
2006-05-31,6.1,6.12,5.97,6.04,4123475
2006-06-01,6.04,6.35,6.04,6.32,2863701
2006-06-02,6.35,6.5,6.08,6.13,5739338
2006-06-05,6.12,6.29,5.95,5.98,3600143
2006-06-06,5.99,6.12,5.9,6.11,3688792
2006-06-07,6.1,6.17,5.9,5.91,1853134
2006-06-08,5.89,5.91,5.52,5.87,3497986
2006-06-09,5.9,6.19,5.82,5.83,2794930
2006-06-12,5.84,5.89,5.54,5.55,2726833
2006-06-13,5.52,5.79,5.37,5.41,2779401
2006-06-14,5.5,5.65,5.39,5.47,3001781
2006-06-15,5.55,5.84,5.46,5.82,1372094
2006-06-16,5.8,5.85,5.52,5.6,3398173
2006-06-19,5.61,5.88,5.55,5.85,4409757
2006-06-20,5.82,5.96,5.76,5.85,2122617
2006-06-21,5.83,6.22,5.83,6.07,3291600
2006-06-22,6.06,6.11,5.95,6.0,1890388
2006-06-23,5.8,5.88,5.63,5.73,2516796
2006-06-26,5.76,5.84,5.63,5.68,3289926
2006-06-27,5.69,5.73,5.48,5.5,1843343
2006-06-28,5.54,5.59,5.39,5.49,1565019
2006-06-29,5.52,5.72,5.4,5.65,2902374
2006-06-30,5.71,5.88,5.55,5.88,4805534
2006-07-03,5.82,5.94,5.75,5.81,961968
2006-07-05,5.75,5.85,5.65,5.8,1468712
2006-07-06,5.95,6.0,5.81,5.87,2755289
2006-07-07,5.81,5.85,5.65,5.72,1447674
2006-07-10,5.76,6.01,5.72,5.86,3969138
2006-07-11,5.84,6.27,5.79,6.2,3863819
2006-07-12,6.19,6.24,5.91,5.94,2608086
2006-07-13,5.95,6.12,5.78,5.81,1892603
2006-07-14,5.76,5.93,5.69,5.81,1412379
2006-07-17,5.78,5.8,5.62,5.66,1494476
2006-07-18,5.63,5.71,5.32,5.47,3391508
2006-07-19,5.45,5.66,5.34,5.55,3224362
2006-07-20,5.58,5.73,5.41,5.45,2236291
2006-07-21,5.42,5.43,5.12,5.18,2375165
2006-07-24,5.24,5.55,5.23,5.51,3316338
2006-07-25,5.54,5.95,5.47,5.91,3953632
2006-07-26,5.9,5.9,5.66,5.85,3248146
2006-07-27,5.9,6.2,5.87,6.09,7166456
2006-07-28,6.35,6.45,5.74,6.11,12239017
