Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-03-02,0.16079,0.16079,0.152282,0.16079,9543377.8491311
1988-03-03,0.16079,0.16079,0.16079,0.16079,15334495.182508
1988-03-04,0.152282,0.16079,0.152282,0.16079,52196634.867904
1988-03-07,0.16079,0.169189,0.16079,0.16079,47171279.959147
1988-03-08,0.16079,0.169189,0.16079,0.169189,46903263.009566
1988-03-09,0.169189,0.177658,0.169189,0.177658,111036297.69085
1988-03-10,0.177658,0.177658,0.16079,0.169189,82186003.937895
1988-03-11,0.16079,0.169189,0.16079,0.169189,29625630.555288
1988-03-14,0.169189,0.169189,0.16079,0.169189,48252925.164089
1988-03-15,0.169189,0.177658,0.169189,0.169189,35359314.747664
1988-03-16,0.169189,0.169189,0.169189,0.169189,20560862.551041
1988-03-17,0.177658,0.186186,0.177658,0.177658,77323380.132244
1988-03-18,0.186186,0.186186,0.177658,0.186186,31473048.281209
1988-03-21,0.177658,0.186186,0.177658,0.177658,21833947.857319
1988-03-22,0.177658,0.177658,0.169189,0.169189,34545689.521211
1988-03-23,0.169189,0.169189,0.16079,0.169189,53067690.206449
1988-03-24,0.16079,0.169189,0.16079,0.16079,32707847.182637
1988-03-25,0.16079,0.16079,0.16079,0.16079,15927964.241942
1988-03-28,0.16079,0.169189,0.16079,0.169189,39743337.795154
1988-03-29,0.177658,0.177658,0.16079,0.169189,100506990.14409
1988-03-30,0.169189,0.169189,0.16079,0.16079,68756357.603037
1988-03-31,0.16079,0.169189,0.16079,0.169189,29702208.413167
1988-04-04,0.16079,0.169189,0.16079,0.169189,21345769.692539
1988-04-05,0.169189,0.169189,0.16079,0.169189,10548448.2251
1988-04-06,0.169189,0.169189,0.16079,0.169189,34890284.32867
1988-04-07,0.169189,0.169189,0.16079,0.169189,37781056.81614
1988-04-08,0.169189,0.169189,0.16079,0.16079,12635165.825284
1988-04-11,0.169189,0.177658,0.169189,0.169189,35254026.881918
1988-04-12,0.169189,0.169189,0.169189,0.169189,23231471.804038
1988-04-13,0.169189,0.177658,0.169189,0.177658,55499005.643001
1988-04-14,0.169189,0.177658,0.16079,0.16079,44960124.728159
1988-04-15,0.16079,0.16079,0.16079,0.16079,41313160.155239
1988-04-18,0.169189,0.169189,0.16079,0.16079,13324354.430569
1988-04-19,0.16079,0.169189,0.16079,0.16079,15497216.189255
1988-04-20,0.16079,0.16079,0.16079,0.16079,7868263.5847561
1988-04-21,0.16079,0.16079,0.152282,0.16079,33042868.622022
1988-04-22,0.16079,0.16079,0.16079,0.16079,8701031.508816
1988-04-25,0.16079,0.16079,0.16079,0.16079,19201623.999536
1988-04-26,0.16079,0.169189,0.16079,0.169189,14884607.461122
1988-04-27,0.169189,0.169189,0.16079,0.16079,27845222.367351
1988-04-28,0.16079,0.169189,0.16079,0.169189,18780450.32456
1988-04-29,0.169189,0.177658,0.169189,0.177658,47228717.138692
1988-05-02,0.177658,0.177658,0.169189,0.169189,24322689.367419
1988-05-03,0.169189,0.177658,0.169189,0.177658,30707280.808409
1988-05-04,0.177658,0.186186,0.177658,0.186186,90063830.794366
1988-05-05,0.186186,0.186186,0.177658,0.177658,28926869.591564
1988-05-06,0.186186,0.186186,0.177658,0.186186,16942607.985986
1988-05-09,0.177658,0.186186,0.177658,0.177658,25605351.070681
1988-05-10,0.177658,0.177658,0.169189,0.169189,36527113.197832
1988-05-11,0.169189,0.169189,0.16079,0.16079,21451066.64501
1988-05-12,0.16079,0.169189,0.16079,0.16079,18454998.214707
1988-05-13,0.169189,0.177658,0.169189,0.169189,33636335.662184
1988-05-16,0.177658,0.177658,0.169189,0.177658,30850860.127185
1988-05-17,0.186186,0.186186,0.177658,0.177658,28027092.12952
1988-05-18,0.177658,0.177658,0.16079,0.169189,24763010.788182
1988-05-19,0.16079,0.169189,0.16079,0.169189,17689227.713
1988-05-20,0.169189,0.169189,0.16079,0.16079,11027051.002533
1988-05-23,0.16079,0.169189,0.16079,0.16079,15746099.527952
1988-05-24,0.16079,0.169189,0.16079,0.16079,15315350.465629
1988-05-25,0.16079,0.169189,0.16079,0.169189,11620524.10051
1988-05-26,0.16079,0.169189,0.16079,0.16079,20321556.618963
1988-05-27,0.16079,0.169189,0.16079,0.16079,18454998.214707
1988-05-31,0.169189,0.177658,0.16079,0.177658,33215169.054659
1988-06-01,0.177658,0.177658,0.177658,0.177658,74557040.227401
1988-06-02,0.177658,0.186186,0.177658,0.177658,41294015.43836
1988-06-03,0.177658,0.186186,0.177658,0.186186,47860472.602975
1988-06-06,0.186186,0.194565,0.186186,0.186186,27012450.404747
1988-06-07,0.186186,0.194565,0.186186,0.194565,47984909.224144
1988-06-08,0.186186,0.194565,0.186186,0.194565,53125126.376358
1988-06-09,0.194565,0.203123,0.186186,0.203123,43179717.549859
1988-06-10,0.203123,0.203123,0.194565,0.194565,53862180.812383
1988-06-13,0.194565,0.203123,0.194565,0.194565,44376234.084981
1988-06-14,0.194565,0.203123,0.194565,0.203123,93624650.199148
1988-06-15,0.203123,0.203123,0.194565,0.194565,41686470.018745
1988-06-16,0.194565,0.194565,0.194565,0.194565,29702208.413167
1988-06-17,0.194565,0.194565,0.194565,0.194565,43553029.432637
1988-06-20,0.194565,0.194565,0.186186,0.194565,35206161.051176
1988-06-21,0.194565,0.194565,0.194565,0.194565,23231471.804038
1988-06-22,0.194565,0.194565,0.194565,0.194565,27232611.619946
1988-06-23,0.194565,0.194565,0.194565,0.194565,7016344.8860015
1988-06-24,0.194565,0.194565,0.194565,0.194565,13592371.380148
1988-06-27,0.194565,0.203123,0.194565,0.194565,27816509.330576
1988-06-28,0.194565,0.203123,0.194565,0.203123,29070448.91034
1988-06-29,0.203123,0.22001,0.203123,0.211571,145648984.63442
