Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,2.04272,2.07007,2.01529,2.07007,607418.39378208
1982-01-04,2.07007,2.08368,2.04929,2.07007,463788.51924031
1982-01-05,2.04929,2.0632,2.04272,2.04272,539274.70527425
1982-01-06,2.04272,2.04929,2.02911,2.04929,396524.03923198
1982-01-07,2.04272,2.04929,2.02911,2.04929,237328.95517912
1982-01-08,2.08368,2.13796,2.02911,2.02911,222346.19614994
1982-01-11,2.01529,2.04272,1.98814,1.98814,400636.40118386
1982-01-12,1.98814,2.00168,1.97473,2.00168,340717.43657977
1982-01-13,1.97473,2.00168,1.95415,1.97473,277865.09441902
1982-01-14,1.95415,1.97473,1.93378,1.93378,416202.61665433
1982-01-15,1.96131,1.98814,1.93378,1.96131,287855.27703743
1982-01-18,1.96131,1.97473,1.95415,1.97473,336601.05079037
1982-01-19,1.98814,2.00843,1.96131,2.00168,279036.03113918
1982-01-20,2.00168,2.00168,1.98814,2.00168,241734.05131102
1982-01-21,1.97473,1.98814,1.95415,1.97473,256128.32410197
1982-01-22,1.95415,1.97473,1.92025,1.93378,645312.88368597
1982-01-25,1.89968,1.92025,1.87254,1.89968,561309.23956825
1982-01-26,1.89968,1.92025,1.8791,1.88636,622692.8810319
1982-01-27,1.8791,1.88636,1.87254,1.88636,321919.0736163
1982-01-28,1.93378,2.00168,1.87254,2.00168,406806.95603043
1982-01-29,1.96131,2.00168,1.93378,1.94083,315757.57240416
1982-02-01,1.92025,1.94083,1.88636,1.88636,279332.78915674
1982-02-02,1.89968,1.9133,1.8791,1.88636,188277.36977417
1982-02-03,1.88636,1.89968,1.8791,1.89968,153324.305102
1982-02-04,1.9133,1.92025,1.88636,1.89968,199141.73109517
1982-02-05,1.9133,1.92025,1.88636,1.89968,217357.64357671
1982-02-08,1.89968,1.9133,1.8791,1.8791,259653.205775
1982-02-09,1.85902,1.87254,1.8456,1.85902,373327.62185226
1982-02-10,1.8791,1.9133,1.8456,1.88636,313402.62149189
1982-02-11,1.88636,1.89968,1.87254,1.89968,390652.25432173
1982-02-12,1.8791,1.89968,1.85902,1.87254,410628.59572103
1982-02-16,1.85902,1.87254,1.83149,1.87254,336896.80284855
1982-02-17,1.87254,1.8791,1.8456,1.85902,215890.95479838
1982-02-18,1.87254,1.87254,1.85902,1.87254,178878.69127213
1982-02-19,1.87254,1.8791,1.85902,1.87254,314284.84786953
1982-02-22,1.87254,1.88636,1.83149,1.83149,289022.18992006
1982-02-23,1.83149,1.8456,1.82482,1.8456,252605.45434769
1982-02-24,1.87254,1.89968,1.83149,1.89968,374792.29871183
1982-02-25,1.89968,1.9133,1.88636,1.88636,384775.43961457
1982-02-26,1.8791,1.88636,1.87254,1.8791,213537.0098455
1982-03-01,1.87254,1.8791,1.85902,1.8791,224107.63102708
1982-03-02,1.88636,1.9133,1.87254,1.88636,388596.07334579
1982-03-03,1.8456,1.87254,1.81797,1.83149,617406.56448173
1982-03-04,1.81797,1.8456,1.78437,1.79083,524591.7221408
1982-03-05,1.75683,1.78437,1.73625,1.74322,707877.5214636
1982-03-08,1.71577,1.77035,1.66129,1.66816,704052.86389485
1982-03-09,1.71577,1.77035,1.66129,1.72284,922589.49186678
1982-03-10,1.74322,1.77035,1.72284,1.75683,530167.75499286
1982-03-11,1.75683,1.77035,1.74322,1.75683,372442.37759647
1982-03-12,1.71577,1.74322,1.67473,1.67473,657351.19960528
1982-03-15,1.67473,1.70196,1.66129,1.68814,963116.57747226
1982-03-16,1.71577,1.72284,1.68814,1.71577,450862.94714647
1982-03-17,1.72284,1.74322,1.70196,1.70196,290198.15643712
