Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,0.380999,0.394846,0.380999,0.380999,166447.85738761
1990-03-27,0.394846,0.394846,0.380999,0.394846,125760.26345498
1990-03-28,0.394846,0.394846,0.380999,0.394846,876638.63851871
1990-03-29,0.380999,0.401818,0.380999,0.394846,1061588.1801827
1990-03-30,0.401818,0.401818,0.387991,0.401818,443866.05160182
1990-04-02,0.401818,0.401818,0.387991,0.401818,676904.2687945
1990-04-03,0.394846,0.408879,0.387991,0.408879,817456.49830514
1990-04-04,0.408879,0.408879,0.401818,0.401818,1657118.2808256
1990-04-05,0.401818,0.415627,0.401818,0.408879,1050487.5775023
1990-04-06,0.415627,0.422599,0.408879,0.422599,1516553.8147512
1990-04-09,0.422599,0.429591,0.408879,0.422599,647306.06069224
1990-04-10,0.429591,0.429591,0.408879,0.429591,432769.52777598
1990-04-11,0.415627,0.429591,0.415627,0.415627,469761.67947879
1990-04-12,0.422599,0.450372,0.422599,0.450372,3525060.3172059
1990-04-16,0.450372,0.450372,0.436643,0.436643,1353800.3798798
1990-04-17,0.429591,0.436643,0.415627,0.422599,847048.58812556
1990-04-18,0.436643,0.436643,0.422599,0.422599,569631.413625
1990-04-19,0.429591,0.429591,0.422599,0.422599,151653.85190467
1990-04-20,0.422599,0.429591,0.422599,0.429591,950615.80392886
1990-04-23,0.422599,0.429591,0.401818,0.408879,5026818.087047
1990-04-24,0.408879,0.408879,0.394846,0.394846,5470687.1977897
1990-04-25,0.394846,0.408879,0.380999,0.408879,15687078.846182
1990-04-26,0.408879,0.408879,0.394846,0.408879,3528759.8382902
1990-04-27,0.408879,0.408879,0.394846,0.394846,577029.4360801
1990-04-30,0.387991,0.401818,0.387991,0.394846,1006105.5610535
1990-05-01,0.401818,0.401818,0.380999,0.387991,3854261.6094649
1990-05-02,0.394846,0.394846,0.360297,0.374066,13615688.643003
1990-05-03,0.367152,0.380999,0.367152,0.380999,447567.61211348
1990-05-04,0.380999,0.380999,0.353432,0.353432,3684114.2309929
1990-05-07,0.360297,0.367152,0.360297,0.360297,4394307.0515512
1990-05-08,0.367152,0.367152,0.360297,0.360297,1535046.3216049
1990-05-09,0.367152,0.367152,0.360297,0.367152,1253927.5865927
1990-05-10,0.367152,0.367152,0.360297,0.360297,758274.35809157
1990-05-11,0.367152,0.374066,0.360297,0.374066,1834660.6226117
1990-05-14,0.380999,0.387991,0.380999,0.387991,8411325.1550285
1990-05-15,0.380999,0.394846,0.380999,0.387991,3820972.0379873
1990-05-16,0.394846,0.401818,0.387991,0.387991,1446272.091571
1990-05-17,0.401818,0.401818,0.387991,0.394846,3436289.1463128
1990-05-18,0.394846,0.394846,0.374066,0.387991,1816166.0763309
1990-05-21,0.387991,0.387991,0.374066,0.380999,850746.06978266
1990-05-22,0.387991,0.394846,0.380999,0.394846,1364897.9234194
1990-05-23,0.387991,0.394846,0.380999,0.394846,1494356.6882451
