Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,13.7429,13.9743,13.7039,13.9743,804272.60496657
2005-02-28,13.9743,14.0661,13.8503,14.0319,1076014.7068488
2005-03-01,14.0261,14.2126,14.0261,14.1481,584616.90643933
2005-03-02,14.0319,14.0319,13.8093,13.8806,813437.21485672
2005-03-03,13.9206,13.9743,13.779,13.9743,573666.27803889
2005-03-04,14.0359,14.2184,13.986,14.2019,549416.77557056
2005-03-07,14.0563,14.3425,14.0534,14.2819,452790.5115225
2005-03-08,14.2819,14.2819,14.0319,14.0534,413812.50090351
2005-03-09,13.9743,13.9792,13.3611,13.4988,1055729.4690899
2005-03-10,13.4988,13.8561,13.4988,13.779,709261.3358673
2005-03-11,13.7742,13.7742,13.4294,13.4676,850968.18180884
2005-03-14,13.5222,13.8767,13.5222,13.8767,648375.92388836
2005-03-15,13.8679,13.9743,13.6032,13.6032,556967.41460511
2005-03-16,13.6032,13.6032,13.3797,13.4119,623052.14767159
2005-03-17,13.4861,13.6979,13.4676,13.6248,677832.94018968
2005-03-18,13.7126,13.7126,13.3572,13.45,859955.62357843
2005-03-21,13.3972,13.5642,13.3269,13.4353,424946.44198361
2005-03-22,13.5125,13.5583,13.1736,13.1736,942216.93255562
2005-03-23,12.9149,13.2966,12.8787,13.0926,781284.78529908
2005-03-24,13.1394,13.3972,13.0565,13.0565,1155047.0500215
2005-03-28,13.3347,13.3611,13.0281,13.1951,1152353.6849516
2005-03-29,13.1248,13.3064,13.1248,13.1668,872352.27155255
2005-03-30,13.3064,13.3347,13.1951,13.2674,987296.49035592
2005-03-31,13.3493,13.3669,13.0565,13.0701,908091.0754353
2005-04-01,13.2087,13.3493,13.074,13.2615,713755.0567521
2005-04-04,13.2527,13.2527,13.0008,13.0565,567194.00912551
2005-04-05,13.0565,13.1102,13.0281,13.0847,1204434.9678406
2005-04-06,13.1102,13.1912,13.0096,13.0565,1021962.0445834
2005-04-07,13.0623,13.2459,13.0565,13.2459,667416.88843051
2005-04-08,13.28,13.3122,13.1736,13.2527,555882.89992485
2005-04-11,13.2459,13.321,13.1795,13.321,525880.04195725
2005-04-12,13.3572,13.5125,13.2332,13.4676,828695.17918274
2005-04-13,13.5173,13.5476,13.3729,13.45,580126.25783407
2005-04-14,13.3669,13.4861,13.3611,13.4294,657895.89411284
2005-04-15,13.3729,13.5476,13.3493,13.4119,625744.48864837
2005-04-18,13.4792,13.5281,13.4001,13.446,825288.02116457
2005-04-19,13.4236,13.6032,13.4236,13.6032,576539.88350898
2005-04-20,13.6032,13.6726,13.4626,13.5407,747163.02455148
