Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1980-01-02,0.590078,0.596221,0.590078,0.590078,64945.967877325
1980-01-03,0.590078,0.596221,0.590078,0.590078,86700.570466697
1980-01-04,0.590078,0.596221,0.590078,0.596221,43198.542317747
1980-01-07,0.596221,0.596221,0.590078,0.596221,38464.778524971
1980-01-08,0.596221,0.596221,0.590078,0.590078,48554.657122483
1980-01-09,0.590078,0.596221,0.583542,0.590078,302977.2873772
1980-01-10,0.590078,0.590078,0.583542,0.590078,36887.882550682
1980-01-11,0.590078,0.590078,0.583542,0.583542,62423.75455044
1980-01-14,0.583542,0.590078,0.583542,0.583542,55170.85330069
1980-01-15,0.583542,0.590078,0.583542,0.583542,65260.731898201
1980-01-16,0.583542,0.590078,0.583542,0.590078,76613.767739096
1980-01-17,0.590078,0.590078,0.577398,0.583542,229831.05031758
1980-01-18,0.583542,0.583542,0.571058,0.571058,165207.02349093
1980-01-21,0.571058,0.577398,0.551941,0.558183,139669.10091123
1980-01-22,0.558183,0.571058,0.551941,0.558183,90482.865167054
1980-01-23,0.558183,0.571058,0.558183,0.558183,48554.657122483
1980-01-24,0.558183,0.564816,0.558183,0.558183,87648.963689204
1980-01-25,0.558183,0.558183,0.545699,0.551941,251905.54337769
1980-01-28,0.551941,0.564816,0.551941,0.551941,133675.25574498
1980-01-29,0.551941,0.564816,0.551941,0.558183,84176.30655987
1980-01-30,0.558183,0.558183,0.539262,0.545699,330725.73513281
1980-01-31,0.545699,0.545699,0.545699,0.545699,65260.731898201
1980-02-01,0.545699,0.551941,0.545699,0.545699,58321.569379355
1980-02-04,0.545699,0.558183,0.545699,0.558183,231411.02216178
1980-02-05,0.551941,0.551941,0.539262,0.545699,187594.22999196
1980-02-06,0.545699,0.545699,0.539262,0.545699,57698.193077427
1980-02-07,0.545699,0.551941,0.545699,0.545699,149438.06374805
1980-02-08,0.545699,0.558183,0.545699,0.551941,136200.54494177
1980-02-11,0.551941,0.551941,0.532727,0.539262,121383.05429131
1980-02-12,0.539262,0.539262,0.514001,0.520048,178129.77827632
1980-02-13,0.520048,0.532727,0.520048,0.520048,303924.65530974
1980-02-14,0.520048,0.526583,0.520048,0.520048,60529.018685366
1980-02-15,0.520048,0.520048,0.514001,0.520048,169930.534384
1980-02-19,0.520048,0.520048,0.507759,0.507759,219750.3993298
1980-02-20,0.507759,0.514001,0.500737,0.507759,188843.03317576
1980-02-21,0.507759,0.514001,0.500737,0.514001,152904.56913755
1980-02-22,0.514001,0.514001,0.500737,0.514001,158581.59970299
1980-02-25,0.514001,0.514001,0.500737,0.514001,117910.39716198
1980-02-26,0.514001,0.514001,0.507759,0.514001,93323.943674697
1980-02-27,0.514001,0.514001,0.507759,0.507759,193265.10881756
1980-02-28,0.507759,0.514001,0.507759,0.507759,104987.64237658
1980-02-29,0.507759,0.539262,0.507759,0.539262,103724.4851332
1980-03-03,0.539262,0.539262,0.514001,0.526583,93006.10378391
1980-03-04,0.514001,0.514001,0.507759,0.514001,117910.39716198
1980-03-05,0.514001,0.520048,0.500737,0.507759,183488.96895097
1980-03-06,0.507759,0.507759,0.494787,0.500737,102777.11720067
1980-03-07,0.500737,0.507759,0.494787,0.500737,109087.77696772
1980-03-10,0.507759,0.520048,0.507759,0.520048,103097.00767139
1980-03-11,0.520048,0.539262,0.520048,0.532727,87648.963689204
1980-03-12,0.532727,0.539262,0.514001,0.520048,249070.61660986
1980-03-13,0.520048,0.520048,0.514001,0.514001,93323.943674697
1980-03-14,0.514001,0.526583,0.507759,0.514001,119175.6049853
1980-03-17,0.514001,0.520048,0.507759,0.514001,72823.270718976
1980-03-18,0.514001,0.526583,0.507759,0.514001,86380.679995969
1980-03-19,0.514001,0.526583,0.514001,0.520048,128947.64369203
1980-03-20,0.520048,0.526583,0.514001,0.514001,61794.22650869
1980-03-21,0.514001,0.526583,0.514001,0.520048,60849.934446063
1980-03-24,0.520048,0.520048,0.507759,0.514001,92377.601032128
1980-03-25,0.514001,0.514001,0.507759,0.507759,67463.054754359
1980-03-26,0.507759,0.514001,0.507759,0.507759,66208.099830739
1980-03-27,0.507759,0.507759,0.494787,0.500737,189801.67929798
1980-03-28,0.507759,0.514001,0.507759,0.507759,80395.037149484
1980-03-31,0.514001,0.526583,0.514001,0.526583,146602.11169025
1980-04-01,0.526583,0.539262,0.520048,0.539262,169619.871523
1980-04-02,0.539262,0.545699,0.526583,0.539262,122955.84910571
1980-04-03,0.539262,0.558183,0.539262,0.558183,93634.606535691
1980-04-07,0.558183,0.558183,0.551941,0.558183,56431.959964133
1980-04-08,0.558183,0.564816,0.558183,0.558183,55802.431922381
1980-04-09,0.558183,0.577398,0.558183,0.571058,326309.81123083
1980-04-10,0.577398,0.583542,0.577398,0.577398,241182.03557854
1980-04-11,0.577398,0.577398,0.571058,0.577398,58641.459850083
1980-04-14,0.577398,0.583542,0.558183,0.571058,129583.32347359
1980-04-15,0.571058,0.571058,0.564816,0.564816,64319.515705485
1980-04-16,0.571058,0.596221,0.571058,0.596221,362566.11515981
1980-04-17,0.596221,0.596221,0.590078,0.596221,89858.463575155
1980-04-18,0.596221,0.602463,0.596221,0.602463,219428.45827913
1980-04-21,0.602463,0.615338,0.596221,0.596221,360678.55632453
1980-04-22,0.596221,0.615338,0.596221,0.615338,195787.32214445
1980-04-23,0.615338,0.628018,0.615338,0.621775,316221.98321326
1980-04-24,0.621775,0.647134,0.621775,0.633967,427828.89763796
1980-04-25,0.633967,0.633967,0.621775,0.628018,90482.865167054
1980-04-28,0.628018,0.633967,0.628018,0.628018,77874.874402538
1980-04-29,0.628018,0.633967,0.628018,0.628018,86073.093004886
1980-04-30,0.628018,0.633967,0.628018,0.633967,54858.139859755
1980-05-01,0.633967,0.633967,0.628018,0.628018,171192.66633742
1980-05-02,0.628018,0.633967,0.621775,0.621775,119804.10773708
1980-05-05,0.621775,0.633967,0.621775,0.628018,2051492.4486307
1980-05-06,0.628018,0.628018,0.621775,0.621775,464399.96558783
1980-05-07,0.633967,0.647134,0.633967,0.640795,84492.095870716
1980-05-08,0.647134,0.647134,0.647134,0.647134,618254.97852782
1980-05-09,0.647134,0.653084,0.647134,0.647134,658927.20635881
1980-05-12,0.647134,0.647134,0.647134,0.647134,232043.62607345
1980-05-13,0.647134,0.653084,0.647134,0.653084,266400.06768751
1980-05-14,0.653084,0.659911,0.653084,0.653084,402604.71378917
1980-05-15,0.653084,0.653084,0.647134,0.653084,195787.32214445
1980-05-16,0.653084,0.659911,0.647134,0.653084,144712.50227502
1980-05-19,0.653084,0.653084,0.633967,0.640795,437915.70036556
1980-05-20,0.640795,0.647134,0.633967,0.640795,119487.29313626
1980-05-21,0.640795,0.640795,0.628018,0.633967,151332.79961312
1980-05-22,0.633967,0.633967,0.628018,0.633967,78819.166465165
1980-05-23,0.633967,0.633967,0.628018,0.633967,166147.21439367
1980-05-27,0.640795,0.640795,0.628018,0.640795,98682.109059371
1980-05-28,0.640795,0.653084,0.640795,0.653084,762016.01171044
1980-05-29,0.653084,0.653084,0.640795,0.653084,127686.53702858
1980-05-30,0.653084,0.659911,0.647134,0.653084,223845.4074711
1980-06-02,0.653084,0.653084,0.640795,0.653084,116018.73716681
1980-06-03,0.653084,0.653084,0.640795,0.647134,61476.386617903
1980-06-04,0.647134,0.653084,0.640795,0.653084,171511.53151817
1980-06-05,0.653084,0.653084,0.640795,0.640795,85437.413223313
1980-06-06,0.640795,0.647134,0.640795,0.640795,135566.91574014
1980-06-09,0.640795,0.647134,0.633967,0.640795,72823.270718976
1980-06-10,0.640795,0.640795,0.628018,0.640795,129899.11278445
1980-06-11,0.640795,0.647134,0.628018,0.647134,69995.520980947
1980-06-12,0.647134,0.653084,0.647134,0.653084,85124.699782378
1980-06-13,0.653084,0.665958,0.653084,0.653084,374231.86444165
1980-06-16,0.653084,0.665958,0.653084,0.665958,219428.45827913
1980-06-17,0.665958,0.678539,0.659911,0.665958,438864.09358807
1980-06-18,0.665958,0.678539,0.665958,0.678539,470388.68430422
1980-06-19,0.678539,0.678539,0.665958,0.665958,145655.76904769
1980-06-20,0.665958,0.672492,0.659911,0.665958,181280.49435499
1980-06-23,0.665958,0.672492,0.659911,0.659911,531554.40806113
1980-06-24,0.659911,0.672492,0.659911,0.659911,251905.54337769
1980-06-25,0.659911,0.672492,0.659911,0.665958,102464.40375972
1980-06-26,0.672492,0.678539,0.672492,0.678539,904522.08996942
1980-06-27,0.678539,0.685367,0.678539,0.678539,114757.63050337
1980-06-30,0.678539,0.678539,0.672492,0.672492,139983.8649321
1980-07-01,0.672492,0.678539,0.672492,0.678539,99946.291592726
1980-07-02,0.678539,0.678539,0.653084,0.665958,70932.636013781
1980-07-03,0.665958,0.678539,0.665958,0.678539,121383.05429131
1980-07-07,0.678539,0.685367,0.678539,0.678539,115073.41981422
1980-07-08,0.678539,0.678539,0.678539,0.678539,99308.561231211
1980-07-09,0.678539,0.678539,0.672492,0.672492,120751.47566962
1980-07-10,0.672492,0.678539,0.672492,0.672492,74087.453252329
1980-07-11,0.672492,0.678539,0.672492,0.672492,95846.157001581
1980-07-14,0.672492,0.678539,0.672492,0.672492,73462.02637046
1980-07-15,0.672492,0.678539,0.672492,0.678539,103097.00767139
1980-07-16,0.678539,0.685367,0.672492,0.678539,192635.58077582
1980-07-17,0.678539,0.678539,0.653084,0.672492,2310965.657279
1980-07-18,0.672492,0.672492,0.653084,0.665958,67149.316023454
1980-07-21,0.665958,0.672492,0.659911,0.665958,110025.91729053
1980-07-22,0.665958,0.672492,0.665958,0.672492,179396.01138961
1980-07-23,0.665958,0.665958,0.653084,0.653084,141874.4996373
1980-07-24,0.653084,0.659911,0.653084,0.659911,145970.53306857
1980-07-25,0.659911,0.659911,0.653084,0.653084,95214.57837989
1980-07-28,0.653084,0.653084,0.653084,0.653084,90800.70505784
1980-07-29,0.653084,0.659911,0.653084,0.653084,126737.1185161
1980-07-30,0.653084,0.659911,0.653084,0.653084,92377.601032128
1980-07-31,0.653084,0.653084,0.640795,0.653084,660184.21186237
1980-08-01,0.647134,0.647134,0.633967,0.640795,116338.62763753
1980-08-04,0.640795,0.640795,0.628018,0.628018,138406.96895781
1980-08-05,0.628018,0.640795,0.628018,0.628018,173402.16622336
1980-08-06,0.628018,0.628018,0.621775,0.621775,176548.78114215
1980-08-07,0.621775,0.628018,0.615338,0.621775,661760.08254668
1980-08-08,0.621775,0.628018,0.621775,0.621775,147234.71560191
1980-08-11,0.621775,0.633967,0.621775,0.628018,78186.562553503
1980-08-12,0.628018,0.628018,0.621775,0.628018,313068.19126468
1980-08-13,0.628018,0.633967,0.621775,0.628018,168041.95025874
1980-08-14,0.628018,0.633967,0.621775,0.628018,98056.682177501
1980-08-15,0.628018,0.640795,0.628018,0.633967,54858.139859755
1980-08-18,0.633967,0.633967,0.628018,0.628018,117910.39716198
1980-08-19,0.628018,0.633967,0.628018,0.633967,459354.51364409
1980-08-20,0.633967,0.640795,0.621775,0.628018,112241.5689163
1980-08-21,0.628018,0.640795,0.621775,0.628018,108767.88649701
1980-08-22,0.628018,0.633967,0.628018,0.633967,64945.967877325
1980-08-25,0.633967,0.633967,0.628018,0.633967,291945.16729699
