Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1977-01-03,0.994079,1.00809,0.994079,1.00809,513176.94793544
1977-01-04,1.00809,1.00809,0.994079,0.994079,1427193.185334
1977-01-05,0.994079,0.994079,0.979858,0.987113,1062099.36546
1977-01-06,0.987113,0.994079,0.987113,0.994079,474877.28333308
1977-01-07,0.994079,0.994079,0.987113,0.987113,449348.5937972
1977-01-10,0.987113,0.994079,0.987113,0.994079,776148.86934455
1977-01-11,0.994079,1.00114,0.979858,0.979858,597430.70181261
1977-01-12,0.979858,0.979858,0.972897,0.979858,502962.20797412
1977-01-13,0.979858,0.994079,0.979858,0.994079,362545.7451364
1977-01-14,0.994079,0.994079,0.972897,0.979858,186382.79266369
1977-01-17,0.979858,0.979858,0.972897,0.972897,479988.73349747
1977-01-18,0.972897,0.972897,0.958879,0.966035,1151456.4091341
1977-01-19,0.958879,0.958879,0.951624,0.951624,495307.78330167
1977-01-20,0.951624,0.958879,0.937605,0.94486,911462.04238533
1977-01-21,0.94486,0.951624,0.937605,0.94486,451902.7888105
1977-01-24,0.937605,0.937605,0.930742,0.937605,543815.04754384
1977-01-25,0.937605,0.937605,0.930742,0.930742,589771.17691051
1977-01-26,0.930742,0.937605,0.902313,0.909763,1365922.0863469
1977-01-27,0.909763,0.909763,0.888097,0.895548,645940.00614665
1977-01-28,0.895548,0.902313,0.895548,0.902313,454458.00386974
1977-01-31,0.902313,0.902313,0.895548,0.902313,497862.9983609
1977-02-01,0.902313,0.909763,0.902313,0.909763,776148.86934455
1977-02-02,0.909763,0.923782,0.909763,0.909763,352331.00517507
1977-02-03,0.909763,0.909763,0.909763,0.909763,566797.70243387
1977-02-04,0.909763,0.916037,0.909763,0.909763,725084.34995128
1977-02-07,0.909763,0.916037,0.909763,0.916037,296160.13584708
1977-02-08,0.916037,0.923782,0.916037,0.916037,209353.20700254
1977-02-09,0.916037,0.916037,0.902313,0.909763,929335.28720282
1977-02-10,0.909763,0.916037,0.909763,0.916037,671471.75582031
1977-02-11,0.916037,0.916037,0.909763,0.909763,1054437.800466
1977-02-14,0.909763,0.909763,0.902313,0.909763,314036.44080237
1977-02-15,0.909763,0.916037,0.909763,0.916037,352331.00517507
1977-02-16,0.916037,0.930742,0.916037,0.923782,829762.48352145
1977-02-17,0.923782,0.930742,0.916037,0.916037,311478.16560535
1977-02-18,0.916037,0.923782,0.916037,0.923782,788917.80431918
1977-02-22,0.923782,0.923782,0.923782,0.923782,495307.78330167
1977-02-23,0.923782,0.930742,0.916037,0.916037,293607.98092564
1977-02-24,0.916037,0.916037,0.902313,0.902313,906359.77263432
1977-02-25,0.902313,0.930742,0.902313,0.923782,1355704.2862478
1977-02-28,0.923782,0.930742,0.923782,0.930742,648489.10093028
1977-03-01,0.930742,0.958879,0.930742,0.951624,796575.28912941
