Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-07-09,0.529414,0.529414,0.522825,0.529414,9118978.1188823
1986-07-10,0.529414,0.529414,0.522825,0.529414,1611131.1942946
1986-07-11,0.522825,0.529414,0.522825,0.529414,4000965.1146513
1986-07-14,0.529414,0.529414,0.516137,0.516137,649819.44256518
1986-07-15,0.509547,0.516137,0.502659,0.509547,4038559.9120849
1986-07-16,0.509547,0.509547,0.502659,0.502659,1117046.8879067
1986-07-17,0.502659,0.502659,0.502659,0.502659,6729139.1901599
1986-07-18,0.502659,0.502659,0.49609,0.502659,3587444.3796902
1986-07-21,0.502659,0.516137,0.49609,0.509547,6503583.4273089
1986-07-22,0.516137,0.529414,0.516137,0.522825,1122415.8561004
1986-07-23,0.536103,0.542892,0.536103,0.542892,1879647.7177535
1986-07-24,0.536103,0.536103,0.529414,0.529414,13366982.882544
1986-07-25,0.536103,0.576635,0.529414,0.569847,20745941.515269
1986-07-28,0.569847,0.576635,0.556469,0.556469,3055769.2825613
1986-07-29,0.556469,0.563157,0.556469,0.563157,3925779.5264764
1986-07-30,0.556469,0.569847,0.556469,0.563157,4033188.9405449
1986-07-31,0.563157,0.576635,0.563157,0.569847,7362849.7247977
1986-08-01,0.569847,0.569847,0.556469,0.556469,16535531.549041
1986-08-04,0.556469,0.556469,0.542892,0.556469,6412287.9295336
1986-08-05,0.54968,0.556469,0.54968,0.556469,1729276.5414041
1986-08-06,0.563157,0.563157,0.556469,0.563157,794822.65239414
1986-08-07,0.563157,0.563157,0.556469,0.556469,767971.80138678
1986-08-08,0.563157,0.569847,0.563157,0.569847,4156708.2642139
1986-08-11,0.569847,0.569847,0.563157,0.569847,4215780.9377685
1986-08-12,0.576635,0.596502,0.576635,0.590012,1519827.683134
1986-08-13,0.596502,0.623557,0.596502,0.623557,3522999.7329223
1986-08-14,0.623557,0.630146,0.616768,0.630146,1874278.7495599
1986-08-15,0.616768,0.630146,0.616768,0.623557,703527.1546189
1986-08-18,0.623557,0.636735,0.616768,0.630146,1321126.7779831
1986-08-19,0.636735,0.650512,0.636735,0.636735,4478930.4963801
1986-08-20,0.636735,0.643424,0.630146,0.636735,2878544.250185
1986-08-21,0.643424,0.643424,0.636735,0.643424,10891217.42424
1986-08-22,0.636735,0.643424,0.636735,0.643424,6900995.2543426
1986-08-25,0.636735,0.636735,0.623557,0.630146,1804463.1312519
1986-08-26,0.630146,0.636735,0.623557,0.636735,692785.21153889
1986-08-27,0.636735,0.636735,0.630146,0.636735,477965.38172887
1986-08-28,0.630146,0.636735,0.630146,0.630146,515561.18083575
1986-08-29,0.636735,0.636735,0.630146,0.636735,5783945.3614163
1986-09-02,0.636735,0.636735,0.630146,0.636735,853893.3226025
1986-09-03,0.630146,0.630146,0.623557,0.630146,4060041.7948986
1986-09-04,0.630146,0.630146,0.623557,0.623557,1906502.5754536
1986-09-05,0.630146,0.630146,0.616768,0.616768,2524098.192125
1986-09-08,0.610079,0.623557,0.60329,0.610079,6675434.4831257
1986-09-09,0.610079,0.610079,0.60329,0.610079,3141697.8154892
1986-09-10,0.60329,0.610079,0.60329,0.60329,1761498.3639514
1986-09-11,0.60329,0.610079,0.590012,0.590012,5160977.7715316
1986-09-12,0.583324,0.596502,0.556469,0.556469,3845223.9684349
1986-09-15,0.563157,0.569847,0.556469,0.563157,2652989.4890072
1986-09-16,0.556469,0.556469,0.536103,0.536103,2690584.2864408
1986-09-17,0.536103,0.54968,0.536103,0.54968,2738915.0169156
1986-09-18,0.54968,0.54968,0.542892,0.542892,2803355.6569908
1986-09-19,0.542892,0.556469,0.542892,0.54968,2679841.3416877
1986-09-22,0.556469,0.576635,0.54968,0.576635,816303.53353465
1986-09-23,0.583324,0.596502,0.576635,0.590012,1691683.7473167
1986-09-24,0.596502,0.596502,0.583324,0.590012,198705.91351682
1986-09-25,0.590012,0.590012,0.569847,0.569847,1133157.7991804
1986-09-26,0.576635,0.576635,0.569847,0.576635,236297.70593102
1986-09-29,0.569847,0.569847,0.563157,0.569847,3582072.4064771
1986-09-30,0.569847,0.576635,0.569847,0.576635,4006335.084518
1986-10-01,0.576635,0.576635,0.569847,0.576635,1713166.6318036
1986-10-02,0.576635,0.576635,0.569847,0.576635,859269.30250837
1986-10-03,0.576635,0.583324,0.569847,0.583324,1439274.1284389
1986-10-06,0.583324,0.596502,0.576635,0.596502,1025748.385112
1986-10-07,0.583324,0.596502,0.583324,0.590012,4516527.2971602
1986-10-08,0.590012,0.596502,0.590012,0.590012,1278158.0039898
1986-10-09,0.596502,0.596502,0.590012,0.590012,1068714.1540857
1986-10-10,0.596502,0.596502,0.583324,0.596502,2454281.572144
1986-10-13,0.590012,0.596502,0.590012,0.596502,145004.21150213
1986-10-14,0.590012,0.596502,0.590012,0.590012,896863.0982689
1986-10-15,0.596502,0.596502,0.590012,0.596502,912973.0078694
1986-10-16,0.596502,0.596502,0.590012,0.590012,1074084.1239525
1986-10-17,0.596502,0.596502,0.590012,0.596502,789449.67750779
1986-10-20,0.596502,0.596502,0.590012,0.590012,537045.06699578
1986-10-21,0.590012,0.596502,0.590012,0.590012,1911872.5453204
1986-10-22,0.596502,0.596502,0.590012,0.596502,3941889.436077
1986-10-23,0.596502,0.596502,0.590012,0.590012,2781878.7825429
1986-10-24,0.596502,0.616768,0.596502,0.60329,4693748.3228438
1986-10-27,0.60329,0.616768,0.60329,0.616768,4597082.8552017
1986-10-28,0.616768,0.616768,0.610079,0.610079,8420823.9391498
1986-10-29,0.610079,0.610079,0.596502,0.596502,1337232.6808909
1986-10-30,0.596502,0.610079,0.596502,0.610079,2078352.6295972
1986-10-31,0.610079,0.610079,0.536103,0.54968,21975770.792131
1986-11-03,0.556469,0.556469,0.54968,0.556469,4564859.029308
1986-11-04,0.556469,0.556469,0.536103,0.536103,5144865.8585848
1986-11-05,0.536103,0.536103,0.502659,0.502659,3571331.4650702
1986-11-06,0.502659,0.509547,0.476094,0.502659,7443404.2811661
1986-11-07,0.502659,0.509547,0.502659,0.502659,5209308.5020064
1986-11-10,0.49609,0.509547,0.489332,0.49609,3823740.0822749
1986-11-11,0.502659,0.502659,0.489332,0.49609,3275958.0805649
1986-11-12,0.502659,0.502659,0.469275,0.476094,7969704.4000624
1986-11-13,0.469275,0.476094,0.469275,0.469275,14500141.683398
1986-11-14,0.469275,0.469275,0.449129,0.462536,8324156.4681613
1986-11-17,0.462536,0.462536,0.449129,0.462536,3855964.9098418
1986-11-18,0.462536,0.469275,0.462536,0.462536,1509088.7450735
1986-11-19,0.455897,0.462536,0.449129,0.455897,4462821.5884527
1986-11-20,0.455897,0.455897,0.449129,0.455897,3974113.2619707
1986-11-21,0.455897,0.489332,0.449129,0.489332,11030850.664203
1986-11-24,0.489332,0.502659,0.489332,0.502659,2878544.250185
1986-11-25,0.502659,0.502659,0.49609,0.502659,5859133.9546105
1986-11-26,0.502659,0.502659,0.49609,0.502659,1020380.4185915
1986-11-28,0.502659,0.509547,0.502659,0.509547,359818.03127312
1986-12-01,0.502659,0.502659,0.49609,0.502659,2878544.250185
1986-12-02,0.502659,0.516137,0.502659,0.516137,2883916.2233982
1986-12-03,0.516137,0.529414,0.502659,0.529414,4543378.1481675
1986-12-04,0.536103,0.569847,0.536103,0.556469,12534568.437736
1986-12-05,0.556469,0.563157,0.542892,0.542892,2717434.135775
1986-12-08,0.542892,0.54968,0.536103,0.542892,1476867.9241994
1986-12-09,0.536103,0.542892,0.536103,0.536103,5193198.5924059
1986-12-10,0.542892,0.542892,0.536103,0.542892,719637.06421941
1986-12-11,0.542892,0.542892,0.536103,0.542892,22738372.623651
1986-12-12,0.536103,0.536103,0.529414,0.529414,1697053.7171835
1986-12-15,0.529414,0.529414,0.502659,0.502659,4806528.7084521
1986-12-16,0.502659,0.502659,0.49609,0.502659,5037458.4478627
1986-12-17,0.502659,0.516137,0.49609,0.516137,12303640.701672
1986-12-18,0.509547,0.522825,0.509547,0.522825,8973978.915746
1986-12-19,0.522825,0.529414,0.509547,0.516137,37319069.865091
1986-12-22,0.516137,0.516137,0.509547,0.516137,6095431.6605416
1986-12-23,0.509547,0.516137,0.502659,0.516137,8635641.7656134
1986-12-24,0.509547,0.516137,0.509547,0.516137,2352244.1312887
1986-12-26,0.509547,0.516137,0.509547,0.516137,719637.06421941
1986-12-29,0.516137,0.516137,0.509547,0.509547,950567.80530311
1986-12-30,0.502659,0.509547,0.502659,0.509547,4623934.7078822
1986-12-31,0.509547,0.529414,0.509547,0.522825,2465022.5135508
1987-01-02,0.522825,0.529414,0.522825,0.529414,1057973.2126789
1987-01-05,0.522825,0.536103,0.522825,0.536103,6272653.6878983
1987-01-06,0.529414,0.542892,0.529414,0.536103,16707385.609878
1987-01-07,0.542892,0.542892,0.536103,0.542892,848526.35775518
1987-01-08,0.542892,0.556469,0.542892,0.556469,16326088.70081
1987-01-09,0.556469,0.576635,0.54968,0.569847,4312450.4121032
1987-01-12,0.576635,0.583324,0.569847,0.576635,2781878.7825429
1987-01-13,0.569847,0.576635,0.54968,0.576635,12072710.962261
1987-01-14,0.576635,0.590012,0.569847,0.583324,6917106.1656162
1987-01-15,0.576635,0.590012,0.576635,0.576635,2776508.8126761
1987-01-16,0.576635,0.576635,0.54968,0.556469,3173922.643056
1987-01-19,0.556469,0.556469,0.54968,0.556469,5810797.2140968
1987-01-20,0.556469,0.563157,0.54968,0.556469,18517220.714343
1987-01-21,0.556469,0.556469,0.54968,0.556469,2405950.8416693
1987-01-22,0.556469,0.569847,0.556469,0.569847,5902094.7152184
1987-01-23,0.569847,0.576635,0.569847,0.576635,10456211.801446
1987-01-26,0.569847,0.576635,0.569847,0.569847,4269483.6414564
1987-01-27,0.576635,0.576635,0.569847,0.569847,4801155.7335659
1987-01-28,0.576635,0.576635,0.563157,0.563157,7529332.8140941
1987-01-29,0.569847,0.569847,0.556469,0.563157,11336964.990115
1987-01-30,0.563157,0.563157,0.556469,0.563157,622967.58988466
1987-02-02,0.563157,0.563157,0.556469,0.563157,1788350.216632
1987-02-03,0.563157,0.576635,0.556469,0.576635,23495600.478612
1987-02-04,0.569847,0.576635,0.569847,0.576635,9747314.6769606
1987-02-05,0.576635,0.596502,0.576635,0.590012,19913529.073808
1987-02-06,0.583324,0.596502,0.556469,0.563157,30052887.611282
1987-02-09,0.556469,0.563157,0.489332,0.502659,93445362.857489
1987-02-10,0.502659,0.509547,0.502659,0.502659,23592269.952947
1987-02-11,0.502659,0.516137,0.502659,0.502659,9408978.5285012
1987-02-12,0.516137,0.522825,0.509547,0.522825,14666623.771021
1987-02-13,0.522825,0.529414,0.516137,0.522825,5477831.0355042
1987-02-17,0.522825,0.522825,0.516137,0.516137,10252134.91639
1987-02-18,0.516137,0.516137,0.49609,0.502659,4360782.1442511
1987-02-19,0.49609,0.516137,0.49609,0.516137,10074910.885686
1987-02-20,0.509547,0.522825,0.509547,0.522825,6428392.8307683
1987-02-23,0.516137,0.522825,0.502659,0.516137,4296340.5025028
1987-02-24,0.516137,0.516137,0.502659,0.516137,8313414.5250813
1987-02-25,0.516137,0.522825,0.509547,0.516137,8882680.4129512
1987-02-26,0.522825,0.522825,0.516137,0.522825,9210276.6216771
1987-02-27,0.516137,0.522825,0.516137,0.516137,6385432.0701605
1987-03-02,0.516137,0.516137,0.509547,0.509547,1777613.2819178
1987-03-03,0.516137,0.516137,0.509547,0.516137,11261778.400267
1987-03-04,0.516137,0.516137,0.516137,0.516137,12464751.817756
1987-03-05,0.516137,0.529414,0.516137,0.529414,13146796.087887
1987-03-06,0.529414,0.529414,0.522825,0.522825,5816169.1873099
1987-03-09,0.509547,0.529414,0.509547,0.509547,5263015.2123868
1987-03-10,0.509547,0.516137,0.509547,0.509547,2712062.1625618
1987-03-11,0.509547,0.516137,0.509547,0.509547,15762190.779461
1987-03-12,0.516137,0.516137,0.502659,0.502659,2293173.4610804
1987-03-13,0.516137,0.516137,0.502659,0.516137,13538834.940034
1987-03-16,0.509547,0.516137,0.502659,0.509547,10611956.954355
1987-03-17,0.516137,0.516137,0.509547,0.516137,1385569.4214046
1987-03-18,0.516137,0.516137,0.509547,0.516137,3861334.8797086
1987-03-19,0.516137,0.516137,0.509547,0.516137,27840269.708242
1987-03-20,0.509547,0.516137,0.502659,0.509547,5246904.3011132
1987-03-23,0.516137,0.516137,0.482532,0.482532,18914632.541377
1987-03-24,0.489332,0.502659,0.482532,0.49609,15670896.283358
1987-03-25,0.502659,0.502659,0.489332,0.49609,5606723.3340595
1987-03-26,0.489332,0.49609,0.476094,0.476094,23227078.946786
1987-03-27,0.489332,0.489332,0.476094,0.476094,4000965.1146513
1987-03-30,0.476094,0.476094,0.462536,0.462536,9929909.6792038
1987-03-31,0.469275,0.469275,0.462536,0.469275,1616497.1574688
1987-04-01,0.469275,0.476094,0.462536,0.476094,3920405.549917
1987-04-02,0.476094,0.489332,0.476094,0.489332,9049164.5039207
1987-04-03,0.476094,0.49609,0.476094,0.49609,6616363.8129173
1987-04-06,0.49609,0.502659,0.489332,0.502659,20423717.279757
1987-04-07,0.502659,0.502659,0.489332,0.49609,16707385.609878
1987-04-08,0.489332,0.489332,0.476094,0.476094,13066240.529845
1987-04-09,0.476094,0.476094,0.476094,0.476094,7223219.4898551
1987-04-10,0.476094,0.476094,0.469275,0.476094,4763563.9411517
1987-04-13,0.476094,0.476094,0.469275,0.476094,7083587.2515662
1987-04-14,0.469275,0.476094,0.462536,0.469275,10606586.984488
1987-04-15,0.462536,0.469275,0.462536,0.462536,1997798.0732288
1987-04-16,0.462536,0.462536,0.462536,0.462536,6428392.8307683
1987-04-20,0.462536,0.462536,0.462536,0.462536,2105203.4806045
1987-04-21,0.462536,0.462536,0.449129,0.462536,6970806.8659577
1987-04-22,0.462536,0.462536,0.455897,0.462536,4833380.5611327
1987-04-23,0.462536,0.462536,0.449129,0.455897,11761225.66481
1987-04-24,0.455897,0.476094,0.449129,0.469275,4650783.5555432
1987-04-27,0.476094,0.476094,0.469275,0.476094,6508951.3938294
1987-04-28,0.476094,0.489332,0.476094,0.489332,9161939.8811633
1987-04-29,0.489332,0.489332,0.482532,0.482532,2148166.2445587
1987-04-30,0.489332,0.502659,0.482532,0.49609,10262879.864489
1987-05-01,0.502659,0.502659,0.49609,0.49609,1680944.8092562
1987-05-04,0.502659,0.502659,0.489332,0.502659,762600.82984678
1987-05-05,0.502659,0.522825,0.49609,0.522825,2336134.2216882
1987-05-06,0.516137,0.522825,0.516137,0.516137,5751724.5405421
1987-05-07,0.522825,0.536103,0.516137,0.529414,16481830.848699
1987-05-08,0.529414,0.529414,0.502659,0.502659,2588541.8372197
1987-05-11,0.502659,0.509547,0.489332,0.489332,3356515.6419529
1987-05-12,0.489332,0.489332,0.482532,0.489332,10268249.834356
