Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,3.48505,3.57398,3.48505,3.57398,249144.30914306
1985-07-02,3.57398,3.62199,3.5652,3.62199,336373.36997819
1985-07-03,3.62199,3.63017,3.57398,3.57398,326334.8112149
1985-07-05,3.58956,3.64625,3.58956,3.64625,127396.48182994
1985-07-08,3.60593,3.60593,3.57398,3.60593,90370.357843311
1985-07-09,3.60593,3.60593,3.55762,3.5652,170696.07110412
1985-07-10,3.55762,3.55762,3.50911,3.54134,101663.60966412
1985-07-11,3.54134,3.57398,3.54134,3.55762,169441.37804661
1985-07-12,3.55762,3.57398,3.50073,3.54134,756841.60390573
1985-07-15,3.52538,3.52538,3.47657,3.50073,486362.44126896
1985-07-16,3.50073,3.52538,3.4604,3.52538,438040.02255192
1985-07-17,3.52538,3.60593,3.52538,3.54134,464394.66257888
1985-07-18,3.54134,3.5652,3.48505,3.50911,155636.71150436
1985-07-19,3.50911,3.55762,3.50911,3.52538,275500.97777643
1985-07-22,3.52538,3.52538,3.50073,3.50911,102921.34563123
1985-07-23,3.50911,3.52538,3.50073,3.50911,223412.45128045
1985-07-24,3.50911,3.50911,3.50073,3.50911,80958.638457164
1985-07-25,3.50911,3.52538,3.48505,3.50911,743664.79104385
1985-07-26,3.52538,3.55762,3.52538,3.52538,133677.0472399
1985-07-29,3.52538,3.5652,3.52538,3.5652,183873.89826921
1985-07-30,3.5652,3.5652,3.54134,3.55762,72169.701235378
1985-07-31,3.55762,3.5652,3.54134,3.55762,67774.725472885
1985-08-01,3.55762,3.60593,3.54134,3.58956,237220.16073229
1985-08-02,3.58956,3.63017,3.58956,3.58956,79700.902490053
1985-08-05,3.58956,3.60593,3.55762,3.5652,215253.39634542
1985-08-06,3.5652,3.58956,3.52538,3.55762,463144.02673416
1985-08-07,3.55762,3.57398,3.55762,3.55762,240356.38622447
1985-08-08,3.55762,3.58956,3.55762,3.58956,193288.66056495
1985-08-09,3.58956,3.62199,3.57398,3.57398,80327.74186721
1985-08-12,3.57398,3.60593,3.5652,3.5652,121748.84161633
1985-08-13,3.5652,3.5652,3.54134,3.54134,147476.64226613
1985-08-14,3.55762,3.55762,3.50073,3.51699,196428.94326993
1985-08-15,3.51699,3.52538,3.51699,3.51699,48322.418717037
1985-08-16,3.51699,3.52538,3.50073,3.50073,48322.418717037
