Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,17.4481,17.5607,17.4074,17.5607,842470.69872769
2005-02-28,17.3558,17.5394,17.116,17.2636,2002077.0747713
2005-03-01,17.2636,17.5316,17.2432,17.5209,827561.73571165
2005-03-02,17.5209,17.5948,17.3278,17.5248,566385.12130733
2005-03-03,17.5316,17.5792,17.3228,17.4267,695763.61970122
2005-03-04,17.5861,18.0463,17.5861,17.8075,826705.08811294
2005-03-07,17.7074,17.8279,17.6735,17.7356,570502.58975354
2005-03-08,17.7356,17.8016,17.5539,17.7288,491396.53806002
2005-03-09,17.3917,17.7229,17.249,17.6248,858377.36790137
2005-03-10,17.7074,17.7074,17.3345,17.6666,464406.990578
2005-03-11,17.6025,17.6462,17.4831,17.5142,526754.87362174
2005-03-14,17.5539,17.5539,17.4074,17.5248,826705.08811294
2005-03-15,17.5316,17.5607,17.4531,17.5142,691927.23874834
2005-03-16,17.5209,17.5792,17.3403,17.3782,711808.25856026
2005-03-17,17.4977,17.4977,17.3228,17.4608,754274.09216755
2005-03-18,17.418,17.4267,17.1742,17.3704,2486080.9087943
2005-03-21,17.4267,17.4608,17.3161,17.3782,586402.0515556
2005-03-22,17.3558,17.4831,17.3228,17.3917,698173.97069711
2005-03-23,17.3917,17.418,17.2791,17.384,563258.15164712
2005-03-24,17.4345,17.5539,17.3345,17.3704,612393.89287996
2005-03-28,17.3782,17.4685,17.215,17.3161,526049.58082713
2005-03-29,17.3228,17.3917,16.8857,16.8857,602878.10308754
2005-03-30,16.9751,17.1742,16.9343,17.0315,321108.99832957
2005-03-31,16.9907,17.249,16.9907,17.1014,354062.13101799
2005-04-01,17.1548,17.3228,17.0043,17.2704,606290.27873914
2005-04-04,17.2704,17.2937,16.9829,17.2393,305344.41733933
2005-04-05,17.2393,17.3228,17.182,17.1936,400642.34419795
2005-04-06,17.2023,17.4531,17.2023,17.3558,430042.24267584
2005-04-07,17.3636,17.5394,17.3024,17.4831,307332.62228299
2005-04-08,17.4977,17.4977,17.0547,17.0674,751148.15213186
2005-04-11,16.9984,17.0256,16.744,16.9266,612821.1870548
2005-04-12,16.9266,17.0751,16.7363,17.0315,404897.78232953
2005-04-13,16.9023,16.9023,16.3245,16.471,2023803.1817189
2005-04-14,16.4759,16.4827,15.9369,15.9369,1190142.979989
2005-04-15,15.8903,16.0038,15.6037,15.6893,2102055.6746872
2005-04-18,15.6591,15.8767,15.5678,15.6591,1627278.3059671
2005-04-19,16.6866,16.7877,16.0767,16.6167,1767885.8893508
2005-04-20,16.5963,16.6866,16.137,16.1592,1224078.3744672
2005-04-21,16.3914,16.4759,16.1156,16.1875,779129.2280244
2005-04-22,16.1962,16.2632,15.7232,15.8427,903676.72818132
2005-04-25,15.9485,16.0535,15.7358,15.8427,402064.25565686
2005-04-26,15.8154,15.9281,15.63,15.63,688092.91704448
2005-04-27,15.6387,16.0038,15.5047,15.9437,861646.42574501
2005-04-28,15.9437,15.9437,15.5756,15.6114,766773.73381222
2005-04-29,15.6669,15.8154,15.4979,15.766,1051383.5726144
2005-05-02,15.8009,15.9884,15.6814,15.9145,807673.5085281
2005-05-03,15.9223,16.137,15.7582,15.8358,392691.5836724
2005-05-04,15.9369,15.9797,15.8358,15.8427,970289.31597729
2005-05-05,15.8767,15.9485,15.6114,15.7018,646338.55397891
2005-05-06,15.7358,15.8698,15.729,15.7864,644208.26085184
2005-05-09,15.7951,15.7951,15.5678,15.63,1029794.4057277
2005-05-10,15.63,15.7018,15.56,15.6669,829972.08670755
2005-05-11,15.6669,15.7358,15.56,15.6591,559140.68320092
2005-05-12,15.7018,15.7504,15.3522,15.4056,617372.12742295
2005-05-13,15.4056,15.4114,14.7869,14.9646,1224365.6397077
2005-05-16,15.0317,15.3056,14.9968,15.1512,739222.01134355
2005-05-17,16.0205,16.0205,15.4765,15.7727,2158725.1785159
