Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-09-07,8.58024,8.60045,8.53178,8.58024,5121516.9159803
1988-09-08,8.60045,8.60045,8.53178,8.55238,1868796.4751069
1988-09-09,8.58024,8.60045,8.53178,8.58024,1566738.363898
1988-09-12,8.6232,8.6232,8.53178,8.58024,78937.831314389
1988-09-13,8.53178,8.53178,8.40632,8.47862,332209.27996284
1988-09-14,8.47862,8.50785,8.36316,8.40632,276011.23665985
1988-09-15,8.40632,8.45615,8.31117,8.40632,323161.68655294
1988-09-16,8.31117,8.47862,8.31117,8.47862,443762.28378009
1988-09-19,8.45615,8.47862,8.38493,8.45615,78121.254151422
1988-09-20,8.45615,8.53178,8.45615,8.50785,96757.767405094
1988-09-21,8.50785,8.50785,8.43467,8.43467,328646.31219184
1988-09-22,8.36316,8.38493,8.31117,8.38493,225856.4760311
1988-09-23,8.40632,8.47862,8.36316,8.40632,139510.32231562
1988-09-26,8.38493,8.50785,8.36316,8.38493,187481.42716025
1988-09-27,8.43467,8.45615,8.38493,8.43467,176244.06128337
1988-09-28,8.40632,8.45615,8.38493,8.40632,210506.66037219
1988-09-29,8.45615,8.53178,8.45615,8.47862,329464.92824909
1988-09-30,8.53178,8.60045,8.45615,8.45615,424300.01833914
1988-10-03,8.55238,8.55238,8.45615,8.50785,212697.45228631
1988-10-04,8.55238,8.55238,8.43467,8.43467,157603.47024113
1988-10-05,8.45615,8.45615,8.38493,8.43467,254639.54671673
1988-10-06,8.40632,8.43467,8.36316,8.36316,80857.450288004
1988-10-07,8.38493,8.53178,8.31117,8.53178,429511.43214324
1988-10-10,8.55238,8.55238,8.47862,8.53178,68794.332223855
1988-10-11,8.53178,8.53178,8.45615,8.50785,268069.74340203
1988-10-12,8.50785,8.50785,8.28763,8.47862,203925.10960551
1988-10-13,8.47862,8.55238,8.40632,8.55238,211331.39311231
1988-10-14,8.55238,8.55238,8.36316,8.40632,184196.76845978
1988-10-17,8.40632,8.40632,8.31117,8.38493,97853.673085729
1988-10-18,8.40632,8.55238,8.31117,8.50785,128554.32385069
1988-10-19,8.55238,8.55238,8.28763,8.40632,1812335.4144406
1988-10-20,8.40632,8.43467,8.33325,8.40632,125533.70196072
1988-10-21,8.36316,8.40632,8.36316,8.38493,351392.21688611
1988-10-24,8.31117,8.33325,8.21092,8.21092,352763.37329583
1988-10-25,8.21092,8.21092,8.04112,8.13618,247508.51393902
1988-10-26,8.18698,8.21092,8.11263,8.21092,1843576.3721923
1988-10-27,8.18698,8.28763,8.13618,8.13618,160621.03378966
1988-10-28,8.18698,8.28763,8.16521,8.16521,171587.22672603
1988-10-31,8.18698,8.25938,8.16521,8.16521,177890.46842219
1988-11-01,8.18698,8.25938,8.16521,8.25938,120875.84795624
1988-11-02,8.25938,8.28763,8.16521,8.25938,204205.45757032
1988-11-03,8.28763,8.31117,8.2377,8.2377,208313.82956377
1988-11-04,8.28763,8.36316,8.25938,8.25938,274097.7343691
1988-11-07,8.25938,8.25938,8.11263,8.11263,208590.09974
1988-11-08,8.11263,8.2377,8.11263,8.21092,1829054.3476149
1988-11-09,8.16521,8.21092,8.06251,8.16521,403750.00279472
1988-11-10,8.16521,8.18698,8.11263,8.16521,232708.18029115
1988-11-11,8.16521,8.16521,8.06251,8.06251,204205.45757032
1988-11-14,8.06251,8.09134,7.91762,7.94715,246686.83954033
1988-11-15,7.94715,8.11263,7.94715,8.04112,134855.52665256
1988-11-16,8.01886,8.04112,7.91762,7.96726,293009.49835187
1988-11-17,8.01886,8.01886,7.87338,7.96726,144994.94795452
1988-11-18,7.96726,7.99011,7.91762,7.91762,178711.12337373
1988-11-21,7.94715,7.99011,7.87338,7.99011,135129.75793451
1988-11-22,7.99011,8.01886,7.91762,7.96726,109366.28969169
1988-11-23,7.91762,7.96726,7.82228,7.82228,106351.78448459
1988-11-25,7.82228,7.82228,7.69848,7.74822,130195.63375379
1988-11-28,7.86584,7.91762,7.84455,7.86584,1841663.8893487
1988-11-29,7.86584,8.08468,7.86584,8.04112,212155.1064053
1988-11-30,8.08468,8.31117,8.0114,8.11263,1585377.935493
1988-12-01,8.08468,8.16521,8.06251,8.16521,1656648.5048316
1988-12-02,8.16521,8.16521,8.04112,8.08468,3421836.5277205
1988-12-05,8.04112,8.25938,8.04112,8.11263,194063.99737408
1988-12-06,8.08468,8.18698,8.06251,8.16521,341246.67890129
1988-12-07,8.16521,8.18698,8.11263,8.18698,169392.35702332
1988-12-08,8.13618,8.21092,8.13618,8.18698,417999.83498441
1988-12-09,8.18698,8.2377,8.18698,8.2377,201734.31769138
1988-12-12,8.25938,8.33325,8.16521,8.16521,242572.35086401
1988-12-13,8.18698,8.21092,8.13618,8.16521,128279.0731216
1988-12-14,8.18698,8.18698,8.11263,8.13618,158431.26132268
1988-12-15,8.11263,8.16521,8.08468,8.08468,247508.51393902
1988-12-16,8.11263,8.11263,8.0114,8.06251,543811.84601566
1988-12-19,8.0114,8.16521,8.0114,8.11263,170489.28215111
1988-12-20,8.06251,8.11263,7.8158,7.86584,289169.24095748
1988-12-21,7.91762,8.08468,7.84455,7.99011,304794.30734548
1988-12-22,8.0114,8.0114,7.88731,7.91762,563274.1114566
1988-12-23,7.99011,7.99011,7.91762,7.91762,181176.14656981
