Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-04-08,1.14114,1.14114,1.11859,1.13021,3879184.7415271
1985-04-09,1.13021,1.15236,1.13021,1.14114,1909562.671502
1985-04-10,1.14114,1.18574,1.14114,1.17482,1635693.7403008
1985-04-11,1.17482,1.18574,1.17482,1.17482,883811.49994944
1985-04-12,1.17482,1.18574,1.15236,1.15236,1056495.4611705
1985-04-15,1.16359,1.16359,1.15236,1.16359,478732.50976716
1985-04-16,1.16359,1.17482,1.14114,1.15236,617092.57032268
1985-04-17,1.14114,1.15236,1.14114,1.14114,948878.66573083
1985-04-18,1.14114,1.14114,1.13021,1.14114,1148025.5214447
1985-04-19,1.14114,1.14114,1.13021,1.14114,388276.12790677
1985-04-22,1.13021,1.14114,1.13021,1.13021,421167.77435245
1985-04-23,1.13021,1.14114,1.13021,1.14114,336792.8381641
1985-04-24,1.14114,1.14114,1.13021,1.14114,264215.04599763
1985-04-25,1.14114,1.14114,1.11859,1.13021,580628.48434559
1985-04-26,1.10766,1.13021,1.09068,1.11859,1247060.0610902
1985-04-29,1.10766,1.11312,1.10766,1.10766,459066.16355407
1985-04-30,1.10766,1.11312,1.09633,1.10766,614592.78470277
1985-05-01,1.10766,1.11312,1.09633,1.10766,350737.33901357
1985-05-02,1.11312,1.11859,1.09633,1.11312,401862.05295009
1985-05-03,1.11859,1.11859,1.09633,1.11859,304968.72311841
1985-05-06,1.11859,1.15236,1.11859,1.15236,544162.3493639
1985-05-07,1.15236,1.16359,1.15236,1.16359,406154.71760069
1985-05-08,1.16359,1.16359,1.15236,1.15236,121915.77408614
1985-05-09,1.15236,1.16359,1.14114,1.15236,375764.90577953
1985-05-10,1.15236,1.18574,1.15236,1.18574,239899.50833243
1985-05-13,1.17482,1.17482,1.16359,1.16359,244905.22658608
1985-05-14,1.17482,1.17482,1.17482,1.17482,169472.14650046
1985-05-15,1.17482,1.17482,1.16359,1.17482,531999.45801977
1985-05-16,1.17482,1.17482,1.16359,1.17482,259204.20523246
1985-05-17,1.16359,1.18574,1.16359,1.17482,440470.42224788
1985-05-20,1.18574,1.21386,1.18574,1.20273,524496.0031508
1985-05-21,1.20273,1.21386,1.19171,1.20273,511624.15621284
1985-05-22,1.17482,1.19171,1.17482,1.17482,369689.6071213
1985-05-23,1.17482,1.17482,1.16359,1.17482,227746.86201133
1985-05-24,1.16359,1.18574,1.16359,1.17482,166962.11585751
1985-05-28,1.17482,1.20273,1.17482,1.20273,171973.98112498
1985-05-29,1.19171,1.21386,1.19171,1.21386,252058.30166733
1985-05-30,1.20273,1.21386,1.20273,1.21386,162318.0469169
1985-05-31,1.20273,1.22508,1.20273,1.22508,2968201.3914909
1985-06-03,1.23621,1.23621,1.22508,1.22508,3611043.8027034
1985-06-04,1.23065,1.23065,1.21386,1.23065,378981.84301173
1985-06-05,1.22508,1.253,1.21952,1.22508,538079.87918952
1985-06-06,1.22508,1.24187,1.21952,1.23621,733292.64605901
1985-06-07,1.23621,1.24187,1.23621,1.23621,432971.06538813
1985-06-10,1.23621,1.24764,1.23621,1.24187,477654.73334415
1985-06-11,1.24187,1.24764,1.23621,1.24187,395425.1049788
1985-06-12,1.24187,1.24764,1.23621,1.24764,602436.04037246
1985-06-13,1.24187,1.24764,1.21952,1.23065,380770.62403319
1985-06-14,1.23065,1.23621,1.22508,1.23621,232032.3551458
1985-06-17,1.23621,1.24764,1.23621,1.24764,372190.41724352
1985-06-18,1.24187,1.253,1.24187,1.253,430106.55694824
1985-06-19,1.253,1.25846,1.253,1.253,290312.19316819
1985-06-20,1.24764,1.25846,1.24764,1.25846,338575.47217175
1985-06-21,1.24187,1.24187,1.24187,1.24187,201286.01652313
1985-06-24,1.24187,1.253,1.24187,1.253,228822.58942974
1985-06-25,1.24764,1.27545,1.24764,1.26413,616733.99451654
1985-06-26,1.26413,1.26978,1.25846,1.26978,526996.81327302
1985-06-27,1.26413,1.26978,1.24764,1.25846,582778.9146801
1985-06-28,1.25846,1.26413,1.25846,1.25846,126562.91653366
1985-07-01,1.253,1.25846,1.23621,1.24764,197710.50348479
1985-07-02,1.24187,1.24764,1.22508,1.23621,327495.47976216
1985-07-03,1.23621,1.23621,1.22508,1.23621,226313.58328908
1985-07-05,1.24187,1.24764,1.24187,1.24187,504833.75494692
1985-07-08,1.24187,1.24764,1.23621,1.24764,221669.51434848
1985-07-09,1.24764,1.26413,1.24764,1.26413,310689.54397972
1985-07-10,1.25846,1.26978,1.253,1.26413,257778.09802634
1985-07-11,1.26413,1.27545,1.25846,1.27545,274585.05831108
