Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-03,22.3844,22.4174,21.7661,22.0049,16824869.020786
2012-05-04,21.6245,21.7943,21.1148,21.1402,15522278.380686
2012-05-07,21.0964,21.4178,20.5015,20.5753,17485281.497502
2012-05-08,20.3918,21.3168,20.1551,21.0964,20831130.137485
2012-05-09,20.8984,23.056,20.8373,22.7745,19959454.33153
2012-05-10,23.1666,23.3782,22.0952,22.7677,12642046.130976
2012-05-11,22.2427,22.5367,22.0126,22.3126,6365829.8952801
2012-05-14,21.8633,22.1378,21.5662,21.9563,9127293.3670175
2012-05-15,21.9748,22.6562,21.7748,22.2,9076854.0642729
2012-05-16,22.0535,22.7056,21.904,22.5008,8728442.362711
2012-05-17,22.3009,22.43,21.872,21.9127,6990512.5147611
2012-05-18,22.0331,22.2146,21.7225,21.9972,11327848.464844
2012-05-21,21.8933,22.6678,21.6943,22.5649,7817592.1999179
2012-05-22,22.3455,22.6222,21.9613,22.1747,7724747.3256301
2012-05-23,21.9748,22.0718,21.6476,22.0204,7516318.5217919
2012-05-24,22.0253,22.0398,21.5556,21.8204,6149790.8389534
2012-05-25,21.7361,22.0204,21.6128,21.9409,4590478.3359666
2012-05-29,21.9272,22.234,21.6322,21.7361,5677808.8732841
2012-05-30,21.5827,21.6128,21.148,21.3392,8560080.2090583
2012-05-31,21.213,21.2779,20.8325,21.0538,11552698.145192
2012-06-01,20.6802,21.148,20.5937,20.9742,8133900.9178912
2012-06-04,20.5394,21.1634,20.5015,20.7015,6912078.2810508
2012-06-05,20.588,21.0984,20.5452,20.9597,5772543.4311711
2012-06-06,21.0528,22.43,20.9053,22.1029,11186510.641311
2012-06-07,22.4824,22.9579,22.2485,22.3126,10976215.852196
2012-06-08,22.1922,22.6756,22.0894,22.5153,6137514.0777294
2012-06-11,22.7484,23.1666,22.593,22.8521,8557878.3258241
2012-06-12,22.826,23.648,22.7745,23.4762,9714623.3093777
2012-06-13,23.3219,23.4762,22.8105,22.9716,4102925.5422975
2012-06-14,22.9716,23.581,22.6484,23.5044,6362426.6101501
2012-06-15,23.551,24.473,23.3976,24.4671,14142629.039921
2012-06-18,24.0993,24.1838,23.7159,23.7325,6069137.2058576
2012-06-19,23.8771,24.205,23.6422,23.7325,6952267.5442942
2012-06-20,23.6887,24.4284,23.4694,24.2963,6602557.5868243
2012-06-21,24.3255,24.3671,23.1743,23.4694,4978435.324627
2012-06-22,23.5897,24.3312,23.1559,23.943,6232986.3746878
2012-06-25,23.5383,23.546,22.9638,23.0424,7128720.0990489
2012-06-26,22.9988,23.8188,22.7134,22.8404,4671528.6583675
2012-06-27,22.8571,23.4121,22.0253,22.3532,4712508.2091358
2012-06-28,22.1087,22.7134,21.935,22.6484,4444899.5431352
