Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,7.74663,7.88477,7.63825,7.88477,485802.63977141
2005-02-28,7.855,7.93382,7.63825,7.73673,330363.77538762
2005-03-01,7.73673,7.74663,7.19465,7.46075,1073477.5383753
2005-03-02,7.36236,7.59919,7.35247,7.54965,575294.89179624
2005-03-03,7.53976,7.60858,7.44108,7.5099,615676.57985962
2005-03-04,7.51978,7.63825,7.44108,7.49042,1135977.2508929
2005-03-07,7.5001,7.62826,7.48062,7.52977,937614.82255333
2005-03-08,7.52977,7.54965,7.27346,7.28345,500515.28573976
2005-03-09,7.24409,7.49042,7.20464,7.37215,864260.82944316
2005-03-10,7.37215,7.5099,7.20464,7.25398,852692.74124471
2005-03-11,7.24409,7.44108,7.23431,7.4215,811803.47890902
2005-03-14,7.39202,7.47074,7.27346,7.3326,405341.60571613
2005-03-15,7.14541,7.38204,7.14541,7.23431,1044865.1661804
2005-03-16,7.19465,7.34248,7.15539,7.25398,338277.72927846
2005-03-17,7.21453,7.46075,7.14541,7.39202,599237.98113886
2005-03-18,7.40192,7.47074,7.29324,7.4117,1405462.1475832
2005-03-21,7.40192,7.45106,7.36236,7.39202,512693.06374459
2005-03-22,7.38204,7.78628,7.34248,7.65773,765028.55750637
2005-03-23,7.59919,7.64803,7.39202,7.4117,503761.95904375
2005-03-24,7.39202,7.55954,7.39202,7.39202,415185.74342753
2005-03-28,7.46075,7.58921,7.40192,7.51978,431217.88227737
2005-03-29,7.46075,7.61837,7.39202,7.43128,495848.0051529
2005-03-30,7.4117,7.53976,7.39202,7.52977,315448.90061649
2005-03-31,7.48062,7.51978,7.36236,7.51978,523447.2310685
2005-04-01,7.56943,7.62826,7.39202,7.49042,405752.0701178
2005-04-04,7.46075,7.63825,7.40192,7.53976,372875.87380896
2005-04-05,7.51978,7.68759,7.46075,7.54965,237017.16251778
2005-04-06,7.52977,7.58921,7.49042,7.54965,462162.89363296
2005-04-07,7.53976,7.75661,7.48062,7.75661,522230.85485377
2005-04-08,7.70727,7.855,7.63825,7.78628,485093.83782901
2005-04-11,7.75661,7.89446,7.69749,7.84521,407474.01833946
2005-04-12,7.78628,8.23937,7.73673,8.14088,1473645.2903649
2005-04-13,8.14088,8.16075,7.75661,7.78628,667117.78071644
2005-04-14,7.77629,7.93382,7.61837,7.71726,348524.32233004
2005-04-15,7.72725,7.75661,7.53976,7.53976,231841.30652592
2005-04-18,7.46075,7.69749,7.44108,7.68759,436595.96707201
2005-04-19,7.70727,7.91424,7.68759,7.84521,378049.72753545
2005-04-20,7.80576,7.93382,7.64803,7.65773,576715.49907911
2005-04-21,7.72725,7.88477,7.72725,7.77629,341117.94271152
2005-04-22,7.71726,7.86499,7.60858,7.69749,425231.10880902
2005-04-25,7.69749,7.82544,7.63825,7.81545,248788.48065169
2005-04-26,7.74663,7.93382,7.64803,7.65773,490471.92262364
2005-04-27,7.64803,7.77629,7.53976,7.73673,460236.71434314
2005-04-28,7.74663,7.74663,7.58921,7.66771,692787.82394415
