Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,35.0101,36.3982,34.8586,35.5683,2485515.2307278
2005-02-28,35.9024,36.2311,34.1517,35.1249,1775145.35249
2005-03-01,34.9844,35.1928,34.5419,34.9752,2100016.5134531
2005-03-02,34.8173,36.0319,34.8081,35.9024,2117664.1961638
2005-03-03,36.2311,36.3982,35.5188,36.2311,2823837.2763838
2005-03-04,36.2311,37.3145,35.9815,37.2732,2157887.2320322
2005-03-07,37.0648,37.073,36.0476,36.9666,1965437.9558901
2005-03-08,36.9666,37.332,36.0567,36.0898,2538575.9155549
2005-03-09,36.3166,36.6589,35.235,35.3424,2968018.4737924
2005-03-10,35.235,35.2434,33.9855,34.8751,2898626.9837017
2005-03-11,34.8751,35.6922,34.8669,35.2764,2398834.4141547
2005-03-14,35.4838,36.2311,35.0753,36.0898,1648966.9263345
2005-03-15,36.2311,36.4414,35.6169,35.6665,1535756.8565765
2005-03-16,35.4609,36.1073,35.1506,35.2176,2733428.0301157
2005-03-17,35.818,36.6516,35.526,35.9815,1788351.1607349
2005-03-18,36.1908,36.4734,35.8667,36.2991,1171984.9833354
2005-03-21,36.2991,36.591,35.4095,35.8942,1365272.9655439
2005-03-22,35.8254,36.4827,35.4352,35.5353,1452793.5774119
2005-03-23,35.4003,35.4095,34.2509,34.4281,1923174.7947459
2005-03-24,34.7264,35.2259,34.4188,34.9844,1667215.8632642
2005-03-28,34.9927,35.0018,34.35,34.507,2252607.6453272
2005-03-29,34.2765,34.8494,33.6936,33.8424,1639002.6625746
2005-03-30,33.8424,34.5502,33.5008,34.4758,2372783.3323505
2005-03-31,34.9844,35.6839,34.9844,35.5848,1243777.1333874
2005-04-01,35.9162,36.8491,35.8584,36.7508,2168808.9277822
2005-04-04,37.4403,37.5496,36.4414,37.0079,2351051.0421738
2005-04-05,37.0079,37.3062,36.6167,37.0648,2121628.9884775
2005-04-06,37.0648,37.6671,36.7324,37.4495,1873830.5580986
2005-04-07,37.4834,37.6836,36.5167,37.0418,2028583.808858
2005-04-08,37.0418,37.0418,35.9815,36.098,1126364.8194684
2005-04-11,36.098,36.5818,35.6748,36.524,975575.27179407
2005-04-12,36.4414,36.7324,35.7593,35.818,1551482.0507065
2005-04-13,35.818,36.1668,34.7173,34.8825,1726403.4592903
2005-04-14,35.818,37.0491,35.2176,35.5683,2359698.4284866
2005-04-15,35.5683,35.5683,33.8157,34.3178,2622255.9071762
2005-04-18,34.1104,35.2689,33.7991,35.1928,1684025.9291371
2005-04-19,35.6095,36.1311,35.6095,35.9419,1550043.1796499
2005-04-20,35.9419,36.2578,35.0662,35.1506,1880670.9140684
2005-04-21,35.235,35.9576,35.0662,35.9576,1347024.0286141
2005-04-22,36.1311,36.4331,35.4095,35.9989,1477769.590531
2005-04-25,36.2311,36.8215,36.2311,36.7508,1087826.8203333
2005-04-26,36.5415,36.6516,36.1734,36.2486,1031039.8842685
2005-04-27,36.2311,36.2311,35.2434,35.5013,959964.44667312
2005-04-28,35.5013,35.5013,34.4281,34.608,1386161.1035109
2005-04-29,34.608,34.6493,33.5091,33.8689,2962498.2629556
2005-05-02,33.8689,34.2343,33.3153,33.9855,3127214.6882463
2005-05-03,33.9929,34.1342,32.3101,32.4496,2607971.7625602
