Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-02-10,63.87,65.12,63.67,65.02,1306622
2015-02-11,65.1,65.65,63.17,64.75,1096587
2015-02-12,65.63,66.33,65.0,66.2,1159026
2015-02-13,66.2,70.27,65.63,70.03,1870878
2015-02-17,70.0,70.0,68.06,69.44,973963
2015-02-18,69.15,70.0,67.31,67.54,1056608
2015-02-19,67.0,68.17,65.25,65.3,1225137
2015-02-20,65.57,65.77,64.04,65.17,1463413
2015-02-23,65.16,65.88,64.3,65.05,889737
2015-02-24,65.36,69.35,65.2,69.34,1700103
2015-02-25,68.95,69.28,66.6,67.21,965173
2015-02-26,68.0,71.72,67.89,71.53,2116302
2015-02-27,70.75,71.428,69.2,69.4,1400857
2015-03-02,69.39,70.8,68.8,69.35,1127900
2015-03-03,69.36,70.96,68.35,70.84,1509000
2015-03-04,70.23,73.25,70.11,72.02,1397500
2015-03-05,72.2,75.16,72.02,74.51,1621900
2015-03-06,73.41,74.5,72.75,72.98,988000
2015-03-09,73.24,75.45,73.13,74.83,1076600
2015-03-10,74.08,74.31,71.74,72.15,1365500
2015-03-11,72.5,73.6,72.05,72.95,1039600
2015-03-12,73.34,74.35,72.92,73.42,794800
2015-03-13,73.36,73.99,71.8,72.57,761900
2015-03-16,74.21,76.75,74.0,76.33,1822300
2015-03-17,76.16,78.12,75.9,77.71,1824700
2015-03-18,77.86,80.8,77.69,79.96,2272800
2015-03-19,81.52,82.27,79.21,80.38,1885900
2015-03-20,81.44,81.5,79.69,80.8,4740900
2015-03-23,81.15,84.19,81.07,84.09,2001000
2015-03-24,84.6,85.63,82.66,83.21,1792300
2015-03-25,83.55,83.79,75.52,77.13,3728800
2015-03-26,73.5,77.75,72.1,77.19,3005800
2015-03-27,77.63,80.69,77.51,79.28,2634800
2015-03-30,80.0,81.4,79.71,81.4,1820300
2015-03-31,81.0,81.0,78.55,79.7,2006900
2015-04-01,78.53,79.3,77.81,78.8,1430100
2015-04-02,79.2,79.2,76.67,77.79,1603800
2015-04-06,76.88,77.15,75.2,76.51,1613500
2015-04-07,77.07,77.69,72.73,73.23,2251917
2015-04-08,74.2,75.2,72.51,72.84,2108000
2015-04-09,72.71,74.9,71.22,74.63,1384635
2015-04-10,75.61,75.93,72.76,73.58,1315400
2015-04-13,73.59,75.12,72.11,72.63,1243600
2015-04-14,72.52,73.17,69.3,70.5,2457000
2015-04-15,71.0,72.0,69.37,70.91,1714294
2015-04-16,70.73,71.5,68.61,71.46,1495531
2015-04-17,70.7,71.11,69.61,70.07,1177800
2015-04-20,70.64,72.35,70.4,72.01,1216884
2015-04-21,72.5,74.26,72.01,74.07,1159846
2015-04-22,74.25,74.54,73.06,74.48,817749
2015-04-23,73.93,73.95,71.55,73.27,1121600
2015-04-24,73.08,73.1,69.7,70.12,1633800
2015-04-27,70.0,71.69,68.9,69.37,1512900
2015-04-28,69.97,70.31,65.44,67.86,2044400
2015-04-29,67.59,69.0,66.51,68.65,994200
2015-04-30,68.47,68.85,65.8,65.91,1632000
2015-05-01,66.8,69.61,66.68,69.6,1708800
2015-05-04,69.94,70.5,68.66,68.99,1621500
2015-05-05,68.51,69.22,66.02,67.07,1532500
2015-05-06,67.7,69.4,66.5,69.06,2119583
2015-05-07,77.63,78.0,73.21,75.56,4721301
2015-05-08,76.38,77.97,76.21,76.56,1991600
2015-05-11,76.0,76.0,73.84,74.56,1697800
2015-05-12,74.13,75.85,74.0,74.75,1381572
2015-05-13,75.35,76.1,74.33,74.96,804100
2015-05-14,75.17,77.21,75.04,76.98,1556300
2015-05-15,76.7,77.14,75.83,76.54,1711196
2015-05-18,75.76,80.39,75.5,80.3,2668604
2015-05-19,80.7,81.89,79.4,80.1,1644000
2015-05-20,79.8,81.99,79.4,81.15,1213500
2015-05-21,81.15,81.85,79.79,81.26,1937800
2015-05-22,82.0,84.64,82.0,84.03,3055300
2015-05-26,83.44,83.73,81.39,82.46,2157360
2015-05-27,82.96,86.75,82.7,86.4,2807000
2015-05-28,86.21,86.33,82.06,82.3,2310440
2015-05-29,82.87,84.33,82.03,82.15,2770200
2015-06-01,82.5,83.36,80.09,80.94,2210900
2015-06-02,80.59,80.96,79.0,80.86,1703672
2015-06-03,81.55,81.91,80.9,81.55,2263400
2015-06-04,80.68,82.1,80.08,81.32,1203700
2015-06-05,81.06,83.85,80.12,83.7,1801200
2015-06-08,83.42,83.77,79.75,80.24,2193000
2015-06-09,80.68,81.0,77.6,80.05,2807660
2015-06-10,81.252,82.74,80.29,82.5,6106738
2015-06-11,82.49,83.0,81.651,82.0,28866259
2015-06-12,81.99,83.7,81.75,83.51,2641000
2015-06-15,82.43,82.99,82.05,82.18,2640800
2015-06-16,82.22,84.99,82.11,84.75,2476500
2015-06-17,84.81,85.07,83.09,84.56,1894000
2015-06-18,84.63,85.46,83.62,84.65,2013300
2015-06-19,84.89,86.28,84.33,85.25,2833100
2015-06-22,86.27,88.35,85.86,87.81,2664600
2015-06-23,87.9,87.96,84.85,85.31,2469367
2015-06-24,85.13,85.88,84.56,84.59,1488500
2015-06-25,84.75,85.86,84.75,84.98,1391200
2015-06-26,84.85,85.0,79.66,80.41,20596300
2015-06-29,78.75,81.69,77.83,79.06,2892500
