Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,0.947648,0.956026,0.932078,0.947648,139916.9692574
1982-01-04,0.947648,0.947648,0.940159,0.940159,103152.57730483
1982-01-05,0.932078,0.940159,0.916507,0.916507,176682.37593196
1982-01-06,0.900937,0.916507,0.88507,0.892856,193534.87852777
1982-01-07,0.892856,0.892856,0.88507,0.88507,123579.94542598
1982-01-08,0.892856,0.900937,0.88507,0.892856,330389.41685825
1982-01-11,0.88507,0.892856,0.869697,0.869697,204258.46038184
1982-01-12,0.846045,0.869697,0.830375,0.846045,318135.63426271
1982-01-13,0.83816,0.846045,0.830375,0.830375,290047.1152144
1982-01-14,0.83816,0.83816,0.830375,0.83816,67408.995661221
1982-01-15,0.83816,0.846045,0.83816,0.83816,96002.84625413
1982-01-18,0.83816,0.83816,0.822294,0.822294,310477.52750148
1982-01-19,0.846045,0.853929,0.83816,0.846045,505030.17217227
1982-01-20,0.869697,0.88507,0.846045,0.88507,699588.90517494
1982-01-21,0.900937,0.908524,0.88507,0.900937,505030.17217227
1982-01-22,0.892856,0.900937,0.892856,0.892856,436093.00521353
1982-01-25,0.892856,0.892856,0.88507,0.892856,323751.10568403
1982-01-26,0.900937,0.908524,0.88507,0.88507,335493.46840311
1982-01-27,0.88507,0.88507,0.869697,0.869697,446304.15246917
1982-01-28,0.877285,0.88507,0.869697,0.869697,196601.36834259
1982-01-29,0.892856,0.908524,0.877285,0.908524,395241.31313717
1982-02-01,0.892856,0.900937,0.88507,0.88507,347239.89001011
1982-02-02,0.88507,0.892856,0.877285,0.88507,179239.47531427
1982-02-03,0.88507,0.900937,0.877285,0.877285,181279.06648827
1982-02-04,0.88507,0.88507,0.877285,0.877285,119491.63058022
1982-02-05,0.908524,0.916507,0.892856,0.916507,190979.80858941
1982-02-08,0.932078,0.932078,0.916507,0.924096,226215.01452249
1982-02-09,0.932078,0.932078,0.924096,0.932078,138384.73907197
1982-02-10,0.932078,0.947648,0.924096,0.924096,381959.61717881
1982-02-11,0.924096,0.924096,0.924096,0.924096,177191.76636447
1982-02-12,0.924096,0.924096,0.916507,0.924096,54128.314424839
1982-02-16,0.908524,0.908524,0.900937,0.908524,329877.99698179
1982-02-17,0.908524,0.916507,0.892856,0.892856,282384.94956526
1982-02-18,0.892856,0.900937,0.88507,0.88507,129194.40212531
1982-02-19,0.877285,0.88507,0.869697,0.869697,324768.87182706
1982-02-22,0.88507,0.88507,0.877285,0.877285,223152.58359557
1982-02-23,0.861516,0.869697,0.846045,0.861516,358984.28217314
1982-02-24,0.853929,0.861516,0.846045,0.846045,265536.50585737
1982-02-25,0.846045,0.853929,0.846045,0.846045,517283.95476783
1982-02-26,0.846045,0.853929,0.83816,0.83816,91913.516686388
1982-03-01,0.846045,0.853929,0.83816,0.83816,366645.4331003
1982-03-02,0.846045,0.846045,0.83816,0.83816,158812.10719313
1982-03-03,0.830375,0.830375,0.830375,0.830375,335493.46840311
1982-03-04,0.822294,0.830375,0.822294,0.822294,201194.00001097
1982-03-05,0.814902,0.822294,0.806724,0.814902,228773.12862677
1982-03-08,0.767797,0.791251,0.736556,0.736556,999336.76249049
1982-03-09,0.759815,0.775385,0.736556,0.759815,991165.20640885
1982-03-10,0.791251,0.814902,0.775385,0.798642,393195.63363132
1982-03-11,0.798642,0.814902,0.783269,0.783269,422298.87465674
1982-03-12,0.775385,0.775385,0.767797,0.767797,162385.95799649
1982-03-15,0.775385,0.775385,0.767797,0.775385,115406.35990037
1982-03-16,0.791251,0.806724,0.775385,0.791251,789969.17695392
1982-03-17,0.791251,0.798642,0.783269,0.798642,136850.47944259
1982-03-18,0.798642,0.806724,0.791251,0.798642,73021.422916602
1982-03-19,0.798642,0.806724,0.798642,0.798642,107748.25313914
1982-03-22,0.822294,0.830375,0.798642,0.830375,209363.52664865
1982-03-23,0.822294,0.83816,0.814902,0.814902,214980.01279195
1982-03-24,0.814902,0.822294,0.806724,0.806724,303325.76700683
1982-03-25,0.814902,0.814902,0.806724,0.814902,275746.63839103
1982-03-26,0.814902,0.822294,0.814902,0.814902,155235.21222383
1982-03-29,0.814902,0.822294,0.806724,0.806724,66897.575784759
1982-03-30,0.806724,0.814902,0.798642,0.798642,407496.1104547
1982-03-31,0.783269,0.798642,0.767797,0.767797,409537.73107263
1982-04-01,0.775385,0.798642,0.759815,0.798642,279322.51863835
1982-04-02,0.814902,0.822294,0.814902,0.822294,314559.75401539
