Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-07-09,0.30845,0.332898,0.304034,0.332898,4563426.8857964
1986-07-10,0.332898,0.335165,0.323966,0.330719,5756558.1035576
1986-07-11,0.330719,0.330719,0.30845,0.310717,3063918.0981043
1986-07-14,0.310717,0.310717,0.299607,0.30845,1513930.452794
1986-07-15,0.310717,0.310717,0.304034,0.30845,2512417.6678656
1986-07-16,0.304034,0.30845,0.304034,0.30845,872315.82399991
1986-07-17,0.30845,0.30845,0.299607,0.304034,2627763.7208261
1986-07-18,0.304034,0.30845,0.304034,0.304034,825457.53146523
1986-07-21,0.30845,0.30845,0.297419,0.299607,1077772.0358338
1986-07-22,0.299607,0.299607,0.297419,0.297419,774992.81273458
1986-07-23,0.297419,0.297419,0.27517,0.27517,1986137.9829062
1986-07-24,0.27517,0.284032,0.26407,0.268497,1769863.502405
1986-07-25,0.268497,0.268497,0.257417,0.259674,1586023.6294954
1986-07-28,0.266298,0.266298,0.259674,0.266298,883123.99346209
1986-07-29,0.266298,0.266298,0.259674,0.26407,2689040.6487011
1986-07-30,0.259674,0.26407,0.257417,0.26407,2930545.973687
1986-07-31,0.259674,0.266298,0.259674,0.26407,2717871.8598585
1986-08-01,0.266298,0.266298,0.259674,0.266298,1355339.6029386
1986-08-04,0.266298,0.266298,0.26407,0.266298,638017.29188286
1986-08-05,0.266298,0.277477,0.26407,0.27517,1816723.8147806
1986-08-06,0.27517,0.27517,0.268497,0.273052,2014977.2734278
1986-08-07,0.27517,0.277477,0.273052,0.27517,3647860.2053783
1986-08-08,0.273052,0.277477,0.273052,0.273052,843481.58308096
1986-08-11,0.268497,0.273052,0.268497,0.273052,940798.53482314
1986-08-12,0.268497,0.27517,0.268497,0.273052,2040218.2171176
1986-08-13,0.268497,0.27517,0.268497,0.27517,1589632.0755323
1986-08-14,0.27517,0.27517,0.266298,0.273052,2570093.2191472
1986-08-15,0.273052,0.273052,0.268497,0.268497,464995.68764074
1986-08-18,0.268497,0.273052,0.268497,0.273052,237910.00791567
1986-08-19,0.273052,0.27517,0.268497,0.27517,4819359.9354072
1986-08-20,0.27517,0.27517,0.268497,0.27517,147787.72999599
1986-08-21,0.273052,0.277477,0.268497,0.268497,2429504.2026558
1986-08-22,0.27517,0.27517,0.268497,0.27517,1859978.7108808
1986-08-25,0.27517,0.277477,0.268497,0.273052,4530997.3278073
1986-08-26,0.268497,0.273052,0.257417,0.26407,2335779.5382222
1986-08-27,0.259674,0.26407,0.257417,0.259674,865108.02121057
1986-08-28,0.26407,0.26407,0.257417,0.257417,1917649.2125599
1986-08-29,0.257417,0.259674,0.246337,0.248504,2101492.1152309
1986-09-02,0.253089,0.253089,0.21971,0.21971,2613342.0557243
1986-09-03,0.224097,0.226424,0.206482,0.226424,4974361.5277157
1986-09-04,0.224097,0.230791,0.20866,0.224097,4469712.3205681
1986-09-05,0.226424,0.230791,0.21971,0.21971,1892422.4077574
1986-09-08,0.226424,0.226424,0.212968,0.21971,1095798.1072906
1986-09-09,0.21971,0.21971,0.212968,0.212968,4015526.8222306
1986-09-10,0.217463,0.217463,0.210978,0.217463,2245673.4190311
1986-09-11,0.212968,0.212968,0.195243,0.199688,3604599.2497549
1986-09-12,0.201957,0.206482,0.190847,0.201957,1467073.1701799
1986-09-15,0.201957,0.206482,0.201957,0.206482,493831.94840075
1986-09-16,0.201957,0.206482,0.199688,0.201957,771392.44606175
1986-09-17,0.206482,0.206482,0.199688,0.201957,616390.85375325
1986-09-18,0.201957,0.201957,0.199688,0.199688,1715794.3773192
1986-09-19,0.199688,0.201957,0.190847,0.190847,446969.61618397
1986-09-22,0.199688,0.199688,0.190847,0.190847,1066962.8564512
1986-09-23,0.199688,0.199688,0.190847,0.195243,12367407.979499
1986-09-24,0.195243,0.195243,0.190847,0.190847,11664513.393069
1986-09-25,0.190847,0.195243,0.188758,0.190847,19940685.858155
1986-09-26,0.195243,0.199688,0.190847,0.199688,5194242.4344131
1986-09-29,0.199688,0.206482,0.195243,0.206482,4995987.9658453
1986-09-30,0.206482,0.246337,0.206482,0.226424,8510483.1162502
1986-10-01,0.230791,0.233088,0.21971,0.21971,4029953.5369351
1986-10-02,0.226424,0.226424,0.210978,0.217463,1261609.8889023
1986-10-03,0.21971,0.21971,0.212968,0.21971,627203.06289752
1986-10-06,0.217463,0.21971,0.212968,0.212968,324414.75051357
1986-10-07,0.217463,0.217463,0.212968,0.212968,277556.45797889
1986-10-08,0.217463,0.217463,0.212968,0.212968,1131846.2105221
1986-10-09,0.212968,0.217463,0.206482,0.20866,3492865.6825135
1986-10-10,0.206482,0.210978,0.206482,0.20866,2807989.0881755
1986-10-13,0.20866,0.210978,0.20866,0.210978,2681825.7764681
1986-10-14,0.20866,0.210978,0.195243,0.20866,29619065.308
1986-10-15,0.206482,0.20866,0.199688,0.206482,2822404.6937541
1986-10-16,0.201957,0.206482,0.199688,0.201957,803830.0834151
1986-10-17,0.199688,0.206482,0.199688,0.206482,3399145.0577621
1986-10-20,0.206482,0.206482,0.201957,0.201957,580344.77036285
1986-10-21,0.201957,0.201957,0.199688,0.201957,919171.086773
1986-10-22,0.199688,0.201957,0.199688,0.201957,1636485.3184645
1986-10-23,0.201957,0.201957,0.199688,0.201957,162205.35541573
1986-10-24,0.201957,0.201957,0.199688,0.201957,508248.56389996
1986-10-27,0.199688,0.201957,0.199688,0.199688,270342.5956664
1986-10-28,0.199688,0.201957,0.199688,0.199688,418134.36534449
1986-10-29,0.201957,0.20866,0.195243,0.20866,5626792.4053363
1986-10-30,0.20866,0.210978,0.206482,0.20866,1704981.1582545
1986-10-31,0.206482,0.20866,0.199688,0.199688,1737423.8452104
1986-11-03,0.201957,0.201957,0.190847,0.190847,3748799.7420449
1986-11-04,0.190847,0.195243,0.190847,0.190847,3658673.4244432
1986-11-05,0.195243,0.195243,0.188758,0.190847,2512417.6678656
1986-11-06,0.190847,0.195243,0.188758,0.190847,2324964.2993164
1986-11-07,0.195243,0.195243,0.182015,0.190847,9123263.5041253
1986-11-10,0.188758,0.190847,0.182015,0.184193,8542918.7337624
1986-11-11,0.188758,0.188758,0.184193,0.184193,1157074.025245
1986-11-12,0.184193,0.188758,0.182015,0.184193,2580905.4282914
1986-11-13,0.182015,0.184193,0.179728,0.179728,1456254.9015125
1986-11-14,0.182015,0.182015,0.15315,0.166488,26926422.272786
1986-11-17,0.170895,0.170895,0.150943,0.150943,4170532.4542212
1986-11-18,0.150943,0.15315,0.142021,0.144229,7241652.2955916
1986-11-19,0.144229,0.15315,0.144229,0.150943,3402751.4839581
1986-11-20,0.150943,0.159745,0.148705,0.155388,5277152.8698613
1986-11-21,0.155388,0.155388,0.150943,0.15315,5435753.8189221
1986-11-24,0.150943,0.15315,0.144229,0.148705,2728686.0888437
1986-11-25,0.148705,0.148705,0.126495,0.130961,6513517.7753917
1986-11-26,0.130961,0.133189,0.122129,0.122129,4361577.1001586
1986-11-28,0.124297,0.142021,0.108751,0.142021,148870292.08488
1986-12-01,0.144229,0.144229,0.133189,0.142021,5659233.0724513
1986-12-02,0.144229,0.144229,0.126495,0.133189,4797741.5766419
1986-12-03,0.137575,0.137575,0.130961,0.133189,5698882.552276
1986-12-04,0.130961,0.133189,0.124297,0.133189,11401372.540669
1986-12-05,0.133189,0.137575,0.124297,0.126495,6300848.7111658
1986-12-08,0.126495,0.126495,0.119831,0.124297,5644811.4073493
1986-12-09,0.124297,0.126495,0.119831,0.126495,6538756.6992406
1986-12-10,0.126495,0.126495,0.124297,0.124297,1841957.6890268
1986-12-11,0.126495,0.126495,0.122129,0.124297,2807989.0881755
1986-12-12,0.122129,0.124297,0.119831,0.122129,1214756.6459703
1986-12-15,0.122129,0.124297,0.119831,0.122129,1276033.5738451
1986-12-16,0.119831,0.124297,0.119831,0.124297,2263690.401203
1986-12-17,0.124297,0.124297,0.122129,0.122129,2912521.9220712
1986-12-18,0.122129,0.130961,0.122129,0.124297,8733967.4193818
1986-12-19,0.124297,0.126495,0.122129,0.126495,4293091.3595737
1986-12-22,0.126495,0.126495,0.122129,0.124297,3983096.2543209
1986-12-23,0.124297,0.126495,0.115435,0.119831,3774022.5071653
1986-12-24,0.119831,0.122129,0.113147,0.122129,3190079.3899706
1986-12-26,0.119831,0.124297,0.115435,0.124297,1095798.1072906
1986-12-29,0.124297,0.124297,0.119831,0.119831,2818803.3171608
1986-12-30,0.119831,0.124297,0.119831,0.119831,3557750.046505
1986-12-31,0.122129,0.122129,0.119831,0.122129,3813674.0068311
1987-01-02,0.122129,0.126495,0.122129,0.126495,3312635.2655616
