Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,15.7243,15.9525,15.6617,15.9029,1278091.7281076
2005-02-28,15.8821,16.1015,15.8305,16.0349,972359.50442914
2005-03-01,16.0201,16.2465,16.0201,16.2117,1120477.3018985
2005-03-02,16.1561,16.2832,15.9277,16.2535,753251.15899982
2005-03-03,16.2325,16.2325,16.0201,16.1243,1218961.6425549
2005-03-04,16.2325,16.2832,16.1323,16.1879,1220539.8817356
2005-03-07,16.1015,16.4351,16.1015,16.3915,1449144.8559046
2005-03-08,16.3855,16.5831,16.2981,16.3915,1669249.2948563
2005-03-09,16.3915,16.4053,16.1819,16.2325,1648876.2111629
2005-03-10,16.2832,16.4291,16.2207,16.3477,1039596.3207831
2005-03-11,16.3855,16.5116,16.2395,16.2535,1394767.6169976
2005-03-14,16.3061,16.4232,16.2465,16.4232,1760210.0575421
2005-03-15,16.4749,16.6049,16.4232,16.5046,1378743.5038098
2005-03-16,16.5116,16.6476,16.451,16.451,1065700.2155412
2005-03-17,16.4828,16.6129,16.4053,16.5583,1532403.7711015
2005-03-18,16.5275,16.592,16.2911,16.3477,1749731.4356938
2005-03-21,16.3477,16.451,16.2207,16.4291,1363123.2667621
2005-03-22,16.451,16.5751,16.3706,16.4967,1097930.7401247
2005-03-23,16.4659,16.592,16.4053,16.5583,917583.42524422
2005-03-24,16.5583,16.7419,16.4828,16.592,857267.89775429
2005-03-28,16.6049,16.7945,16.6049,16.735,897806.58762287
2005-03-29,16.7419,16.9812,16.7111,16.7787,1010723.7090449
2005-03-30,16.6327,16.7647,16.5583,16.6625,1107426.3616919
2005-03-31,16.6476,16.9971,16.6407,16.9306,1675577.3591656
2005-04-01,16.9375,17.0457,16.9018,16.9812,1794823.5520691
2005-04-04,16.9187,17.0229,16.8611,16.9266,1849595.6025644
2005-04-05,16.8928,17.1202,16.8611,17.0457,1739647.6254339
2005-04-06,16.9653,17.2264,16.9534,17.1738,1708798.9414094
2005-04-07,17.1808,17.296,17.1738,17.2195,1056012.224042
2005-04-08,17.2195,17.422,17.1649,17.3098,1151130.5944737
2005-04-11,17.296,17.3932,17.1649,17.2711,980667.66971425
2005-04-12,17.2711,17.437,17.15,17.3634,909673.09306465
2005-04-13,17.4082,17.437,17.1649,17.1808,791216.52333761
2005-04-14,17.1113,17.2394,16.8928,16.9018,1086468.1108229
2005-04-15,16.9018,17.0457,16.7111,16.7558,856274.82574906
2005-04-18,16.6953,16.9653,16.6407,16.8611,1218961.6425549
2005-04-19,16.868,16.9306,16.6953,16.8094,1202944.579574
2005-04-20,16.727,16.8015,16.5275,16.6129,1260095.5713232
2005-04-21,16.6625,16.7727,16.5364,16.6625,1009344.8900032
2005-04-22,16.6863,16.8154,16.4351,16.5364,1261869.2019532
2005-04-25,16.592,16.7866,16.5583,16.7866,831361.40879033
2005-04-26,16.6863,16.8442,16.5831,16.5831,1021201.3237208
2005-04-27,16.592,17.0229,16.592,16.9375,1223312.6274054
2005-04-28,16.8839,17.014,16.6625,16.7787,1133728.6694166
2005-04-29,17.694,18.2779,17.2106,17.4975,6149778.6762363
2005-05-02,17.575,17.8926,17.1272,17.711,4772613.4116072
2005-05-03,17.694,18.0744,17.6196,17.9374,2994206.7699693
2005-05-04,18.0018,18.2064,17.9542,18.1518,2118154.0994265
2005-05-05,18.6363,18.6363,18.0744,18.1121,1364307.7015269
2005-05-06,18.1906,18.1984,18.0366,18.1518,1213424.2085948
2005-05-09,18.0594,18.1518,18.0098,18.0287,2241353.444075
2005-05-10,17.9542,18.0287,17.559,17.6852,2350910.6383069
2005-05-11,17.7487,17.7834,17.575,17.7586,1394963.0084469
2005-05-12,17.847,17.847,17.5908,17.702,1962318.3397095
2005-05-13,17.7586,17.8926,17.6722,17.7914,1042564.4579021
2005-05-16,17.7914,18.0882,17.7318,18.0516,1312101.9263556
2005-05-17,18.0098,18.129,17.9214,18.0594,1052255.4709187
2005-05-18,18.0882,18.2064,18.0882,18.12,1363914.9042835
2005-05-19,18.1518,18.1518,18.0178,18.136,1105448.2750608
2005-05-20,18.1052,18.1518,18.0882,18.1052,1093983.6314142
2005-05-23,18.136,18.1518,17.9294,18.0962,1224895.9024482
2005-05-24,18.0436,18.0594,17.8858,17.9721,1274726.7650553
2005-05-25,17.8182,17.8242,17.296,17.6782,3201845.43589
