Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.170481,0.174244,0.170481,0.174244,542943.49505315
1970-01-05,0.174244,0.174244,0.170481,0.170481,385773.98065658
1970-01-06,0.170481,0.170481,0.170481,0.170481,628670.93322506
1970-01-07,0.170481,0.170481,0.170481,0.170481,278620.53509551
1970-01-08,0.170481,0.170481,0.170481,0.170481,228607.51955767
1970-01-09,0.170481,0.170481,0.170481,0.170481,300043.48918701
1970-01-12,0.170481,0.170481,0.170481,0.170481,178604.68167867
1970-01-13,0.170481,0.170481,0.16488,0.16488,1357355.6843352
1970-01-14,0.16488,0.16488,0.151754,0.151754,1664549.9966229
1970-01-15,0.151754,0.151754,0.14801,0.14801,1550239.6213658
1970-01-16,0.14801,0.14801,0.144267,0.14801,1564532.1076743
1970-01-19,0.14801,0.14801,0.144267,0.144267,1057312.1951482
1970-01-20,0.144267,0.144267,0.134894,0.138647,2036022.3310781
1970-01-21,0.138647,0.144267,0.138647,0.144267,1143039.6333201
1970-01-22,0.144267,0.151754,0.144267,0.14801,1021583.5237917
1970-01-23,0.14801,0.151754,0.144267,0.144267,864422.15152226
1970-01-26,0.144267,0.14801,0.138647,0.14801,1178755.07372
1970-01-27,0.14801,0.14801,0.144267,0.144267,1564532.1076743
1970-01-28,0.144267,0.151754,0.144267,0.14801,1021583.5237917
1970-01-29,0.14801,0.14801,0.144267,0.14801,2193196.9343041
1970-01-30,0.144267,0.144267,0.138647,0.144267,607241.87253826
1970-02-02,0.144267,0.14801,0.144267,0.144267,614380.48244836
1970-02-03,0.144267,0.14801,0.138647,0.144267,1150175.1899325
1970-02-04,0.144267,0.144267,0.138647,0.138647,1100165.2276924
1970-02-05,0.138647,0.138647,0.134894,0.138647,357195.11463495
1970-02-06,0.134894,0.134894,0.129284,0.134894,1414510.3630807
1970-02-09,0.134894,0.134894,0.129284,0.129284,907280.27289584
1970-02-10,0.129284,0.129284,0.12552,0.12552,1457374.5910497
1970-02-11,0.12552,0.134894,0.12552,0.129284,1950306.0883309
1970-02-12,0.129284,0.129284,0.129284,0.129284,2893308.9259879
1970-02-13,0.129284,0.134894,0.129284,0.129284,1357355.6843352
1970-02-16,0.129284,0.129284,0.129284,0.129284,2064602.2148656
1970-02-17,0.129284,0.134894,0.129284,0.129284,1685973.9684803
1970-02-18,0.129284,0.134894,0.129284,0.134894,2400370.3043455
