Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-06-26,0.269762,0.282004,0.261643,0.273905,274475145.06206
1992-06-29,0.277871,0.298312,0.273905,0.294286,71852420.223482
1992-06-30,0.298312,0.302434,0.282004,0.282004,42546151.645476
1992-07-01,0.286099,0.294286,0.277871,0.290231,22408369.497772
1992-07-02,0.294286,0.294286,0.282004,0.290231,17123373.165025
1992-07-06,0.286099,0.290231,0.282004,0.290231,7038828.7302965
1992-07-07,0.290231,0.290231,0.282004,0.290231,13044146.536962
1992-07-08,0.290231,0.290231,0.282004,0.282004,18963340.555409
1992-07-09,0.286099,0.294286,0.282004,0.294286,4799554.2135922
1992-07-10,0.294286,0.298312,0.286099,0.294286,13506092.571825
1992-07-13,0.294286,0.302434,0.294286,0.302434,7336358.1982237
1992-07-14,0.302434,0.314735,0.298312,0.302434,20873767.677818
1992-07-15,0.306617,0.314735,0.302434,0.314735,6107106.6696752
1992-07-16,0.314735,0.339181,0.310602,0.331042,20873767.677818
1992-07-17,0.335097,0.35966,0.327017,0.351472,19166914.207024
1992-07-20,0.347437,0.35966,0.339181,0.351472,24154371.904429
1992-07-21,0.35966,0.363763,0.351472,0.35966,9520815.6484637
1992-07-22,0.351472,0.35966,0.343304,0.351472,13326008.89289
1992-07-23,0.351472,0.363763,0.347437,0.363763,12707475.263381
1992-07-24,0.351472,0.367828,0.351472,0.363763,8628239.4679019
1992-07-27,0.367828,0.380109,0.363763,0.371951,13983702.662883
1992-07-28,0.376025,0.380109,0.351472,0.35966,22032556.418537
1992-07-29,0.35966,0.35966,0.331042,0.339181,37738767.440991
1992-07-30,0.335097,0.339181,0.331042,0.339181,14359519.816522
1992-07-31,0.339181,0.339181,0.331042,0.339181,8424670.9092954
1992-08-03,0.335097,0.347437,0.335097,0.343304,5911359.9531487
1992-08-04,0.343304,0.351472,0.335097,0.347437,8346378.1305745
1992-08-05,0.347437,0.347437,0.331042,0.335097,11642643.357574
1992-08-06,0.331042,0.335097,0.327017,0.335097,4494203.9221867
1992-08-07,0.335097,0.347437,0.327017,0.347437,10797044.066566
1992-08-10,0.339181,0.351472,0.339181,0.347437,7203245.2972334
1992-08-11,0.351472,0.351472,0.343304,0.351472,5073595.7460431
1992-08-12,0.343304,0.347437,0.331042,0.335097,15580945.428584
1992-08-13,0.335097,0.339181,0.331042,0.335097,59113632.12674
1992-08-14,0.331042,0.339181,0.314735,0.31875,21836810.720613
1992-08-17,0.31875,0.322864,0.314735,0.322864,3280609.3196197
1992-08-18,0.314735,0.31875,0.314735,0.31875,3499836.8414109
1992-08-19,0.314735,0.31875,0.314735,0.31875,2912619.101068
1992-08-20,0.31875,0.327017,0.310602,0.31875,3045720.7974402
