Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1989-06-30,0.190866,0.190866,0.182223,0.190866,2379417.3872507
1989-07-03,0.190866,0.199409,0.190866,0.199409,1349913.4708658
1989-07-05,0.199409,0.208169,0.199409,0.208169,1313141.2575329
1989-07-06,0.208169,0.216821,0.208169,0.216821,4737832.7480953
1989-07-07,0.216821,0.216821,0.216821,0.216821,5945921.4941852
1989-07-10,0.216821,0.225572,0.216821,0.225572,2458205.7617993
1989-07-11,0.225572,0.225572,0.225572,0.225572,1654563.9377899
1989-07-12,0.225572,0.225572,0.225572,0.225572,1365671.5493889
1989-07-13,0.225572,0.225572,0.225572,0.225572,1570520.5159885
1989-07-14,0.225572,0.225572,0.216821,0.225572,3766102.0624158
1989-07-17,0.225572,0.234214,0.225572,0.225572,2510735.0446217
1989-07-18,0.234214,0.243055,0.234214,0.243055,2132548.2233009
1989-07-19,0.268782,0.268782,0.243055,0.260368,6765329.468987
1989-07-20,0.268782,0.268782,0.268782,0.268782,6003701.788126
1989-07-21,0.268782,0.268782,0.260368,0.260368,2064267.9251909
1989-07-24,0.260368,0.260368,0.251408,0.260368,1728100.2921866
1989-07-25,0.251408,0.260368,0.251408,0.260368,1581027.5833933
1989-07-26,0.260368,0.260368,0.251408,0.260368,966480.68359495
1989-07-27,0.260368,0.268782,0.260368,0.268782,2416185.564449
1989-07-28,0.268782,0.277623,0.260368,0.277623,4596009.0323531
1989-07-31,0.277623,0.286125,0.277623,0.286125,3162053.1487193
1989-08-01,0.295035,0.295035,0.286125,0.286125,8036453.5562705
1989-08-02,0.286125,0.295035,0.286125,0.286125,3309126.8665464
1989-08-03,0.286125,0.286125,0.277623,0.286125,1990726.5256259
1989-08-04,0.286125,0.286125,0.268782,0.277623,2164063.3713136
1989-08-07,0.277623,0.286125,0.277623,0.277623,2484468.88966
1989-08-08,0.277623,0.277623,0.277623,0.277623,1071529.1589034
1989-08-09,0.277623,0.277623,0.277623,0.277623,1623050.8078445
1989-08-10,0.277623,0.277623,0.268782,0.277623,2253355.7861661
1989-08-11,0.277623,0.277623,0.260368,0.268782,3829131.3494075
1989-08-14,0.268782,0.268782,0.268782,0.268782,1260621.0560133
1989-08-15,0.268782,0.268782,0.260368,0.268782,3629531.3758591
1989-08-16,0.268782,0.268782,0.260368,0.260368,2536996.1544152
1989-08-17,0.260368,0.260368,0.260368,0.260368,2211335.5888158
1989-08-18,0.260368,0.260368,0.260368,0.260368,1108295.3180344
1989-08-21,0.260368,0.260368,0.260368,0.260368,1323651.3520387
1989-08-22,0.260368,0.260368,0.251408,0.251408,2778616.3253139
1989-08-23,0.251408,0.260368,0.251408,0.260368,1265871.0580979
1989-08-24,0.268782,0.277623,0.268782,0.277623,2715584.0112212
1989-08-25,0.277623,0.286125,0.277623,0.277623,6655021.9102911
1989-08-28,0.277623,0.286125,0.277623,0.277623,3708319.7504077
1989-08-29,0.277623,0.277623,0.268782,0.277623,3813372.2618507
1989-08-30,0.277623,0.277623,0.277623,0.277623,477984.28551091
1989-08-31,0.277623,0.277623,0.277623,0.277623,1250113.9886085
1989-09-01,0.268782,0.277623,0.268782,0.268782,2038000.7611955
1989-09-05,0.277623,0.277623,0.277623,0.277623,661829.20763714
1989-09-06,0.277623,0.277623,0.268782,0.277623,2169317.4095329
1989-09-07,0.277623,0.277623,0.268782,0.277623,1423448.8162289
1989-09-08,0.277623,0.277623,0.277623,0.277623,425460.04785671
1989-09-11,0.277623,0.277623,0.268782,0.268782,451718.13054921
1989-09-12,0.277623,0.277623,0.268782,0.277623,1596784.6528829
1989-09-13,0.277623,0.277623,0.268782,0.268782,761620.61762534
1989-09-14,0.268782,0.268782,0.251408,0.260368,2836394.6011874
1989-09-15,0.260368,0.260368,0.251408,0.251408,2358411.3247102
1989-09-18,0.260368,0.260368,0.251408,0.251408,1701839.1823933
1989-09-19,0.251408,0.260368,0.251408,0.260368,1922442.1913812
1989-09-20,0.260368,0.260368,0.260368,0.260368,588288.81710589
1989-09-21,0.260368,0.260368,0.260368,0.260368,1412946.7939923
1989-09-22,0.260368,0.260368,0.260368,0.260368,493742.36403409
1989-09-25,0.260368,0.260368,0.260368,0.260368,220611.08125725
1989-09-26,0.260368,0.260368,0.251408,0.251408,5993197.7478221
1989-09-27,0.251408,0.251408,0.243055,0.251408,3193570.3147994
1989-09-28,0.243055,0.243055,0.234214,0.243055,1670324.0343804
1989-09-29,0.243055,0.243055,0.243055,0.243055,913950.39173885
1989-10-02,0.251408,0.251408,0.243055,0.243055,2006488.6402836
1989-10-03,0.243055,0.260368,0.243055,0.260368,1691332.1149883
1989-10-04,0.260368,0.260368,0.260368,0.260368,1381431.6459794
1989-10-05,0.260368,0.260368,0.260368,0.260368,2332146.1787821
1989-10-06,0.260368,0.260368,0.260368,0.260368,1953962.3845622
1989-10-09,0.260368,0.260368,0.260368,0.260368,698593.34870086
1989-10-10,0.260368,0.260368,0.251408,0.251408,1076778.1519543
1989-10-11,0.251408,0.251408,0.251408,0.251408,934961.49944764
1989-10-12,0.251408,0.251408,0.243055,0.243055,693342.33758254
1989-10-13,0.251408,0.251408,0.225572,0.225572,2757604.2085715
1989-10-16,0.208169,0.216821,0.208169,0.216821,8750800.9473599
