Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,0.994516,1.00325,0.994516,1.00017,248162.59222773
1985-07-02,1.00017,1.00017,0.985681,0.985681,864500.39601616
1985-07-03,0.985681,1.01497,0.953314,0.965129,1047219.6895284
1985-07-05,0.965129,0.965129,0.959271,0.965129,1933553.6556843
1985-07-08,0.965129,0.979921,0.962051,0.979921,1145397.7314988
1985-07-09,0.979921,0.982802,0.973965,0.982802,853592.1723407
1985-07-10,0.982802,0.99144,0.973965,0.99144,782693.75456469
1985-07-11,0.99144,1.01795,0.985681,1.01198,681787.14584107
1985-07-12,1.01198,1.02381,1.01198,1.01795,788143.83751093
1985-07-15,1.01795,1.02082,0.997398,1.00017,370889.67719369
1985-07-16,1.00017,1.01198,0.994516,0.997398,1647197.1722494
1985-07-17,0.997398,1.01198,0.99144,1.01198,1314472.1767996
1985-07-18,1.01198,1.01795,1.00325,1.01198,643606.3485313
1985-07-19,1.01198,1.02679,1.01198,1.01795,646334.91528445
1985-07-22,1.02082,1.03274,1.02082,1.02679,343621.13245083
1985-07-23,1.02679,1.02966,1.01795,1.01795,313614.95594897
1985-07-24,1.01795,1.04446,1.01198,1.02966,1036315.4947445
1985-07-25,1.02966,1.04138,1.01198,1.01795,1633561.3890437
1985-07-26,1.01795,1.02679,1.01795,1.02381,376337.7456942
1985-07-29,1.02381,1.02966,1.01795,1.02966,886323.89392712
1985-07-30,1.02966,1.03274,1.02082,1.02679,1235414.2465587
1985-07-31,1.02679,1.03274,1.02082,1.02082,308159.83688839
1985-08-01,1.02082,1.02966,1.02082,1.02966,635423.66994041
1985-08-02,1.02966,1.02966,1.02381,1.02381,278169.77595245
1985-08-05,1.02381,1.02679,1.00901,1.01198,520881.27801106
1985-08-06,1.01198,1.02082,1.00017,1.00901,1006326.4410314
1985-08-07,1.00325,1.00325,0.98856,0.98856,654516.58665247
1985-08-08,0.98856,1.00901,0.98856,1.00901,354525.32723479
1985-08-09,1.00901,1.02966,1.00325,1.02381,599974.4610524
1985-08-12,1.02381,1.02679,1.02082,1.02381,98174.013078972
1985-08-13,1.02381,1.02381,1.01795,1.02082,297257.65655017
1985-08-14,1.02082,1.02381,1.01795,1.02381,509967.0109984
1985-08-15,1.02381,1.02679,1.01795,1.01795,1393578.4537383
