Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,43.19,44.1,43.1,43.93,261172
2005-02-28,43.88,44.23,43.47,43.82,265821
2005-03-01,43.68,44.73,43.68,44.62,365596
2005-03-02,44.54,44.79,44.2,44.44,881814
2005-03-03,44.51,44.55,43.85,44.46,340848
2005-03-04,44.57,45.64,44.3,45.31,492931
2005-03-07,45.52,45.74,44.99,45.5,280790
2005-03-08,45.69,45.74,45.04,45.12,189972
2005-03-09,44.91,45.08,44.46,44.73,199689
2005-03-10,44.63,45.29,44.55,44.9,277543
2005-03-11,44.8,45.2,44.61,44.86,182322
2005-03-14,44.7,45.25,44.4,44.76,160313
2005-03-15,44.84,45.39,44.84,45.19,220581
2005-03-16,45.26,45.28,44.62,44.78,203619
2005-03-17,44.62,45.0,44.21,44.77,335422
2005-03-18,44.73,44.95,44.25,44.34,476236
2005-03-21,44.26,44.55,43.78,44.0,170567
2005-03-22,44.03,44.03,43.26,43.35,217526
2005-03-23,43.25,43.28,42.78,42.9,448494
2005-03-24,43.07,43.65,43.0,43.45,227415
2005-03-28,43.34,44.08,43.31,43.91,325766
2005-03-29,43.85,44.2,43.55,43.73,395459
2005-03-30,43.8,44.4,43.78,44.39,313579
2005-03-31,44.4,44.48,44.0,44.06,534057
2005-04-01,44.0,44.5,42.97,43.49,357189
2005-04-04,43.39,43.62,42.85,43.62,325855
2005-04-05,43.48,44.1,43.45,43.69,381172
2005-04-06,43.81,44.17,43.67,43.8,240767
2005-04-07,43.65,44.31,43.65,44.14,209485
2005-04-08,43.95,44.07,43.46,43.48,132491
2005-04-11,43.57,43.62,43.12,43.26,87323
2005-04-12,43.15,44.31,42.91,43.86,1014078
2005-04-13,45.15,46.69,45.15,46.27,1244125
2005-04-14,46.11,46.89,45.9,46.43,591123
2005-04-15,46.43,46.95,46.18,46.42,555580
2005-04-18,46.36,47.55,46.0,47.09,684010
2005-04-19,47.0,47.85,47.0,47.78,473039
2005-04-20,47.5,47.79,46.85,47.03,478956
2005-04-21,47.11,47.89,46.63,47.58,349015
2005-04-22,47.36,47.36,45.1,46.59,713961
2005-04-25,46.6,47.0,46.29,46.5,420949
2005-04-26,46.21,46.78,46.21,46.31,519105
2005-04-27,46.3,47.36,46.11,46.96,376269
2005-04-28,46.95,47.32,46.32,46.88,448319
2005-04-29,46.8,47.51,45.99,47.4,600601
2005-05-02,47.0,48.1,46.8,47.76,511032
2005-05-03,47.8,48.17,47.28,47.41,456372
2005-05-04,47.28,48.3,47.28,48.0,736126
2005-05-05,48.0,48.23,47.21,47.87,397275
2005-05-06,48.09,48.25,47.15,47.53,214576
2005-05-09,47.36,48.11,47.17,48.07,204408
2005-05-10,47.9,48.09,47.02,47.21,278379
2005-05-11,47.1,47.58,46.6,47.57,280839
2005-05-12,47.25,47.65,46.28,46.5,339907
2005-05-13,46.55,46.8,45.96,46.49,333567
2005-05-16,46.53,47.67,46.28,47.38,317289
2005-05-17,47.5,48.19,47.29,47.98,314170
2005-05-18,48.0,48.95,47.95,48.73,415629
2005-05-19,48.65,48.85,47.92,48.09,276874
2005-05-20,48.02,48.02,46.94,47.35,410870
2005-05-23,47.47,48.75,47.4,48.57,610023
2005-05-24,48.35,48.62,47.86,48.33,261990
2005-05-25,48.01,48.01,47.26,47.41,201665
2005-05-26,47.54,47.75,47.07,47.69,347478
2005-05-27,47.6,48.07,47.59,47.69,268324
2005-05-31,47.66,48.2,47.63,47.76,390536
2005-06-01,47.45,48.52,47.01,47.57,467909
2005-06-02,47.69,47.69,47.1,47.27,436178
2005-06-03,47.2,47.36,46.49,46.73,414517
2005-06-06,46.46,47.38,46.46,47.13,322586
2005-06-07,47.05,48.09,47.03,47.04,415119
2005-06-08,47.02,47.57,46.88,47.11,182565
2005-06-09,46.96,47.84,46.76,47.68,343991
2005-06-10,47.93,47.95,47.51,47.64,234519
2005-06-13,47.45,48.43,47.45,48.03,313475
2005-06-14,47.92,48.27,47.85,48.11,136448
2005-06-15,48.05,48.68,47.81,48.59,241344
2005-06-16,48.46,48.77,48.43,48.72,182990
2005-06-17,48.62,49.19,48.35,48.6,483741
2005-06-20,48.56,48.64,48.09,48.35,170862
2005-06-21,48.4,48.55,47.98,48.18,201023
2005-06-22,48.06,48.6,47.97,48.03,313104
2005-06-23,48.0,48.49,47.72,47.73,307198
2005-06-24,47.6,47.94,47.4,47.53,301029
2005-06-27,47.59,48.0,47.38,47.99,241189
2005-06-28,48.0,49.06,47.94,48.94,594353
2005-06-29,48.98,50.0,48.47,48.71,1525659
2005-06-30,48.74,48.92,47.81,47.9,306773
2005-07-01,47.64,48.59,47.64,48.24,242016
2005-07-05,48.11,48.91,48.01,48.76,306841
2005-07-06,48.58,48.66,47.9,47.94,272814
2005-07-07,47.7,48.24,47.46,48.1,183390
2005-07-08,48.16,50.0,48.05,49.79,408089
2005-07-11,49.85,50.8,49.85,50.66,261092
2005-07-12,50.38,51.39,50.36,51.16,323813
2005-07-13,51.18,51.76,51.0,51.06,291900
2005-07-14,51.15,51.48,50.9,51.01,301612
2005-07-15,50.78,51.47,50.65,51.39,162080
2005-07-18,51.22,51.39,50.64,50.83,215817
2005-07-19,50.72,51.11,50.34,50.89,242296
2005-07-20,50.74,51.99,50.5,51.75,274327
2005-07-21,51.7,51.9,50.28,50.66,453240
2005-07-22,50.9,51.55,50.0,51.1,565828
