Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,5.85376,5.88382,5.82392,5.8688,600833.51447071
1982-01-04,5.77163,5.8688,5.66716,5.7492,843204.12760661
1982-01-05,5.56979,5.65955,5.45762,5.45762,1440289.2048391
1982-01-06,5.41264,5.4501,5.36025,5.41264,2087145.0301142
1982-01-07,5.33831,5.43527,5.25579,5.30075,1743655.6432534
1982-01-08,5.38309,5.42044,5.3306,5.36787,1325798.4756545
1982-01-11,5.29304,5.43527,5.1435,5.17375,1979071.6659505
1982-01-12,5.25579,5.3306,5.15843,5.31548,1457416.6796046
1982-01-13,5.31548,5.48767,5.13579,5.2035,1646813.4266691
1982-01-14,5.26309,5.31548,5.2035,5.31548,1429057.0455357
1982-01-15,5.3306,5.36025,5.29304,5.3306,968933.08643825
1982-01-18,5.29304,5.36787,5.2112,5.36787,1200606.7422408
1982-01-19,5.29304,5.36787,5.2112,5.2112,965723.89806586
1982-01-20,5.13579,5.22583,5.0243,5.12126,2478247.1578304
1982-01-21,5.09843,5.17375,5.01649,5.06877,1587959.4209948
1982-01-22,5.04663,5.10654,4.9643,4.9643,1161008.8785249
1982-01-25,5.07629,5.23315,4.91201,5.23315,2542452.1714813
1982-01-26,5.2035,5.26309,5.12126,5.12126,1529106.4270445
1982-01-27,5.23315,5.3306,5.1435,5.26309,1753284.2200946
1982-01-28,5.41264,5.50248,5.30075,5.48767,1563884.4378582
1982-01-29,5.64442,5.71193,5.57742,5.66716,3827584.4029276
1982-02-01,5.43527,5.55468,5.31548,5.33831,1799298.4371075
1982-02-02,5.36787,5.42044,5.30075,5.36025,1918609.0191943
1982-02-03,5.25579,5.41264,5.09843,5.13579,1731882.2116363
1982-02-04,5.17375,5.25579,5.09843,5.25579,2431702.7974673
1982-02-05,5.31548,5.41264,5.2112,5.30075,1968898.7816238
1982-02-08,5.13579,5.22583,5.04663,5.05385,1867781.0196227
1982-02-09,5.07629,5.17375,4.98674,5.10654,1711022.4872157
1982-02-10,5.2035,5.27822,5.10654,5.1435,1532854.8642828
1982-02-11,5.07629,5.17375,4.98674,5.01649,1818024.4357154
1982-02-12,5.05385,5.09843,5.00186,5.04663,1582075.2344962
1982-02-16,5.07629,5.22583,4.93455,5.22583,2244977.0016333
1982-02-17,5.18075,5.22583,5.13579,5.1435,1505031.4439078
1982-02-18,5.17375,5.22583,5.12126,5.18075,1023512.5584197
1982-02-19,5.15843,5.2112,5.09843,5.13579,1036347.2884614
1982-02-22,5.05385,5.2112,4.89679,4.91201,1902024.8401904
1982-02-23,4.91201,5.00186,4.79973,4.93455,2141182.2180581
1982-02-24,5.06877,5.18075,4.94928,5.15843,1377697.8908901
1982-02-25,5.07629,5.15843,4.98674,5.07629,1055607.4773155
1982-02-26,5.05385,5.09843,5.00186,5.0243,856044.92799198
1982-03-01,4.9643,5.05385,4.85962,4.93455,1307607.6790165
1982-03-02,4.79973,4.97932,4.63506,4.64287,1836752.4577714
1982-03-03,4.48601,4.54591,4.43323,4.51576,3760179.30642
1982-03-04,4.48601,4.59038,4.38844,4.51576,6001405.8473671
1982-03-05,4.48601,4.55282,4.4262,4.53039,3439160.3085095
1982-03-08,4.41069,4.61321,4.20154,4.23179,3086571.476434
1982-03-09,4.45576,4.64287,4.26134,4.47088,3823842.036033
1982-03-10,4.56814,4.69515,4.43323,4.59038,2142250.5985503
1982-03-11,4.56814,4.63506,4.48601,4.56814,1668221.5054711
1982-03-12,4.52347,4.57526,4.47088,4.50073,1746327.6062079
1982-03-15,4.57526,4.65779,4.48601,4.64287,1637720.0517981
1982-03-16,4.63506,4.69515,4.56814,4.57526,1488980.4434261
1982-03-17,4.56814,4.63506,4.48601,4.50073,1016020.742563
1982-03-18,4.56814,4.63506,4.50073,4.59038,1665543.4721729
1982-03-19,4.59038,4.61321,4.50073,4.52347,1873663.1826735
1982-03-22,4.61321,4.67252,4.55282,4.67252,1505564.62243
1982-03-23,4.64287,4.69515,4.57526,4.67252,1461699.3070889
1982-03-24,4.69515,4.75476,4.63506,4.69515,2135829.1866336
1982-03-25,4.69515,4.77748,4.61321,4.64287,1431733.0553859
1982-03-26,4.53809,4.63506,4.44835,4.48601,1538740.0625054
1982-03-29,4.48601,4.53809,4.4184,4.53809,862462.29301282
1982-03-30,4.50073,4.52347,4.45576,4.50073,1060956.4618442
1982-03-31,4.51576,4.55282,4.47088,4.50073,1497004.4260811
1982-04-01,4.56814,4.67252,4.45576,4.67252,1561749.7003216
1982-04-02,4.77748,4.86685,4.68013,4.82967,2056113.4330909
1982-04-05,4.75476,4.82967,4.67252,4.7252,935766.75187843
1982-04-06,4.77748,4.82967,4.7252,4.81475,1037954.9178195
1982-04-07,4.86685,4.91201,4.81475,4.86685,1949637.5810457
1982-04-08,4.94928,5.01649,4.86685,4.93455,2072697.6120948
1982-04-12,4.91201,4.94928,4.85962,4.86685,1183480.2791993
1982-04-13,4.86685,4.91913,4.81475,4.82967,1075941.1052817
1982-04-14,4.79221,4.82967,4.75476,4.81475,926665.28321574
1982-04-15,4.77748,4.79973,4.73252,4.77748,605651.3439251
1982-04-16,4.77748,4.88167,4.76256,4.79973,1028327.3527023
1982-04-19,4.77748,4.81475,4.7252,4.73252,954488.70359063
1982-04-20,4.63506,4.7252,4.53809,4.57526,1476141.6664887
1982-04-21,4.44835,4.52347,4.36612,4.45576,3010602.1366816
1982-04-22,4.63506,4.73252,4.51576,4.73252,3806187.4530891
1982-04-23,4.91201,4.98674,4.82967,4.95689,3134192.3110808
1982-04-26,5.05385,5.15843,4.93455,5.06877,3301116.6457471
1982-04-27,4.97932,5.06877,4.86685,4.91201,2298478.987607
1982-04-28,4.88987,4.95689,4.82967,4.91913,2321485.5902515
1982-04-29,4.91201,4.95689,4.85962,4.86685,1558001.2630834
1982-04-30,4.88987,4.93455,4.85962,4.85962,1218796.5271549
1982-05-03,4.88167,4.93455,4.82967,4.91913,1368602.492571
1982-05-04,5.00186,5.05385,4.93455,5.03882,2630731.1565448
1982-05-05,5.01649,5.07629,4.93455,5.00186,1844240.2267323
1982-05-06,5.05385,5.09151,5.01649,5.06877,1754890.8377286
1982-05-07,5.17375,5.22583,5.10654,5.17375,2356257.5307215
1982-05-10,5.10654,5.17375,5.0243,5.07629,1981206.403487
1982-05-11,5.11364,5.2112,5.01649,5.15843,3237452.90441
1982-05-12,5.17375,5.25579,5.07629,5.07629,1969975.2559075
1982-05-13,5.15843,5.2035,5.10654,5.1435,1423173.8707609
1982-05-14,5.11364,5.1435,5.09151,5.1435,1040097.7491476
1982-05-17,5.07629,5.11364,5.0243,5.03882,1165822.6610835
1982-05-18,4.98674,5.0243,4.94928,4.98674,1049723.2908169
1982-05-19,4.91913,5.01649,4.82967,4.85962,833038.32534754
1982-05-20,4.837,4.91201,4.77748,4.91201,1900949.3776305
1982-05-21,4.94928,4.97932,4.91201,4.94928,1329005.640579
1982-05-24,4.91201,4.95689,4.85962,4.95689,999962.66001369
1982-05-25,4.95689,5.0243,4.88167,4.88167,1322590.299006
1982-05-26,4.77748,4.81475,4.73252,4.75476,2727038.1711591
1982-05-27,4.73252,4.77748,4.69515,4.73252,1468120.7190056
1982-05-28,4.68013,4.76256,4.59038,4.61321,1177061.9024545
1982-06-01,4.68013,4.7252,4.64287,4.7252,1511986.0343467
1982-06-02,4.61321,4.7252,4.51576,4.55282,2179164.3586244
1982-06-03,4.44835,4.55282,4.32885,4.44835,3192510.1030612
1982-06-04,4.33617,4.43323,4.24661,4.32885,1908444.2286591
1982-06-07,4.27645,4.33617,4.19414,4.31373,2830297.7527643
1982-06-08,4.26134,4.35879,4.17169,4.19414,4850021.4987876
1982-06-09,4.07463,4.14165,3.992,4.07463,3977392.3917917
1982-06-10,4.14955,4.19414,4.10458,4.19414,3221401.9039282
1982-06-11,4.2988,4.36612,4.239,4.35879,3640863.6657134
1982-06-14,4.2988,4.33617,4.24661,4.26134,1834609.6264432
1982-06-15,4.20154,4.24661,4.17169,4.21656,1380370.8655684
1982-06-16,4.20154,4.29168,4.1118,4.12672,1706736.8245595
1982-06-17,4.08204,4.14165,4.02966,4.05239,1863502.4390342
1982-06-18,4.05931,4.08204,4.02214,4.07463,1562278.831948
1982-06-21,4.12672,4.19414,4.05239,4.08204,1552653.2902787
1982-06-22,4.14955,4.24661,4.05931,4.239,1497004.4260811
1982-06-23,4.2988,4.39617,4.20154,4.39617,2220901.0067727
1982-06-24,4.2988,4.38124,4.20154,4.239,1957133.4437982
1982-06-25,4.1793,4.21656,4.12672,4.12672,1187227.7047135
1982-06-28,4.1793,4.21656,4.12672,4.19414,1588497.6581367
1982-06-29,4.14955,4.21656,4.08204,4.12672,1211298.6409543
1982-06-30,4.1118,4.1793,4.05239,4.05931,1727605.6544956
1982-07-01,3.992,4.07463,3.90275,3.91747,2165254.1660229
1982-07-02,3.85046,3.90275,3.79797,3.79797,2716872.3689
1982-07-06,3.86519,3.91747,3.79797,3.91747,1785388.2445059
1982-07-07,3.92509,3.95493,3.88781,3.90275,1370739.2535554
1982-07-08,3.86519,3.95493,3.76812,3.93981,2819062.558289
1982-07-09,4.05931,4.17169,3.93981,4.1118,2250865.2350277
1982-07-12,3.92509,3.98479,3.87269,3.98479,1620596.6239283
1982-07-13,3.92509,3.96995,3.88781,3.90275,1295834.2473995
1982-07-14,3.92509,3.98479,3.87269,3.98479,1620596.6239283
1982-07-15,3.95493,4.02214,3.88781,3.90275,1858684.6095799
1982-07-16,3.91747,3.992,3.83514,3.88781,95768.777472351
1982-07-19,3.92509,4.00731,3.85046,3.88781,1241801.1063513
1982-07-20,3.87269,3.92509,3.80538,3.92509,1711553.64229
1982-07-21,3.95493,4.00731,3.88781,3.90275,1718508.2327287
1982-07-22,3.98479,4.02214,3.92509,4.00731,2365894.2013543
1982-07-23,4.14165,4.21656,4.05239,4.19414,2672465.7812451
1982-07-26,4.21656,4.26915,4.14955,4.17169,2165254.1660229
1982-07-27,4.12672,4.20154,4.05239,4.07463,1400705.5052585
1982-07-28,4.00731,4.07463,3.92509,3.96995,1501823.2672594
1982-07-29,3.95493,4.02214,3.87269,3.92509,2792311.565302
1982-07-30,3.85046,3.92509,3.76061,3.79797,2465944.594587
1982-08-02,3.90275,3.95493,3.85046,3.95493,2374990.6113972
1982-08-03,3.91747,3.96995,3.86519,3.88781,1895605.4517216
1982-08-04,3.86519,3.90275,3.80538,3.80538,1959809.4536485
1982-08-05,3.76812,3.83514,3.68598,3.80538,2277611.1693949
1982-08-06,3.78305,3.86519,3.70803,3.73076,1491122.2630302
1982-08-09,3.76061,3.85046,3.66335,3.80538,1856009.6114536
1982-08-10,3.79797,3.87269,3.70803,3.71573,1724927.6211975
1982-08-11,3.70803,3.73807,3.66335,3.73076,1326335.7010725
1982-08-12,3.68598,3.78305,3.58102,3.61077,1524825.8230081
1982-08-13,3.61077,3.64832,3.57371,3.61857,3064643.3715211
1982-08-16,3.47644,3.67838,3.26699,3.34212,4858587.7654802
1982-08-17,3.39411,3.55136,3.22983,3.49888,6017453.8126769
1982-08-18,3.49888,3.64832,3.34212,3.49888,5024979.9333482
1982-08-19,3.31949,3.45401,3.18505,3.43928,5299979.6556259
1982-08-20,3.49137,3.61077,3.37148,3.61077,4230464.0091567
1982-08-23,3.64832,3.73807,3.55136,3.73807,4161977.3797455
1982-08-24,3.83514,3.95493,3.71573,3.82021,3957597.0009675
1982-08-25,3.90275,4.02214,3.78305,3.96995,4742489.4069376
1982-08-26,3.992,4.1118,3.87269,3.91747,5168365.4985717
1982-08-27,3.86519,3.91747,3.80538,3.88781,1711553.64229
1982-08-30,3.82021,3.88781,3.76061,3.87269,2330580.9885705
1982-08-31,3.90275,3.93981,3.86519,3.87269,1235912.8729569
1982-09-01,3.88781,3.96995,3.79797,3.85046,3132050.4914767
1982-09-02,3.85046,3.91747,3.78305,3.88781,2189333.1960554
1982-09-03,4.07463,4.14165,3.992,4.14165,6046348.6487159
1982-09-07,4.07463,4.14165,4.00731,4.02214,1706200.6108655
1982-09-08,4.04469,4.10458,3.98479,4.04469,2188799.0058093
1982-09-09,3.96265,4.02966,3.88781,3.95493,3007928.1502792
1982-09-10,3.89504,3.98479,3.82021,3.88781,1816420.8532532
1982-09-13,3.93981,4.02966,3.82782,4.02966,1801973.4352337
1982-09-14,4.1118,4.1793,4.02966,4.12672,3149175.9427943
1982-09-15,4.12672,4.1793,4.07463,4.1793,1569236.4575587
1982-09-16,4.05931,4.14955,3.95493,3.96265,2217152.5695345
1982-09-17,3.98479,4.02966,3.91747,3.98479,2027222.6439477
1982-09-20,3.98479,4.02214,3.92509,3.992,1922352.3978127
1982-09-21,4.04469,4.08204,4.00731,4.08204,1746327.6062079
1982-09-22,4.04469,4.14165,3.95493,3.95493,2536563.9380868
1982-09-23,3.96265,4.00731,3.91747,3.91747,1507707.453758
1982-09-24,3.91747,3.96265,3.84285,3.89504,1857612.1821918
