Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,6.13689,6.21553,6.13689,6.1915,190616.86602149
1985-07-02,6.1915,6.21553,6.09757,6.13689,63926.164122188
1985-07-03,6.15259,6.21553,6.15259,6.21553,38657.986487955
1985-07-05,6.21553,6.37231,6.21553,6.37231,60860.449641702
1985-07-08,6.37231,6.43467,6.30917,6.30917,84588.630980015
1985-07-09,6.30917,6.33319,6.21553,6.21553,102960.4808308
1985-07-10,6.1915,6.1915,6.13689,6.13689,27177.365095133
1985-07-11,6.13689,6.1915,6.11326,6.17621,67748.618504376
1985-07-12,6.17621,6.1915,6.07423,6.13689,101432.72291605
1985-07-15,6.09757,6.09757,6.03501,6.07423,110621.70743673
1985-07-16,6.07423,6.07423,6.03501,6.07423,75784.135600765
1985-07-17,6.07423,6.27035,6.05874,6.09757,299319.18734635
1985-07-18,6.09757,6.11326,6.03501,6.09757,188319.10995878
1985-07-19,6.09757,6.13689,6.07423,6.11326,315016.95091375
1985-07-22,6.11326,6.13689,6.07423,6.11326,39044.515359579
1985-07-23,6.11326,6.29348,6.09757,6.25465,207839.32790837
1985-07-24,6.25465,6.29348,6.15259,6.15259,190616.86602149
1985-07-25,6.23152,6.29348,6.23152,6.25465,90331.491339168
1985-07-26,6.25465,6.35663,6.25465,6.30917,28708.182605182
1985-07-29,6.33319,6.39546,6.33319,6.35663,79232.299492488
1985-07-30,6.35663,6.37231,6.30917,6.30917,87269.856319069
1985-07-31,6.30917,6.35663,6.29348,6.33319,81142.506818485
1985-08-01,6.33319,6.39546,6.30917,6.39546,76554.133748724
1985-08-02,6.39546,6.45036,6.37231,6.43467,128611.10787627
1985-08-05,6.43467,6.45036,6.37231,6.39546,70044.334836902
1985-08-06,6.39546,6.43467,6.37231,6.37231,92629.247401886
1985-08-07,6.37231,6.37231,6.25465,6.25465,58181.264032842
1985-08-08,6.25465,6.33319,6.23152,6.27035,129756.41637979
1985-08-09,6.27035,6.33319,6.27035,6.29348,52057.993992644
1985-08-12,6.29348,6.29348,6.15259,6.15259,53205.342226358
1985-08-13,6.17621,6.27035,6.17621,6.21553,84204.141838584
1985-08-14,6.23867,6.23867,6.14493,6.14493,22964.302380933
1985-08-15,6.14493,6.18425,6.14493,6.14493,44018.39743587
1985-08-16,6.14493,6.16042,6.12129,6.12129,68898.006468284
1985-08-19,6.14493,6.18425,6.14493,6.14493,47463.501732302
1985-08-20,6.14493,6.23867,6.14493,6.23867,34449.003234142
1985-08-21,6.22288,6.22288,6.14493,6.14493,40956.76241577
1985-08-22,6.14493,6.16042,5.96442,5.96442,71959.641488382
1985-08-23,5.96442,5.96442,5.90205,5.9253,91100.469622032
1985-08-26,5.9253,6.00383,5.9253,5.96442,34830.432780284
1985-08-27,5.96442,6.08218,5.96442,6.08218,25263.07830875
1985-08-28,6.08218,6.10561,5.94088,5.96442,188702.57923511
1985-08-29,5.96442,6.01942,5.96442,6.01942,120191.10163845
1985-08-30,6.04296,6.12129,6.04296,6.10561,69664.945020954
1985-09-03,6.10561,6.18425,6.08218,6.18425,82296.994107876
1985-09-04,6.18425,6.19984,6.14493,6.14493,67369.228688427
1985-09-05,6.14493,6.18425,6.04296,6.04296,143151.32455899
1985-09-06,6.06639,6.22288,6.06639,6.10561,168795.83241388
1985-09-09,6.10561,6.10561,6.06639,6.06639,74255.357820908
1985-09-10,6.06639,6.10561,6.01942,6.01942,69664.945020954
1985-09-11,6.01942,6.01942,5.90205,5.90205,139327.85031171
1985-09-12,5.90205,5.90205,5.82332,5.86245,62775.756293184
1985-09-13,5.86245,5.86245,5.7687,5.7687,162675.62196898
1985-09-16,5.7841,5.88597,5.7841,5.82332,37129.2087081
1985-09-17,5.82332,5.88597,5.82332,5.84685,29476.141022949
1985-09-18,5.84685,5.86245,5.7841,5.7841,66984.739546997
1985-09-19,5.7841,5.90205,5.7841,5.7841,98752.517442084
1985-09-20,5.74527,5.74527,5.4316,5.47092,327651.03973088
1985-09-23,5.47092,5.56476,5.47092,5.54897,191381.76484397
1985-09-24,5.54897,5.54897,5.4316,5.4471,422187.43486347
1985-09-25,5.4471,5.50985,5.4471,5.50985,29855.530838897
1985-09-26,5.50985,5.54897,5.4865,5.52593,122482.73851059
1985-09-30,5.52593,5.54897,5.50985,5.54897,125163.96384964
1985-10-01,5.54897,5.58848,5.4865,5.4865,188702.57923511
1985-10-02,5.4865,5.52593,5.35316,5.39248,343340.64437752
1985-10-03,5.39248,5.39248,5.32953,5.35316,250328.94756439
1985-10-04,5.35316,5.39248,5.32953,5.36865,36745.739431764
1985-10-07,5.36865,5.4316,5.35316,5.4316,107558.03268643
1985-10-08,5.4316,5.4471,5.35316,5.4471,506012.18688611
1985-10-09,5.4471,5.52593,5.4316,5.50985,160758.27558731
1985-10-10,5.50985,5.50985,5.4471,5.4865,145829.49030277
1985-10-11,5.4865,5.50985,5.4316,5.47092,108321.91164381
1985-10-14,5.47092,5.50985,5.47092,5.50985,43635.948024631
1985-10-15,5.50985,5.52593,5.4316,5.4471,153871.12658973
1985-10-16,5.4471,5.4471,5.39248,5.4316,67748.618504376
1985-10-17,5.52593,5.62771,5.52593,5.54897,479221.3506626
1985-10-18,5.54897,5.54897,5.47092,5.47092,86504.957496593
1985-10-21,5.4865,5.54897,5.4865,5.50985,68898.006468284
1985-10-22,5.50985,5.58848,5.4865,5.54897,197509.11434455
1985-10-23,5.54897,5.54897,5.4865,5.54897,285925.29903224
1985-10-24,5.54897,5.54897,5.4865,5.52593,129756.41637979
1985-10-25,5.52593,5.54897,5.4316,5.50985,77703.521712632
1985-10-28,5.50985,5.50985,5.4316,5.4316,107937.42250239
1985-10-29,5.4316,5.52593,5.4316,5.4865,41720.641373151
1985-10-30,5.4865,5.52593,5.4471,5.4865,517112.39859788
1985-10-31,5.52593,5.58848,5.52593,5.54897,171862.56675947
1985-11-01,5.54897,5.60426,5.52593,5.56476,558452.63028999
1985-11-04,5.56476,5.64359,5.56476,5.58848,296638.98187239
1985-11-05,5.56476,5.56476,5.50985,5.56476,113684.36232192
1985-11-06,5.56476,5.58848,5.50985,5.50985,155787.45310631
1985-11-07,5.50985,5.54897,5.50985,5.54897,173012.97458847
1985-11-08,5.54897,5.62771,5.4471,5.62771,145453.1600821
1985-11-11,5.62771,5.66664,5.54897,5.58848,276358.96442581
1985-11-12,5.66664,5.7841,5.66664,5.70614,317310.62751609
1985-11-13,5.75292,5.75292,5.69036,5.71359,181816.45010263
1985-11-14,5.71359,5.81577,5.71359,5.81577,183724.61769843
1985-11-15,5.81577,5.89372,5.75292,5.83116,73873.928274767
1985-11-18,5.83116,5.90941,5.7687,5.85509,251095.88611705
1985-11-19,5.87048,6.01128,5.87048,5.9957,145067.65107558
1985-11-20,5.9957,6.09002,5.97246,6.09002,60476.980365367
1985-11-21,6.09002,6.27035,6.09002,6.27035,86504.957496593
1985-11-22,6.27035,6.27035,6.21553,6.23152,255302.82964067
1985-11-25,6.23152,6.25465,6.12904,6.15259,102200.68133381
1985-11-26,6.15259,6.1915,6.11326,6.12904,188319.10995878
1985-11-27,6.12904,6.16827,6.05071,6.16827,282481.2146009
1985-11-29,6.16827,6.23152,6.05071,6.15259,156551.33206369
1985-12-02,6.15259,6.16827,5.97246,6.05071,59330.651996749
1985-12-03,6.09002,6.16827,6.09002,6.16827,90331.491339168
1985-12-04,6.16827,6.37231,6.15259,6.33319,243435.67937623
1985-12-05,6.33319,6.37231,6.27035,6.37231,64305.553938136
1985-12-06,6.37231,6.43467,6.33319,6.43467,140476.21841052
1985-12-09,6.43467,6.45036,6.30917,6.45036,328026.35008644
1985-12-10,6.41153,6.41153,6.33319,6.3879,261044.67013474
1985-12-11,6.3879,6.65431,6.3879,6.63059,114446.20154911
1985-12-12,6.63059,6.70912,6.51322,6.51322,123633.14633959
1985-12-13,6.51322,6.56802,6.43467,6.51322,254154.46154186
1985-12-16,6.51322,6.70912,6.47419,6.65431,169561.75110146
1985-12-17,6.65431,6.70912,6.63059,6.63059,76554.133748724
1985-12-18,6.63059,6.6699,6.56802,6.61499,360561.06653419
1985-12-19,6.63059,6.77158,6.63059,6.65431,121334.37041179
1985-12-20,6.65431,6.70912,6.65431,6.65431,166884.6052228
1985-12-23,6.63059,6.63059,6.47419,6.48998,64689.02321447
1985-12-24,6.48998,6.51322,6.3879,6.43467,40190.843728198
1985-12-26,6.43467,6.48998,6.3879,6.3879,14165.926192262
