Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-02-26,7.13,8.25,6.88,7.88,5799318
1992-02-27,8.06,8.06,7.69,7.78,959200
1992-02-28,7.81,7.94,7.56,7.69,693600
1992-03-02,7.63,8.06,7.56,7.94,603000
1992-03-03,7.94,8.06,7.88,8.0,111400
1992-03-04,8.0,8.0,7.69,7.75,298000
1992-03-05,7.69,7.75,7.56,7.69,879600
1992-03-06,7.63,7.94,7.63,7.75,148600
1992-03-09,7.81,8.19,7.81,8.0,329800
1992-03-10,8.0,8.25,7.94,8.19,349200
1992-03-11,8.31,8.31,8.06,8.06,137200
1992-03-12,8.06,8.31,8.06,8.19,259800
1992-03-13,8.13,8.5,8.13,8.44,116600
1992-03-16,8.38,8.44,8.13,8.13,186285
1992-03-17,8.19,8.28,8.19,8.19,86000
1992-03-18,8.19,8.44,8.19,8.31,73800
1992-03-19,8.5,8.69,8.38,8.56,306800
1992-03-20,8.69,8.81,8.63,8.75,90600
1992-03-23,8.81,8.81,8.56,8.75,25800
1992-03-24,8.63,8.69,8.56,8.63,43975
1992-03-25,8.56,8.69,8.56,8.66,114934
1992-03-26,8.69,8.69,8.31,8.31,278200
1992-03-27,8.25,8.44,7.88,7.88,125720
1992-03-30,7.88,8.06,7.88,8.0,94200
1992-03-31,7.94,8.06,7.94,8.0,105000
1992-04-01,7.94,7.94,7.5,7.6,136110
1992-04-02,7.5,7.63,7.31,7.5,208000
1992-04-03,7.31,7.5,7.25,7.5,287200
1992-04-06,7.44,7.69,7.44,7.56,294400
1992-04-07,7.69,7.75,7.44,7.56,454800
1992-04-08,7.44,7.5,7.19,7.38,272016
1992-04-09,7.38,7.53,7.25,7.47,177600
1992-04-10,7.56,7.69,7.5,7.5,46600
1992-04-13,7.56,7.69,7.56,7.69,18600
1992-04-14,7.69,7.94,7.56,7.94,96800
1992-04-15,7.94,7.94,7.81,7.81,42600
1992-04-16,7.81,7.81,7.63,7.63,45570
1992-04-20,7.66,7.66,7.31,7.35,128113
1992-04-21,7.13,7.19,6.69,6.81,271400
1992-04-22,6.75,6.75,6.38,6.63,331550
1992-04-23,6.63,6.75,6.6,6.69,114600
