Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-12-14,6.95089,6.95089,6.87784,6.95089,11685380.855064
1993-12-15,6.95089,6.95089,6.87784,6.95089,2776803.9685962
1993-12-16,6.95089,6.99343,6.91342,6.95089,945883.17705855
1993-12-17,6.95089,6.95089,6.91342,6.91342,743097.1448213
1993-12-20,6.91342,6.95089,6.91342,6.95089,826953.27848158
1993-12-21,6.91342,6.95089,6.87784,6.91342,471638.05467394
1993-12-22,6.91342,6.95089,6.91342,6.95089,416335.91925411
1993-12-23,6.95089,6.95089,6.91342,6.95089,223171.70771086
1993-12-27,6.95089,6.95089,6.91342,6.91342,248793.54130167
1993-12-28,6.91342,6.95089,6.91342,6.95089,429390.13440385
1993-12-29,6.95089,6.99343,6.91342,6.95089,388433.16359143
1993-12-30,6.99343,6.99343,6.95089,6.95089,232968.66127197
1993-12-31,6.95089,6.99343,6.91342,6.99343,304256.12779138
1994-01-03,6.95089,6.99343,6.95089,6.95089,472780.08875958
1994-01-04,6.99343,6.99343,6.95089,6.99343,358093.22958621
1994-01-05,6.95089,7.03022,6.95089,6.95089,363635.60804591
1994-01-06,6.95089,6.99343,6.95089,6.95089,228065.98969221
1994-01-07,6.99343,7.03022,6.95089,7.03022,473592.83110703
1994-01-10,7.03022,7.14724,6.99343,7.11072,660551.88591498
1994-01-11,7.06781,7.26395,7.06781,7.18318,779319.23602245
1994-01-12,7.22161,7.22161,7.18318,7.18318,551580.44066883
1994-01-13,7.18318,7.30199,7.18318,7.30199,636742.20558404
1994-01-14,7.30199,7.33632,7.18318,7.26395,631680.13163418
1994-01-17,7.30199,7.30199,7.22161,7.26395,250910.86620425
1994-01-18,7.22161,7.30199,7.22161,7.30199,520091.13167935
1994-01-19,7.26395,7.26395,7.22161,7.26395,388267.46902253
1994-01-20,7.26395,7.30199,7.22161,7.30199,333946.91661846
1994-01-21,7.26395,7.33632,7.22161,7.30199,382893.93123114
1994-01-24,7.26395,7.30199,7.22161,7.22161,549461.01836664
1994-01-25,7.18318,7.30199,7.18318,7.30199,404913.48099809
1994-01-26,7.33632,7.49528,7.33632,7.4148,1291416.1291024
1994-01-27,7.45399,7.60608,7.4148,7.57071,898572.13413878
1994-01-28,7.57071,7.60608,7.49528,7.60608,689269.48132471
1994-01-31,7.60608,7.60608,7.53352,7.57071,571967.16484226
1994-02-01,7.60608,7.72461,7.57071,7.72461,714879.77921767
1994-02-02,7.72461,7.72461,7.65061,7.68571,358093.22958621
1994-02-03,7.72461,7.80347,7.65061,7.68571,2357693.189663
1994-02-04,7.68571,7.68571,7.45399,7.53352,944416.04603392
1994-02-07,7.53352,7.60608,7.45399,7.57071,662350.4060774
1994-02-08,7.60608,7.72461,7.60608,7.72461,1242632.711659
1994-02-09,7.68571,7.72461,7.60608,7.65061,772302.38563951
1994-02-10,7.65061,7.68571,7.49528,7.60608,1561575.8801935
1994-02-11,7.65061,7.84047,7.65061,7.80347,431504.31320702
1994-02-14,7.80347,8.03718,7.80347,7.92133,1557168.1949209
1994-02-15,7.95594,8.00095,7.72461,7.84047,2307613.5792629
1994-02-16,7.84047,7.92133,7.80347,7.92133,505731.28527467
1994-02-17,7.88148,8.00095,7.88148,8.00095,515198.9470976
