Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,3.20133,3.23529,3.20133,3.20133,585069.41943599
1985-07-02,3.20133,3.20967,3.18405,3.20967,452228.14468182
1985-07-03,3.20967,3.23529,3.20133,3.23529,610505.07469168
1985-07-05,3.23529,3.23529,3.20133,3.20133,944026.78075781
1985-07-08,3.18405,3.18405,3.16727,3.18405,724507.28675924
1985-07-09,3.16727,3.16727,3.15019,3.16727,607683.14303083
1985-07-10,3.16727,3.16727,3.15019,3.15019,409829.67894658
1985-07-11,3.16727,3.27769,3.16727,3.26925,879959.26376815
1985-07-12,3.26925,3.28613,3.23529,3.26071,1216300.8872684
1985-07-15,3.26071,3.26071,3.20133,3.20133,806469.19409509
1985-07-16,3.20133,3.21812,3.0229,3.09916,3395474.6677749
1985-07-17,3.09916,3.11624,3.07373,3.09916,2295051.2376677
1985-07-18,3.09916,3.09916,3.05695,3.06549,1644034.0205815
1985-07-19,3.06549,3.09081,2.95547,3.09081,1759914.4990829
1985-07-22,3.09081,3.11624,2.98874,3.03164,934601.20673429
1985-07-23,3.03164,3.03997,2.97196,2.98874,971344.73090077
1985-07-24,2.98874,2.98874,2.9378,2.98874,534195.08758449
1985-07-25,2.98874,3.00572,2.97196,2.98874,1050487.7279159
1985-07-26,2.98874,3.0229,2.98874,3.00572,1090991.8134034
1985-07-29,3.00572,3.00572,2.92102,2.9378,1766510.0845385
1985-07-30,2.9378,2.98874,2.9378,2.95547,822492.36780106
1985-07-31,2.95547,3.07373,2.95547,3.06549,1337837.3144519
1985-08-01,3.09916,3.13331,3.09916,3.13331,1987917.9161046
1985-08-02,3.13331,3.16727,3.09916,3.13331,1304865.4298535
1985-08-05,3.13331,3.16727,3.13331,3.13331,1029755.2920949
1985-08-06,3.11624,3.11624,3.00572,3.0229,708487.13439339
1985-08-07,3.0229,3.05695,3.00572,3.0229,677398.55179567
1985-08-08,3.0229,3.07373,3.0229,3.05695,819662.37923325
1985-08-09,3.05695,3.06549,3.00572,3.03997,477667.82839098
1985-08-12,3.03997,3.03997,2.98874,3.00572,390046.9510329
1985-08-13,3.00572,3.04831,2.98874,3.03997,662323.07177024
1985-08-14,3.03997,3.04831,3.01456,3.03997,463529.97091239
1985-08-15,3.03997,3.03997,2.9378,2.97196,969464.45024024
1985-08-16,2.97196,2.98874,2.9378,2.95547,1275660.1492565
1985-08-19,2.95547,2.97196,2.9378,2.95547,477667.82839098
1985-08-20,2.95547,2.98874,2.95547,2.97196,860173.51451438
1985-08-21,2.99758,3.01456,2.9807,2.99758,468242.25436746
1985-08-22,2.99758,3.01456,2.95547,2.95547,553037.17161121
1985-08-23,2.95547,2.95547,2.81915,2.86125,721679.31241819
1985-08-26,2.86125,2.86998,2.82749,2.86125,459764.37402448
1985-08-27,2.86125,2.90404,2.83613,2.84457,1013745.2108628
1985-08-28,2.84457,2.92102,2.84457,2.92102,799872.601526
1985-08-29,2.92102,2.97196,2.92102,2.92102,537021.04769882
1985-08-30,2.92102,2.9378,2.86125,2.88736,552093.50638415
1985-09-03,2.88736,2.90404,2.86998,2.88736,671746.63156701
1985-09-04,2.88736,2.90404,2.86998,2.86998,1185215.3260108
1985-09-05,2.86998,2.9378,2.86998,2.9378,1209705.3018128
1985-09-06,2.9378,2.96331,2.92102,2.9378,630288.80971872
1985-09-09,2.9378,2.9378,2.86998,2.88736,532310.77847049
1985-09-10,2.88736,2.90404,2.88736,2.90404,621815.96494257
1985-09-11,2.90404,2.90404,2.86125,2.86998,891264.11133883
1985-09-12,2.86998,2.86998,2.84457,2.84457,783860.50606709
1985-09-13,2.84457,2.86998,2.75967,2.81915,1305807.0808539
1985-09-16,2.81915,2.84457,2.80187,2.82749,889380.80933819
1985-09-17,2.81915,2.81915,2.72591,2.77675,4300867.5725719
1985-09-18,2.77675,2.79343,2.75967,2.78559,923294.34493688
1985-09-19,2.78559,2.81915,2.78559,2.81915,1919136.1014331
1985-09-20,2.81915,2.88736,2.79343,2.81915,1866380.4818077
1985-09-23,2.84457,2.88736,2.84457,2.88736,694358.34093511
1985-09-24,2.88736,2.90404,2.80187,2.81915,824371.64134823
1985-09-25,2.81915,2.83613,2.78559,2.83613,521002.9095597
1985-09-26,2.83613,2.84457,2.80187,2.811,467304.63182063
1985-09-30,2.811,2.81915,2.77675,2.80187,1088171.8959693
1985-10-01,2.80187,2.84457,2.78559,2.81915,701891.54893767
1985-10-02,2.81915,2.82749,2.73445,2.7427,645363.28263078
1985-10-03,2.73445,2.73445,2.67467,2.69195,1431114.1404921
1985-10-04,2.69195,2.70843,2.63248,2.64916,2153735.1039106
1985-10-07,2.64916,2.6577,2.60666,2.64916,625580.55471712
1985-10-08,2.64916,2.67467,2.63248,2.6577,1026934.3675475
1985-10-09,2.6577,2.72591,2.64916,2.69195,895031.72245348
1985-10-10,2.69195,2.70843,2.63248,2.70843,727330.22553347
1985-10-11,2.72591,2.81915,2.72591,2.80187,790455.08440944
1985-10-14,2.80187,2.86998,2.78559,2.84457,1250217.4442072
1985-10-15,2.84457,2.90404,2.83613,2.83613,705667.21695928
1985-10-16,2.83613,2.83613,2.77675,2.80187,545496.91381507
1985-10-17,2.80187,2.86125,2.79343,2.81915,1654397.2171518
1985-10-18,2.81915,2.83613,2.77675,2.78559,930837.62407312
1985-10-21,2.78559,2.86998,2.76821,2.86998,1004318.6297259
1985-10-22,2.88736,3.05695,2.88736,3.03164,1642151.7256942
1985-10-23,3.03164,3.03164,2.95547,2.97196,222346.46122626
1985-10-24,2.95547,2.95547,2.9378,2.95547,280755.00819367
1985-10-25,2.95547,2.95547,2.84457,2.90404,2948900.4575483
1985-10-28,2.86998,2.86998,2.83613,2.86125,500279.53775909
1985-10-29,2.86125,2.86998,2.84457,2.84457,1691146.7839986
1985-10-30,2.84457,2.86998,2.811,2.84457,350475.45252536
1985-10-31,2.84457,2.86998,2.83613,2.83613,781032.53172603
1985-11-01,2.83613,2.83613,2.75104,2.80187,1872032.4020364
1985-11-04,2.80187,2.90404,2.76821,2.86998,1205936.6835847
1985-11-05,2.86998,2.96331,2.84457,2.95547,1634613.4821249
1985-11-06,2.95547,2.95547,2.90404,2.9378,2335566.4014023
1985-11-07,2.9378,2.9378,2.90404,2.9378,635943.75128747
1985-11-08,2.9378,2.96331,2.92102,2.96331,833795.201145
1985-11-11,2.96331,3.08237,2.96331,3.08237,683994.13725138
1985-11-12,3.08237,3.08237,3.01456,3.01456,995844.77783636
1985-11-13,2.99758,2.99758,2.92102,2.92102,1336894.6563383
1985-11-14,2.9378,2.99758,2.9378,2.9807,687758.72702592
1985-11-15,2.9807,3.01456,2.95547,2.95547,1927617.0031162
1985-11-18,2.95547,2.97196,2.90404,2.96331,4034241.3578364
1985-11-19,2.96331,2.9807,2.92102,2.96331,2979043.3606923
1985-11-20,2.98874,2.98874,2.94653,2.94653,1352908.7660238
1985-11-21,2.94653,3.00572,2.9378,3.00572,1607291.5035284
1985-11-22,3.00572,3.03997,3.00572,3.01456,2091554.9173751
1985-11-25,3.01456,3.01456,2.9807,3.00572,810240.8336632
